orden	collection	item_id	asset_type	size	href	signed
1	MDT-50cm	MDT-50cm-292555-09-2024	image/tiff; application=geotiff	4425956	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/c5a91e2ecc64d719a984e596f5ffa0cd5dd4642e9e92766a1a111e2952078a0c	0
1	MDT-50cm	MDT-50cm-292554-09-2024	image/tiff; application=geotiff	19405901	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/2aeed4c752ea2c17be0ecdc89c17e0a2d97ccfafb396de7a6bdae34df6f44185	0
1	MDT-50cm	MDT-50cm-292553-09-2024	image/tiff; application=geotiff	18960147	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/61da477304ca787019d0dec02ae9284160ddfc92b14567e3f0bc635e5de36a7a	0
1	MDT-50cm	MDT-50cm-291555-09-2024	image/tiff; application=geotiff	5962839	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/e0fc00f6d9603086413b8f1f1cf10407785ff51e8085e431dd52664d7ab3a03b	0
1	MDT-50cm	MDT-50cm-291554-09-2024	image/tiff; application=geotiff	18676947	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/b184decedae18e7e1336ca2872c4339e2859f20e92555a6855fc106512b81873	0
1	MDT-50cm	MDT-50cm-291553-09-2024	image/tiff; application=geotiff	18840861	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/bd732d8fdb3ff624fa509c99779bf0b4f9a97ad0a212aa2693b96bef30863a2f	0
1	MDT-50cm	MDT-50cm-290555-09-2024	image/tiff; application=geotiff	12821157	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/661cb9afab249400e171bc9598e4f150da79f563027e8f5be8a3eba3dcf0d0be	0
1	MDT-50cm	MDT-50cm-290554-09-2024	image/tiff; application=geotiff	19807975	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/35cf70c7c4186a42b8f3d9fea738d82027015ad85c9663d7911c6875331940d6	0
1	MDT-50cm	MDT-50cm-290553-09-2024	image/tiff; application=geotiff	19279701	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/18dfa0d39abe0f27bdcea3b55fc7b82b4051b0628133ab5aa8149ab52f5fd55e	0
1	MDT-50cm	MDT-50cm-289555-09-2024	image/tiff; application=geotiff	5428642	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/f12e48862a9a612ca469e20f3f944b057aee85d1ed97a617142c5f0ecf866620	0
1	MDT-50cm	MDT-50cm-289554-09-2024	image/tiff; application=geotiff	18949989	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/6f1ba59a7f9ede35263d304bed7b1545d8809e91818fa0332b83c8d6b6555706	0
1	MDT-50cm	MDT-50cm-289553-09-2024	image/tiff; application=geotiff	18365641	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/f85d2664c820bc4b957d3df0f2d75e70c537db2c3d83237efcd6c8d23bc0c907	0
1	MDT-50cm	MDT-50cm-288555-09-2024	image/tiff; application=geotiff	3165991	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/b9fea1e1b4b7e834ff46530358c01ef7e3ab9dfaca01de12c258a169b1ecfda7	0
1	MDT-50cm	MDT-50cm-288554-09-2024	image/tiff; application=geotiff	20042493	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/80363a28fc30d1bd1d57658505363d6d9a3d92564976c3e39959ee947c286ce2	0
1	MDT-50cm	MDT-50cm-288553-09-2024	image/tiff; application=geotiff	18513395	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/828ae4e82d687dc43095725fded0522ee4cb718a7ef82603814dc95eabde59a9	0
1	MDT-50cm	MDT-50cm-287557-09-2024	image/tiff; application=geotiff	461756	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/6a46edcc4942f619f548ecf8ff1df074c1e1941e1607164fd0348a4430a1ba9f	0
1	MDT-50cm	MDT-50cm-287556-09-2024	image/tiff; application=geotiff	4687704	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/cdd99d9a4b6000f33340a4429fa0ca042dbbd4be0afe8b0d5256a364bde6fa02	0
1	MDT-50cm	MDT-50cm-287555-09-2024	image/tiff; application=geotiff	14353083	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/412f019f1b9fa87e1b88018d06b994a2781a3514dca22f6c444e6c8d70b39719	0
1	MDT-50cm	MDT-50cm-287554-09-2024	image/tiff; application=geotiff	19696861	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/92d08c5151cdc3cd8de4b41417855313af45ab621fe32802405b476ae93fcf5a	0
1	MDT-50cm	MDT-50cm-287553-09-2024	image/tiff; application=geotiff	19094039	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/e19723c0605c2c1f988c1e82fca6d1b58bb5c8038a0ec036989d5b3accad8f42	0
1	MDT-50cm	MDT-50cm-286558-09-2024	image/tiff; application=geotiff	617859	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/eec457b81a9d22195f187368cd18bc98fed2238a574c779f7bac8e3eb8de010a	0
1	MDT-50cm	MDT-50cm-286557-09-2024	image/tiff; application=geotiff	17085028	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/0bef975e03d893611878defa1657105c49d8063ab15f94cd992dfd154ebf60c0	0
1	MDT-50cm	MDT-50cm-286556-09-2024	image/tiff; application=geotiff	19413477	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/3194e1774789edf68adad525540470750c8e3dd5d17420895b92dd8e89e823ad	0
1	MDT-50cm	MDT-50cm-286555-09-2024	image/tiff; application=geotiff	19301519	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/714818db2e79739794e36f3e00bcf3127f23664710310adf3161a5b34cb407d4	0
1	MDT-50cm	MDT-50cm-286554-09-2024	image/tiff; application=geotiff	20244395	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/e85bd7a1a24b3f4780b42f04c2aff797e9a36b5378e51c21ef3cb7c6d5a57ff8	0
1	MDT-50cm	MDT-50cm-286553-09-2024	image/tiff; application=geotiff	19943393	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/52c237cfb7a0f8e13bec6d241d574cbba1ae706589612b4e2164271278afbdf4	0
1	MDT-50cm	MDT-50cm-285558-09-2024	image/tiff; application=geotiff	7466270	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/d22334acc7dc9dac801c1fc226ae25d70062bc13012f874e83705717c027a3f8	0
1	MDT-50cm	MDT-50cm-285557-09-2024	image/tiff; application=geotiff	17345183	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/48fcf3a249f99f09c1e0c7dca172bf13dff4f6e388ef466a5113c88aab1dd230	0
1	MDT-50cm	MDT-50cm-285556-09-2024	image/tiff; application=geotiff	18066435	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/efa77129f7115e49d8ed8fb6b75a8a8b6c436209388ab49acc4badccc913bcc1	0
1	MDT-50cm	MDT-50cm-285555-09-2024	image/tiff; application=geotiff	18116469	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/3455a56d50ab72c37948e0911671cf1dbff43afd74603f49ee2bcd7913632371	0
1	MDT-50cm	MDT-50cm-285554-09-2024	image/tiff; application=geotiff	18869497	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/105e5817c3771767539aa520a457bdd04d2572bbf5a12e25ab7ab2791bcab5d3	0
1	MDT-50cm	MDT-50cm-285553-09-2024	image/tiff; application=geotiff	19647143	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/4a41ff61aa856d3a4978035a0e336d0a2a4d2992bcdad2c30fd717de78ff8e9e	0
1	MDT-50cm	MDT-50cm-284559-09-2024	image/tiff; application=geotiff	834789	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/4e01d35627879b3bc67cdecc866daa11c64a57ab16fa2c9323aecea4226b0ecd	0
1	MDT-50cm	MDT-50cm-284558-09-2024	image/tiff; application=geotiff	15238456	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/65e94dc6bf62f68f807252ef48f585a1498ca8739dd176606e93fa56d02e3379	0
1	MDT-50cm	MDT-50cm-284557-09-2024	image/tiff; application=geotiff	16861919	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/eec41912740891681eceb38b6bbb4b197bdb013a9f5a209289554acd6b2b7249	0
1	MDT-50cm	MDT-50cm-284556-09-2024	image/tiff; application=geotiff	17995555	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/306bf76916b03c1e11d112c96cc95c1f162412586b6c70d0134e6b7425bce36b	0
1	MDT-50cm	MDT-50cm-284555-09-2024	image/tiff; application=geotiff	18022035	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/ec0dd4e15d8c574871f1e41042a1608e4f7d9a1ef29d3194e3eac0e5c0ea4e60	0
1	MDT-50cm	MDT-50cm-284554-09-2024	image/tiff; application=geotiff	19120781	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/fd6492279e1f0e2f0c1e40b3fd1ead0e32210ad61ff7a405328263eff5ee6b1c	0
1	MDT-50cm	MDT-50cm-284553-09-2024	image/tiff; application=geotiff	20134835	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/7261f9a3169bdd3885613eaee3472b7a39dc7b54d8bec9003663552d2ba0c280	0
1	MDT-50cm	MDT-50cm-283559-09-2024	image/tiff; application=geotiff	5461275	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/35c569caed3e1cca777dc4ff02340461078f646e527a120358cfdaa21998eb82	0
1	MDT-50cm	MDT-50cm-283558-09-2024	image/tiff; application=geotiff	17558913	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/b295456f284257f91a32878d3f24d23cb77668243656b0b611c878d42d2de88a	0
1	MDT-50cm	MDT-50cm-283557-09-2024	image/tiff; application=geotiff	17730561	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/cd17cd75c6089c0524d4d588a3c83752b20d0f4c4f88b52734a09423d727eaed	0
1	MDT-50cm	MDT-50cm-283556-09-2024	image/tiff; application=geotiff	18281043	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/a4ccadeb166a5c5bb37022c48e1edb433dd5c13fac4ebcf44b312924c4252f85	0
1	MDT-50cm	MDT-50cm-283555-09-2024	image/tiff; application=geotiff	17997169	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/752f0c8044c2112df01e49fac9c5e094cc93a770b3c883aba737e115d1ae0117	0
1	MDT-50cm	MDT-50cm-283554-09-2024	image/tiff; application=geotiff	18438219	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/de3cd1dd284fd2cc3729d137846a425e54768368bf59e14f9d68e7241813efe7	0
1	MDT-50cm	MDT-50cm-283553-09-2024	image/tiff; application=geotiff	18960739	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/0944ee8f8382e25d27885a513243fd5a9566b7c353866704050302059635b474	0
1	MDT-50cm	MDT-50cm-282559-09-2024	image/tiff; application=geotiff	9986283	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/15c40b391585114dfb73bce7607cbb9af1fa53ef6166af9546d309c2798e858e	0
1	MDT-50cm	MDT-50cm-282558-09-2024	image/tiff; application=geotiff	17514961	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/cc3dbf2cf111e8ef89c125fd467a9d86ac8b2528b420d7ed18d240e05cb8548d	0
1	MDT-50cm	MDT-50cm-282557-09-2024	image/tiff; application=geotiff	17940401	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/894d9823cb9081f89b538b3a6773e328c7210f7550a3a5d3dd7ecffc7bb21baf	0
1	MDT-50cm	MDT-50cm-282556-09-2024	image/tiff; application=geotiff	17918837	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/bab467bbea03b419dbd0b6a54d27959a5845957eb1e7afc1576f5102787abb59	0
1	MDT-50cm	MDT-50cm-282555-09-2024	image/tiff; application=geotiff	18703079	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/92a5bc865c53f7ccf9b74c9fe9e513a36757f882828356025d52147dba26a6e4	0
