orden	collection	item_id	asset_type	size	href	signed
1	MDT-50cm	MDT-50cm-292555-09-2024	image/tiff; application=geotiff	4425956	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/8d343e7bac15b75f38dffb897a159117bec176345a7ba18ae50b9fda05d6dfc2	1
1	MDT-50cm	MDT-50cm-292554-09-2024	image/tiff; application=geotiff	19405901	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/691ab3191edb58f993d04079cdb8815169479ec5ad846c438c67cc2b7cb35a10	1
1	MDT-50cm	MDT-50cm-292553-09-2024	image/tiff; application=geotiff	18960147	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/46fea6eb14c00a27875af4755dc5857b9bdc6b81ef256335ac97d4bab01f27f5	1
1	MDT-50cm	MDT-50cm-291555-09-2024	image/tiff; application=geotiff	5962839	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/38a78be4421f92c1b25c8439551aff37bef67b4390a78e49277f791a4118fdbc	1
1	MDT-50cm	MDT-50cm-291554-09-2024	image/tiff; application=geotiff	18676947	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/e51fae45b40ba6104d12a56131647e54c550f02f7e375fcc75b90f48494d4ab7	1
1	MDT-50cm	MDT-50cm-291553-09-2024	image/tiff; application=geotiff	18840861	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/043a967ef6e995a2b4ce2462300bba346042e34c0c80b1907a6dffda86325302	1
1	MDT-50cm	MDT-50cm-290555-09-2024	image/tiff; application=geotiff	12821157	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/0b4ad587e634185bc1d3811d8e9f8387d550f20551b3939c5576dc8f01f548cc	1
1	MDT-50cm	MDT-50cm-290554-09-2024	image/tiff; application=geotiff	19807975	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/db9a12d50286d24a4a26b57fe8ee8e41fbad9e20e216b595dd2c04406f3fb73d	1
1	MDT-50cm	MDT-50cm-290553-09-2024	image/tiff; application=geotiff	19279701	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/9290e9e2193b6ce8909e2e28e0138eff64fac64e836880a6447a04216ddc3d06	1
1	MDT-50cm	MDT-50cm-289555-09-2024	image/tiff; application=geotiff	5428642	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/42f3ce77b6650dc71ee774104a15225313b149d20d1d676d2284356ae56e68e3	1
1	MDT-50cm	MDT-50cm-289554-09-2024	image/tiff; application=geotiff	18949989	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/03c80c42ea6bf15b6ab22b6fc252dddfe3091a9e18ca3649b739e63d32de9d32	1
1	MDT-50cm	MDT-50cm-289553-09-2024	image/tiff; application=geotiff	18365641	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/ba4c139804bfb2a2231720b89c90025ebc2eb011c960986fa6ead5d541b83c81	1
1	MDT-50cm	MDT-50cm-288555-09-2024	image/tiff; application=geotiff	3165991	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/09d9d1c89f822241bdbc8a46567f625ac8160bcf8d67a44f453c55bba48b5bd7	1
1	MDT-50cm	MDT-50cm-288554-09-2024	image/tiff; application=geotiff	20042493	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/2405cb9d6658feaea5d123eaf8c5eae82577040e2f4e7c6533f2b8666e05cc7c	1
