n	orden	score	lat	lon	vista_aerea
1	2	0.024404083318	41.45634	-8.53157	https://www.google.com/maps/@41.456340,-8.531565,250m/data=!3m1!1e3
2	2	0.032076486705	41.45676	-8.38450	https://www.google.com/maps/@41.456755,-8.384498,250m/data=!3m1!1e3
3	1	0.034931926445	41.95085	-7.06296	https://www.google.com/maps/@41.950847,-7.062964,250m/data=!3m1!1e3
4	1	0.027299254218	41.94848	-7.05683	https://www.google.com/maps/@41.948485,-7.056829,250m/data=!3m1!1e3
5	1	0.045227685418	41.95070	-7.04753	https://www.google.com/maps/@41.950702,-7.047530,250m/data=!3m1!1e3
6	1	0.026718479843	41.94714	-7.16491	https://www.google.com/maps/@41.947142,-7.164907,250m/data=!3m1!1e3
7	2	0.025047635231	41.48862	-8.52870	https://www.google.com/maps/@41.488620,-8.528698,250m/data=!3m1!1e3
8	2	0.025613703036	41.49098	-8.51338	https://www.google.com/maps/@41.490976,-8.513384,250m/data=!3m1!1e3
9	2	0.030659474572	41.55556	-8.49842	https://www.google.com/maps/@41.555564,-8.498419,250m/data=!3m1!1e3
10	1	0.027903360252	41.94183	-7.08472	https://www.google.com/maps/@41.941829,-7.084724,250m/data=!3m1!1e3
11	2	0.022471806299	41.50748	-8.37550	https://www.google.com/maps/@41.507484,-8.375495,250m/data=!3m1!1e3
12	1	0.034210794011	41.96319	-7.15540	https://www.google.com/maps/@41.963195,-7.155400,250m/data=!3m1!1e3
13	2	0.044285279356	41.44501	-8.47023	https://www.google.com/maps/@41.445011,-8.470228,250m/data=!3m1!1e3
14	1	0.049805823205	41.95067	-7.04444	https://www.google.com/maps/@41.950673,-7.044443,250m/data=!3m1!1e3
15	2	0.027012335827	41.53698	-8.54126	https://www.google.com/maps/@41.536980,-8.541263,250m/data=!3m1!1e3
16	2	0.038084284137	41.47709	-8.52863	https://www.google.com/maps/@41.477095,-8.528627,250m/data=!3m1!1e3
17	1	0.026368087960	41.96786	-7.16151	https://www.google.com/maps/@41.967856,-7.161505,250m/data=!3m1!1e3
18	1	0.055246123204	41.94652	-7.09391	https://www.google.com/maps/@41.946522,-7.093909,250m/data=!3m1!1e3
19	2	0.028377679124	41.47959	-8.47041	https://www.google.com/maps/@41.479585,-8.470407,250m/data=!3m1!1e3
20	1	0.032946378271	41.95398	-7.15554	https://www.google.com/maps/@41.953977,-7.155540,250m/data=!3m1!1e3
21	2	0.044037077180	41.43555	-8.54369	https://www.google.com/maps/@41.435552,-8.543690,250m/data=!3m1!1e3
22	2	0.022038861804	41.53737	-8.41242	https://www.google.com/maps/@41.537365,-8.412419,250m/data=!3m1!1e3
23	2	0.022213189467	41.50936	-8.52882	https://www.google.com/maps/@41.509364,-8.528824,250m/data=!3m1!1e3
24	2	0.034507894067	41.45182	-8.50396	https://www.google.com/maps/@41.451822,-8.503964,250m/data=!3m1!1e3
25	2	0.030524457063	41.53951	-8.47072	https://www.google.com/maps/@41.539514,-8.470718,250m/data=!3m1!1e3
26	1	0.032634839076	41.96550	-7.15536	https://www.google.com/maps/@41.965500,-7.155364,250m/data=!3m1!1e3
27	2	0.026279735010	41.50046	-8.42146	https://www.google.com/maps/@41.500463,-8.421459,250m/data=!3m1!1e3
28	2	0.035990857789	41.53944	-8.49526	https://www.google.com/maps/@41.539439,-8.495261,250m/data=!3m1!1e3
29	2	0.039180427873	41.53023	-8.49214	https://www.google.com/maps/@41.530229,-8.492142,250m/data=!3m1!1e3
30	1	0.046140717382	41.94422	-7.09395	https://www.google.com/maps/@41.944217,-7.093947,250m/data=!3m1!1e3
