sid	label	group	name	lon	lat	block	split
0_mamoa_01c05b68e5	0	mamoa	Mámoa da Fonte da Lebre 1	-8.020762454136229	43.46865329236465	289_2406	train
0_mamoa_b3b67493db	0	mamoa	Mámoa da Fonte da Lebre 2	-8.021811089050823	43.46845903561401	289_2406	train
0_mamoa_96e8b35c3d	0	mamoa	Mámoa da Fonte da Lebre 3	-8.02177431039954	43.46824027987321	289_2406	train
0_mamoa_8ccca94010	0	mamoa	Mámoa da Fonte da Lebre 4	-8.021964987749	43.468144609926604	289_2406	train
0_mamoa_772058b460	0	mamoa	Mámoa da Pena de Lama	-8.088582033106695	43.47020993275126	286_2406	train
0_mamoa_51c4e2ba2e	0	mamoa	Mámoa da Pena Escaleira	-8.01485383132736	43.467716751872715	289_2406	train
0_mamoa_8cc8626b8a	0	mamoa	Mámoa da Pena Grande 1	-8.087885438896963	43.43239398911313	286_2404	val
0_mamoa_4ba745ca9d	0	mamoa	Mámoa da Pena Grande 2	-8.086920844531871	43.43145763858391	286_2404	val
0_mamoa_d6ea565be7	0	mamoa	Mámoa da Serra	-8.088557925036989	43.433919631842684	286_2404	val
0_mamoa_e881c08a4f	0	mamoa	Mámoa da Serra de Abaixo	-8.081177472866285	43.42876863038653	287_2404	train
0_mamoa_6be1314012	0	mamoa	Mámoa de Grula 1	-8.07189942111991	43.469464672802374	287_2406	train
0_mamoa_b6f56b6d01	0	mamoa	Mámoa de Grula 2	-8.06933084333054	43.470216679923446	287_2406	train
0_mamoa_716c10fc7a	0	mamoa	Mámoa de Grula 3	-8.069180667840184	43.469056101103085	287_2406	train
0_mamoa_aee2dea4c9	0	mamoa	Mámoa de Grula 4	-8.070607761712605	43.4691825370818	287_2406	train
0_mamoa_d67c451b69	0	mamoa	Mámoa de Louseira Alta 1	-8.090778690466104	43.47242895622028	286_2406	train
0_mamoa_d3c5d249b1	0	mamoa	Mámoa de Louseira Alta 2	-8.094402849301284	43.47196654156501	286_2406	train
0_mamoa_920d5e30af	0	mamoa	Mámoa de Louseira Alta 3	-8.094109876354112	43.47232519795407	286_2406	train
0_mamoa_f7521313e8	0	mamoa	Mámoa de Louseira Alta 4	-8.094472120722942	43.472596476926874	286_2406	train
0_mamoa_4f10247be4	0	mamoa	Mámoa do Alto da Serra 1	-8.092929201483892	43.44072048780955	286_2405	train
0_mamoa_fa2544814b	0	mamoa	Mámoa do Alto da Serra 2	-8.092450927892266	43.440528112397644	286_2405	train
0_mamoa_39eb3123f3	0	mamoa	Mámoa do Alto da Serra 3	-8.093218491659872	43.44006893187491	286_2405	train
0_mamoa_29f6c91ac5	0	mamoa	Mámoa do Alto da Serra II-3	-8.096570555215559	43.45009368895253	286_2405	train
0_mamoa_0f534134bd	0	mamoa	Mámoa do Forgoselo VI-1	-8.008516106419426	43.45485446303197	290_2405	val
0_mamoa_d75ea4d881	0	mamoa	Mámoa do Forgoselo VI-2	-8.006979548782963	43.4549795590059	290_2405	val
0_mamoa_865a2e82e0	0	mamoa	Mámoa do Pando	-8.009065105026039	43.42435236533543	290_2404	train
0_mamoa_1345e5b8c9	0	mamoa	Mámoa do Pico das Troitas 1	-8.014622597938818	43.470367792704344	289_2406	train
0_mamoa_16f8e16619	0	mamoa	Mámoa do Pico das Troitas 2	-8.012929839208129	43.47075814366464	289_2406	train
0_mamoa_20b5ab824a	0	mamoa	Mámoa dos Chaos 1	-8.052040877803442	43.434829606042236	288_2404	train
0_mamoa_a9836ae13b	0	mamoa	Mámoa dos Chaos 2	-8.050124356246725	43.43375456662519	288_2404	train
0_mamoa_7571d2adc3	0	mamoa	Mámoa dos Chaos 3	-8.05020452056196	43.43422898390909	288_2404	train
0_mamoa_e701278c4a	0	mamoa	Mámoa da Agra de Bons	-8.5345157747208	43.26817461035003	268_2395	val
0_mamoa_758021e28b	0	mamoa	Mámoa de Fragavella	-8.477600188577522	43.32866518153929	271_2398	train
0_mamoa_ddc849925a	0	mamoa	Mámoa da Raxeira 2	-8.192093115468616	42.88451562188274	282_2374	train
0_mamoa_a474c683dd	0	mamoa	Mámoa da Raxeira 3	-8.191430360271541	42.88433845808898	283_2374	train
0_mamoa_97837b2b54	0	mamoa	Mámoa de Calvos	-8.205628140918124	42.96375424684088	282_2378	train
0_mamoa_077506d2f6	0	mamoa	Mámoa de Casal de Arriba 1	-8.18744399498648	42.887491433158615	283_2374	train
0_mamoa_c3330b21e8	0	mamoa	Mámoa de Casal de Arriba 2	-8.188020581227606	42.88714934262294	283_2374	train
0_mamoa_9388b553d7	0	mamoa	Mámoa de Casal de Arriba 3	-8.188708943569942	42.88687669607732	283_2374	train
0_mamoa_fd06640b65	0	mamoa	Mámoa do Pinar	-8.18919788380178	42.88441297207511	283_2374	train
0_mamoa_54881cdbd9	0	mamoa	Mámoa das Chans 1	-8.876972861509286	42.671465633270216	255_2362	train
0_mamoa_64407b8899	0	mamoa	Mámoa das Chans 2	-8.876752658686236	42.6717355647876	255_2362	train
0_mamoa_f29fbcf553	0	mamoa	Mámoa das Chans 3	-8.878282713425152	42.669395742400646	254_2362	train
0_mamoa_4ac1f9ebff	0	mamoa	Mámoa das Serosas	-8.904776651223187	42.67687729957723	253_2362	train
0_mamoa_c3c8f34659	0	mamoa	Mámoa de Chan da Figueira	-8.91524868305931	42.69433094935365	253_2363	val
0_mamoa_540d5c56bf	0	mamoa	Mámoa do Monte do Peón	-8.884425146232752	42.704090755166604	254_2363	train
0_mamoa_36c671366e	0	mamoa	Mámoa do Cotón do Ferreiro	-8.093707600924237	43.23618790583074	286_2393	train
0_mamoa_da696d1a27	0	mamoa	Mámoa do Monte da Retorta 10	-8.090658899314937	43.21428876879807	286_2392	train
0_mamoa_e416ba860a	0	mamoa	Mámoa das Pozas	-8.039317455831107	42.89768965129247	289_2374	val
0_mamoa_5998f39d34	0	mamoa	Mámoa do Monte da Cidá 02	-9.006165439130687	42.56166648327147	249_2356	train
0_mamoa_ddec1ce2f7	0	mamoa	Mámoa do Monte da Cidá 03	-9.003275371248657	42.5613124373091	249_2356	train
0_mamoa_d764269a1f	0	mamoa	Mámoa do Monte da Cidá 04	-9.003785713521712	42.562452705806386	249_2356	train
0_mamoa_96142fa6c4	0	mamoa	Mámoa do Monte da Cidá 05	-9.004695892084852	42.562320080002394	249_2356	train
0_mamoa_6220cf4826	0	mamoa	Mámoa do Monte da Cidá 1	-9.01023242997302	42.5591873383943	249_2355	val
0_mamoa_6df6620435	0	mamoa	Mámoa do Monte da Cidá 6	-9.003666949220522	42.56224752464594	249_2356	train
0_mamoa_2c4117ddde	0	mamoa	Mámoa do Monte Facho 1	-9.058135961169482	42.588756990130534	247_2357	train
0_mamoa_1929faa86f	0	mamoa	Mámoa do Monte Facho 2	-9.058190429033893	42.588501203079595	247_2357	train
0_mamoa_50d61f9301	0	mamoa	Mámoa da Vergela	-8.053510886629518	43.075648354494646	288_2384	val
0_mamoa_d1a60ca426	0	mamoa	Mámoa da Valiña	-7.351136591601368	43.30310025987585	316_2397	train
0_mamoa_76d3fdb3e7	0	mamoa	Mámoa de Toucido	-7.358825691872273	43.32821530471447	316_2399	train
0_mamoa_fae10d5afc	0	mamoa	Medorra do Alto de Acebreiro 3	-7.3347508462698245	43.30627535922278	317_2398	train
0_mamoa_7705de1908	0	mamoa	Madorra do Monte da Valiña	-7.38913451836481	43.18074851783461	315_2391	train
0_mamoa_34390a7b9e	0	mamoa	Madorra do Monte do Marco 1	-7.431042491649297	43.084982674734036	313_2385	train
0_mamoa_fa4c1d03eb	0	mamoa	Madorra do Monte do Marco 2	-7.430922476013949	43.086111247762176	313_2385	train
0_mamoa_c2e11e92f2	0	mamoa	Madorra do Monte do Marco 3	-7.431873036532423	43.08487466161718	313_2385	train
0_mamoa_142aaf754e	0	mamoa	Madorra do Monte do Marco 4	-7.428873377640441	43.08749042487037	313_2385	train
0_mamoa_7dc7a731c6	0	mamoa	Madorra do Monte do Marco 5	-7.428780026171725	43.08587849346724	313_2385	train
0_mamoa_605efdf6af	0	mamoa	Madorra do Monte do Marco 6	-7.429337059486383	43.08514637617142	313_2385	train
0_mamoa_0038fc1931	0	mamoa	Madorra do Picato 3	-7.4036071692345375	43.19051705504962	314_2391	train
0_mamoa_9f8b0dd85d	0	mamoa	Madorra 1 do Picato	-7.403518856916297	43.190864096434666	314_2391	train
0_mamoa_304fd6571e	0	mamoa	Madorra 2 do Picato	-7.403820241074053	43.19029679742715	314_2391	train
0_mamoa_c6dd4b12c6	0	mamoa	Madorra da Granda de Canaval 1	-7.45053592237596	43.09132772015674	313_2386	val
0_mamoa_5b6bbf48d6	0	mamoa	Madorra da Granda de Canaval 2	-7.450069673782018	43.09127002816043	313_2386	val
0_mamoa_8bd69a504f	0	mamoa	Madorra da Granda de Canaval 3	-7.44959959064459	43.0914335084891	313_2386	val
0_mamoa_b8a3706d80	0	mamoa	Madorra da Granda de Canaval 4	-7.449224734570264	43.0908540438044	313_2386	val
0_mamoa_231e8128c2	0	mamoa	Madorra da Rega 1	-7.4995123702792315	43.12998629414246	311_2388	train
0_mamoa_9bc3fa8dc9	0	mamoa	Madorra da Rega 2	-7.4981757527620525	43.12704690183317	311_2388	train
0_mamoa_f49e240b7f	0	mamoa	Madorra das Pedreiras	-7.366765605005853	43.222262229536604	316_2393	val
0_mamoa_3365b59613	0	mamoa	A Rodela ou Madorra do Cordal	-7.390007017372891	43.171972899408445	315_2390	train
0_mamoa_fa621fb93f	0	mamoa	Madorra de Rozas	-7.462479173099721	43.10629966012997	312_2386	train
0_mamoa_d027c0bcb1	0	mamoa	Madorra de Rozas 2	-7.463572514680645	43.106479782302756	312_2386	train
0_mamoa_61ea2ebc6a	0	mamoa	Mámoa da Pena Ancha 1	-7.60270770358884	42.910424150195	307_2375	train
0_mamoa_3aaebbd349	0	mamoa	Mámoa da Pena Ancha 2	-7.602525043115066	42.90983243635587	307_2375	train
0_mamoa_dc6438434a	0	mamoa	Mámoa da Pena Ancha 3	-7.601082310307863	42.910402467488595	307_2375	train
0_mamoa_147773cdb9	0	mamoa	Mámoa da Pena Ancha 4	-7.601061659339293	42.90961775971612	307_2375	train
0_mamoa_e3b764e0f7	0	mamoa	Mámoa da Pena Ancha 5	-7.601722406651338	42.90869676883446	307_2375	train
0_mamoa_e82c7de618	0	mamoa	Mámoa da Pena do Lagarto 1	-7.608152955933092	42.90914107284024	306_2375	train
0_mamoa_a93badf1c1	0	mamoa	Mámoa da Pena do Lagarto 2	-7.6092369139857094	42.90972379734423	306_2375	train
0_mamoa_343a80d93b	0	mamoa	Mámoa da Pena do Lagarto 3	-7.610426478299848	42.91006572575144	306_2375	train
0_mamoa_081605a8fd	0	mamoa	Mámoa de Monte das Ageiras 6	-7.4403056103580205	43.01244419702237	313_2381	train
0_mamoa_9a83d68447	0	mamoa	Mámoa de Pena de Locai 1	-7.660184891768277	43.02095161331655	304_2382	train
0_mamoa_8b4b5ab4f3	0	mamoa	Mámoa de Pena de Locai 2	-7.6600706767248266	43.02062523751694	304_2381	val
