bucket	relevance	year	cites	venue	title	doi	oa_url	source_api	query
C5-etiquetas	1.0	2025	27	ACM Computing Surveys	Weakly-supervised Semantic Segmentation with Image-level Labels: From Traditional Models to Foundation Models	10.1145/3707447		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	1.0	2024	1	PLOS ONE	An One-step Triple Enhanced weakly supervised semantic segmentation using image-level labels	10.1371/journal.pone.0309126		crossref	weakly supervised semantic segmentation image level labels
C4-sesgo	1.0	2022	21	Journal of Clinical Epidemiology	Studies of diagnostic test accuracy: Partial verification bias and test result-based sampling	10.1016/j.jclinepi.2022.01.022		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	1.0	2022	8	Statistics in Medicine	Correcting for partial verification bias in diagnostic accuracy studies: A tutorial using R	10.1002/sim.9311		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	1.0	2016	20	Journal of Clinical Epidemiology	Partial verification bias and incorporation bias affected accuracy estimates of diagnostic studies for biomarkers that were part of an existing composite gold standard	10.1016/j.jclinepi.2016.03.022		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	1.0	2015	1	Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology	Researchers should be aware of partial verification bias in diagnostic accuracy studies	10.1016/j.oooo.2014.11.027		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	1.0	2015	1	Endocrine Practice	Partial Verification—A Common Source of Bias in Diagnostic Accuracy Studies	10.4158/endp.21.2.l75rp4152q4374k6		crossref	verification bias partial verification diagnostic accuracy study
C5-etiquetas	0.857	2026	0	IEEE Access	FedMSIS-BiDir: Federated Self-Training with Temporal Pseudo‑Label Refinement for Object Detection	10.1109/access.2026.3719455		crossref	pseudo label refinement iterative self training detection
C5-etiquetas	0.857	2026	1	Applied Sciences	Mispronunciation Detection and Diagnosis for Non-Native Korean Learners Using Iterative Pseudo-Label Refinement Based on Self-Supervised Learning	10.3390/app16052426		crossref	pseudo label refinement iterative self training detection
C5-etiquetas	0.857	2025	2	Brain Hemorrhages	Transformer-based weakly supervised intracerebral hemorrhage segmentation using image-level labels	10.1016/j.hest.2025.04.003		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.857	2023	20	IEEE Journal of Biomedical and Health Informatics	Cluster-Re-Supervision: Bridging the Gap Between Image-Level and Pixel-Wise Labels for Weakly Supervised Medical Image Segmentation	10.1109/jbhi.2023.3300179		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.857	2022	45	Proceedings of the AAAI Conference on Artificial Intelligence	Weakly-Supervised Salient Object Detection Using Point Supervision	10.1609/aaai.v36i1.19947		crossref	point supervision object detection weakly supervised localization
C5-etiquetas	0.857	2019	15	IEEE Access	WAILS: Watershed Algorithm With Image-Level Supervision for Weakly Supervised Semantic Segmentation	10.1109/access.2019.2908216		crossref	weakly supervised semantic segmentation image level labels
C4-sesgo	0.8	2025	1	PLOS One	Partial verification bias correction using scaled inverse probability resampling for binary diagnostic tests	10.1371/journal.pone.0321440		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	0.8	2022	4	Diagnostics	Partial Verification Bias Correction Using Inverse Probability Bootstrap Sampling for Binary Diagnostic Tests	10.3390/diagnostics12112839		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	0.8	2022	8	BMC Medical Research Methodology	Adjusting for verification bias in diagnostic accuracy measures when comparing multiple screening tests - an application to the IP1-PROSTAGRAM study	10.1186/s12874-021-01481-w		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	0.8	2018	1	Statistics in Medicine	Combining biomarker trajectories to improve diagnostic accuracy in prospective cohort studies with verification bias	10.1002/sim.8079		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	0.8	2018	6	European Journal of Radiology	Comparing sensitivity and specificity of medical imaging tests when verification bias is present: The concept of relative diagnostic accuracy	10.1016/j.ejrad.2017.10.022		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	0.8	2017	0	Otolaryngology–Head and Neck Surgery	Verification Bias Is a Persistent Problem in Diagnostic Accuracy Studies of Fine‐Needle Aspiration Cytology	10.1177/0194599816675864		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	0.8	2017	0	Annals of Surgical Oncology	Partial Verification Distorts Estimates of Sensitivity in Diagnostic Accuracy Studies for Fine-Needle Aspiration Cytology	10.1245/s10434-017-6155-1		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	0.8	2017	0	Annals of Surgical Oncology	Reply to: Partial Verification Distorts Estimates of Sensitivity in Diagnostic Accuracy Studies for Fine-Needle Aspiration Cytology	10.1245/s10434-017-6154-2		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	0.8	2017	0	Otolaryngology–Head and Neck Surgery	Authors’ Response to Letter: “Verification Bias Is a Persistent Problem in Diagnostic Accuracy Studies of Fine‐Needle Aspiration Cytology”	10.1177/0194599816675865		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	0.8	2016	11	Statistical Methods in Medical Research	A hybrid Bayesian hierarchical model combining cohort and case–control studies for meta-analysis of diagnostic tests: Accounting for partial verification bias	10.1177/0962280214536703		crossref	verification bias partial verification diagnostic accuracy study
C4-sesgo	0.8	2015	0	Annals of the Rheumatic Diseases	THU0156 Impact of Verification Bias on the Evaluation of Diagnostic Accuracy of Lung Ultrasound in Rheumatoid Arthritis-Related Related Interstitial Lung Disease	10.1136/annrheumdis-2015-eular.2558		crossref	verification bias partial verification diagnostic accuracy study
X-analogos	0.75	2020	71	Sensors	Mining and Tailings Dam Detection in Satellite Imagery Using Deep Learning	10.3390/s20236936		crossref	illegal mining detection satellite imagery deep learning verification
C4-sesgo	0.75	2018	21	Sommerfeltia	Sampling bias in presence-only data used for species distribution modelling: theory and methods for detecting sample bias and its effects on models	10.2478/som-2018-0001		crossref	sample selection bias presence only species distribution model
C5-etiquetas	0.714	2026	0	The Visual Computer	Simple labels, rich supervision: a self-adaptive label expansion based weakly supervised camouflaged object detection	10.1007/s00371-026-04608-6		crossref	point supervision object detection weakly supervised localization
C5-etiquetas	0.714	2026	2	International Journal of Computer Vision	Weakly Supervised Salient Object Detection with Text Supervision	10.1007/s11263-025-02728-5		crossref	point supervision object detection weakly supervised localization
C5-etiquetas	0.714	2026	1	Pattern Recognition	Extreme weakly supervised binary semantic image segmentation via one-pixel supervision	10.1016/j.patcog.2026.113048		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2026	0	Traitement du Signal	Weakly Supervised Semantic Segmentation of Transmission-Line Insulators Using GrabCut Pseudo-Labels from Bounding Boxes and a Lightweight TransAtt-UNet	10.18280/ts.430130		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2026	0	SN Computer Science	A Multi-Feature Image-Specific Pixel Classification Approach for Weakly Supervised Semantic Segmentation	10.1007/s42979-025-04703-w		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2026	0	PeerJ Computer Science	"SemiXAI-Net: XAI-driven semi-supervised object detection
                    <i>via</i>
                    iterative pseudo-label refinement and spatiotemporal consistency"	10.7717/peerj-cs.3523		crossref	pseudo label refinement iterative self training detection
C5-etiquetas	0.714	2026	3	Pattern Recognition	Attention-driven pseudo-label self-training for weakly supervised video anomaly detection	10.1016/j.patcog.2026.113349		crossref	pseudo label refinement iterative self training detection
C5-etiquetas	0.714	2025	13	Pattern Recognition	One point is all you need for weakly supervised object detection	10.1016/j.patcog.2024.111087		crossref	point supervision object detection weakly supervised localization
C5-etiquetas	0.714	2025	6	Automation in Construction	Scalable and transparent automated sewer defect detection using weakly supervised object localization	10.1016/j.autcon.2025.106152		crossref	point supervision object detection weakly supervised localization
C5-etiquetas	0.714	2025	3	Journal of Computational Design and Engineering	ScribbleSAM: Weakly supervised salient object detection and localization in remote sensing images using Transformer and Segment Anything Model	10.1093/jcde/qwaf081		crossref	point supervision object detection weakly supervised localization
C5-etiquetas	0.714	2025	4	Journal of Visual Communication and Image Representation	Salient object detection enhanced pseudo-labels for weakly supervised semantic segmentation	10.1016/j.jvcir.2025.104548		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2025	0	Applied Sciences	Enhanced Pseudo-Labels for End-to-End Weakly Supervised Semantic Segmentation with Foundation Models	10.3390/app151810013		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2025	1	Neurocomputing	Semantic driven ViT and dual-level token fusion for weakly supervised semantic segmentation	10.1016/j.neucom.2025.131204		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2025	27	Neurocomputing	Image augmentation agent for weakly supervised semantic segmentation	10.1016/j.neucom.2025.131314		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2024	18	IEEE Transactions on Image Processing	Pixel-Level Domain Adaptation: A New Perspective for Enhancing Weakly Supervised Semantic Segmentation	10.1109/tip.2024.3444190		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2024	5	Electronics	Improving Object Detection Accuracy with Self-Training Based on Bi-Directional Pseudo Label Recovery	10.3390/electronics13122230		crossref	pseudo label refinement iterative self training detection
C5-etiquetas	0.714	2024	2	The Visual Computer	DCSG: data complement pseudo-label refinement and self-guided pre-training for unsupervised person re-identification	10.1007/s00371-024-03542-9		crossref	pseudo label refinement iterative self training detection
C4-sesgo	0.714	2023	1	Machine Learning for Biomedical Imaging	Positive-unlabeled learning for binary and multi-class cell detection in histopathology images with incomplete annotations	10.59275/j.melba.2022-8g31		crossref	positive unlabeled learning incomplete ground truth detection
C4-sesgo	0.714	2023	3	Journal of Sensors	Pi‐Score: An Estimation Strategy of the Class Prior in Positive‐Unlabeled Learning for Electrical Insulator Defect Detection with Incomplete Annotations	10.1155/2023/6696721		crossref	positive unlabeled learning incomplete ground truth detection
C5-etiquetas	0.714	2023	23	Proceedings of the AAAI Conference on Artificial Intelligence	Point-Teaching: Weakly Semi-supervised Object Detection with Point Annotations	10.1609/aaai.v37i1.25143		crossref	point supervision object detection weakly supervised localization
C5-etiquetas	0.714	2023	12	IEEE Transactions on Pattern Analysis and Machine Intelligence	Salvage of Supervision in Weakly Supervised Object Detection and Segmentation	10.1109/tpami.2023.3243054		crossref	point supervision object detection weakly supervised localization
C5-etiquetas	0.714	2023	33	Pattern Recognition	WITS: Weakly-supervised individual tooth segmentation model trained on box-level labels	10.1016/j.patcog.2022.108974		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2023	6	Sensors	A Weakly Supervised Semantic Segmentation Model of Maize Seedlings and Weed Images Based on Scrawl Labels	10.3390/s23249846		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2023	20	Remote Sensing	Weakly Supervised Semantic Segmentation in Aerial Imagery via Cross-Image Semantic Mining	10.3390/rs15040986		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2022	2	SCIENTIA SINICA Informationis	A weakly supervised object detection approach using point annotation	10.1360/ssi-2021-0089		crossref	point supervision object detection weakly supervised localization
C5-etiquetas	0.714	2022	75	Neurocomputing	Deep Learning for Weakly-Supervised Object Detection and Localization: A Survey	10.1016/j.neucom.2022.01.095		crossref	point supervision object detection weakly supervised localization
C5-etiquetas	0.714	2022	34	Pattern Recognition	Learning pseudo labels for semi-and-weakly supervised semantic segmentation	10.1016/j.patcog.2022.108925		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2021	19	IEEE Access	Real-Time Weakly Supervised Object Detection Using Center-of-Features Localization	10.1109/access.2021.3064372		crossref	point supervision object detection weakly supervised localization
C5-etiquetas	0.714	2021	32	Neurocomputing	Leveraging orientation for weakly supervised object detection with application to firearm localization	10.1016/j.neucom.2021.01.075		crossref	point supervision object detection weakly supervised localization
C5-etiquetas	0.714	2021	182	IEEE Transactions on Pattern Analysis and Machine Intelligence	Weakly Supervised Object Localization and Detection: A Survey	10.1109/tpami.2021.3074313		crossref	point supervision object detection weakly supervised localization
C4-sesgo	0.714	2021	13	Journal of Biogeography	Solving sampling bias problems in presence–absence or presence‐only species data using zero‐inflated models	10.1111/jbi.14268		crossref	pseudo absence background sampling presence only data
C4-sesgo	0.714	2020	14	Journal of Mountain Science	Comparative performance assessment of landslide susceptibility models with presence-only, presence-absence, and pseudo-absence data	10.1007/s11629-020-6277-y		crossref	pseudo absence background sampling presence only data
C5-etiquetas	0.714	2020	25	Symmetry	Weakly Supervised and Semi-Supervised Semantic Segmentation for Optic Disc of Fundus Image	10.3390/sym12010145		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2020	125	IEEE Transactions on Image Processing	Coarse-to-Fine Semantic Segmentation From Image-Level Labels	10.1109/tip.2019.2926748		crossref	weakly supervised semantic segmentation image level labels
C4-sesgo	0.714	2019	45	Ecological Monographs	Preferential sampling for presence/absence data and for fusion of presence/absence data with presence‐only data	10.1002/ecm.1372		crossref	pseudo absence background sampling presence only data
C4-sesgo	0.714	2019	6	Journal of Agricultural, Biological and Environmental Statistics	Efficient Modelling of Presence-Only Species Data via Local Background Sampling	10.1007/s13253-019-00380-4		crossref	pseudo absence background sampling presence only data
C5-etiquetas	0.714	2019	2	Journal of Electronic Imaging	Weakly supervised semantic segmentation for optic disc of fundus image	10.1117/1.jei.28.3.033012		crossref	weakly supervised semantic segmentation image level labels
C5-etiquetas	0.714	2015	6	Neurocomputing	A weakly supervised geodesic level set framework for interactive image segmentation	10.1016/j.neucom.2015.06.014		crossref	weakly supervised semantic segmentation image level labels
C4-sesgo	0.667	2025	0	American Journal of Roentgenology	Methods Comment: The Importance of Assessing Bias in Systematic Reviews and Meta-Analyses for Diagnostic Test Accuracy	10.2214/ajr.25.32787		crossref	spectrum bias diagnostic test accuracy generalisability
C4-sesgo	0.667	2025	0	Epidemiology, Biostatistics, and Public Health	QUADAS-3: Updated Tool to Evaluate Risk of Bias and Applicability Concerns in Diagnostic Test Accuracy Studies	10.54103/2282-0930/29260		crossref	spectrum bias diagnostic test accuracy generalisability
C4-sesgo	0.667	2025	6	BMC Medical Research Methodology	Drivers of bias in diagnostic test accuracy estimates when using expert panels as a reference standard: a simulation study	10.1186/s12874-025-02557-7		crossref	spectrum bias diagnostic test accuracy generalisability
X-analogos	0.667	2025	1	Natural and Engineering Sciences	Utilizing Deep Learning for Automated Detection of Endangered Species in Camera Trap Data	10.28978/nesciences.1811113		crossref	rare species detection camera trap deep learning false positives
C4-sesgo	0.667	2024	0	Applied Neuropsychology: Child	The diagnostic accuracy of Wisconsin Card Sorting Test–the Short Computerized Version (WCST-64:CV2) for children with Autism Spectrum Disorder	10.1080/21622965.2024.2446402		crossref	spectrum bias diagnostic test accuracy generalisability
C4-sesgo	0.667	2024	0	Malaysian Journal of Medicine and Health Sciences	Risk of Bias Assessment and Risk Minimisation Strategies in COVID-19 Diagnostic Test Accuracy Study	10.47836/mjmhs.20.1.43		crossref	spectrum bias diagnostic test accuracy generalisability
C4-sesgo	0.667	2023	4	International Journal of Women's Health	Diagnostic Accuracy of Placental Thickness in Lower Uterine Segment Measured by Ultrasound in Prediction of Placenta Accreta Spectrum in Patients with Placenta Previa. A Diagnostic Test Accuracy Study	10.2147/ijwh.s399520		crossref	spectrum bias diagnostic test accuracy generalisability
C4-sesgo	0.667	2023	6	Physiotherapy	Diagnostic accuracy of the upper limb neurodynamic test with median bias (ULNT1) for cervical radiculopathy: a systematic review and meta-analysis	10.1016/j.physio.2023.06.001		crossref	spectrum bias diagnostic test accuracy generalisability
C4-sesgo	0.667	2023	11	Research Synthesis Methods	<scp>DTAmetasa</scp>: An R shiny application for meta‐analysis of diagnostic test accuracy and sensitivity analysis of publication bias	10.1002/jrsm.1666		crossref	spectrum bias diagnostic test accuracy generalisability
C4-sesgo	0.667	2022	14	Statistics in Medicine	A likelihood‐based sensitivity analysis for publication bias on the summary receiver operating characteristic in meta‐analysis of diagnostic test accuracy	10.1002/sim.9643		crossref	spectrum bias diagnostic test accuracy generalisability
C4-sesgo	0.667	2021	9	Systematic Reviews	Application of weighting methods for presenting risk-of-bias assessments in systematic reviews of diagnostic test accuracy studies	10.1186/s13643-021-01744-z		crossref	spectrum bias diagnostic test accuracy generalisability
C4-sesgo	0.667	2020	26	Journal of the American Medical Informatics Association	Empirical assessment of bias in machine learning diagnostic test accuracy studies	10.1093/jamia/ocaa075		crossref	spectrum bias diagnostic test accuracy generalisability
C4-sesgo	0.667	2019	4	Medical Journal of Australia	Test accuracy and potential sources of bias in diagnostic test evaluation	10.5694/mja2.50449		crossref	spectrum bias diagnostic test accuracy generalisability
C4-sesgo	0.667	2016	5	Evidence based Medicine and Practice	Types of Bias in Studies of Diagnostic Test Accuracy	10.4172/2471-9919.1000e113		crossref	spectrum bias diagnostic test accuracy generalisability
C4-sesgo	0.667	2015	33	International Journal of Geriatric Psychiatry	Associations with publication and assessing publication bias in dementia diagnostic test accuracy studies	10.1002/gps.4283		crossref	spectrum bias diagnostic test accuracy generalisability
C4-sesgo	0.625	2026	0	Ecological Modelling	Improved estimates of relative occurrence and abundance using opportunistic surveys and presence-only observations: A zero-inflated integrated species distribution model	10.1016/j.ecolmodel.2026.111712		crossref	sample selection bias presence only species distribution model
C5-etiquetas	0.625	2026	1	ISPRS Journal of Photogrammetry and Remote Sensing	Label-efficient outdoor 3D object detection via single click annotation from LiDAR point cloud	10.1016/j.isprsjprs.2026.02.025		crossref	box free annotation efficient object detection point annotations
C5-etiquetas	0.625	2026	1	Journal of Computational Design and Engineering	Noise-robust fault diagnosis for rotating equipment in marine vessels using a band-selective envelope attention network without noisy data training	10.1093/jcde/qwag010		crossref	label noise robust training deep network noisy annotations
X-analogos	0.625	2026	0	Algorithms	A Survey of Machine Learning and Deep Learning for Financial Fraud Detection: Architectures, Data Modalities, and Real-World Deployment Challenges	10.3390/a19050354		crossref	transient detection astronomical survey machine learning real bogus
