bucket	relevance	year	cites	venue	title	doi	oa_url	source_api	query
                    <i>Archaeological Prospection</i>"	10.1002/arp.70046		crossref	archaeological prospection machine learning candidate verification workflow
                    <i>via</i>
                    infections and number needed to screen among refugees arriving from sub-Saharan Africa"	10.1093/jtm/taag017		crossref	number needed to screen diagnostic yield programme
                    iterative pseudo-label refinement and spatiotemporal consistency"	10.7717/peerj-cs.3523		crossref	pseudo label refinement iterative self training detection
                Memory"	10.6028/jres.126.009		crossref	tiling artifacts patch based inference large images segmentation
      U.S.-Centric Bias in Psychology"	10.1037/a0039939		crossref	context bias object centric crop classification generalization
C1-negativos	0.2	2018	8	Front Neurorobot	Faster R-CNN for Robust Pedestrian Detection Using Semantic Segmentation Network.	10.3389/fnbot.2018.00064		europepmc	bootstrapping negatives cascade classifier detection
C1-negativos	0.2	2026	0	J Imaging	Real-Time Visual Anomaly Detection in High-Speed Motorsport: An Entropy-Driven Hybrid Retrieval- and Cache-Augmented Architecture.	10.3390/jimaging12020060		europepmc	bootstrapping negatives cascade classifier detection
C1-negativos	0.2	2026	0	PLoS One	A hybrid deep learning and residual connection-based architecture for intrusion detection in autonomous vehicles.	10.1371/journal.pone.0338079		europepmc	bootstrapping negatives cascade classifier detection
C1-negativos	0.25	2022	3	Remote Sensing	Unsupervised Infrared Small-Object-Detection Approach of Spatial–Temporal Patch Tensor and Object Selection	10.3390/rs14071612		crossref	negative sampling strategy rare object detection remote sensing
C1-negativos	0.25	2025	0	PLoS One	ELFT: Efficient local-global fusion transformer for small object detection.	10.1371/journal.pone.0332714		europepmc	negative sampling strategy rare object detection remote sensing
C1-negativos	0.25	2025	0	PeerJ Comput Sci	Aerial image segmentation of embankment dams based on multispectral remote sensing: a case study in the Belo Monte Hydroelectric Complex, Pará, Brazil.	10.7717/peerj-cs.2917		europepmc	negative sampling strategy rare object detection remote sensing
C1-negativos	0.25	2025	0	Sci Rep	Multi-phase deep learning framework with Multiscale Adaptive Swin Transformer and embedding attention for precision lung nodule detection and classification.	10.1038/s41598-025-31147-2		europepmc	false positive reduction computer aided detection pulmonary nodule
C1-negativos	0.25	2025	0	Tomography	Accuracy of Ultra-Fast Low-Field MRI (0.55 T) for Lung Nodule Detection with Ultra-Short Echo Time Sequences.	10.3390/tomography11120132		europepmc	false positive reduction computer aided detection pulmonary nodule
C1-negativos	0.25	2025	1	Healthcare (Basel)	Nodule Characteristics, Clinical Risk Factors, and Radiologist Experience as Predictors of Positive Baseline LDCT Screening Results.	10.3390/healthcare13212734		europepmc	false positive reduction computer aided detection pulmonary nodule
C1-negativos	0.25	2025	1	Sci Data	Parcel-level vector data for scaled land utilization analysis in Xinjiang based on remote sensing image.	10.1038/s41597-025-05359-0		europepmc	negative sampling strategy rare object detection remote sensing
C1-negativos	0.25	2026	0	Bioengineering (Basel)	Explainable Split-Learning-Based Framework for Accurate Pulmonary Nodule Classification.	10.3390/bioengineering13050552		europepmc	false positive reduction computer aided detection pulmonary nodule
C1-negativos	0.25	2026	0	Curr Health Sci J	Impact of AI Assistance on Radiologist Accuracy for Lung Nodule Detection on Chest CT.	10.12865/chsj.52.01.04		europepmc	false positive reduction computer aided detection pulmonary nodule
C1-negativos	0.25	2026	0	Diagnostics (Basel)	Hybrid Curriculum Learning for Data-Efficient Lung Nodule Detection with YOLOv11.	10.3390/diagnostics16101441		europepmc	false positive reduction computer aided detection pulmonary nodule
C1-negativos	0.25	2026	0	Diagnostics (Basel)	RNNet-MST: A ResNet-50 with Multi-Scale Transformer Blocks for Pulmonary Nodule Classification and Attention-Based Localization on Chest X-Ray Images.	10.3390/diagnostics16101574		europepmc	false positive reduction computer aided detection pulmonary nodule
C1-negativos	0.25	2026	0	Front Plant Sci	Crop classification method for multi-temporal remote sensing imagery based on a (3 + 2)D SAFPN.	10.3389/fpls.2026.1765836		europepmc	negative sampling strategy rare object detection remote sensing
C1-negativos	0.25	2026	0	Mayo Clin Proc Digit Health	Computer-Aided Analysis of Photographed Chest X-Ray Films Performs Well Compared With Trained Radiologists.	10.1016/j.mcpdig.2026.100338		europepmc	false positive reduction computer aided detection pulmonary nodule
C1-negativos	0.25	2026	0	Sci Rep	Integrated pixel-wise remote sensing and explainable machine learning for natural hydrogen exploration in southeastern part of Pricaspian Basin, Western Kazakhstan.	10.1038/s41598-026-41845-0		europepmc	negative sampling strategy rare object detection remote sensing
C1-negativos	0.25	2026	0	Sci Rep	Multiscale object detection model based on pyramid vision transformer.	10.1038/s41598-026-43522-8		europepmc	negative sampling strategy rare object detection remote sensing
C1-negativos	0.25	2026	0	Sci Rep	TLCFormer: synergizing temporal motion and local contrast for robust infrared video small object detection.	10.1038/s41598-026-53189-w		europepmc	negative sampling strategy rare object detection remote sensing
C1-negativos	0.286	2018	0	Cancer Research	Correction: Mismatch Repair Proteins Initiate Epigenetic Alterations during Inflammation-Driven Tumorigenesis	10.1158/0008-5472.can-17-3007		crossref	class prior shift correction deployment distribution mismatch
C1-negativos	0.286	2023	6	Scientific Reports	Cumulative trauma load and timing of trauma prior to military deployment differentially influences inhibitory control processing across deployment	10.1038/s41598-023-48505-7		crossref	class prior shift correction deployment distribution mismatch
C1-negativos	0.286	2025	0	Entropy (Basel)	Enhanced Video Anomaly Detection Through Dual Triplet Contrastive Loss for Hard Sample Discrimination.	10.3390/e27070655		europepmc	hard negative mining object detection training strategy
C1-negativos	0.286	2025	0	Modern Economy	Training and Employment Mismatch in Benin: A Paradigm Shift?	10.4236/me.2025.164027		crossref	class prior shift correction deployment distribution mismatch
C1-negativos	0.286	2025	1	Sensors (Basel)	Recent Real-Time Aerial Object Detection Approaches, Performance, Optimization, and Efficient Design Trends for Onboard Performance: A Survey.	10.3390/s25247563		europepmc	hard negative mining object detection training strategy
C1-negativos	0.286	2026	0	Biomimetics (Basel)	Research on Object Detection in Cluttered Hospital Corridor Scenes with CSAWOA-YOLOv8.	10.3390/biomimetics11060431		europepmc	focal loss dense object detection class imbalance
C1-negativos	0.286	2026	0	Biosensors (Basel)	CNN-Based Classification of &lt;i&gt;Ziziphus&lt;/i&gt; Seeds with Focal Loss for Overcoming Size-Based Shortcut Learning.	10.3390/bios16060320		europepmc	focal loss dense object detection class imbalance
C1-negativos	0.286	2026	0	Front Med (Lausanne)	DeepInsight-Net: a CBAM-enhanced ResNet50 framework with focal loss for robust cervical cancer classification on multi-center datasets.	10.3389/fmed.2026.1783634		europepmc	focal loss dense object detection class imbalance
C1-negativos	0.286	2026	0	Int J Mol Sci	A Review and Experimental Analysis of Supervised Learning Systems and Methods for Protein-Protein Interaction Detection.	10.3390/ijms27094094		europepmc	active learning annotation budget rare class detection
