bucket	relevance	year	cites	venue	title	doi	oa_url	source_api	query
E2-holdout-pequeno	0.778	2021	98	PLOS ONE	Radiomics machine learning study with a small sample size: Single random training-test set split may lead to unreliable results	10.1371/journal.pone.0256152		crossref	small test set unreliable evaluation deep learning sample size
E1-transferencia	0.714	2026	0	International Research Journal of Modernization in Engineering Technology &amp; Science	ON THE GENERALIZATION GAP IN MACHINE LEARNING MODELS FOR HEART DISEASE PREDICTION: A CROSS-DATASET STUDY	10.56726/irjmets101546		crossref	geographic generalization gap machine learning environmental prediction
E1-transferencia	0.714	2026	6	Science Advances	Diverse database and machine learning model to narrow the generalization gap in RNA structure prediction	10.1126/sciadv.adz4967		crossref	geographic generalization gap machine learning environmental prediction
E3-deuda-tecnica	0.714	2025	0	International Journal of Computer Applications	Integration of Software Engineering Principles in Machine Learning Pipeline Development	10.5120/ijca2025924249		crossref	research software engineering machine learning pipeline maintainability
E3-deuda-tecnica	0.714	2022	33	Empirical Software Engineering	Identifying self-admitted technical debt in issue tracking systems using machine learning	10.1007/s10664-022-10128-3		crossref	technical debt machine learning systems hidden costs
E1-transferencia	0.714	2021	11	ISPRS International Journal of Geo-Information	Assessing the Generalization of Machine Learning-Based Slope Failure Prediction to New Geographic Extents	10.3390/ijgi10050293		crossref	geographic generalization gap machine learning environmental prediction
E5-consolidar	0.667	2025	7	Proceedings of the ACM on Software Engineering	Scientific Open-Source Software Is Less Likely to Become Abandoned Than One Might Think! Lessons from Curating a Catalog of Maintained Scientific Software	10.1145/3729369		crossref	scientific software sustainability abandoned prototypes lessons
E1-transferencia	0.571	2026	0	Journal of Ovonic Research	Machine Learning Prediction of Optical Band Gap in In-Se Chalcogenide Thin Films	10.15251/jor.2026.222.195		crossref	geographic generalization gap machine learning environmental prediction
E1-transferencia	0.571	2026	0	Sustainability	Overcoming Generalization Issues in Flood Prediction: A Machine Learning Approach Across Multiple Basins	10.3390/su18104724		crossref	geographic generalization gap machine learning environmental prediction
E1-transferencia	0.571	2026	0	Kybele Medical Journal	&lt;b&gt;Evaluation of Speech-Based Parkinson’s Disease Severity Prediction: Cross-Patient Generalization versus Within-Patient Monitoring with Mixed-Effects Machine Learning&lt;/b&gt;Mixed-Effects Machine	10.66251/z8h84251		crossref	geographic generalization gap machine learning environmental prediction
