theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
2_measurement	confidence interval small sample evaluation machine learning	crossref	Sample Size Analysis for Confidence Interval Estimation of Performance Metrics in ATR Evaluation	2007	2007 IEEE Radar Conference	3		10.1109/radar.2007.374284			
2_measurement	confidence interval small sample evaluation machine learning	crossref	Estimating Population Means (Small Samples): Part 1	2014		0		10.4135/9781473979512			
2_measurement	confidence interval small sample evaluation machine learning	crossref	Bayesian Bootstrap Confidence Interval for Mean based on Small Sample Sizes	2025	Malaysian Journal of Fundamental and Applied Sciences	0		10.11113/mjfas.v21n6.3479			The primary objective of this research is to conduct a comprehensive comparison of confidence intervals (CIs) calculated to reflect a predetermined level of confidence. Specifically, we focus on investigating CIs derived from a normal distribution with known population mean and population variance . In this study, we introduce a novel approach for constructing CIs, termed the Bayesian Bootstrap CI, and evaluate its performance relative to both Bootstrap CI and conventional CI methodologies. Our analysis involves rigorous comparisons across various scenarios, particularly emphasizing cases with small sample sizes (n&lt;30). Through extensive simulations, we systematically assess the accuracy, precision, and robustness of each CI method under different conditions. The results consistently demonstrate that the Bayesian Bootstrap CI exhibits superior performance compared to both Bootstrap CI and conventional CI, particularly in situations with limited sample sizes. The Bayesian Bootstrap CI emerges as a compelling choice for researchers and practitioners, offering enhanced reliability and accuracy in estimating population parameters, especially when dealing with small sample sizes. By incorporating Bayesian principles and Bootstrap resampling techniques, the Bayesian Bootstrap CI effectively leverages prior information and captures the true uncertainty surrounding the population parameters. Given the empirical evidence highlighting the advantages of the Bayesian Bootstrap CI, we recommend its adoption as the preferred method for constructing CIs in scenarios involving small sample sizes. This recommendation underscores the importance of leveraging innovative methodologies to enhance the quality and reliability of statistical inference in research and practical applications. Through the adoption of the Bayesian Bootstrap CI, researchers can mitigate potential biases and uncertainties associated with small sample sizes, thereby fostering more robust and credible scientific conclusions.
2_measurement	confidence interval small sample evaluation machine learning	crossref	Sample-size requirements for statistical power and confidence interval precision	2014	PsycEXTRA Dataset	0		10.1037/e559562014-001			
2_measurement	confidence interval small sample evaluation machine learning	crossref	Confidence interval construction for proportion difference in small‐sample paired studies	2005	Statistics in Medicine	29		10.1002/sim.2216		en	Abstract Paired dichotomous data may arise in clinical trials such as pre‐/post‐test comparison studies and equivalence trials. Reporting parameter estimates (e.g. odds ratio, rate difference and rate ratio) along with their associated confidence interval estimates becomes a necessity in many medical journals. Various asymptotic confidence interval estimators have long been developed for differences in correlated binary proportions. Nevertheless, the performance of these asymptotic methods may have poor coverage properties in small samples. In this article, we investigate several alternative confidence interval estimators for the difference between binomial proportions based on small‐sample paired data. Specifically, we consider exact and approximate unconditional confidence intervals for rate difference via inverting a score test. The exact unconditional confidence interval guarantees the coverage probability, and it is recommended if strict control of coverage probability is required. However, the exact method tends to be overly conservative and computationally demanding. Our empirical results show that the approximate unconditional score confidence interval estimators based on inverting the score test demonstrate reasonably good coverage properties even in small‐sample designs, and yet they are relatively easy to implement computationally. We illustrate the methods using real examples from a pain management study and a cancer study. Copyright © 2005 John Wiley &amp; Sons, Ltd.
2_measurement	confidence interval small sample evaluation machine learning	crossref	On Nearly Assumption-Free Tests of Nominal Confidence Interval Coverage for Causal Parameters Estimated by Machine Learning	2020	Statistical Science	6		10.1214/20-sts786			
2_measurement	confidence interval small sample evaluation machine learning	crossref	The Small-Sample Illusion: How Data Quantity, Not Quality, Drives Machine Learning Performance on Tabular Data	2026		0		10.2139/ssrn.6798854			Empirical studies comparing machine learning (ML) and traditional models on tabular data remain deeply contradictory. This study resolves these contradictions by formally isolating data quantity from data quality. First, a baseline evaluation revealed a paradox: ML achieved statistical superiority but yielded negligible practical gains at 49x higher computational cost. However, this benchmark was structurally confounded by a median sample size of only 748 rows.To break this confound, this study employed a large-scale dataset slicing protocol (from N=100 to N=15,000 rows) alongside a matched-volume quality ablation. These tests definitively proved that raw data volume, not data quality, defines ML superiority. These results reveal a Small-Sample Illusion: models perform indistinguishably at small scales. As sample sizes increase, a distinct gradient-boosted tree advantage emerges.This study then applied a four-level progressive ablation protocol to surgically remove saturated datasets and uncompetitive models. This reframed the entire cost narrative. The true computational premium of competitive ML averages just 1.55x. While literature often cites immense ML overheads, this study demonstrates these extremes (like 49x latency from MLP) only materialise when benchmarks fail to cleanly ablate non-winning algorithms. Ultimately, this study overtly identifies exactly N=2,500 rows as the new empirical stabilisation point. Crossing this threshold, competitive ML win rates jump to 82% and perfectly flatline across all larger volumes. These findings establish a mathematically grounded, size-conditional framework for ML adoption.
2_measurement	confidence interval small sample evaluation machine learning	crossref	Small-Sample Explainable Machine Learning for Compressive Strength Prediction of Coal Gangue Concrete	2026		0		10.2139/ssrn.6459765			Accurate prediction of compressive strength is critical for the design and application of coal gangue concrete, particularly under limited experimental data conditions. In this study, an interpretable and high-accuracy machine learning framework is proposed by integrating an improved particle swarm optimization algorithm with Gaussian process regression (IPSO-GPR) and SHAP-based explainability analysis. A comprehensive database was established, and multiple machine learning models were systematically compared in terms of predictive accuracy, robustness, and generalization performance. The results indicate that optimization-based models significantly outperform traditional machine learning approaches, with the IPSO-GPR model achieving the highest [[EQUATION]]values and the lowest RMSE and MAE on both training and testing datasets. Small-sample analysis further demonstrates that the IPSO-GPR model converges rapidly and maintains stable high accuracy with approximately 300 samples, highlighting its suitability for practical engineering scenarios where data are scarce. Error distribution analyses under varying coal gangue content ranges reveal that the proposed model exhibits strong robustness and consistent prediction accuracy without evident systematic bias. Moreover, SHAP-based interpretability analysis systematically elucidates the internal decision-making mechanism of the model from global, local, and instance-level perspectives, confirming that the water–cement ratio is the dominant factor governing compressive strength, in agreement with concrete material theory. The relatively limited influence of coal gangue powder content provides flexibility for mix proportion optimization. Overall, the proposed IPSO-GPR framework offers an accurate, interpretable, and reliable tool for predicting concrete compressive strength and shows strong potential for extension to other composite and solid-waste-based construction materials, supporting sustainable and data-driven material design.
2_measurement	confidence interval small sample evaluation machine learning	crossref	Dealing with missing data, small sample sizes, and heterogeneity in machine learning studies of brain disorders	2020	Machine Learning	29		10.1016/b978-0-12-815739-8.00014-6		en	
2_measurement	confidence interval small sample evaluation machine learning	crossref	Rejoinder: On nearly assumption-free tests of nominal confidence interval coverage for causal parameters estimated by machine learning	2020	Statistical Science	2		10.1214/20-sts804			
2_measurement	confidence interval small sample evaluation machine learning	crossref	Confidence intervals and one sample-based hypothesis testing for Cronbach’s α coefficient for interval-valued data	2024		0		10.21203/rs.3.rs-4827991/v1			Abstract The definition of the well-known Cronbach's α coefficient has been recently extended to measure the internal consistency of interval-valued scale-based items in questionnaires. Although some of its main properties have already been studied, no inferential technique has yet been proposed to analyze its population value. In this paper, large sample theory and bootstrap procedures are used to obtain one sample-based confidence intervals and perform hypothesis testing for the population Cronbach α coefficient for interval-valued data. The asymptotic correctness and consistency of the suggested methods is theoretically derived by analyzing the limit distribution of the sample and bootstrap analogue estimators of such extended reliability index. In addition, some simulation studies are conducted to empirically investigate the performance of the proposed confidence intervals and hypothesis tests, which is also illustrated through a real-life example.
2_measurement	confidence interval small sample evaluation machine learning	crossref	Efficient confidence interval computation for physics-aware machine learning of diffusion-sorption models	2026	Frontiers in Water	0		10.3389/frwa.2026.1813791			The FInite Volume Neural Network (FINN) is an advanced, physics-aware machine learning (ML) framework that merges the structure and accuracy of traditional numerical methods with the flexibility of artificial neural networks. Its goal is to learn the unknown components (terms or parameters) of only partially known partial differential equations in order to advance the scientific understanding of investigated systems. While FINN enhances flexibility and interpretability, it also introduces significant complexity due to its integrated, highly parameterized neural networks. This makes accurate uncertainty quantification (UQ) of the learned PDE terms increasingly challenging and expensive. For instance, Bayesian UQ methods for physical models, yielding credible intervals, often rely on resource-intensive Markov Chain Monte Carlo sampling, which is often impractical for such complex and highly parameterized problems. However, reliable and efficient UQ is crucial for assessing confidence in new scientific insights and subsequent predictions, particularly when data are scarce. In response, we introduce a novel, computationally efficient ML-assisted inference-with-UQ method, designed to provide confidence intervals for the components of governing equations learned by FINN. This is achieved by performing data-driven bootstrapping of the available observations, followed by repeated FINN training on the resampled data. We demonstrate the effectiveness and speed of our method by computing confidence intervals of the retardation factor of a diffusion-sorption system, showing that our approach provides an efficient and fast tool for obtaining confidence intervals in machine-learned constituents of governing equations.
2_measurement	confidence interval small sample evaluation machine learning	crossref	Discussion of “On Nearly Assumption-Free Tests of Nominal Confidence Interval Coverage for Causal Parameters Estimated by Machine Learning”	2020	Statistical Science	4		10.1214/20-sts796			
2_measurement	confidence interval small sample evaluation machine learning	crossref	An Overview of Deep Learning Based Small Sample Medical Imaging Classification	2021	2021 International Conference on Signal Processing and Machine Learning (CONF-SPML)	15		10.1109/conf-spml54095.2021.00060			
2_measurement	confidence interval small sample evaluation machine learning	crossref	presize: Precision Based Sample Size Calculation	2020	CRAN: Contributed Packages	2		10.32614/cran.package.presize			
2_measurement	confidence interval small sample evaluation machine learning	crossref	Estimating Population Means (Large Samples): Part 3	2014		0		10.4135/9781473979482			
