theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
7_weak_supervision	point supervised instance segmentation weak labels	crossref	Weakly Supervised Cell-Instance Segmentation with Two Types of Weak Labels by Single Instance Pasting	2023	2023 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)	5		10.1109/wacv56688.2023.00320			
7_weak_supervision	point supervised instance segmentation weak labels	crossref	Rethinking Weakly Supervised Semantic Segmentation Utilizing Both Point and Image Labels	2024		0		10.2139/ssrn.5062471			
7_weak_supervision	point supervised instance segmentation weak labels	crossref	WISH: Weakly Supervised Instance Segmentation using Heterogeneous Labels	2025	2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	3		10.1109/cvpr52734.2025.02363			
7_weak_supervision	point supervised instance segmentation weak labels	crossref	Extreme Point Supervised Instance Segmentation	2024	2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	8		10.1109/cvpr52733.2024.01629			
7_weak_supervision	point supervised instance segmentation weak labels	crossref	Occlusion-Supervised Amodal Instance Segmentation	2026		0		10.2139/ssrn.6259578			Amodal instance segmentation (AIS) is an emerging task that seeks to segment the whole object instance, both the visible and the occluded parts. All prior work for AIS can be divided into two groups: (i) methods constructing a synthetic amodal dataset; (ii) methods using human-annotated amodal masks. The drawback of methods in the first group is that constructing a realistic synthetic dataset is time-consuming. The drawback of methods in the second group is that human annotation is error-prone, as humans must reason about the invisible object parts. In this work, we develop a new direction for AIS that requires neither a synthetic dataset nor human-annotated amodal masks. Our approach is based on modal masks, as all prior work. In addition, we also require the pairwise occlusion-order annotation between masks. The occlusion-order is simpler to annotate and is less probabilistic compared to amodal masks. Our network outputs the amodal masks, and we use the occlusion order to reason about the visible and invisible parts of the mask. This allows us to develop effective loss functions for the visible and occluded parts of the mask. We use the Mask2Former architecture to test our approach and show that our results are close to those of the same architecture trained on human-annotated amodal masks, even though we only use modal masks for training.
7_weak_supervision	point supervised instance segmentation weak labels	crossref	Occlusion-Supervised Amodal Instance Segmentation	2026		0		10.2139/ssrn.6716255			Amodal instance segmentation (AIS) is an emerging task that seeks to segment the whole object instance, both the visible and the occluded parts. All prior work for AIS can be divided into two groups: (i) methods constructing a synthetic amodal dataset; (ii) methods using human-annotated amodal masks. The drawback of methods in the first group is that constructing a realistic synthetic dataset is time-consuming. The drawback of methods in the second group is that human annotation is error-prone, as humans must reason about the invisible object parts. In this work, we develop a new direction for AIS that requires neither a synthetic dataset nor human-annotated amodal masks. Our approach is based on modal masks, as all prior work. In addition, we also require the pairwise occlusion-order annotation between masks. The occlusion-order is simpler to annotate and is less probabilistic compared to amodal masks. Our network outputs the amodal masks, and we use the occlusion order to reason about the visible and invisible parts of the mask. This allows us to develop effective loss functions for the visible and occluded parts of the mask. We use the Mask2Former architecture to test our approach and show that our results are close to those of the same architecture trained on human-annotated amodal masks, even though we only use modal masks for training.
7_weak_supervision	point supervised instance segmentation weak labels	crossref	Evaluating Pseudo Labels Using Pseudo Labels for Weakly-supervised Semantic Segmentation	2025	The Proceedings of The 12th International Conference on Intelligent Systems and Image Processing 2025	0		10.12792/icisip2025.055			
7_weak_supervision	point supervised instance segmentation weak labels	crossref	BoxTeacher: Exploring High-Quality Pseudo Labels for Weakly Supervised Instance Segmentation	2023	2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	57		10.1109/cvpr52729.2023.00307			
7_weak_supervision	point supervised instance segmentation weak labels	crossref	Weakly Supervised Semantic Point Cloud Segmentation: Towards 10× Fewer Labels	2020	2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	221		10.1109/cvpr42600.2020.01372			
7_weak_supervision	point supervised instance segmentation weak labels	crossref	In-Depth Collaboratively Supervised Video Instance Segmentation	2024		0		10.2139/ssrn.4916642			Video instance segmentation (VIS) is usually plagued by the high cost of pixel-level annotation and the defects of weakly supervised segmentation performance, leading to the urgent need for a trade-off between annotation cost and segmentation performance. In this research, we propose a novel In-Depth Collaboratively Supervised video instance segmentation (IDCS) with efficient training. A new collaborative supervised training pipeline is designed to flow samples of different labeling levels and carry out multimodal training, in which the temporal and spatial instance clues are obtained from mask-annotated instances to guide the box-annotated training through an in-depth collaborative paradigm: 1) the Trident Learning is proposed, which leverage the temporal consistency of video to match instances with multimodal annotation across frames for effective instance relation learning without additional network parameters; 2) spatial clues in the first-frames are captured to implement multidimensional pixel affinity evaluation of box-annotated instances and augment the noise disturbed spatial affinity map. Extensive experiments on YT-VIS are conducted to validate the performance of IDCS with mask-annotated instances in the first frames and the bounding-box annotated samples in remaining frames. IDCS can achieve up to 92.0 fully supervised performance and average 1.4 times faster, 2.2mAP higher than the weakly supervised baseline. The results show that our design can efficiently utilize multimodal data, while providing advanced guidance for effective trade-off in VIS training.
