theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	openalex	The spatial structure of Galician megalithic landscapes (NW iberia): A case study from the Monte Penide region	2019	Journal of Archaeological Science	33	yes	10.1016/j.jas.2019.05.004	https://discovery.ucl.ac.uk/10077897/1/Carrero_Bevan_Lake_2019_final_manuscript.pdf	en	
gallego_castros	poblado fortificado Edad del Hierro Galicia dimensiones	openalex	Las formas de ocupación rural en Hispania. Entre la terminología y la praxis arqueológica	2014	Cuadernos de Prehistoria y Arqueología de la Universidad Autónoma de Madrid	26	yes	10.15366/cupauam2014.40.008	https://revistas.uam.es/cupauam/article/download/106/103	es	En las últimas décadas, el estudio de las formas de ocupación rural ha adquirido un papel protagonista en el marcodel análisis de los paisajes antiguos. En este trabajo expondremos una síntesis sobre las diferentes vías de investigaciónabiertas sobre este asunto, con la finalidad de ofrecer una visualización rápida y eficaz sobre uno de los temasmás complejos que la Arqueología romana tiene hoy en día planteados.Palabras clave: paisaje antiguo, implantación romana, villae, establecimientos rurales, vicus, aglomeraciones secundarias, explotaciones agropecuarias.AbstractThe study of the rural occupation modalities has played a major role within the analysis of ancient landscapes over the last decades. This paper sheds light into current research lines on this field, offering an insight into a most complex issue of Roman Archaeology nowadays.Key words: Ancient landscapes, Roman settlements, villae, rural settlements, vicus, secondary agglomerations, Roman farms.
gallego_castros	poblado fortificado Edad del Hierro Galicia dimensiones	openalex	¿De aldea fortificada a Caput Civitatis? Tradición y ruptura en una Comunidad Castreña del siglo I D.C.: El Poblado de Chao Samartín (Grandas de Salime, Asturias)	2009	Cuadernos de Prehistoria y Arqueología de la Universidad Autónoma de Madrid	21	yes	10.15366/cupauam2009.35.001	https://revistas.uam.es/cupauam/article/download/1179/1142	es	El Chao Samartín es un paraje inmediato al pueblo de Castro, en la localidad asturiana de Grandas de Salime, donde las evidencias de asentamientos estables fortificados se remontan a fines de la Edad del Bronce (tránsito siglos IXVIII a.C.). La ocupación del lugar se prolongó durante la Edad del Hierro hasta bien consumada la implantación romana cuando, durante la segunda mitad del siglo II d.C., un violento seísmo asoló el poblado y precipitó su definitivo abandono.Bajo dominio romano el castro adquiere, en un ambiente militarizado que se prolongará hasta fines del siglo I d.C, la condición de cabecera territorial, tal vez en calidad de caput civitatis. Se suceden en este tipo cambios sustanciales en las fortificaciones y en la trama edificada castreña hasta su consolidación como asentamiento abierto, residencia de grupos sociales preeminentes. Sobre sus ruinas, ya en tiempos altomedievales, se instaló una necrópolis vigente en tiempos de la monarquía asturiana.PALABRAS CLAVE: Castro, ejército, domus, minería aurífera, terremoto.Abstract The Chao Samartin site is located adjacent to the small village of Castro, in the Grandas de Salime Township (Asturias, northern Spain). The site displays evidence of fortified settlements from the Late Bronze Age, in the transition between the 9th and 10th Centuries b.C. Site occupation persisted during the Iron Age, until Roman control was well established. At that time (second half of the 2nd Century a.D.), a violent earthquake destroyed the settlement, triggering its sudden abandonment. The archaeological excavations began in 1990, from this moment on research went on without interruption, as a part of the Navia-Eo Archaeological Director Plan, under guidance and sponsorship of the Ministry of Culture and Tourism of the Principality of Asturias.Roman presence is noticed from the first decades of the 1st century A.D. linked to the arrival of military forces to the settlement. The control and beginning of exploitation of the new conquered territories demanded the participation of the Roman army, which besides being skilful in battles, had the technical ability to direct the massive benefit of the gold mines, to construct the road links and to guarantee the safety of the extracted metal. After the military victory, the organization of the conquered territories demanded the consolidation of regional power centres - Chao Samartín was one of them -which had peripheral control and militarized stations, as Monte Castrelo de Pelou. With the influence of the army, the centenary hillfort will experience its conversion into a relevant administrative centre, in which troops will act as effective agents for the introduction of the new culture.KEY WORDS: Hillfort, roman army, roman house, roman gold mining, earthquake.
gallego_castros	poblado fortificado Edad del Hierro Galicia dimensiones	openalex	La Edad del Bronce en el Noroeste de la Península Ibérica: un análisis a partir de las prácticas funerarias	2010	Trabajos de Prehistoria	19	yes	10.3989/tp.2010.10034	https://tp.revistas.csic.es/index.php/tp/article/download/187/187/191	es	La autora ensaya una nueva interpretación de los mecanismos de negociación del poder y de promoción de la identidad social a partir del análisis de unas prácticas funerarias, cuya existencia ha quedado demostrada en todos los períodos de la Edad del Bronce en el Noroeste de la Península Ibérica, y de la integración de las mismas en los diferentes contextos cronológico-culturales en los que se desenvuelven. En esta extensa área distingue dos grandes tendencias en el tipo y la distribución de las arquitecturas funerarias que asocia a los diferentes modos de interacción y percepción del mundo de las comunidades de este período. Defiende que las necrópolis de sepulturas “opacas” (cistas sin tumuli, sepulturas planas y fosas), localizadas en áreas de importante potencial agrícola y en las inmediaciones de los poblados, fueron construidas por comunidades sedentarias, muy implicadas en actividades agrícolas, con un marcado sentido de la territorialización y un dominio y conocimiento profundo del territorio. En cambio las comunidades conectadas con paisajes montañosos, eventualmente mas subordinadas a las prácticas pastoriles y con modos de vida que implicarían mayor movilidad, serían las responsables de la construcción de estructuras funerarias más visibles, como los monumentos bajo tumuli de tradición megalítica, alejados de los poblados. Defiende durante el Bronce Inicial una ocupación de nuevos territorios y la aparición tanto de una nueva forma de interacción de las comunidades con el medio como nuevos mecanismos de poder y de legitimación sobre el territorio que se materializan, parcialmente, en las prácticas funerarias. Atribuye un papel social a algunos cadáveres, aquellos que tienen ofrendas de cobre y de oro y que están presentes en lugares antiguos y nuevos. A partir del Bronce Medio asume que el cadáver pierde importancia en términos colectivos y que la muerte se vuelve más familiar, transfiriéndose los escenarios de negociación del poder y de la identidad social a otros contextos de acción más conectados con la esfera de los vivos. Pone como ejemplo los lugares de explotación de estaño y de fabricación, manipulación y deposición de artefactos en bronce, los escenarios donde se edifican y se colocan las estatuas-menhires emergentes, grabadas con armas y con nuevos símbolos, y el interior de los poblados. Durante el Bronce Final esta dinámica se acentuaría, aumentando la transformación del cadáver con la consiguiente pérdida de importancia del cuerpo físico, sobre todo en los lugares o períodos en los que los indicios de incineración parecen más usuales. Destaca la mayor relevancia adquirida por los poblados como polos dinamizadores de poder y la aparición de localizaciones en alto, de verdaderos recintos excepcionales, a veces con murallas, en donde las acciones realizadas implicaron la manipulación de varios y diversificados artefactos metálicos, además de materias primas excepcionales y de gran cantidad de recipientes cerámicos singulares. Finaliza preconizando la necesidad de estudios de contingencia que permitan confirmar o refutar estas hipótesis.
gallego_castros	Gallaecia castella oppida romanizacion poblamiento	crossref	Arqueología de La Payunia (Mendoza, Argentina): El poblamiento humano en los márgenes de la agricultura	2006		18		10.30861/9781841719122		en	
gallego_castros	poblado fortificado Edad del Hierro Galicia dimensiones	crossref	Tres para dos. Las formas de poblamiento en la Edad del Hierro del Noroeste Ibérico	2000	Trabajos de Prehistoria	17		10.3989/tp.2000.v57.i1.261			 Se realiza un detallado análisis locacional de los poblados cástrenos de un área de Galicia según una propuesta metodológica apoyada en el empleo de Sistemas de Información Geográfica. Con ello se distinguen dos modelos de situación de los yacimientos, que se corresponden con diferencias en los rasgos formales de los propios castros. Esto permite establecer una secuencia de 'desarrollo cultural' alternativa a las tres fases tradicionales, articulada en una Primera Edad del Hierro bien diferenciada de la aparente continuidad entre la Segunda Edad del Hierro y la época de ocupación romana. Para terminar, tomando como eje argumental datos del yacimiento de Alto do Castro, se discute la opción alternativa de la larga continuidad en la ocupación de un mismo punto y se muestra que no es contradictoria con la secuencia histórica propuesta. Esto permite además valorar la representatividad de los resultados obtenidos en el área elegida. 
gallego_mamoas	medorra arca dolmen Galicia paisaje megalitico	crossref	La monumentalización del Paisaje: percepción actual y sentido original en el Megalitismo de la Sierra de Barbanza (Galicia)	1998	Trabajos de Prehistoria	14		10.3989/tp.1998.v55.i1.317			" El estudio del paisaje como construcción social implica considerar sus dimensiones económicas, territoriales y simbólicas. Sería importante reconstruir cómo fue percibido el espacio natural y social, para lo que se debería construir una Arqueología de la Percepción que tendría entre sus objetivos evaluar el efecto de los rasgos naturales y artificiales del paisaje sobre sus observadores pretéritos. Aquí se propone una estrategia de aproximación basada en el análisis sistemático de los rasgos visuales de los monumentos prehistóricos y en la caracterización de los efectos escénicos y panorámicas relacionadas con ellos. Un examen detallado del patrón de emplazamiento de los megalitos y de sus condiciones de visibilidad y visibilización, permite reconocer regularidades que evidencian una voluntad intencional de remarcar su presencia y provocar artificialmente efectos dramáticos. Así, proponemos aproximarnos a una fenomenología de la percepción prehistórica sin incurrir en soluciones subjetivas.
El estudio se basa en una revisión del megalitismo de la Sierra de Barbanza (NO de la Península Ibérica). Su objetivo final es contribuir al estudio de las estrategias monumentales de configuración de los paisajes culturales en el neolítico europeo, además de aproximarse a la diacronía y proceso de formación de esas tradiciones. "
gallego_castros	poblado fortificado Edad del Hierro Galicia dimensiones	openalex	La metalurgia del hierro en la Asturias castreña: nuevos datos y estado de la cuestión	2006	Trabajos de Prehistoria	13	yes	10.3989/tp.2006.v63.i1.7	https://tp.revistas.csic.es/index.php/tp/article/download/7/7/7	es	Se realiza una revisión de las evidencias de los trabajos siderúrgicos y de los objetos de hierro de los castros asturianos, así como de la relación entre éstos y las posibles zonas de minería. A todo ello se añaden datos inéditos de recientes sondeos efectuados en dos estaciones castreñas del municipio de Teverga así como del estudio sobre el terreno de las áreas de captación de un importante número de yacimientos de la Edad de Hierro. Se proponen unas hipótesis de trabajo sobre las interpretaciones sociales de la paleometalurgia.
gallego_castros	poblado fortificado Edad del Hierro Galicia dimensiones	openalex	Arquitectura como tecnología de construcción de la realidad social	2003	Arqueología de la Arquitectura	13	yes	10.3989/arq.arqt.2003.20	https://arqarqt.revistas.csic.es/index.php/arqarqt/article/download/20/20	es	Se desarrolla textualmente el enfoque arqueotectónico reflejado en el póster homónimo presentado en el I Seminario Internacional de Arqueología de la Arquitectura con el que se pretendía mostrar gráficamente la potencialidad y aplicabilidad al registro arqueológico de determinadas analíticas y metodologías desarrolladas en el ámbito interdisciplinar de la Arqueología de la Arquitectura. Partiendo de una propuesta teórica concreta definida a partir de la Arqueología del Paisaje postprocesual, abordamos el análisis sintáctico del espacio doméstico a nivel de poblado como herramienta básica para alcanzar una definición de modelos o patrones de organización espacial que fundamenten una interpretación sociológica de las formaciones socioculturales del pasado. En este sentido mostramos un ejemplo práctico concreto: la aplicación de analíticas espaciales a un poblado fortificado galaicorromano prácticamente excavado en extensión permitirá esbozar el modelo de espacialidad vigente en ese período ahondando en la problemática de la estabilidad y pervivencia de tradiciones arquitectónicas de la Edad del Hierro conjuntamente con el factor de cambio y ruptura impuestos por la romanización del NW peninsular.
gallego_castros	poblado fortificado Edad del Hierro Galicia dimensiones	openalex	Arqueología de la ruptura colonial: mouros, chullpas, gentiles y abuelos en España, Bolivia y Chile en perspectiva comparada	2019	Estudios Atacameños Arqueología y antropología surandinas	12	yes	10.4067/s0718-10432018005001402	https://scielo.conicyt.cl/pdf/eatacam/n60/0718-1043-eatacam-01402.pdf	en	This paper analyzes the impact of colonialism on the ways in which subaltern populationsestablish relations of sameness and otherness with their ancestors and with archaeologicalvestiges in their surroundings. From a perspective that questions the dominant dichotomousand structural interpretation that conceived the logic of otherness as a product of intrinsiccommunity dynamics, this study reveals the central role of historically specific powerrelations in the articulation of identity configurations. This is revealed in the comparativeanalysis of the northwest region of the Iberian Peninsula, the Bolivian highlands, and theChilean Atacama region. The populations of the three regions present animistic beliefs inmouros, chullpas, gentiles and abuelos, which they associate with archaeological remains undera common logic. Starting with the Christian struggle against paganism in Europe and theextirpation of idolatry in America, this article demonstrates how enlightened modernity,nationalism and contemporary multiculturalism have led to different configurations ofpatterns of identity and alterity, as well as alternative notions of ancestry in each case.Archaeology has played a prominent role in these processes, subordinating local conceptionsof otherness and partaking in their heritagisation.
