theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	openalex	The spatial structure of Galician megalithic landscapes (NW iberia): A case study from the Monte Penide region	2019	Journal of Archaeological Science	33	yes	10.1016/j.jas.2019.05.004	https://discovery.ucl.ac.uk/10077897/1/Carrero_Bevan_Lake_2019_final_manuscript.pdf	en	
gallego_mamoas	medorra arca dolmen Galicia paisaje megalitico	crossref	La monumentalización del Paisaje: percepción actual y sentido original en el Megalitismo de la Sierra de Barbanza (Galicia)	1998	Trabajos de Prehistoria	14		10.3989/tp.1998.v55.i1.317			" El estudio del paisaje como construcción social implica considerar sus dimensiones económicas, territoriales y simbólicas. Sería importante reconstruir cómo fue percibido el espacio natural y social, para lo que se debería construir una Arqueología de la Percepción que tendría entre sus objetivos evaluar el efecto de los rasgos naturales y artificiales del paisaje sobre sus observadores pretéritos. Aquí se propone una estrategia de aproximación basada en el análisis sistemático de los rasgos visuales de los monumentos prehistóricos y en la caracterización de los efectos escénicos y panorámicas relacionadas con ellos. Un examen detallado del patrón de emplazamiento de los megalitos y de sus condiciones de visibilidad y visibilización, permite reconocer regularidades que evidencian una voluntad intencional de remarcar su presencia y provocar artificialmente efectos dramáticos. Así, proponemos aproximarnos a una fenomenología de la percepción prehistórica sin incurrir en soluciones subjetivas.
El estudio se basa en una revisión del megalitismo de la Sierra de Barbanza (NO de la Península Ibérica). Su objetivo final es contribuir al estudio de las estrategias monumentales de configuración de los paisajes culturales en el neolítico europeo, además de aproximarse a la diacronía y proceso de formación de esas tradiciones. "
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	openalex	Landscape and Astronomy in Megalithic Portugal: the Carregal do Sal Nucleus and Star Mountain Range	2013	Papers from the Institute of Archaeology	12	yes	10.5334/pia.405	https://student-journals.ucl.ac.uk/pia/article/470/galley/618/download/	en	Central Portugal, delimited by the Douro river to the north and the Mondego to the south, is the second densest region of megalithic monuments in the country. The Neolithic archaeological record indicates seasonal transhumance between higher pastures in the summer and lower grounds in the winter. The monuments are found in lower ground and it has been suggested that they were built during the winter occupation of their surroundings. The astronomical orientation of their entrances lends further support to this hypothesis. A recent survey of the orientation of the chambers and corridors of these dolmens, conducted by the author, found good agreement with prior surveys, but also demonstrated that other interpretations are possible. This paper presents an update on the survey, including extra sites surveyed in the spring of 2011, as well as the GIS confirmation of all horizon altitudes that couldn’t be empirically measured. The megalithic nucleus of Carregal do Sal, on the Mondego valley, is then looked at in more detail. It is found that there is a preference for the orientation of dolmens towards Star Mountain Range in-line with the topographic arguments of landscape archaeology. In addition, it was found that the topography also marks the rise of particular red stars, Betelgeuse and Aldebaran, during the period of megalithic building, at the onset of spring marking the transition from low ground to the high pastures. This hypothesis finds further support from toponymic folktales that explain the origin of the name of the mountain range.
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	openalex	Modelando dinámicas de movilidad y visibilidad en los paisajes megalíticos gallegos. El caso del Monte de Santa Mariña y su entorno (Comarca de Sarria, Lugo)	2018	Trabajos de Prehistoria	11	yes	10.3989/tp.2018.12216	http://tp.revistas.csic.es/index.php/tp/article/download/783/807	es	Se propone un estudio de dos formas tradicionales de entender la relación del megalito con el paisaje, como son la movilidad natural por el territorio y la visibilidad del monumento con respecto al paisaje en el que se emplaza. Para ello, se aplican una serie de análisis fundamentados en los Sistemas de Información Geográfica y la Estadística Espacial sobre el conjunto tumular del Monte de Santa Mariña (Comarca de Sarria, Lugo) y su entorno (NO de la Península Ibérica). Partiendo de la creación de un modelo de simulación de desplazamiento natural y del estudio de la visibilidad de dicho conjunto, se comprueba, en primer lugar, la importancia de las vías potenciales de tránsito como variable locacional, así como el impacto visual que los monumentos juegan en relación con estas vías. A continuación, se analiza la prominencia visual de los túmulos megalíticos con respecto a su entorno inmediato, pudiéndose identificar la existencia de tendencias comunes en los distintos conjuntos tumulares en relación con el tamaño de las cuencas visuales. Los resultados sugieren una importante relación entre los túmulos y el tránsito natural por el territorio, si bien se detectan tendencias desiguales en lo que al impacto visual del megalito se refiere, tanto con respecto a la relación con otros túmulos como a la totalidad del territorio en el que se emplazan. Ello permite establecer un punto de partida necesario para la revisión de los planteamientos teóricos formulados para el conjunto de Galicia.
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	openalex	Monumentalidad funeraria del Bronce en el sur de la península ibérica: la necrópolis de La Orden Seminario (Huelva).	2020	SPAL Revista de Prehistoria y Arqueología de la Universidad de Sevilla	9	yes	10.12795/spal.2020.i29.01	https://doi.org/10.12795/spal.2020.i29.01	es	"Resumen: La permanencia del megalitismo durante la Edad del Bronce en la pennsula ibrica es uno de los elementos destacados en las investigaciones recientes, interpretndose la continuidad de las arquitecturas y de las prcticas funerarias pretritas de diversas formas. La excavacin microespacial, el anlisis arquitectnico de las tumbas, el estudio antropolgico y el establecimiento de la cronologa de la actividad funeraria de las necrpolis de La Orden-Seminario ha posibilitado caracterizar la existencia de un monumentalismo funerario desarrollado durante la Edad del Bronce Antiguo, c 2300-1900 cal BC. Esta monumentalidad funeraria se sustent en la reapropiacin de las necrpolis calcolticas para la implantacin de tumbas individuales en las cmaras de las sepulturas colectivas. Estas tumbas (covachas, fosas, cmaras con suelos nivelados y ""cistas"" con cubriciones tumulares) se caracterizan por la perpetuacin de esquemas conceptuales de la tradicin megaltica, presentando elementos arquitectnicos, tcnicas constructivas y materiales que propiciaron la perceptibilidad visual, la perdurabilidad y la recreacin de una memoria en torno a los espacios mortuorios ancestrales. En su interior se enterraron individuos de diferente sexo y edad, acompaados de diversos ajuares muebles que representan las diferencias"
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	crossref	Monumentos y petroglifos: la construcción del espacio en las sociedades constructoras de túmulos del Noroeste peninsular	1995	Trabajos de Prehistoria	8		10.3989/tp.1995.v52.i1.430			 El objetivo de este trabajo es realizar una aproximación a la construcción del espacio en las sociedades prehistóricas del Noroeste peninsular, desde la perspectiva de la Arqueología del Paisaje. Para ello hemos procedido al análisis del emplazamiento de los monumentos tumulares en tres zonas del occidente gallego, aplicando un modelo convencional que prima cuatro factores de vinculación que determinan el emplazamiento: las líneas naturales de desplazamiento, los elementos naturales, la tradición y los lugares de asentamiento de los constructores de túmulos. Por otra parte, hemos podido observar la existencia de una relación significativa entre los túmulos y los petroglifos, lo que nos ha llevado a definir un nuevo factor de emplazamiento que parece determinante en la construcción del espacio y que viene dado por los grabados al aire libre. 
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	openalex	O grupo de Tumuli da Casinha Derribada (Conselho de Viseu): resultados preliminares da escavaçõa arqueológica dos monumentos 3, 4 e 5	1998	Conimbriga Revista de Arqueologia	4	yes	10.14195/1647-8657_37_1	http://digitalis-dsp.uc.pt/bitstream/10316.2/45403/1/O_grupo_de_Tumuli_da_Casinha_Derribada.pdf	pt	"Publicam-se os resultados da escavao arqueolgica feita nos monumentos 3, 4 e 5 da ""Casinha Derribada""."
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	crossref	Elementos para el estudio de los paisajes castreños del Noroeste peninsular	1995	Trabajos de Prehistoria	4		10.3989/tp.1995.v52.i1.435			 Se presenta una visión de la Edad del Hierro del Noroeste ibérico desde una óptica de Arqueología del Paisaje, como base para el estudio futuro de los paisajes castreños. Se recogen planteamientos acerca del paisaje como construcción cultural y se reconsidera la validez del análisis espacial. Se desarrolla una distinción operativa entre tres dimensiones del paisaje: la subsistencial, a través del análisis del uso del suelo; la socio-política. con el tratamiento de la ocupación del espacio; y la simbólica o imaginaria, reflejada en la concepción del espacio. Se aplica este esquema a la Edad del Hierro del Noroeste (Cultura Castreña), mostrando como rasgos más señalados social y culturalmente su carácter campesino y guerrero. 
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	crossref	Treinta años de arqueología en el noroeste peninsular. La “otra” Arqueología Medieval	2018	Treinta años de Arqueología Medieval en España	4		10.2307/j.ctv1zcm12b.9			
gallego_mamoas	megalitismo noroeste peninsular necropolis tumular	crossref	LA EXHIBICIÓN DEL PODER EN EL MEGALITISMO DEL SUROESTE PENINSULAR: TRES CASOS DE ESTUDIO EN EL EXTREMO SUR DE PORTUGAL	2013	Cuadernos de Prehistoria y Arqueología de la Universidad de Granada	2		10.30827/cpag.v19i0.187			 Desde la propia experiencia que el Proyecto Alcalar nos permite, y desde una posición dentro de la Arqueología Social, presentamos a los grupos humanos que ocuparon la Bahía de Lagos en el Tercer milenio A.N.E., comparándolos con las comunidades que, en esa misma época, ocuparon el territorio de Cacela y las «periferias serreñas», ricas en minerales de cobre, del Alto Algarve Oriental. La evidencia empírica —en concreto la organización espacial de los asentamientos y la arquitectura de los espacios funerarios y ceremoniales— nos permite evaluar la formación de una Sociedad Clasista Inicial, un proceso histórico en el cual se definen las jerarquías, las desigualdades sociales y la centralización del poder. 
