theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
archaeology_morphology	Iron Age hillfort size distribution enclosure area	openalex	Visibility Studies in Archaeology: A Review and Case Study	2003	Environment and Planning B Planning and Design	121	yes	10.1068/b29122	https://discovery.ucl.ac.uk/77428/1/Lake_Woodman_postprint_2003.pdf	en	This paper describes the history and current state of archaeological visibility studies. The first part is a survey of both GIS (geographic information systems) and non-GIS studies of visibility by archaeologists, which demonstrates how advances in GIS visibility studies have tended to recapitulate, albeit over a compressed timescale, theoretically driven developments in non-GIS studies. The second part presents an example of the kind of methodological development required for the use of GIS to contribute to the agenda set by certain strands of a more humanistic archaeology. An algorithm developed to retrieve various summaries of the inclination at which points on the horizon are visible from a specified viewpoint was applied to nineteen recumbent stone circles in the Grampian region of Scotland. The results suggest that these summaries provide a useful tool for ‘unpacking’ what archaeologists mean when they claim that the topographic setting of certain stone circles creates an ‘impression of circularity’.
archaeology_morphology	Iron Age hillfort size distribution enclosure area	openalex	New evidence for diverse secondary burial practices in Iron Age Britain: A histological case study	2016	Journal of Archaeological Science	78	yes	10.1016/j.jas.2016.01.010	https://www.sciencedirect.com/science/article/pii/S0305440316000194/pdf	en	Iron Age (c. 700 BC–43AD) funerary practice has long been a focus of debate in British archaeology. Formal cemeteries are rare and in central-southern Britain human remains are often unearthed in unusual configurations. They are frequently recovered as isolated fragments, partially articulated body parts or complete skeletons in atypical contexts, often storage pits. In recent years, taphonomic analysis of remains has been more frequently employed to elucidate depositional practice (e.g. Madgwick, 2008, 2010; Redfern, 2008). This has enhanced our understanding of modes of treatment and has contributed much-needed primary data to the discussion. However, only macroscopic taphonomic analysis has been undertaken and equifinality (i.e. different processes producing the same end result) remains a substantial obstacle to interpretation. This research explores the potential of novel microscopic (histological) methods of taphonomic analysis for providing greater detail on the treatment of human remains in Iron Age Britain. Twenty human bones from two Iron Age sites: Danebury and Suddern Farm, in Hampshire, central-southern Britain were examined and assessed using thin section light microscopy combined with the Oxford Histological Index (OHI). Results suggest that diverse mortuary rites were practised and that different configurations of remains were subject to prescribed, varied treatment, rather than resulting from different stages of the same process. Practices that may be responsible for these patterns include exhumation followed by selective removal of elements and sheltered exposure prior to final burial. Only one sample provided evidence for excarnation, a practice that has been widely cited as a potential majority rite in Iron Age Britain.
archaeology_morphology	Iron Age hillfort size distribution enclosure area	openalex	DeamiDATE 1.0: Site-specific deamidation as a tool to assess authenticity of members of ancient proteomes	2020	Journal of Archaeological Science	65	yes	10.1016/j.jas.2020.105080	https://www.sciencedirect.com/science/article/pii/S0305440320300042/pdf	en	Contamination is a potential problem in the study of ancient proteins, either from prior handling of the sample, laboratory consumables, or cross-sample carryover from mass spectrometers. Recently, deamidation of glutamine has been proposed as a measure for assessing the degradation of ancient proteins. Here, we present deamiDATE 1.0, a method for the authentication of ancient proteins using measure of site-specific deamidation rates. We test this approach on shotgun proteomic data derived from bone collagen from modern, archaeological and extinct taxa. We further demonstrate how this method may be used to differentiate between modern contaminants and authentic ancient proteins using a case study from Neolithic dental calculus.
archaeology_morphology	Iron Age hillfort size distribution enclosure area	openalex	A guide to good practice in Mediterranean surface survey projects	2020	JOURNAL OF GREEK ARCHAEOLOGY	65	yes	10.32028/9781789697926-2	https://archaeopresspublishing.com/ojs/index.php/JGA/article/download/430/99	en	This article deals with a relatively new form of archaeological research in the Mediterranean region – intensive surface survey, coverage of the landscape by teams walking in close order, recording patterns of human activity visible on the landsurface as scatters of pottery and lithics, or building remains. Since 2000, archaeologists from Dutch and Belgian universities working on Mediterranean survey projects have gathered annually to discuss methodological issues in workshops that gradually attracted landscape archaeologists from other European countries and Turkey. On the basis of these discussions, this paper, written by regular workshop contributors and other invited authors with wider Mediterranean experience, aims to evaluate the potential of various approaches to the archaeological surface record in the Mediterranean and provide guidelines for standards of good practice in Mediterranean survey.
archaeology_morphology	Iron Age hillfort size distribution enclosure area	openalex	LiDAR Applications in Archaeology: A Systematic Review	2024	Archaeological Prospection	57	yes	10.1002/arp.1931	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/arp.1931	en	ABSTRACT In the last two decades, the analysis of data derived from LiDAR (light detection and ranging) technology has dramatically changed the investigation and documentation of past cultural landscapes, sometimes revealing monumental architectures and settlement systems totally unknown before. Despite the exponential uptick of case studies, an extensive review of LiDAR applications in archaeology is so far missing. Here, we present a systematic survey of works published in international journals in 2001–2022, with the aim of providing an annotated bibliography on the theme and collect quantitative information about each case study. Data collected allowed to analyse the geographic distribution of LiDAR‐based studies, the specifics of acquisitions, the topography and vegetation cover of each study area, the characteristics of the material culture detected, major goals and integrated techniques. The survey considers 291 studies, of which 167 located in Europe, 104 in the Americas and only 20 between Asia, Middle East, Oceania and Africa. Our analysis shows that the impact of LiDAR in archaeological studies was greater in some areas of Europe and North America, where scholars could rely on the availability of open data provided by the institutions. This is testified by the higher number of both case studies and large‐scale projects investigating these regions. It also emerges that LiDAR potential largely depends on the characteristics of the material culture, the vegetation cover and data resolution. These factors underlie the outstanding results achieved through LiDAR in tropical rainforests compared to those obtained in temperate areas, such as the Mediterranean, where the outcropping archaeological evidence, albeit vast and widespread, is generally less preserved and obscured by the dense vegetation of the Mediterranean maquis. We conclude that the increasing availability of LiDAR data over vast areas could lead to enormous advances in the investigation, monitoring and protection of the cultural heritage.
archaeology_morphology	Iron Age hillfort size distribution enclosure area	openalex	Rethinking Early Iron Age urbanisation in Central Europe: the Heuneburg site and its archaeological environment	2013	Antiquity	53	yes	10.1017/s0003598x00049073	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/46834B4C62C4A5ACE70DD1D8587F474A/S0003598X00049073a.pdf/div-class-title-rethinking-early-iron-age-urbanisation-in-central-europe-the-heuneburg-site-and-its-archaeological-environment-div.pdf	en	The Heuneburg on the Upper Danube has been one of the best-known archaeological sites of Early Iron Age Europe since the first excavations of the 1950s. Fieldwork carried out during recent years, however, has radically changed our accepted understanding of what was clearly a central place of supra-regional importance. In addition to the three-hectare hilltop fortification with its famous mudbrick wall, an outer settlement some 100ha in extent has been discovered. Its investigation has given new insights into the centralisation process that took place from the end of the seventh century BC. Moreover, recent discoveries from the richly furnished burials in the surrounding area offer significant clues to issues of social hierarchy and status transmission within Late Hallstatt communities. The results provide an entirely new picture of the earliest stages of urbanisation north of the Alps.
archaeology_morphology	Iron Age hillfort size distribution enclosure area	openalex	The Atlantic Scottish Iron Age: five levels of chronology	1992	Proceedings of the Society of Antiquaries of Scotland	50	yes	10.9750/psas.121.181.214	http://journals.socantscot.org/index.php/psas/article/download/9405/9373	en	Five forms of evidence are currently relevant to the archaeology of the Atlantic Scottish Iron Age. These are defined and evaluated to construct a sequence of structural and artefactual development. It is argued that a lack of clarity on the evaluation of dating methods is responsible for much of the confusion in the literature. Alternative chronologies to that constructed here are valid, but must be explicit on their evaluation of the dating evidence and on the weighting and primacy of dating levels. The terminology of the `Atlantic roundhouse' is introduced as a framework which enables conventional structural typologies to be more effectively analysed. Within the extended chronology and using the new terminology as a descriptive device, developments can be traced which offer new perspectives on the settlement sequence and undermine the unilinear models of the Atlantic Scottish Iron Age. Differences in development between the Northern and Western Isles are already becoming apparent. 14C dates for the Atlantic Scottish Iron Age are listed and critically discussed in an appendix.
archaeology_morphology	castro culture hillfort morphology northwest Iberia	openalex	Establishing the Middle Sea: The Late Bronze Age of Mediterranean Europe (1700–900 BC)	2021	Journal of Archaeological Research	45	yes	10.1007/s10814-021-09165-1	https://link.springer.com/content/pdf/10.1007/s10814-021-09165-1.pdf	en	Abstract The Late Bronze Age (1700–900 BC) represents an extremely dynamic period for Mediterranean Europe. Here, we provide a comparative survey of the archaeological record of over half a millennium within the entire northern littoral of the Mediterranean, from Greece to Iberia, incorporating archaeological, archaeometric, and bioarchaeological evidence. The picture that emerges, while certainly fragmented and not displaying a unique trajectory, reveals a number of broad trends in aspects as different as social organization, trade, transcultural phenomena, and human mobility. The contribution of such trends to the processes that caused the end of the Bronze Age is also examined. Taken together, they illustrate how networks of interaction, ranging from the short to the long range, became a defining aspect of the “Middle Sea” during this time, influencing the lives of the communities that inhabited its northern shore. They also highlight the importance of research that crosses modern boundaries for gaining a better understanding of broad comparable dynamics.
archaeology_morphology	Iron Age hillfort size distribution enclosure area	openalex	Mapping Heterogeneous Buried Archaeological Features Using Multisensor Data from Unmanned Aerial Vehicles	2019	Remote Sensing	44	yes	10.3390/rs12010041	https://www.mdpi.com/2072-4292/12/1/41/pdf?version=1576842151	en	There is a long history of the use of aerial imagery for archaeological research, but the application of multisensor image data has only recently been facilitated by the development of unmanned aerial vehicles (UAVs). Two archaeological sites in the East Midlands U.K. that differ in age and topography were selected for survey using multisensor imaging from a fixed-wing UAV. The aim of this study was to determine optimum methodology for the use of UAVs in examining archaeological sites that have no obvious surface features and examine issues of ground control target design, thermal effects, image processing and advanced filtration. The information derived from the range of sensors used in this study enabled interpretation of buried archaeology at both sites. For any archaeological survey using UAVs, the acquisition of visible colour (RGB), multispectral, and thermal imagery as a minimum are advised, as no single technique is sufficient to attempt to reveal the maximum amount of potential information.
archaeology_morphology	Iron Age hillfort size distribution enclosure area	openalex	Visibility and movement: towards a GIS-based integrated approach	2014		42	yes	10.1515/9783110288384.23	https://www.degruyter.com/downloadpdf/book/9783110288384/10.1515/9783110288384.23.pdf	en	A continuing theme since the initial adoption of GIS technology by archaeologists has been the modelling of visibility and movement as ways of understanding past landscapes and he people who inhabited them. The underlying issues have been fully explored elsewhere and here we briefly introduce only the main points relevant to the work presented in this paper. Modelling visibility and movement is usually justified through an interest in perceiving the and an attempt to move GIS-based analysis away from detached objectivism (describing landscape as if viewing from a distance) towards situated subjectivity (trying to understand landscape from experiencing it directly).
