theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
archaeology_mounds	burial mound diameter height Neolithic Iberia	openalex	Emergent Complexity, Changing Landscapes, and Spheres of Interaction in Southeastern South America During the Middle and Late Holocene	2016	Journal of Archaeological Research	73	yes	10.1007/s10814-016-9100-0	https://link.springer.com/content/pdf/10.1007%2Fs10814-016-9100-0.pdf	en	Newly created academic programs at Brazilian universities have provided the impetus for new archaeological projects in southeastern South America during the last two decades. The new data are changing our views on emergent social complexity, natural and human-induced transformation of the landscape, and transcontinental expansions and cultural interactions across the Río de la Plata basin during the Middle and Late Holocene. We concentrate on six major archaeological traditions/regions: the Sambaquis, the Pantanal, the Constructores de Cerritos, the Tupiguarani, the Southern Proto-Jê, and the middle and lower Paraná River. Diverse and autonomous complex developments exhibit distinct built landscapes in a region previously thought of as marginal compared with cultural developments in the Andes or Mesoamerica. The trajectories toward increased sociopolitical complexity flourished in very different and changing environmental conditions. While some groups were pushed to wetland areas during a drier mid-Holocene, others took advantage of the more humid Late Holocene climate to intensively manage Araucaria forests. The start of the second millennium AD was a critical period marked by an increased number of archaeological sites, the construction of ceremonial architecture, and the intensification of landscape transformation; it also was marked by the rapid expansion of influences from outside the La Plata basin. The Amazonian Tupiguarani and Arawak newcomers brought with them significant changes in technologies and social and political structures, as well as novel landscape management practices.
archaeology_mounds	burial mound diameter height Neolithic Iberia	openalex	A Community in Life and Death: The Late Neolithic Megalithic Tomb at Alto de Reinoso (Burgos, Spain)	2016	PLoS ONE	67	yes	10.1371/journal.pone.0146176	https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0146176&type=printable	en	The analysis of the human remains from the megalithic tomb at Alto de Reinoso represents the widest integrative study of a Neolithic collective burial in Spain. Combining archaeology, osteology, molecular genetics and stable isotope analysis (87Sr/86Sr, δ15N, δ13C) it provides a wealth of information on the minimum number of individuals, age, sex, body height, pathologies, mitochondrial DNA profiles, kinship relations, mobility, and diet. The grave was in use for approximately one hundred years around 3700 cal BC, thus dating from the Late Neolithic of the Iberian chronology. At the bottom of the collective tomb, six complete and six partial skeletons lay in anatomically correct positions. Above them, further bodies represented a subsequent and different use of the tomb, with almost all of the skeletons exhibiting signs of manipulation such as missing skeletal parts, especially skulls. The megalithic monument comprised at least 47 individuals, including males, females, and subadults, although children aged 0-6 years were underrepresented. The skeletal remains exhibited a moderate number of pathologies, such as degenerative joint diseases, healed fractures, cranial trauma, and a low intensity of caries. The mitochondrial DNA profiles revealed a pattern pointing to a closely related local community with matrilineal kinship patterns. In some cases adjacent individuals in the bottom layer showed familial relationships. According to their strontium isotope ratios, only a few individuals were likely to have spent their early childhood in a different geological environment, whilst the majority of individuals grew up locally. Carbon and nitrogen isotope analysis, which was undertaken to reconstruct the dietary habits, indicated that this was a homogeneous group with egalitarian access to food. Cereals and small ruminants were the principal sources of nutrition. These data fit in well with a lifestyle typical of sedentary farming populations in the Spanish Meseta during this period of the Neolithic.
archaeology_mounds	megalithic necropolis distribution Galicia landscape	openalex	Re-evaluating the Neolithic: The Impact and the Consolidation of Farming Practices in the Cantabrian Region (Northern Spain)	2016	Journal of World Prehistory	67	yes	10.1007/s10963-016-9091-2	https://link.springer.com/content/pdf/10.1007/s10963-016-9091-2.pdf	en	Research projects undertaken in the Cantabrian region since 1980 have produced new, high-quality information about the neolithisation process(es) in this area. It is now necessary to review this archaeological information and test the main hypotheses put forward to explain it. This paper presents an update on the archaeological evidence (sites, chronological dates, archaeozoological, archaeobotanical and technological information) for the early Neolithic in the Cantabrian region. It summarizes recent research on neolithisation in the region, and assesses the impact of this process during the early Neolithic, and its later consolidation. Although the available information is still incomplete, it is now possible to identify the focal point of the introduction of elements characteristic of the Neolithic way of life in the region. Current evidence suggests that it is in the eastern sector, where the earliest arrival of domesticates and new technologies such as pottery has been attested. The existence of continuities—such as sustained reliance on hunting and gathering and the coexistence of old and new funerary rites—suggests the persistence of native populations, which gradually participated in the neolithisation process after an ‘availability phase’.
archaeology_mounds	passage grave mound morphometry Atlantic Europe	crossref	Franken Mound: facies and biocoenoses on a newly-discovered “carbonate mound” on the western Rockall Bank, NE Atlantic	2007	Facies	60		10.1007/s10347-007-0118-0		en	
archaeology_mounds	passage grave mound morphometry Atlantic Europe	crossref	Growth history of a cold-water coral covered carbonate mound — Galway Mound, Porcupine Seabight, NE-Atlantic	2008	Marine Geology	59		10.1016/j.margeo.2008.05.006		en	
archaeology_mounds	megalithic necropolis distribution Galicia landscape	openalex	APPROACHING THE LANDSCAPE DIMENSION OF THE MEGALITHIC PHENOMENON IN SOUTHERN SPAIN	2010	Oxford Journal of Archaeology	48	yes	10.1111/j.1468-0092.2010.00354.x	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1468-0092.2010.00354.x	en	Although the megalithic phenomenon in southern Iberia has received attention since the mid-nineteenth century, there has been very little attention paid to the role that megalithic structures played in the organization of prehistoric landscapes. Just as in other areas of Europe, however, southern Iberian megalithic structures must have played complex roles in the social organization of landscapes that go far beyond their use as funerary containers. Using examples from our work in southern Iberia, we employ GIS-based spatial analysis to explore for the first time various aspects of the landscape dimension of these monuments. We discuss three case-studies for which fresh field data have been recently made available. In the first (Almadén de la Plata) we find patterns of association between medieval transhumance routes and megaliths, and we use cost-surface modelling to suggest that medieval routes may reflect earlier, prehistoric patterns of movement which in turn suggest that megalithic structures functioned in this area as waypoints within an emerging mobility system for people and livestock. In the second case (Aroche) we show correlations between the locations of megaliths and theoretical territories defined by isochrones and contrast this pattern with the distribution of non-megalithic funerary sites of the Early Bronze Age, concluding that the spatial distribution of megaliths in this region may relate to their role as landmarks. Lastly we describe a far more specific relationship which we have encountered in the Antequera region, where we believe we have identified a relationship between the orientation of the megalithic structure of Menga, a prominent natural feature and several newly discovered prehistoric sites. Together, these three examples suggest that the current focus on typology, chronology and contents in the study of Iberian megaliths needs to be matched with efforts to identify and interpret the often highly complex structure of the prehistoric landscapes of which they form an integral part.
archaeology_mounds	megalithic necropolis distribution Galicia landscape	openalex	From Its Core to the Niche: Insights from GPR Applications	2022	Remote Sensing	45	yes	10.3390/rs14133033	https://www.mdpi.com/2072-4292/14/13/3033/pdf?version=1656072594	en	Thanks to its non-destructive, high-resolution imaging possibilities and its sensitivity to both conductive and dielectric subsurface structures, Ground-Penetrating Radar (GPR) has become a widely recognized near-surface geophysical tool, routinely adopted in a wide variety of disciplines. Since its first development almost 100 years ago, the domain in which the methodology has been successfully deployed has significantly expanded from ice sounding and environmental studies to precision agriculture and infrastructure monitoring. While such expansion has been clearly supported by the evolution of technology and electronics, the operating principles have always secured GPR a predominant position among alternative inspection approaches. The aim of this contribution is to provide a large-scale survey of the current areas where GPR has emerged as a valuable prospection methodology, highlighting the reasons for such prominence and, at the same time, to suggest where and how it could be enhanced even more.
archaeology_mounds	burial mound diameter height Neolithic Iberia	openalex	Shell Midden Archaeology: Current Trends and Future Directions	2023	Journal of Archaeological Research	34	yes	10.1007/s10814-023-09189-9	https://link.springer.com/content/pdf/10.1007/s10814-023-09189-9.pdf	en	Abstract Since the 19th century, the study of shell middens has played an important role in archaeological research. Shell midden and broader coastal archaeology have transformed our understanding of human relationships with aquatic habitats, demonstrating the importance of marine environments to human evolution and ecology, the colonization of islands and establishment of maritime trade networks, changing social and political dynamics, and a variety of other issues. During the past two decades, shell midden research has greatly increased, marking an exciting time for new discoveries and heightened collaboration with Indigenous communities. Several key research trends in shell midden archaeology during the past 10–15 years include research on site distribution and temporality, underwater archaeology, historical ecology, terraforming, landscape legacies, and community collaboration. These research trends demonstrate the ways in which shell midden archaeologists are shaping our understanding of the human past and environmental change around the world.
archaeology_mounds	passage grave mound morphometry Atlantic Europe	crossref	High-resolution facies zonation within a cold-water coral mound: The case of the Piddington Mound, Porcupine Seabight, NE Atlantic	2017	Marine Geology	34		10.1016/j.margeo.2017.06.009		en	
archaeology_mounds	megalithic tumulus Galicia morphology dimensions	openalex	THE REASSESSMENT OF THE ROMAN MILITARY PRESENCE IN GALICIA AND NORTHERN PORTUGAL THROUGH DIGITAL TOOLS: ARCHAEOLOGICAL DIVERSITY AND HISTORICAL PROBLEMS	2019	DIGITAL.CSIC (Spanish National Research Council (CSIC))	32	yes	10.5281/zenodo.3457524	http://hdl.handle.net/10261/208856	en	Traditionally, the study of the Roman military presence in Galicia (Spain) and Northern Portugal has been based on the fragmentary documentation offered by Greek and Latin authors or epigraphy, with archaeology occupying a very secondary place in these historical narratives. In particular, the information is very scarce for the period between the 2nd century BCE and 1st century CE, when these territories were conquered and integrated into the Roman world. This work presents new Roman military sites discovered through an integrated methodology involving an intensive application of remote sensing techniques in order to provide information to foster a paradigm shift in this field of study. Distributed over a wide geographical area and displaying a wide morpho-typological and locational diversity, this new archaeological evidence not only reflects the ability of the Roman army to adapt to local natural and cultural environments, but also reveals a major operational and logistical assortment that may relate to the diachronic nature of the military presence in the region.
