theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
method_relief	sky view factor openness archaeological topography	openalex	Google Earth Engine Cloud Computing Platform for Remote Sensing Big Data Applications: A Comprehensive Review	2020	IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing	1120	yes	10.1109/jstars.2020.3021052	https://ieeexplore.ieee.org/ielx7/4609443/8994817/09184118.pdf	en	Remote sensing (RS) systems have been collecting massive volumes of datasets for decades, managing and analyzing of which are not practical using common software packages and desktop computing resources. In this regard, Google has developed a cloud computing platform, called Google Earth Engine (GEE), to effectively address the challenges of big data analysis. In particular, this platform facilitates processing big geo data over large areas and monitoring the environment for long periods of time. Although this platform was launched in 2010 and has proved its high potential for different applications, it has not been fully investigated and utilized for RS applications until recent years. Therefore, this study aims to comprehensively explore different aspects of the GEE platform, including its datasets, functions, advantages/limitations, and various applications. For this purpose, 450 journal articles published in 150 journals between January 2010 and May 2020 were studied. It was observed that Landsat and Sentinel datasets were extensively utilized by GEE users. Moreover, supervised machine learning algorithms, such as Random Forest, were more widely applied to image classification tasks. GEE has also been employed in a broad range of applications, such as Land Cover/land Use classification, hydrology, urban planning, natural disaster, climate analyses, and image processing. It was generally observed that the number of GEE publications have significantly increased during the past few years, and it is expected that GEE will be utilized by more users from different fields to resolve their big data processing challenges.
method_relief	sky view factor openness archaeological topography	crossref	Sky-View Factor as a Relief Visualization Technique	2011	Remote Sensing	526		10.3390/rs3020398		en	 Remote sensing has become the most important data source for the digital elevation model (DEM) generation. DEM analyses can be applied in various fields and many of them require appropriate DEM visualization support. Analytical hill-shading is the most frequently used relief visualization technique. Although widely accepted, this method has two major drawbacks: identifying details in deep shades and inability to properly represent linear features lying parallel to the light beam. Several authors have tried to overcome these limitations by changing the position of the light source or by filtering. This paper proposes a new relief visualization technique based on diffuse, rather than direct, illumination. It utilizes the sky-view factor—a parameter corresponding to the portion of visible sky limited by relief. Sky-view factor can be used as a general relief visualization technique to show relief characteristics. In particular, we show that this visualization is a very useful tool in archaeology as it improves the recognition of small scale features from high resolution DEMs. 
method_relief	local relief model visualisation LiDAR archaeology	openalex	Airborne and spaceborne remote sensing for archaeological and cultural heritage applications: A review of the century (1907–2017)	2019	Remote Sensing of Environment	296	yes	10.1016/j.rse.2019.111280	https://ars.els-cdn.com/content/image/1-s2.0-S0034425719302998-ga1_lrg.jpg	en	Archaeological and cultural heritage (ACH), one of the core carriers of cultural diversity on our planet, has a direct bearing on the sustainable development of mankind. Documenting and protecting ACH is the common responsibility and duty of all humanity. It is governed by UNESCO along with the scientific communities that foster and encourage the use of advanced non-invasive techniques and methods for promoting scientific research into ACH and conservation of ACH sites. The use of remote sensing, a non-destructive tool, is increasingly popular by specialists around the world as it allows fast prospecting and mapping at multiple scales, rapid analysis of multisource datasets, and dynamic monitoring of ACH sites and their surrounding environments. The cost of using remote sensing is lower or even zero in practical applications. In this review, in order to discuss the advantages of airborne and spaceborne remote sensing (ASRS), the principles that make passive (photography, multispectral and hyperspectral) and active (synthetic aperture radar (SAR) and light detection and ranging radar (LiDAR)) imaging techniques suitable for ACH applications are first summarized and pointed out; a review of ASRS and the methodologies used over the past century is then presented together with relevant highlights from well-known research projects. Selected case studies from Mediterranean regions to East Asia illustrate how ASRS can be used effectively to investigate and understand archaeological features at multiple -scales and to monitor and assess the conservation status of cultural heritage sites in the context of sustainable development. An in-depth discussion on the limitations of ASRS and associated remaining challenges is presented along with conclusions and a look at future trends.
method_relief	multi-scale relief model MSRM archaeological prospection	crossref	LiDAR‐derived Local Relief Models – a new tool for archaeological prospection	2010	Archaeological Prospection	278		10.1002/arp.374		en	 Abstract  Local relief models (LRM) are proposed as a new tool for archaeological prospection. A data processing approach is presented which produces LRM from LiDAR‐derived high‐resolution digital elevation models (DEMs). The LRM represents local, small‐scale elevation differences after removing the large‐scale landscape forms from the data. The LRM greatly enhances the visibility of small‐scale, shallow topographic features irrespective of the illumination angle and allows their relative elevations as well as their volumes to be measured directly. This makes the LRM an improved basis for spatially extensive archaeological prospection over a wide range of landscapes. The LRM raster map of local positive and negative relief variations can be used for the mapping and prospection of archaeological features such as burial mounds, linear and circular earthworks, sunken roads, agricultural terraces, ridge and furrow fields, kiln podia and mining/quarrying sites. This approach is currently being used in a project aimed at the complete archaeological mapping and prospection of the state Baden‐Württemberg (Germany), covering an area of 35 751 km 2 . The goal of the project is the verification and extension of the existing archaeological data base. An object‐based local relief vector layer is produced as a by‐product; however, due to the common amalgamation of natural and anthropogenic features this cannot be used efficiently for archaeological prospection at present. Copyright © 2010 John Wiley &amp; Sons, Ltd. 
method_relief	sky view factor openness archaeological topography	openalex	Seamless Mapping of River Channels at High Resolution Using Mobile LiDAR and UAV-Photography	2013	Remote Sensing	214	yes	10.3390/rs5126382	https://www.mdpi.com/2072-4292/5/12/6382/pdf?version=1403135100	en	Accurate terrain models are a crucial component of studies of river channel evolution. In this paper we describe a new methodology for creating high-resolution seamless digital terrain models (DTM) of river channels and their floodplains. We combine mobile laser scanning and low-altitude unmanned aerial vehicle (UAV) photography-based methods for creating both a digital bathymetric model of the inundated river channel and a DTM of a point bar of a meandering sub-arctic river. We evaluate mobile laser scanning and UAV-based photogrammetry point clouds against terrestrial laser scanning and combine these data with an optical bathymetric model to create a seamless DTM of two different measurement periods. Using this multi-temporal seamless data, we calculate a DTM of difference that allows a change detection of the meander bend over a one-year period.
method_relief	local relief model visualisation LiDAR archaeology	openalex	Openness as Visualization Technique for Interpretative Mapping of Airborne Lidar Derived Digital Terrain Models	2013	Remote Sensing	211	yes	10.3390/rs5126427	https://www.mdpi.com/2072-4292/5/12/6427/pdf?version=1403135123	en	Openness is proposed as a visualization technique for the archaeological interpretation of digital terrain models derived from airborne laser scanning. In contrast to various shading techniques, openness is not subject to directional bias and relief features highlighted by openness do not contain any horizontal displacement. Additionally, it offers a clear distinction between relief features and the surrounding topography, while it highlights both the highest and lowest parts of features. This makes openness an ideal tool for mapping and outlining of archaeological features. A comparison with sky-view factor and local relief model visualizations helps to evaluate advantages and limits of the technique.
method_relief	sky view factor openness archaeological topography	openalex	Comparison of four UAV georeferencing methods for environmental monitoring purposes focusing on the combined use with airborne and satellite remote sensing platforms	2018	International Journal of Applied Earth Observation and Geoinformation	202	yes	10.1016/j.jag.2018.10.018	https://www.sciencedirect.com/science/article/pii/S0303243418306421/pdf	en	This work is aimed at the environmental remote sensing community that uses UAV optical frame imagery in combination with airborne and satellite data. Taking into account the economic costs involved and the time investment, we evaluated the fit-for-purpose accuracy of four positioning methods of UAV-acquired imagery: 1) direct georeferencing using the onboard raw GNSS (GNSSNAV) data, 2) direct georeferencing using Post-Processed Kinematic single-frequency carrier-phase without in situ ground support (PPK1), 3) direct georeferencing using Post-Processed Kinematic double-frequency carrier-phase GNSS data with in situ ground support (PPK2), and 4) indirect georeferencing using Ground Control Points (GCP). We tested a multispectral sensor and an RGB sensor, onboard multicopter platforms. Orthophotomosaics at <0.05 m spatial resolution were generated with photogrammetric software. The UAV image absolute accuracy was evaluated according to the ASPRS standards, wherein we used a set of GCPs as reference coordinates, which we surveyed with a differential GNSS static receiver. The raw onboard GNSSNAV solution yielded horizontal (radial) accuracies of RMSEr≤1.062 m and vertical accuracies of RMSEz≤4.209 m; PPK1 solution gave decimetric accuracies of RMSEr≤0.256 m and RMSEz≤0.238 m; PPK2 solution, gave centimetric accuracies of RMSEr≤0.036 m and RMSEz≤0.036 m. These results were further improved by using the GCP solution, which yielded accuracies of RMSEr≤0.023 m and RMSEz≤0.030 m. GNSSNAV solution is a fast and low-cost option that is useful for UAV imagery in combination with remote sensing products, such as Sentinel-2 satellite data. PPK1, which can register UAV imagery with remote sensing products up to 0.25 m pixel size, as WorldView-like satellite imagery, airborne lidar or orthoimagery, has a higher economic cost than the GNSSNAV solution. PPK2 is an acceptable option for registering remote sensing products of up to 0.05 m pixel size, as with other UAV images. Moreover, PPK2 can obtain accuracies that are approximate to the usual UAV pixel size (e.g. co-register in multitemporal studies), but it is more expensive than PPK1. Although indirect georeferencing can obtain the highest accuracy, it is nevertheless a time-consuming task, particularly if many GCPs have to be placed. The paper also provides the approximate cost of each solution.
method_relief	local relief model visualisation LiDAR archaeology	openalex	Accuracy assessment of the TanDEM-X 90 Digital Elevation Model for selected floodplain sites	2019	Remote Sensing of Environment	193	yes	10.1016/j.rse.2019.111319	https://ars.els-cdn.com/content/image/1-s2.0-S0034425719303384-ga1_lrg.jpg	en	Freely available Global Digital Elevation Models (GDEMs) are essential for many scientific and humanitarian applications. Recently, TanDEM-X 90 has been released with a global coverage at 3 arc sec resolution. Its release is sure to generate keen interest as it provides an alternative to the widely used Shuttle Radar Topography Mission (SRTM) DEM, especially for flood risk management as for low slope floodplains height errors can become particularly significant. Here, we provide a first accuracy assessment of TanDEM-X 90 for selected floodplain sites and compare it to other popular global DEMs – the Shuttle Radar Topography Mission (SRTM) and the error-reduced version of SRTM called Multi-Error-Removed-Improved-Terrain (MERIT) DEM. We characterize vertical height errors by comparing against high resolution LiDAR DEMs for 32 floodplain locations in 6 continents. Results indicate that the average vertical accuracy of TanDEM-X 90 and MERIT are similar and are both a significant improvement on SRTM. We further our analysis by assessing vertical accuracy by landcover, with our results suggesting that TanDEM-X 90 is the most accurate global DEM in all landcover categories tested except short vegetation and tree-covered areas where MERIT is demonstrably more accurate. Lastly, we present the first characterization of the spatial error structure of any TanDEM-X DEM product, and find the spatial error structure is similar to MERIT, with MERIT generally having lower sill values and larger ranges than TanDEM-X 90 and SRTM. Our findings suggest that TanDEM-X 90 has the potential to become the benchmark global DEM in floodplains with careful removal of errors from vegetation, and at this stage should be used alongside MERIT in any flood risk application.
method_relief	sky view factor openness archaeological topography	openalex	Advancement of Remote Sensing for Soil Measurements and Applications: A Comprehensive Review	2023	Sustainability	182	yes	10.3390/su152115444	https://www.mdpi.com/2071-1050/15/21/15444/pdf?version=1698671076	en	Remote sensing (RS) techniques offer advantages over other methods for measuring soil properties, including large-scale coverage, a non-destructive nature, temporal monitoring, multispectral capabilities, and rapid data acquisition. This review highlights the different detection methods, types, parts, and applications of RS techniques in soil measurements, as well as the advantages and disadvantages of the measurements of soil properties. The choice of the methods depends on the specific requirements of the soil measurements task because it is important to consider the advantages and limitations of each method, as well as the specific context and objective of the soil measurements, to determine the most suitable RS technique. This paper follows a well-structured arrangement after investigating the existing literature to ensure a well-organized, coherent review and covers all the essential aspects related to studying the advancement of using RS in the measurements of soil properties. While several remote sensing methods are available, this review suggests spectral reflectance, which entails satellite remote sensing and other tools based on its global coverage, high spatial resolution, long-term monitoring capabilities, non-invasiveness, and cost effectiveness. Conclusively, RS has improved soil property measurements using various methods, but more research is needed for calibration, sensor fusion, artificial intelligence, validation, and machine learning applications to enhance accuracy and applicability.
method_relief	local relief model visualisation LiDAR archaeology	openalex	Qualitative and quantitative applications of LiDAR imagery in fluvial geomorphology	2008	Earth Surface Processes and Landforms	167	yes	10.1002/esp.1705	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/esp.1705	en	Abstract The potential for geomorphological mapping and quantitative calculations of light detection and ranging (LiDAR) data within fluvial geomorphology was studied for two river catchments within Belgium (Dijle and Amblève), which differ in physical settings and floodplain morphology. Two commercial, of‐the‐shelf LiDAR datasets with different specifications (horizontal resolution and vertical accuracy) were available for parts of the floodplains of both catchments. Real‐time kinematic (RTK) Global Positioning System (GPS) data were used as ground truth for error calculations. Qualitative analysis of LiDAR data allowed the identification of former channel patterns, levees, colluvial hillslope and fan deposits. These results were confirmed by field data, topographic surveys and historical maps. The pixel resolution proved to be an important factor in the identification of small landforms: only features with a width equal to or larger than LiDAR resolution can be detected. This poses limits on the usability of regionally available LiDAR data, which often have a horizontal resolution of several metres. The LiDAR data were also used in a quantitative analysis of channel dynamics. In the study area, the width of the Dijle River channel increased 3 m on average between 1969 and 2003. A sediment budget of channel processes for the period 1969–2003 indicated a total river bank erosion of 16·1 10 3 m 3 and a total within channel deposition of 7·1 10 3 m 3 , resulting in a net river erosion of 9·0 10 3 m 3 or c . 0·4 Mg year −1 per metre river length. Sequential LiDAR data can in theory be used to calculate vertical sedimentation rates, as long as there is control on the error of the reference levels used. Copyright © 2008 John Wiley and Sons, Ltd.
method_relief	sky view factor openness archaeological topography	openalex	Small-Scale Surface Reconstruction and Volume Calculation of Soil Erosion in Complex Moroccan Gully Morphology Using Structure from Motion	2014	Remote Sensing	166	yes	10.3390/rs6087050	https://www.mdpi.com/2072-4292/6/8/7050/pdf?version=1406636768	en	This study presents a computer vision application of the structure from motion (SfM) technique in three dimensional high resolution gully monitoring in southern Morocco. Due to impractical use of terrestrial Light Detection and Ranging (LiDAR) in difficult to access gully systems, the inexpensive SfM is a promising tool for analyzing and monitoring soil loss, gully head retreat and plunge pool development following heavy rain events. Objects with known dimensions were placed around the gully scenes for scaling purposes as a workaround for ground control point (GCP) placement. Additionally, the free scaling with objects was compared to terrestrial laser scanner (TLS) data in a field laboratory in Germany. Results of the latter showed discrepancies of 5.6% in volume difference for erosion and 1.7% for accumulation between SfM and TLS. In the Moroccan research area soil loss varied between 0.58 t in an 18.65 m2 narrowly stretched gully incision and 5.25 t for 17.45 m2 in a widely expanded headcut area following two heavy rain events. Different techniques of data preparation were applied and the advantages of SfM for soil erosion monitoring under complex surface conditions were demonstrated.
method_relief	local relief model visualisation LiDAR archaeology	openalex	Mobile 3D scan LiDAR: a literature review	2021	Geomatics Natural Hazards and Risk	165	yes	10.1080/19475705.2021.1964617	https://www.tandfonline.com/doi/pdf/10.1080/19475705.2021.1964617?needAccess=true	en	This paper, by critically reviewing different years (from 2010 to 2020) of research activities performed with Mobile Laser Scanning system, aims to review existing systems and how they are exploited in multifaceted domains. To such extent, the work defines five field domains where Mobile Laser Scanning have been used: Built and urban environment, Cultural heritage and Archaeology, Underground environment, Environmental monitoring, Forestry and Agriculture. Besides, this paper sheds the light on the pros and cons for each domain field, providing useful guidelines for those researchers involved in three-dimensional data collection with innovative systems. To achieve these purposes, research papers, were analysed, mainly considering geosciences related journals. The comparison among them revealed that, despite the incredible potential of Mobile Mapping System, the human intervention is still mandatory, and post-processing actions are needed to achieve the desired results, regardless the domain field. Moreover, our study provides insight into the technical and methodological limitations that raise a general scepticism on Mobile Mapping System for three-dimensional surveying, highlighting that in most of cases supplementary data are required to make the final result trustworthy. Such obstacles, hampering Mobile Laser Scanning diffusion, point towards unexplored areas for further investigations, serving as useful guidelines for future research directions.
method_relief	sky view factor openness archaeological topography	openalex	Maritime Networks in the Mycenaean World	2013	Cambridge University Press eBooks	163	yes	10.1017/cbo9781139017374	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B7B549ACE5F18FB437DCCFF3B2176F41/9781139017374c5_p139-181_CBO.pdf/coasts_and_harbors_of_the_bronze_age_aegean.pdf	en	In this book, Thomas F. Tartaron presents a new and original reassessment of the maritime world of the Mycenaean Greeks of the Late Bronze Age. By all accounts a seafaring people, they enjoyed maritime connections with peoples as distant as Egypt and Sicily. These long-distance relations have been celebrated and much studied; by contrast, the vibrant worlds of local maritime interaction and exploitation of the sea have been virtually ignored. Dr Tartaron argues that local maritime networks, in the form of 'coastscapes' and 'small worlds', are far more representative of the true fabric of Mycenaean life. He offers a complete template of conceptual and methodological tools for recovering small worlds and the communities that inhabited them. Combining archaeological, geoarchaeological and anthropological approaches with ancient texts and network theory, he demonstrates the application of this scheme in several case studies. This book presents new perspectives and challenges for all archaeologists with interests in maritime connectivity.
method_relief	local relief model visualisation LiDAR archaeology	openalex	Now You See It… Now You Don’t: Understanding Airborne Mapping LiDAR Collection and Data Product Generation for Archaeological Research in Mesoamerica	2014	Remote Sensing	162	yes	10.3390/rs6109951	https://www.mdpi.com/2072-4292/6/10/9951/pdf?version=1413800067	en	In this paper we provide a description of airborne mapping LiDAR, also known as airborne laser scanning (ALS), technology and its workflow from mission planning to final data product generation, with a specific emphasis on archaeological research. ALS observations are highly customizable, and can be tailored to meet specific research needs. Thus it is important for an archaeologist to fully understand the options available during planning, collection and data product generation before commissioning an ALS survey, to ensure the intended research questions can be answered with the resultant data products. Also this knowledge is of great use for the researcher trying to understand the quality and limitations of existing datasets collected for other purposes. Throughout the paper we use examples from archeological ALS projects to illustrate the key concepts of importance for the archaeology researcher.
method_relief	local relief model visualisation LiDAR archaeology	crossref	Application of sky-view factor for the visualisation of historic landscape features in lidar-derived relief models	2011	Antiquity	161		10.1017/s0003598x00067594		en	 Aerial mapping and remote sensing takes another step forward with this method of modelling lidar data. The usual form of presentation, hill shade, uses a point source to show up surface features. Sky-view factor simulates diffuse light by computing how much of the sky is visible from each point. The result is a greatly improved visibility — as shown here by its use on a test site of known topography in Slovenia. 
method_relief	local relief model visualisation LiDAR archaeology	crossref	Visualisation of LiDAR terrain models for archaeological feature detection	2008	Antiquity	159		10.1017/s0003598x00096952		en	 LiDAR is developing into a formidable instrument of aerial survey. Here the author shows how the LiDAR picture can be enhanced so that features picked up by illumination from different directions can be combined in one comprehensive survey. 
method_relief	local relief model visualisation LiDAR archaeology	openalex	Learning to Look at LiDAR: The Use of R-CNN in the Automated Detection of Archaeological Objects in LiDAR Data from the Netherlands	2019	Journal of Computer Applications in Archaeology	133	yes	10.5334/jcaa.32	http://journal.caa-international.org/articles/10.5334/jcaa.32/galley/24/download/	en	Computer-aided methods for the automatic detection of archaeological objects are needed to cope with the ever-growing set of largely digital and easily available remotely sensed data. In this paper, a promising new technique for the automated detection of multiple classes of archaeological objects in LiDAR data is presented. This technique is based on R-CNNs (Regions-based Convolutional Neural Networks). Unlike normal CNNs, which classify the entire input image, R-CNNs address the problem of object detection, which requires correctly localising and classifying (multiple) objects within a larger image. We have incorporated this technique into a workflow, which enables the preprocessing of LiDAR data into the required data format and the conversion of the results of the object detection into geographical data, usable in a GIS environment. The proposed technique has been trained and tested on LiDAR data gathered from the central part of the Netherlands. This area contains a multitude of archaeological objects, including prehistoric barrows and Celtic fields. The initial experiments show that we are able to automatically detect and categorise these two types of archaeological objects and thus proof the added value of this technique.
method_relief	local relief model visualisation LiDAR archaeology	openalex	Integrating Remote Sensing, Machine Learning, and Citizen Science in Dutch Archaeological Prospection	2019	Remote Sensing	130	yes	10.3390/rs11070794	https://www.mdpi.com/2072-4292/11/7/794/pdf?version=1554349755	en	Although the history of automated archaeological object detection in remotely sensed data is short, progress and emerging trends are evident. Among them, the shift from rule-based approaches towards machine learning methods is, at the moment, the cause for high expectations, even though basic problems, such as the lack of suitable archaeological training data are only beginning to be addressed. In a case study in the central Netherlands, we are currently developing novel methods for multi-class archaeological object detection in LiDAR data based on convolutional neural networks (CNNs). This research is embedded in a long-term investigation of the prehistoric landscape of our study region. We here present an innovative integrated workflow that combines machine learning approaches to automated object detection in remotely sensed data with a two-tier citizen science project that allows us to generate and validate detections of hitherto unknown archaeological objects, thereby contributing to the creation of reliable, labeled archaeological training datasets. We motivate our methodological choices in the light of current trends in archaeological prospection, remote sensing, machine learning, and citizen science, and present the first results of the implementation of the workflow in our research area.
method_relief	sky view factor openness archaeological topography	openalex	Caracol, Belize, and Changing Perceptions of Ancient Maya Society	2016	Journal of Archaeological Research	120	yes	10.1007/s10814-016-9101-z	https://link.springer.com/content/pdf/10.1007/s10814-016-9101-z.pdf	en	Archaeological research at Caracol, an ancient Maya site that was rediscovered in 1937, has become a major resource in the interpretation and understanding of the ancient Maya. Caracol, in west-central Belize, is situated in a subtropical region once characterized as being unsuitable for the development or maintenance of complex societies, yet it is one of the largest, if not the largest Classic period Maya site in the southern Maya Lowlands, home to over 100,000 people at its height between AD 600 and 700. The investigations at Caracol underscore the utility of long-term archaeological projects incorporating large-scale settlement study that combine excavation with varied research designs and the use of a contextual approach. By employing Maya epigraphic history, traditional archaeology, and modern technology like LiDAR, research at Caracol details the rise, maintenance, and fall of an ancient Maya city, affording a large window into ancient Maya lifeways. Archaeological work provides evidence of sustainable agriculture, a market economy, city planning that included a road system, the impact of warfare on the site’s inhabitants, the sociopolitical status of women, the role that archaeology can play in refining written history, and the significance of commemorating the cyclical passage of time to the ancient Maya. This article summarizes archaeological research efforts at the site by the Caracol Archaeological Project over the last three decades.
method_relief	local relief model visualisation LiDAR archaeology	openalex	Photogrammetry as a New Scientific Tool in Archaeology: Worldwide Research Trends	2021	Sustainability	115	yes	10.3390/su13095319	https://www.mdpi.com/2071-1050/13/9/5319/pdf?version=1620732643	en	Archaeology has made significant advances in the last 20 years. This can be seen by the remarkable increase in specialised literature on all archaeology-related disciplines. These advances have made it a science with links to many other sciences, both in the field of experimental sciences and in the use of techniques from other disciplines such as engineering. Within this last issue it is important to highlight the great advance that the use of photogrammetry has brought for archaeology. In this research, through a systematic study with bibliometric techniques, the main institutions and countries that are carrying them out and the main interests of the scientific community in archaeology related to photogrammetry have been identified. The main increase in this field has been observed since 2010, especially the contribution of UAVs that have reduced the cost of photogrammetric flights for reduced areas. The main lines of research in photogrammetry applied to archaeology are close-range photogrammetry, aerial photogrammetry (UAV), cultural heritage, excavation, cameras, GPS, laser scan, and virtual reconstruction including 3D printing.
method_relief	sky view factor openness archaeological topography	openalex	Architecture and sound: an acoustic analysis of megalithic monuments in prehistoric Britain	1999	Antiquity	114	yes	10.1017/s0003598x00088281	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F37AF50641B26AC288BA756A1C12EA33/S0003598X00088281a.pdf/div-class-title-architecture-and-sound-an-acoustic-analysis-of-megalithic-monuments-in-prehistoric-britain-div.pdf	en	Prehistoric monuments in Britain are often dominant features in the landscape, and archaeological theory has tended to consider the visual and spatial influences of their architecture upon peoples' movement and perception. The articulation of sound within these structures has not been widely discussed, despite evidence which suggests that many monuments provided settings for gatherings of people. This possibility was explored at two contrasting sites in Scotland, a recumbent stone circle and a passage-grave, revealing that the elemental acoustic properties inherent in each may have literally orchestrated encounters with the stones.
