theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
spectral	hyperspectral imagery archaeological crop marks	openalex	Unmanned aerial systems for photogrammetry and remote sensing: A review	2014	ISPRS Journal of Photogrammetry and Remote Sensing	2928	yes	10.1016/j.isprsjprs.2014.02.013	https://www.sciencedirect.com/science/article/pii/S0924271614000501/pdf	en	We discuss the evolution and state-of-the-art of the use of Unmanned Aerial Systems (UAS) in the field of Photogrammetry and Remote Sensing (PaRS). UAS, Remotely-Piloted Aerial Systems, Unmanned Aerial Vehicles or simply, drones are a hot topic comprising a diverse array of aspects including technology, privacy rights, safety and regulations, and even war and peace. Modern photogrammetry and remote sensing identified the potential of UAS-sourced imagery more than thirty years ago. In the last five years, these two sister disciplines have developed technology and methods that challenge the current aeronautical regulatory framework and their own traditional acquisition and processing methods. Navety and ingenuity have combined off-the-shelf, low-cost equipment with sophisticated computer vision, robotics and geomatic engineering. The results are cm-level resolution and accuracy products that can be generated even with cameras costing a few-hundred euros. In this review article, following a brief historic background and regulatory status analysis, we review the recent unmanned aircraft, sensing, navigation, orientation and general data processing developments for UAS photogrammetry and remote sensing with emphasis on the nano-micro-mini UAS segment.
spectral	hyperspectral imagery archaeological crop marks	openalex	Hyperspectral Imaging: A Review on UAV-Based Sensors, Data Processing and Applications for Agriculture and Forestry	2017	Remote Sensing	1282	yes	10.3390/rs9111110	https://www.mdpi.com/2072-4292/9/11/1110/pdf?version=1509505848	en	Traditional imagery—provided, for example, by RGB and/or NIR sensors—has proven to be useful in many agroforestry applications. However, it lacks the spectral range and precision to profile materials and organisms that only hyperspectral sensors can provide. This kind of high-resolution spectroscopy was firstly used in satellites and later in manned aircraft, which are significantly expensive platforms and extremely restrictive due to availability limitations and/or complex logistics. More recently, UAS have emerged as a very popular and cost-effective remote sensing technology, composed of aerial platforms capable of carrying small-sized and lightweight sensors. Meanwhile, hyperspectral technology developments have been consistently resulting in smaller and lighter sensors that can currently be integrated in UAS for either scientific or commercial purposes. The hyperspectral sensors’ ability for measuring hundreds of bands raises complexity when considering the sheer quantity of acquired data, whose usefulness depends on both calibration and corrective tasks occurring in pre- and post-flight stages. Further steps regarding hyperspectral data processing must be performed towards the retrieval of relevant information, which provides the true benefits for assertive interventions in agricultural crops and forested areas. Considering the aforementioned topics and the goal of providing a global view focused on hyperspectral-based remote sensing supported by UAV platforms, a survey including hyperspectral sensors, inherent data processing and applications focusing both on agriculture and forestry—wherein the combination of UAV and hyperspectral sensors plays a center role—is presented in this paper. Firstly, the advantages of hyperspectral data over RGB imagery and multispectral data are highlighted. Then, hyperspectral acquisition devices are addressed, including sensor types, acquisition modes and UAV-compatible sensors that can be used for both research and commercial purposes. Pre-flight operations and post-flight pre-processing are pointed out as necessary to ensure the usefulness of hyperspectral data for further processing towards the retrieval of conclusive information. With the goal of simplifying hyperspectral data processing—by isolating the common user from the processes’ mathematical complexity—several available toolboxes that allow a direct access to level-one hyperspectral data are presented. Moreover, research works focusing the symbiosis between UAV-hyperspectral for agriculture and forestry applications are reviewed, just before the paper’s conclusions.
spectral	hyperspectral imagery archaeological crop marks	openalex	lidR: An R package for analysis of Airborne Laser Scanning (ALS) data	2020	Remote Sensing of Environment	989	yes	10.1016/j.rse.2020.112061	https://www.sciencedirect.com/science/article/pii/S0034425720304314/pdf	en	Airborne laser scanning (ALS) is a remote sensing technology known for its applicability in natural resources management. By quantifying the three-dimensional structure of vegetation and underlying terrain using laser technology, ALS has been used extensively for enhancing geospatial knowledge in the fields of forestry and ecology. Structural descriptions of vegetation provide a means of estimating a range of ecologically pertinent attributes, such as height, volume, and above-ground biomass. The efficient processing of large, often technically complex datasets requires dedicated algorithms and software. The continued promise of ALS as a tool for improving ecological understanding is often dependent on user-created tools, methods, and approaches. Due to the proliferation of ALS among academic, governmental, and private-sector communities, paired with requirements to address a growing demand for open and accessible data, the ALS community is recognising the importance of free and open-source software (FOSS) and the importance of user-defined workflows. Herein, we describe the philosophy behind the development of the lidR package. Implemented in the R environment with a C/C++ backend, lidR is free, open-source and cross-platform software created to enable simple and creative processing workflows for forestry and ecology communities using ALS data. We review current algorithms used by the research community, and in doing so raise awareness of current successes and challenges associated with parameterisation and common implementation approaches. Through a detailed description of the package, we address the key considerations and the design philosophy that enables users to implement user-defined tools. We also discuss algorithm choices that make the package representative of the ‘state-of-the-art’ and we highlight some internal limitations through examples of processing time discrepancies. We conclude that the development of applications like lidR are of fundamental importance for developing transparent, flexible and open ALS tools to ensure not only reproducible workflows, but also to offer researchers the creative space required for the progress and development of the discipline.
spectral	hyperspectral imagery archaeological crop marks	openalex	Airborne and spaceborne remote sensing for archaeological and cultural heritage applications: A review of the century (1907–2017)	2019	Remote Sensing of Environment	296	yes	10.1016/j.rse.2019.111280	https://ars.els-cdn.com/content/image/1-s2.0-S0034425719302998-ga1_lrg.jpg	en	Archaeological and cultural heritage (ACH), one of the core carriers of cultural diversity on our planet, has a direct bearing on the sustainable development of mankind. Documenting and protecting ACH is the common responsibility and duty of all humanity. It is governed by UNESCO along with the scientific communities that foster and encourage the use of advanced non-invasive techniques and methods for promoting scientific research into ACH and conservation of ACH sites. The use of remote sensing, a non-destructive tool, is increasingly popular by specialists around the world as it allows fast prospecting and mapping at multiple scales, rapid analysis of multisource datasets, and dynamic monitoring of ACH sites and their surrounding environments. The cost of using remote sensing is lower or even zero in practical applications. In this review, in order to discuss the advantages of airborne and spaceborne remote sensing (ASRS), the principles that make passive (photography, multispectral and hyperspectral) and active (synthetic aperture radar (SAR) and light detection and ranging radar (LiDAR)) imaging techniques suitable for ACH applications are first summarized and pointed out; a review of ASRS and the methodologies used over the past century is then presented together with relevant highlights from well-known research projects. Selected case studies from Mediterranean regions to East Asia illustrate how ASRS can be used effectively to investigate and understand archaeological features at multiple -scales and to monitor and assess the conservation status of cultural heritage sites in the context of sustainable development. An in-depth discussion on the limitations of ASRS and associated remaining challenges is presented along with conclusions and a look at future trends.
spectral	soil marks spectral signature buried archaeological remains	openalex	Late Holocene climate: Natural or anthropogenic?	2015	Reviews of Geophysics	237	yes	10.1002/2015rg000503	https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2015RG000503	en	Abstract For more than a decade, scientists have argued about the warmth of the current interglaciation. Was the warmth of the preindustrial late Holocene natural in origin, the result of orbital changes that had not yet driven the system into a new glacial state? Or was it in considerable degree the result of humans intervening in the climate system through greenhouse gas emissions from early agriculture? Here we summarize new evidence that moves this debate forward by testing both hypotheses. By comparing late Holocene responses to those that occurred during previous interglaciations (in section 2), we assess whether the late Holocene responses look different (and thus anthropogenic) or similar (and thus natural). This comparison reveals anomalous (anthropogenic) signals. In section 3, we review paleoecological and archaeological syntheses that provide ground truth evidence on early anthropogenic releases of greenhouse gases. The available data document large early anthropogenic emissions consistent with the anthropogenic ice core anomalies, but more information is needed to constrain their size. A final section compares natural and anthropogenic interpretations of the δ 13 C trend in ice core CO 2 .
spectral	cropmark detection satellite multitemporal archaeology	crossref	Satellite Remote Sensing for Archaeology	2009		235		10.4324/9780203881460		en	
spectral	cropmark detection satellite multitemporal archaeology	openalex	Geoinformatics for the conservation and promotion of cultural heritage in support of the UN Sustainable Development Goals	2018	ISPRS Journal of Photogrammetry and Remote Sensing	221	yes	10.1016/j.isprsjprs.2018.01.001	https://doi.org/10.1016/j.isprsjprs.2018.01.001	en	Cultural Heritage (CH) is recognised as being of historical, social, and anthropological value and is considered as an enabler of sustainable development . As a result, it is included in the United Nations’ Sustainable Development Goals (SDGs) 11 and 8. SDG 11.4 emphasises the protection and safeguarding of heritage, and SDG 8.9 aims to promote sustainable tourism that creates jobs and promotes local culture and products. This paper briefly reviews the geoinformatics technologies of photogrammetry, remote sensing , and spatial information science and their application to CH. Detailed aspects of CH-related SDGs, comprising protection and safeguarding, as well as the promotion of sustainable tourism are outlined. Contributions of geoinformatics technologies to each of these aspects are then identified and analysed. Case studies in both developing and developed countries, supported by funding directed at the UN SDGs, are presented to illustrate the challenges and opportunities of geoinformatics to enhance CH protection and to promote sustainable tourism. The potential and impact of geoinformatics for the measurement of official SDG indicators, as well as UNESCO’s Culture for Development Indicators, are discussed. Based on analysis of the review and the presented case studies, it is concluded that the contribution of geoinformatics to the achievement of CH SDGs is necessary, significant and evident. Moreover, following the UNESCO initiative to introduce CH into the sustainable development agenda and related ICOMOS action plan, the concept of Sustainable Cultural Heritage is defined, reflecting the significance of CH to the United Nations’ ambition to “transform our world”.
spectral	hyperspectral imagery archaeological crop marks	crossref	Detection of archaeological crop marks by using satellite QuickBird multispectral imagery	2007	Journal of Archaeological Science	188		10.1016/j.jas.2006.04.014		en	
spectral	hyperspectral imagery archaeological crop marks	openalex	Evaluation of Broadband and Narrowband Vegetation Indices for the Identification of Archaeological Crop Marks	2012	Remote Sensing	156	yes	10.3390/rs4123892	https://www.mdpi.com/2072-4292/4/12/3892/pdf?version=1403131297	en	Several studies in the past have examined the spectral capability of multispectral and hyperspectral imagery for the identification of crop marks, while recent studies have applied different vegetation indices in order to support remote sensing archaeological applications. However, the use of vegetation indices for the detection of crop marks lacks in accuracy assessment and critical evaluation. In this study, 71 vegetation indices were indexed, from the relevant bibliography, and evaluated for their potential to detect such crop marks. During this study, several ground spectroradiometric campaigns took place, in a controlled archaeological environment in Cyprus, cultivated with barley crops, during a complete phenological cycle (2011–2012). All vegetation indices, both broadband and narrowband, were evaluated for their separability performance, and the results were presented through tables and diagrams. In the end, the use of more than one vegetation index is suggested in order to enhance the final results. In fact, several not widely used vegetation indices are suggested and evaluated using both Landsat TM and EO-1 Hyperion images.
spectral	hyperspectral imagery archaeological crop marks	openalex	Collective Sensing: Integrating Geospatial Technologies to Understand Urban Systems—An Overview	2011	Remote Sensing	139	yes	10.3390/rs3081743	https://www.mdpi.com/2072-4292/3/8/1743/pdf?version=1403129316	en	Cities are complex systems composed of numerous interacting components that evolve over multiple spatio-temporal scales. Consequently, no single data source is sufficient to satisfy the information needs required to map, monitor, model, and ultimately understand and manage our interaction within such urban systems. Remote sensing technology provides a key data source for mapping such environments, but is not sufficient for fully understanding them. In this article we provide a condensed urban perspective of critical geospatial technologies and techniques: (i) Remote Sensing; (ii) Geographic Information Systems; (iii) object-based image analysis; and (iv) sensor webs, and recommend a holistic integration of these technologies within the language of open geospatial consortium (OGC) standards in-order to more fully understand urban systems. We then discuss the potential of this integration and conclude that this extends the monitoring and mapping options beyond “hard infrastructure” by addressing “humans as sensors”, mobility and human-environment interactions, and future improvements to quality of life and of social infrastructures.
