bank_id	review_seed_id	control_set_id	review_role	country	province_or_district	municipality	name	typology	morphology_proxy	negative_type	review_priority	auto_review_status	auto_decision	training_use	proposed_radius_m	source	source_record_id	source_code
pos-es-pba-12763	review-pos-0003	control-v1-0041	positive	ES	A Coruña	Malpica de Bergantiños	Castro de Entretorres/Castro de Punta Galeana	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	12763	GA15043008
pos-es-pba-17047	review-pos-0004	control-v1-0025	positive	ES	A Coruña	A Pobra do Caramiñal	A Croa do Castro/A Croa de Posmarcos		coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	17047	GA15067001
pos-es-pba-11227	review-pos-0007	control-v1-0063	positive	ES	A Coruña	A Laracha	Castro de Refoxo/Castro de Cerqueira		earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	130.0	Xunta PBA Catálogo. Elementos (xuño 2026)	11227	GA15041014
pos-es-pba-25736	review-pos-0012	control-v1-0001	positive	ES	A Coruña	Vimianzo	Igrexa Vella (Citania de Vilaseco)/Castro de Lavandeira		large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	Xunta PBA Catálogo. Elementos (xuño 2026)	25736	GA15092020
pos-es-pba-30753	review-pos-0017	control-v1-0051	positive	ES	Lugo	A Fonsagrada	Castro de Marful	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	30753	GA27018159
pos-es-pba-38499	review-pos-0018		positive	ES	Lugo	A Pobra do Brollón	Igrexa de Castrosante (Parroquial de Santa Mariña)	Igrexa	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	38499	-
pos-es-pba-29296	review-pos-0021	control-v1-0071	positive	ES	Lugo	Chantada	Os Castros	Asentamento fortificado/defensivo	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	130.0	Xunta PBA Catálogo. Elementos (xuño 2026)	29296	GA27016047
pos-es-pba-41533	review-pos-0026	control-v1-0002	positive	ES	Lugo	Sober	Castro da Cividade	Castro	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	Xunta PBA Catálogo. Elementos (xuño 2026)	41533	GA27059047
pos-es-pba-56699	review-pos-0030		positive	ES	Ourense	Rubiá	Castro de Villabarbás	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	56699	GA32073009
pos-es-pba-53029	review-pos-0031		positive	ES	Ourense	A Merca	Castro do Outeiro de San Marcos		coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	53029	GA32047003
pos-es-pba-45973	review-pos-0034	control-v1-0074	positive	ES	Ourense	Boborás	Castro de Meimón	Asentamento fortificado/defensivo	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	130.0	Xunta PBA Catálogo. Elementos (xuño 2026)	45973	GA32013050
pos-es-pba-52266	review-pos-0039	control-v1-0003	positive	ES	Ourense	Monterrei	Castelo das Chás/Citania das Laxes das Chás/A Cerca/Castro de Lobarz n		large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	Xunta PBA Catálogo. Elementos (xuño 2026)	52266	GA32053009
pos-es-pba-64688	review-pos-0044		positive	ES	Pontevedra	A Estrada	Castro de Guimarei/O Castro	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	64688	GA36017023
pos-es-pba-66169	review-pos-0045		positive	ES	Pontevedra	Agolada	Mámoa do Coto Pequeno do Castro 1/Monte Marcelín	Túmulo	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	66169	GA36020004
pos-es-pba-73573	review-pos-0048	control-v1-0076	positive	ES	Pontevedra	Valga	Castroverde/O Foxo/Camiño Real	Topónimo	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	130.0	Xunta PBA Catálogo. Elementos (xuño 2026)	73573	TO36056003
pos-es-pba-67838	review-pos-0054	control-v1-0004	positive	ES	Pontevedra	Mos	Castro da Cividade/A Cidá	Castro	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	Xunta PBA Catálogo. Elementos (xuño 2026)	67838	GA36033020
pos-pt-dgpc-106909	review-pos-0057		positive	PT	Braga	Guimarães	Picoto de Santo Amaro/Castro de Santo Amaro	Vestígios Diversos	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	106909	4735
pos-pt-dgpc-109754	review-pos-0058	control-v1-0077	positive	PT	Braga	Amares	Besteiros/ Castro do Gerês	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	109754	36154
pos-pt-dgpc-107359	review-pos-0061	control-v1-0006	positive	PT	Braga	Barcelos	Monte da Saia / Cidade da Citânia / Monte de Fralães	Povoado Fortificado	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	107359	298
pos-pt-dgpc-108606	review-pos-0062		positive	PT	Bragança	Bragança	Miliário 1 de Castro de Avelãs	Marco Miliário	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	108606	17471
pos-pt-dgpc-106410	review-pos-0063	control-v1-0088	positive	PT	Bragança	Alfândega da Fé	Castro de Santa Justa	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	106410	11434
pos-pt-dgpc-106237	review-pos-0066		positive	PT	Porto	Amarante	Castro de Santa Marinha	Povoado Fortificado	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	106237	36370
pos-pt-dgpc-105058	review-pos-0067	control-v1-0096	positive	PT	Porto	Amarante	Castro de Paredes	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	105058	20926
pos-pt-dgpc-106425	review-pos-0070	control-v1-0013	positive	PT	Porto	Paços de Ferreira	Citânia de Sanfins	Povoado Fortificado	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	106425	6
pos-pt-dgpc-108229	review-pos-0071		positive	PT	Viana do Castelo	Paredes de Coura	Cividade de Romarigães ou Coto de Ouro	Povoado Fortificado	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	108229	1698
pos-pt-dgpc-108486	review-pos-0072		positive	PT	Viana do Castelo	Arcos de Valdevez	Castro de Cabreiro	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	108486	2261
pos-pt-dgpc-108405	review-pos-0075	control-v1-0016	positive	PT	Viana do Castelo	Paredes de Coura	Cividade de Cossourado	Povoado Fortificado	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	108405	3628
pos-pt-dgpc-106913	review-pos-0077		positive	PT	Vila Real	Alijó	Castro do Pópulo/Castelo de São Marcos	Povoado Fortificado	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	106913	2646
pos-pt-dgpc-104946	review-pos-0078		positive	PT	Vila Real	Alijó	Castro do Piolho/Castelo dos Mouros	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	104946	3126
pos-pt-dgpc-109702	review-pos-0081	control-v1-0019	positive	PT	Vila Real	Valpaços	Castro de Vilanova/Alto da Cividade	Povoado Fortificado	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	109702	4152
pos-es-pba-14227	review-pos-0083	control-v1-0045	positive	ES	A Coruña	Negreira	Castro de Guimaráns/Alto dos Castros	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	14227	GA15007048
pos-es-pba-687	review-pos-0084	control-v1-0026	positive	ES	A Coruña	Ames	Castro da ermida de San Marcos		coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	687	GA15002059
pos-es-pba-112	review-pos-0087	control-v1-0064	positive	ES	A Coruña	Abegondo	Castro Grande de Alcaiana	Asentamento fortificado/defensivo	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	130.0	Xunta PBA Catálogo. Elementos (xuño 2026)	112	GA15001013
pos-es-pba-30757	review-pos-0095		positive	ES	Lugo	A Fonsagrada	Castro de San Martiño de Robledo/Cerro do Castro	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	30757	GA27018059
pos-es-pba-26880	review-pos-0096		positive	ES	Lugo	Antas de Ulla	Igrexa de Santa Mariña do Castro (Parroquial de Sata Mariña)	Igrexa	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	26880	-
pos-es-pba-35343	review-pos-0099	control-v1-0072	positive	ES	Lugo	Monterroso	Castro da Cotela	Asentamento fortificado/defensivo	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	130.0	Xunta PBA Catálogo. Elementos (xuño 2026)	35343	GA27032039
pos-es-pba-58242	review-pos-0107		positive	ES	Ourense	San Cibrao das Viñas	Castro Costa dos Mouros	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	58242	GA32075013
pos-es-pba-57680	review-pos-0108		positive	ES	Ourense	A Veiga	Casa grande en Castromarigo		coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	57680	-
pos-es-pba-56643	review-pos-0110	control-v1-0075	positive	ES	Ourense	Riós	As Cabarquellas. Os Mouros. O Castro. As Murallas		earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	130.0	Xunta PBA Catálogo. Elementos (xuño 2026)	56643	GA32071014
pos-es-pba-64693	review-pos-0119		positive	ES	Pontevedra	A Estrada	Castro de San Martiño/Castro de Trasmonte	Castro	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	64693	GA36017010
pos-es-pba-66170	review-pos-0120		positive	ES	Pontevedra	Agolada	Mámoa do Coto Pequeno do Castro 2/Monte Marcelín	Túmulo	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	Xunta PBA Catálogo. Elementos (xuño 2026)	66170	GA36020146
pos-es-pba-69291	review-pos-0127	control-v1-0005	positive	ES	Pontevedra	Oia	Castro de Cividade/Castro de Viladesuso	Castro	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	Xunta PBA Catálogo. Elementos (xuño 2026)	69291	GA36036009
pos-pt-dgpc-109327	review-pos-0130		positive	PT	Braga	Vila Verde	Bouça do Castro	Marco Miliário	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	109327	31940
pos-pt-dgpc-109954	review-pos-0131		positive	PT	Braga	Amares	Castelo do Espinho/ Castro de São Pedro Fins	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	109954	36236
pos-pt-dgpc-107516	review-pos-0134	control-v1-0007	positive	PT	Braga	Braga	Braga - Cividade	Povoado Fortificado	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	107516	2730
pos-pt-dgpc-108607	review-pos-0135		positive	PT	Bragança	Bragança	Miliário 2 de Castro de Avelãs	Marco Miliário	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	108607	17472
pos-pt-dgpc-108740	review-pos-0136	control-v1-0089	positive	PT	Bragança	Bragança	Caracuto do Castro	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	108740	17588
pos-pt-dgpc-106651	review-pos-0139		positive	PT	Porto	Santo Tirso	Castro de Santa Margarida	Povoado Fortificado	coastal_promontory_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	150.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	106651	3527
pos-pt-dgpc-106333	review-pos-0140		positive	PT	Porto	Amarante	Castro de Vila Garcia/ Castro de Ponte Nova	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	106333	3566
pos-pt-dgpc-106725	review-pos-0143	control-v1-0014	positive	PT	Porto	Póvoa do Varzim	Cividade de Terroso	Povoado Fortificado	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	106725	27
pos-pt-dgpc-108253	review-pos-0144		positive	PT	Viana do Castelo	Arcos de Valdevez	Castro de Reboreda	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	108253	4941
pos-pt-dgpc-109676	review-pos-0147	control-v1-0017	positive	PT	Viana do Castelo	Viana do Castelo	Citânia de Santa Luzia	Povoado Fortificado	large_castrexo_civitas_hint		P0	auto_seeded_requires_visual_verification	selected_for_control_set_v1	exclude_until_visual_raster_verification	180.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	109676	243
pos-pt-dgpc-105184	review-pos-0148		positive	PT	Vila Real	Alijó	Castro do Vilarelho	Povoado Fortificado	earthwork_or_wall_hint		P0	auto_seeded_requires_visual_verification	provisional_geometry_created	exclude_until_visual_raster_verification	130.0	DGPC Portal do Arqueólogo Sitios_Arqueologicos	105184	3104
