thumbnail_id	control_set_id	bank_id	review_role	country	name	wms_source	wms_base	wms_layer	bbox_epsg4326	width_px	height_px	thumbnail_path	status	bytes	error
thumb-v1-0001	control-v1-0001	pos-es-pba-25736	positive	ES	Igrexa Vella (Citania de Vilaseco)/Castro de Lavandeira	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-9.06208364,43.05867426,-9.05578857,43.06327362	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0001-pos-es-pba-25736.png	exists	648559	
thumb-v1-0002	control-v1-0002	pos-es-pba-41533	positive	ES	Castro da Cividade	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.61721807,42.38888794,-7.61099060,42.39348730	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0002-pos-es-pba-41533.png	exists	696979	
thumb-v1-0003	control-v1-0003	pos-es-pba-52266	positive	ES	Castelo das Chás/Citania das Laxes das Chás/A Cerca/Castro de Lobarz n	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-7.49626032,41.91458584,-7.49007934,41.91918519	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0003-pos-es-pba-52266.png	exists	679056	
thumb-v1-0004	control-v1-0004	pos-es-pba-67838	positive	ES	Castro da Cividade/A Cidá	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.60324076,42.22064005,-8.59702991,42.22523940	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0004-pos-es-pba-67838.png	exists	686082	
thumb-v1-0005	control-v1-0005	pos-es-pba-69291	positive	ES	Castro de Cividade/Castro de Viladesuso	ign_pnoa_rgb	https://www.ign.es/wms-inspire/pnoa-ma	OI.OrthoimageCoverage	-8.87324710,42.03274512,-8.86705465,42.03734447	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0005-pos-es-pba-69291.png	exists	653261	
thumb-v1-0006	control-v1-0006	pos-pt-dgpc-107359	positive	PT	Monte da Saia / Cidade da Citânia / Monte de Fralães	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.58763691,41.45377143,-8.58150005,41.45837079	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0006-pos-pt-dgpc-107359.png	exists	253996	
thumb-v1-0007	control-v1-0007	pos-pt-dgpc-107516	positive	PT	Braga - Cividade	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.43282051,41.54314235,-8.42667518,41.54774171	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0007-pos-pt-dgpc-107516.png	exists	233016	
thumb-v1-0008	control-v1-0008	pos-pt-dgpc-107461	positive	PT	Outeiro dos Moiros / Cividade de Chacim	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-7.96004772,41.53258838,-7.95390339,41.53718773	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0008-pos-pt-dgpc-107461.png	exists	248860	
thumb-v1-0009	control-v1-0009	pos-pt-dgpc-107784	positive	PT	Cividade de Belinho/Cidade de Belinho	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.77994916,41.59745223,-8.77379865,41.60205158	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0009-pos-pt-dgpc-107784.png	exists	230399	
thumb-v1-0010	control-v1-0010	pos-pt-dgpc-107424	positive	PT	Citânia de Briteiros	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.31891384,41.52537308,-8.31277019,41.52997244	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0010-pos-pt-dgpc-107424.png	exists	250791	
thumb-v1-0011	control-v1-0011	pos-pt-dgpc-107222	positive	PT	Cividade	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.42936348,41.44230954,-8.42322770,41.44690889	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0011-pos-pt-dgpc-107222.png	exists	231589	
thumb-v1-0012	control-v1-0012	pos-pt-dgpc-109406	positive	PT	Citânia de São Julião de Caldelas	dgt_ortos2021_rgb	https://cartografia.dgterritorio.gov.pt/wms/ortos2021	Ortos2021-RGB	-8.39664518,41.68671724,-8.39048614,41.69131659	384	384	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0012-pos-pt-dgpc-109406.png	exists	246839	
