thumbnail_id	control_set_id	bank_id	review_role	country	name	morphology_proxy	negative_type	proposed_radius_m	thumbnail_status	image_path	image_width_px	image_height_px	gray_mean	gray_std	gray_entropy	black_fraction	white_fraction	edge_global_mean	edge_inner_mean	edge_annulus_mean	edge_outer_mean	edge_annulus_to_outer_ratio	edge_annulus_to_inner_ratio	texture_annulus_std	texture_outer_std	texture_annulus_to_outer_ratio	luminance_inner_mean	luminance_outer_mean	luminance_delta_inner_outer	ring_sector_coverage	ring_sector_balance	radial_peak_rank	radial_peak_count	ring_signal_score	ring_signal_tier	metric_eval_use	autonomous_visual_decision	training_use	status	error
thumb-v1-0001	control-v1-0001	pos-es-pba-25736	positive	ES	Igrexa Vella (Citania de Vilaseco)/Castro de Lavandeira	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0001-pos-es-pba-25736.png	512	512	0.345173	0.103923	4.642887	0.000000	0.000000	0.322792	0.315454	0.325598	0.315451	1.032167	1.032157	0.090209	0.120337	0.749635	0.303798	0.378331	-0.074533	0.083333	0.906190	5	13	28.03	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0002	control-v1-0002	pos-es-pba-41533	positive	ES	Castro da Cividade	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0002-pos-es-pba-41533.png	512	512	0.429045	0.141362	5.160318	0.000000	0.000000	0.418881	0.450897	0.397135	0.423889	0.936886	0.880767	0.132374	0.144886	0.913645	0.381847	0.443127	-0.061280	0.027778	0.896537	13	13	10.55	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0003	control-v1-0003	pos-es-pba-52266	positive	ES	Castelo das Chás/Citania das Laxes das Chás/A Cerca/Castro de Lobarz n	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0003-pos-es-pba-52266.png	512	512	0.359595	0.120322	4.948325	0.000000	0.000000	0.384888	0.386948	0.354697	0.346619	1.023307	0.916653	0.106236	0.114387	0.928744	0.332226	0.353412	-0.021187	0.416667	0.783722	9	13	24.82	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0004	control-v1-0004	pos-es-pba-67838	positive	ES	Castro da Cividade/A Cidá	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0004-pos-es-pba-67838.png	512	512	0.389488	0.148559	5.139915	0.000004	0.000000	0.283406	0.264755	0.258432	0.295042	0.875916	0.976119	0.138686	0.155483	0.891967	0.278489	0.427828	-0.149339	0.277778	0.802169	7	13	17.02	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0005	control-v1-0005	pos-es-pba-69291	positive	ES	Castro de Cividade/Castro de Viladesuso	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0005-pos-es-pba-69291.png	512	512	0.329995	0.146255	4.879920	0.000000	0.000004	0.358523	0.311302	0.357604	0.359238	0.995452	1.148738	0.155164	0.149202	1.039963	0.288855	0.355013	-0.066157	0.250000	0.777204	4	13	25.89	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0006	control-v1-0006	pos-pt-dgpc-107359	positive	PT	Monte da Saia / Cidade da Citânia / Monte de Fralães	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0006-pos-pt-dgpc-107359.png	512	512	0.320071	0.075078	3.967681	0.000000	0.000000	0.225847	0.285502	0.214053	0.206137	1.038402	0.749741	0.062310	0.058292	1.068933	0.357601	0.306197	0.051404	0.277778	0.824596	9	13	26.95	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0007	control-v1-0007	pos-pt-dgpc-107516	positive	PT	Braga - Cividade	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0007-pos-pt-dgpc-107516.png	512	512	0.525286	0.173917	5.384277	0.000000	0.004337	0.482753	0.490667	0.500132	0.490778	1.019060	1.019289	0.178783	0.162582	1.099647	0.513968	0.530822	-0.016854	0.333333	0.850175	2	13	36.93	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0008	control-v1-0008	pos-pt-dgpc-107461	positive	PT	Outeiro dos Moiros / Cividade de Chacim	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0008-pos-pt-dgpc-107461.png	512	512	0.366428	0.094809	4.285768	0.000000	0.000000	0.282188	0.378531	0.267852	0.236329	1.133388	0.707609	0.088567	0.076989	1.150384	0.412369	0.355596	0.056773	0.472222	0.668301	9	13	36.86	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0009	control-v1-0009	pos-pt-dgpc-107784	positive	PT	Cividade de Belinho/Cidade de Belinho	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0009-pos-pt-dgpc-107784.png	512	512	0.338726	0.124623	4.729646	0.000000	0.000000	0.251614	0.222031	0.260109	0.241600	1.076607	1.171499	0.141038	0.124607	1.131863	0.284652	0.340218	-0.055565	0.444444	0.725981	3	13	45.92	moderate_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_moderate	exclude_until_independent_label_review	ok	
thumb-v1-0010	control-v1-0010	pos-pt-dgpc-107424	positive	PT	Citânia de Briteiros	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0010-pos-pt-dgpc-107424.png	512	512	0.359929	0.087267	4.411544	0.000000	0.000000	0.259966	0.283743	0.255343	0.239559	1.065886	0.899907	0.087979	0.083632	1.051978	0.376613	0.340576	0.036036	0.388889	0.851426	9	13	30.59	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0011	control-v1-0011	pos-pt-dgpc-107222	positive	PT	Cividade	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0011-pos-pt-dgpc-107222.png	512	512	0.468289	0.147927	5.091559	0.000000	0.000000	0.314886	0.356140	0.285250	0.331667	0.860049	0.800950	0.137792	0.162136	0.849852	0.461799	0.486738	-0.024939	0.416667	0.675611	13	13	14.26	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0012	control-v1-0012	pos-pt-dgpc-109406	positive	PT	Citânia de São Julião de Caldelas	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0012-pos-pt-dgpc-109406.png	512	512	0.392538	0.090721	4.353466	0.000000	0.000000	0.238479	0.262975	0.209414	0.229075	0.914170	0.796325	0.076455	0.079609	0.960375	0.429359	0.386180	0.043179	0.305556	0.795781	11	13	15.73	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0013	control-v1-0013	pos-pt-dgpc-106425	positive	PT	Citânia de Sanfins	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0013-pos-pt-dgpc-106425.png	512	512	0.358510	0.085983	4.371265	0.000000	0.000000	0.212337	0.194391	0.208210	0.217253	0.958375	1.071090	0.082477	0.077677	1.061800	0.431307	0.338651	0.092656	0.138889	0.828079	6	13	21.20	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0014	control-v1-0014	pos-pt-dgpc-106725	positive	PT	Cividade de Terroso	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0014-pos-pt-dgpc-106725.png	512	512	0.419885	0.134330	4.910392	0.000000	0.000000	0.322161	0.239217	0.352706	0.364316	0.968133	1.474416	0.144094	0.141900	1.015460	0.361794	0.434494	-0.072700	0.444444	0.763312	7	13	24.93	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0015	control-v1-0015	pos-pt-dgpc-107033	positive	PT	Castro de Bagunte/ Monte da Cividade/ Cividade de Bagunte	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0015-pos-pt-dgpc-107033.png	512	512	0.333911	0.083160	4.279242	0.000000	0.000000	0.267600	0.288955	0.270858	0.261148	1.037180	0.937369	0.076355	0.076617	0.996573	0.400214	0.318180	0.082034	0.333333	0.823537	7	13	27.52	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
thumb-v1-0016	control-v1-0016	pos-pt-dgpc-108405	positive	PT	Cividade de Cossourado	large_castrexo_civitas_hint		180.0	exists	data/morphology-autoreview-v1/thumbnails/positive/control-v1-0016-pos-pt-dgpc-108405.png	512	512	0.363400	0.087590	4.338056	0.000000	0.000000	0.279373	0.287653	0.286270	0.283476	1.009857	0.995193	0.084350	0.082520	1.022180	0.410112	0.352657	0.057455	0.222222	0.844613	11	13	21.91	weak_centered_ring_signal	include_visual_signal_metric_eval	positive_control_visual_signal_weak_followup	exclude_until_independent_label_review	ok	
