review_seed_id	review_role	class_hint	bank_id	country	region	province_or_district	municipality	parish	place	name	source	source_quality	source_url	record_url	source_record_id	source_code	typology	generic_type	periods	longitude	latitude	coord_precision	positive_confidence	morphology_proxy	terrain_context_proxy	proxy_tags	review_priority	review_reason	training_use	generated_at	negative_type	negative_confidence
review-pos-0001	positive	castro_candidate	pos-es-pba-24334	ES	Galicia	A Coruña	Valdoviño	Meirás (San Vicente)	Riobó	O Castrillón	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	Arqueoloxía - 02	24334	GA15087002	Castro	-		-8.196140240247656	43.57563888498038	catalogue_point_wgs84	high_official_typology	castrel_toponym_hint	unknown_terrain_pending_visual_review	castrel_toponym_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0002	positive	castro_candidate	pos-es-pba-8060	ES	Galicia	A Coruña	A Coruña	Oza (Santa María)	Corgo, O	O Castrillón	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	-	8060	GA15030022		-		-8.399233888175992	43.349253605689846	catalogue_point_wgs84	medium_official_name_or_type	castrel_toponym_hint	unknown_terrain_pending_visual_review	castrel_toponym_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0003	positive	castro_candidate	pos-es-pba-12763	ES	Galicia	A Coruña	Malpica de Bergantiños	Vilanova de Santiso (San Tirso)	Esteiro	Castro de Entretorres/Castro de Punta Galeana	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	-	12763	GA15043008	Castro	-		-8.855378317808974	43.319595875976596	catalogue_point_wgs84	high_official_typology	coastal_promontory_hint	coastal_or_promontory_proxy	coastal_promontory_hint	P0	High-diversity morphology proxy for early QGIS review.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0004	positive	castro_candidate	pos-es-pba-17047	ES	Galicia	A Coruña	A Pobra do Caramiñal	Posmarcos (Santo Isidro)	Pumadiño, O	A Croa do Castro/A Croa de Posmarcos	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	1	17047	GA15067001		-		-8.927476831000407	42.632896715738816	catalogue_point_wgs84	medium_official_name_or_type	coastal_promontory_hint	coastal_or_promontory_proxy	coastal_promontory_hint;croa_top_ring_hint	P0	High-diversity morphology proxy for early QGIS review.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0005	positive	castro_candidate	pos-es-pba-6183	ES	Galicia	A Coruña	Cedeira	Esteiro (San Fiz)	Montemeao	Castro As Croas	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	56	6183	GA15022015	Castro	-		-8.032183318220106	43.641604274162155	catalogue_point_wgs84	high_official_typology	croa_top_ring_hint	hilltop_or_ridge_proxy	croa_top_ring_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0006	positive	castro_candidate	pos-es-pba-11224	ES	Galicia	A Coruña	A Laracha	Erboedo (Santa María)	Parada, A	Castro de Erboedo/Os Castros/As Croas	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA-15041006	11224	GA15041006		-		-8.501596946665856	43.25261624128911	catalogue_point_wgs84	medium_official_name_or_type	croa_top_ring_hint	hilltop_or_ridge_proxy	croa_top_ring_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0007	positive	castro_candidate	pos-es-pba-11227	ES	Galicia	A Coruña	A Laracha	Soandres (San Pedro)	Revolta, A	Castro de Refoxo/Castro de Cerqueira	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	GA-15041014	11227	GA15041014		-		-8.44276477829718	43.23497491901351	catalogue_point_wgs84	medium_official_name_or_type	earthwork_or_wall_hint	unknown_terrain_pending_visual_review	earthwork_or_wall_hint	P0	High-diversity morphology proxy for early QGIS review.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0008	positive	castro_candidate	pos-es-pba-6521	ES	Galicia	A Coruña	Carnota	Santa Comba de Carnota (Santa Comba)	Mallou	Castro de Mallou	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	-	6521	GA15020016	Castro	-		-9.098277878134319	42.80525301165031	catalogue_point_wgs84	high_official_typology	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0009	positive	castro_candidate	pos-es-pba-1186	ES	Galicia	A Coruña	A Baña	A Ermida (San Salvador)	Cruceiro, O	Castelo de Rodado/Castro de Gosende	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	85	1186	GA15007091		-		-8.802837179521353	42.99406417811803	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
review-pos-0010	positive	castro_candidate	pos-es-pba-12380	ES	Galicia	A Coruña	Mazaricos	Mazaricos (San Xoán)	Vilar de Castro	Castro do Monte Aro	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	-	12380	GA15045077	Castro	-		-8.964022709466818	42.95648248479819	catalogue_point_wgs84	high_official_typology	hilltop_hint	hilltop_or_ridge_proxy	hilltop_hint	P1	Useful morphology proxy, pending visual confirmation.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z		
