bank_id	country	region	province_or_district	municipality	parish	place	name	source	source_quality	source_url	record_url	source_record_id	source_code	typology	generic_type	periods	longitude	latitude	coord_precision	negative_type	negative_confidence	review_priority	review_reason	training_use	generated_at
neg-es-pba-1403	ES	Galicia	A Coruña	A Baña	Corneira (San Cristovo)	Ferraces	Mámoa da Lagoa	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	60	1403	GA15007060		-		-8.791242239042381	42.967361053454454	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1404	ES	Galicia	A Coruña	A Baña	Sanamede do Monte (San Mamede)	Buchaín	Mámoa da Mina de Mosqueira	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	16	1404	GA15007016		-		-8.725792899271706	42.94113091460559	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1405	ES	Galicia	A Coruña	A Baña	A Ermida (San Salvador)	Cruceiro, O	Mámoa da Mina do Rodado	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	34	1405	GA15007034		-		-8.801945136755617	42.99823212482654	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1406	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Vigobó	Mámoa da Mina dos Mouros	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	65	1406	GA15007065		-		-8.81881984156123	42.988031394431864	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1407	ES	Galicia	A Coruña	A Baña	Lañas (Santa Baia)	Cantalarrana	Mámoa da Revolta Vella 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	12	1407	GA15007012		-		-8.72836234783804	42.960603662361876	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1408	ES	Galicia	A Coruña	A Baña	Lañas (Santa Baia)	Cantalarrana	Mámoa da Revolta Vella 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	13	1408	GA15007013		-		-8.727288096803866	42.960604283301095	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1409	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Bafaduira	Mámoa da Ventureira 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	36	1409	GA15007036		-		-8.820948943154052	42.993804867317536	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1410	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Bafaduira	Mámoa da Ventureira 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	37	1410	GA15007037		-		-8.818862808565793	42.99355647249691	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1438	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Campelo	Mámoa das Brañas	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	39	1438	GA15007039		-		-8.833054174784145	42.98587071302679	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1439	ES	Galicia	A Coruña	A Baña	Sanamede do Monte (San Mamede)	Saleiróns	Mámoa das Chamiseiras	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	26	1439	GA15007026	Mámoa/Túmulo	-		-8.71730081114947	42.92207198112603	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1440	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Carballeira, A	Mámoa de Barreiros 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	35	1440	GA15007035		-		-8.798220456609974	42.97844044975088	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1441	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Carballeira, A	Mámoa de Barreiros 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	73	1441	GA15007073		-		-8.798564077383638	42.97847213885209	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1442	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Carballeira, A	Mámoa de Barreiros 3	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	75	1442	GA15007075		-		-8.797674840096898	42.978023615732624	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1443	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Carballeira, A	Mámoa de Barreiros 4	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	76	1443	GA15007076		-		-8.798293002341358	42.9779982460692	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1444	ES	Galicia	A Coruña	A Baña	Riobó (San Martiño)	Vigobó	Mámoa de Castelo	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	53	1444	GA15007053		-		-8.824083625134296	42.989191762722044	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1445	ES	Galicia	A Coruña	A Baña	A Baña (San Vicenzo)	Canlís	Mámoa de Chan da Baña 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	61	1445	GA15007061	Túmulo/Mámoa	-		-8.77999660966671	42.9557834371207	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1446	ES	Galicia	A Coruña	A Baña	A Baña (San Vicenzo)	Canlís	Mámoa de Chan da Baña 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	62	1446	GA15007062	Túmulo/Mámoa	-		-8.779960837072073	42.956205156328416	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1476	ES	Galicia	A Coruña	A Baña	A Baña (San Vicenzo)	Canlís	Mámoa de Chan da Baña 3	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	63	1476	GA15007063	Túmulo/Mámoa	-		-8.779383185460462	42.95721820764335	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1477	ES	Galicia	A Coruña	A Baña	A Baña (San Vicenzo)	Canlís	Mámoa de Chan da Baña 4	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	68	1477	GA15007068	Túmulo/Mámoa	-		-8.780213055429835	42.956057339479166	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1478	ES	Galicia	A Coruña	A Baña	A Baña (San Vicenzo)	Canlís	Mámoa de Chan da Baña 5	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	49	1478	GA15007049	Túmulo/Mámoa	-		-8.784121903787966	42.95815011573442	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1479	ES	Galicia	A Coruña	A Baña	A Riba (San Xoán)	Bafaduira	Mámoa de Costolla	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	38	1479	GA15007038		-		-8.824684608665851	42.999817100928745	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1480	ES	Galicia	A Coruña	A Baña	A Ermida (San Salvador)	A Hedreira	Mámoa de Edreira	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	32	1480	GA15007032		-		-8.801264682431698	42.98972780848335	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1481	ES	Galicia	A Coruña	A Baña	Corneira (San Cristovo)	Ferreiros	Mámoa de Ferreiros	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	50	1481	GA15007050		-		-8.807816376318424	42.96888483232807	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1482	ES	Galicia	A Coruña	A Baña	Ordoeste (Santa María)	Fampousa	Mámoa de Monte Agudo	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	64	1482	GA15007064		-		-8.771472845280007	42.94838399776949	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1483	ES	Galicia	A Coruña	A Baña	Barcala (San Xoán)	Seoane	Mámoa de Pedra Alba 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	54	1483	GA15007054		-		-8.75662518084077	42.93546875030016	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1484	ES	Galicia	A Coruña	A Baña	Barcala (San Xoán)	Seoane	Mámoa de Pedra Alba 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	55	1484	GA15007055		-		-8.756151456931317	42.93723201914497	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1514	ES	Galicia	A Coruña	A Baña	Barcala (San Xoán)	Seoane	Mámoa de Pedra Alba 3	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	56	1514	GA15007056		-		-8.75600320544002	42.93756645563865	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1515	ES	Galicia	A Coruña	A Baña	Barcala (San Xoán)	Seoane	Mámoa de Pedra Alba 4	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	57	1515	GA15007057		-		-8.756723371740648	42.93983015658816	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1516	ES	Galicia	A Coruña	A Baña	San Cibrán de Barcala (San Cibrán)	Chantada	Mámoa de Pedra Alba 5	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	77	1516	GA15007077		-		-8.75564687197326	42.93629575748876	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1517	ES	Galicia	A Coruña	A Baña	San Cibrán de Barcala (San Cibrán)	Chantada	Mámoa de Pedra Alba 6	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	78	1517	GA15007078		-		-8.753504255245797	42.937861915625085	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1518	ES	Galicia	A Coruña	A Baña	Sanamede do Monte (San Mamede)	Saleiróns	Mámoa de Purrubelo	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	25	1518	GA15007025	Mámoa/Túmulo	-		-8.715309655689195	42.92329322602751	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1519	ES	Galicia	A Coruña	A Baña	Troitosende (Santa María)	Quintáns	Mámoa de Salgueiróns 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	2	1519	GA15007002	Túmulo/Mámoa	-		-8.671061319230024	42.945306858137855	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
neg-es-pba-1520	ES	Galicia	A Coruña	A Baña	Troitosende (Santa María)	Menlle de Abaixo	Mámoa de Salgueiróns 2	Xunta PBA Catálogo. Elementos (xuño 2026)	official_non_castro_heritage_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	9	1520	GA15007009	Túmulo/Mámoa	-		-8.672060907621038	42.945871873583556	catalogue_point_wgs84	megalithic_mound	official_non_castro_heritage_needs_visual_review	P0	Hard negative with shape/context likely to confuse a castro detector; review early.	hard_negative_candidate_requires_qgis_review	2026-08-01T00:00:00Z
