bank_id	country	region	province_or_district	municipality	parish	place	name	source	source_quality	source_url	record_url	source_record_id	source_code	typology	generic_type	periods	longitude	latitude	coord_precision	positive_confidence	morphology_proxy	terrain_context_proxy	proxy_tags	review_priority	review_reason	training_use	generated_at
pos-es-pba-1186	ES	Galicia	A Coruña	A Baña	A Ermida (San Salvador)	Cruceiro, O	Castelo de Rodado/Castro de Gosende	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	85	1186	GA15007091		-		-8.802837179521353	42.99406417811803	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z
pos-es-pba-1187	ES	Galicia	A Coruña	A Baña	A Baña (San Vicenzo)	Castro, O	Castro da Baña	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	1	1187	GA15007001		-		-8.763157440610867	42.951214194085864	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z
pos-es-pba-1188	ES	Galicia	A Coruña	A Baña	Cabanas (San Miguel)	Cabanas	Castro de Cabanas	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	10	1188	GA15007010		-		-8.709822331556436	42.981405714419054	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z
pos-es-pba-1189	ES	Galicia	A Coruña	A Baña	Lañas (Santa Baia)	Castro, O	Castro de Lañas	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	15	1189	GA15007015		-		-8.698925908000925	42.962733010192004	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z
pos-es-pba-1190	ES	Galicia	A Coruña	A Baña	A Baña (San Vicenzo)	Liñares	Castro de Liñares	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	29	1190	GA15007029		-		-8.770921671560563	42.9730523002687	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z
pos-es-pba-1191	ES	Galicia	A Coruña	A Baña	Suevos (San Mamede)	Choupana, A	Castro de Suevos	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	28	1191	GA15007028		-		-8.76266816647361	42.99010033040039	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z
pos-es-pba-1222	ES	Galicia	A Coruña	A Baña	Troitosende (Santa María)	Portochán	Castro de Troitosende	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	5	1222	GA15007005		-		-8.666008413969054	42.93821223248304	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z
pos-es-pba-1223	ES	Galicia	A Coruña	A Baña	Lañas (Santa Baia)	Vilar da Torre	Castro de Vilar da Torre	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	14	1223	GA15007014		-		-8.711272322229936	42.94340598042183	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z
pos-es-pba-3443	ES	Galicia	A Coruña	A Capela	Caaveiro (San Boulo)	Porta, A	Castro da Porta/Castro do Cruceiro da Porta	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	1-16	3443	GA15018001		-		-8.038523386590047	43.45780615212061	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z
pos-es-pba-3570	ES	Galicia	A Coruña	A Capela	Caaveiro (San Boulo)	Ameneiro, O	Mámoa de Castro Pepín 1	Xunta PBA Catálogo. Elementos (xuño 2026)	official_catalogue_seed	https://datos.gob.es/es/catalogo/a12002994-plan-basico-autonomico-de-galicia-afecciones-del-patrimonio-cultural	1-13	3570	GA15018005		-		-7.9999990098048395	43.46820166773202	catalogue_point_wgs84	medium_official_name_or_type	generic_castro_hint	unknown_terrain_pending_visual_review	generic_castro_hint	P2	Generic official castro/toponym seed; useful for coverage, but morphology must be checked visually.	positive_seed_requires_qgis_boundary_review	2026-08-01T00:00:00Z
