n	bloque	score	lat	lon	vista_aerea
1	pontevedra	0.625	42.35530	-8.72846	https://www.google.com/maps/@42.355303,-8.728457,250m/data=!3m1!1e3
2	coruna	0.791	43.24392	-8.40972	https://www.google.com/maps/@43.243925,-8.409721,250m/data=!3m1!1e3
3	lugo	0.666	42.64257	-7.16533	https://www.google.com/maps/@42.642573,-7.165329,250m/data=!3m1!1e3
4	ourense	0.605	42.42410	-8.09546	https://www.google.com/maps/@42.424104,-8.095456,250m/data=!3m1!1e3
5	pontevedra	0.604	42.28635	-8.84054	https://www.google.com/maps/@42.286346,-8.840537,250m/data=!3m1!1e3
6	lugo	0.641	42.78065	-7.29896	https://www.google.com/maps/@42.780651,-7.298957,250m/data=!3m1!1e3
7	pontevedra	0.600	42.20086	-8.74152	https://www.google.com/maps/@42.200858,-8.741523,250m/data=!3m1!1e3
8	coruna	0.657	43.04330	-8.39593	https://www.google.com/maps/@43.043298,-8.395933,250m/data=!3m1!1e3
9	ourense	0.637	42.32227	-8.04721	https://www.google.com/maps/@42.322270,-8.047207,250m/data=!3m1!1e3
10	ourense	0.695	42.25096	-8.06690	https://www.google.com/maps/@42.250959,-8.066901,250m/data=!3m1!1e3
