osm_id	osm_type	label_class	site_class	name	confidence	evidence	archaeological_site	civilization	fortification_type	wikidata	centroid_lon	centroid_lat	area_m2	perimeter_m	equivalent_radius_m	circularity	vertices	matched_catalogue_id	matched_catalogue_name	matched_distance_m
62941352	way	0	mound	A Pena Molexa	high	archaeological_site=megalith	megalith			Q10348271	-8.22062646	43.56897870	92.5	35.5	5.4	0.9221	11	wl-pos-pos-es-pba-14328	Monte do Castro (Castro de Vilasuso)	221
70240593	way	1	castro	Castro de Beróbriga	high	fortification_type=hill_fort	fortification		hill_fort	Q59285847	-8.86078125	42.27676852	4962.7	379.1	39.7	0.4339	19			
128195333	way	1	castro	Castro de Troña	high	fortification_type=hill_fort	fortification	celtic	hill_fort	Q11680611	-8.49015803	42.21391995	8734.3	633.6	52.7	0.2734	52			
158906200	way	1	castro	Castro de Elviña	high	fortification_type=hill_fort	fortification	celtic	hill_fort	Q389930	-8.41692663	43.32922607	134522.0	1537.7	206.9	0.7149	56			
160480096	way	1	castro	Forte de Lovelhe	medium	site=fortification,civ=none	fortification		sea_fort		-8.74215443	41.95169330	4780.7	473.2	39.0	0.2684	43			
162506081	way	1	castro	Castro de Viladonga	high	fortification_type=hill_fort	fortification	castro_culture	hill_fort	Q2941521	-7.38888945	43.16092692	17412.8	507.9	74.4	0.8483	32			
165545723	way	0	mound	Mamoas do Mezio	high	archaeological_site=megalith	megalith				-8.31307617	41.87972711	5785.2	330.9	42.9	0.6638	8			
168328185	way	1	castro	Castro Maior	high	fortification_type=hill_fort	fortification	celtic	hill_fort	Q12385708	-8.32929191	43.17394543	13264.9	434.5	65.0	0.8829	26	wl-pos-pos-es-pba-113	Castro Maior	22
172999707	way	1	castro	Castro das Travesas	medium	site=fortification,civ=celtic	fortification	celtic		Q20550506	-8.35882498	43.16558804	20187.1	546.8	80.2	0.8485	41	wl-pos-pos-es-pba-6564	Castro das Travesas	27
173993062	way	0	mound	Mámoa Auga Apozada-Nenos	high	archaeological_site=tumulus	tumulus				-8.12420031	43.56255649	586.0	89.3	13.7	0.9233	9	wl-neg-neg-es-pba-14261	Mámoa do Monte dos Niños 07	4
174788687	way	1	castro	Castro de Pastoriza	high	fortification_type=hill_fort	fortification	celtic	hill_fort	Q12385752	-8.47274994	43.33708847	16805.7	484.3	73.1	0.9006	14	wl-pos-pos-es-pba-1653	Castro da Pastoriza	7
183927955	way	1	castro	Forte de São Jorge	high	fortification_type=hill_fort	fortification		hill_fort		-8.66406871	41.96814529	18822.3	770.1	77.4	0.3988	17	wl-neg-neg-pt-dgpc-108516	Forte de São Jorge/ Fortificação do Monte da Chãs/ Forte da Silva	40
187312467	way	1	castro	Forte de Belém	medium	site=fortification,civ=none	fortification		sconce	Q116178108	-8.64874125	42.00086148	2518.5	272.1	28.3	0.4275	13	wl-neg-neg-pt-dgpc-113811	Forte de Belém	5
190137031	way	1	castro	Castro de Xaz	high	fortification_type=hill_fort	fortification	celtic	hill_fort	Q12385776	-8.32522566	43.35259743	33160.0	671.4	102.7	0.9243	16	wl-pos-pos-es-pba-15428	Castro de Xaz/Castro de Abeleiras/Os Redondos	9
191993585	way	1	castro	Castro de Laxobre	high	fortification_type=hill_fort	fortification	celtic	hill_fort		-8.49149471	43.31313971	7952.1	321.1	50.3	0.9691	14	wl-pos-pos-es-pba-1689	Castro de Laxobre/Coto do Castro	12
203378621	way	0	mound	Mámoa de San Cibrao 5	high	archaeological_site=tumulus	tumulus				-7.53065402	43.02110545	674.5	92.5	14.7	0.9896	21			
206162331	way	1	castro	Castro de Centulle	high	fortification_type=hill_fort	fortification	castro_culture	hill_fort		-7.78573483	42.61286747	12955.9	415.7	64.2	0.9421	17	wl-pos-pos-es-pba-29398	Castro de Centulle	43
230095314	way	1	castro	Castro da Torre de Sobredo	high	civilization=castro_culture	settlement	castro_culture		Q94397615	-7.18466981	42.61811001	700.1	101.7	14.9	0.8505	14	wl-pos-pos-es-pba-29063	Castro de Sobredo	50
237686211	way	0	mound		high	archaeological_site=tumulus	tumulus				-8.79118050	42.30590384	894.6	122.4	16.9	0.7505	9	wl-neg-neg-es-pba-61295	Mámoa de Tomada de Martínez 2	42
268534208	way	1	castro	Castro Cercio	high	fortification_type=hill_fort	fortification	castro_culture	hill_fort		-7.78446701	42.82580349	22915.1	562.1	85.4	0.9114	17	wl-pos-pos-es-pba-35342	Castro Cercio	28
268534218	way	1	castro	Castro de Castromaior	high	fortification_type=hill_fort	fortification	castro_culture	hill_fort	Q20550533	-7.71976457	42.83328822	6133.7	287.3	44.2	0.9337	23	wl-pos-pos-es-pba-38430	Castro de Castromaior	70
286866416	way	1	castro	Castro de Noville	medium	site=settlement,civ=celtic	settlement	celtic		Q20542363	-8.22907478	43.45551979	21191.8	542.8	82.1	0.9038	9			
291619253	way	0	mound	Círculo Lítico da Roda	high	archaeological_site=megalith	megalith			Q31283162	-7.16923893	43.53950012	1560.3	143.2	22.3	0.9556	12			
300617285	way	1	castro	Castro de Leiro	medium	site=fortification,civ=none	fortification			Q12385738	-8.27375268	43.19613966	9209.2	348.0	54.1	0.9553	15	wl-pos-pos-es-pba-87	Castro de Leiro	20
306813080	way	1	castro	Castro de San Cibrao de Las	high	fortification_type=hill_fort	fortification	castro_culture	hill_fort	Q2742973	-8.03013635	42.36005433	100660.1	1173.3	179.0	0.9188	25			
312307690	way	0	mound	Mámoa de Santa Margarida	high	archaeological_site=tumulus	tumulus				-8.20528032	43.54669367	1069.1	122.8	18.4	0.8912	9	wl-neg-neg-es-pba-14299	Mámoa do Val/Mámoa de Santa Margarida	10
313112532	way	1	castro	Castro da Abeleira	high	fortification_type=hill_fort	fortification	castro_culture	hill_fort		-7.82914502	43.24436946	13690.0	429.3	66.0	0.9336	16	wl-pos-pos-es-pba-30079	Castro das Modias	92
313112534	way	1	castro	Castro de Fraga do Pazo	high	fortification_type=hill_fort	fortification	castro_culture	hill_fort		-7.72111604	43.21036608	13873.0	438.0	66.5	0.9086	12	wl-pos-pos-es-pba-30075	Castro da Fraga do Pazo	5
313112535	way	1	castro	Castro da Modia da Fraga do Rei	high	fortification_type=hill_fort	fortification	castro_culture	hill_fort		-7.80807564	43.22321872	14818.7	439.6	68.7	0.9636	14	wl-pos-pos-es-pba-30076	Castro da Modia da Fraga do Rei	3
313112536	way	1	castro	Castro de Quintán	high	fortification_type=hill_fort	fortification	castro_culture	hill_fort		-7.80585978	43.18781442	5454.5	276.1	41.7	0.8991	11	wl-pos-pos-es-pba-32093	Os Castros de Quintán	50
313112537	way	1	castro	Castro de San Salvador de Parga	high	fortification_type=hill_fort	fortification	castro_culture	hill_fort		-7.83177393	43.20321935	13543.9	423.0	65.7	0.9512	13	wl-pos-pos-es-pba-30117	Castro de Vigo	12
314480610	way	1	castro	Castro de Portomouro de Arriba	medium	site=fortification,civ=celtic	fortification	celtic			-8.64128090	42.96205798	658.2	97.0	14.5	0.8786	9	wl-pos-pos-es-pba-24437	Castro de Portomouro	23
317236422	way	0	mound	Corro dos Mouros	high	archaeological_site=megalith	megalith				-7.61799795	43.01942066	2060.9	162.0	25.6	0.9871	17	wl-pos-pos-es-pba-32817	O Castrillón	3
321060298	way	1	castro	Castro da Rodela	high	fortification_type=hill_fort	fortification	castro_culture	hill_fort		-7.68169361	43.04499403	12063.3	401.1	62.0	0.9421	16	wl-pos-pos-es-pba-31498	A Castronela/A Rodela	14
332278595	way	1	castro	Castro de São Caetano	high	fortification_type=hill_fort	fortification		hill_fort	Q17390126	-8.44369902	42.03956696	129051.3	1321.8	202.7	0.9282	40	wl-neg-neg-pt-dgpc-111207	Monte Crasto / S. Caetano	107
