site_id	primary_name	aliases	municipality	parish	place	scope	ga_code	record_type	confidence	source_tier	conservation_state	lat_wgs84	lon_wgs84	coord_status	coord_source	dataset_use	split	needs_review	sources	urls	notes
tra-fene-almieiras	Castro de Almieiras	Almieiras	Fene	Santa Eulalia de Limodre		trasancos_estricto		classical_catalog_reference	medium_low	classical_secondary_catalog	Desaparecido			missing		positive_damaged_review	review_only		André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-fene-as-pias	Castro de As Pías	As Pías; Castro das Pías; Pías	Fene	San Esteban de Perlío		trasancos_estricto	GA15500011	classical_catalog_reference	medium_low	classical_secondary_catalog	Desaparecido | Moi malo	43.47426751	-8.17153215	point_from_source	Patrimonio Galego	positive_damaged_review	review_only		André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia; Galipedia; Patrimonio Galego	https://gl.wikipedia.org/wiki/Castro_das_P%C3%ADas; https://patrimoniogalego.net/index.php/95575/2017/07/castro-das-pias/; https://www.calameo.com/books/00129295754f931ea1d4a	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-fene-castro-das-escadas	Castro das Escadas	Castro das Escadas; Escadas	Fene			trasancos_estricto		web_catalog_candidate	medium_low	wikimedia_category	desconocido	43.45913000	-8.20861000	point_from_source	Galipedia	review_only	review_only	Reconciliar manualmente antes de usar como positivo fuerte.	Galipedia	https://gl.wikipedia.org/wiki/Castro_das_Escadas	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-fene-castro-de-belelle	Castro de Belelle	Belelle; Castro de Belelle	Fene	Sillobre (Santa Mariña)	Belelle	trasancos_estricto		web_catalog_candidate	medium	collaborative_catalog	Regular	43.46702358	-8.11322649	point_from_source	Patrimonio Galego	review_only	review_only	Reconciliar manualmente antes de usar como positivo fuerte.	Patrimonio Galego	https://patrimoniogalego.net/index.php/98926/2018/03/castro-de-belelle/	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-fene-fontenova	Castro de Fontenova	Fontenova	Fene	San Xurxo de Magalofes		trasancos_estricto		classical_catalog_reference	medium_low	classical_secondary_catalog	desconocido			missing		needs_geocoding	review_only		André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-fene-ga15035007	Castro de Magalofes	Castro de Magalofes; Magalofes	Fene	Magalofes (San Xurxo)	A Fontenova	trasancos_estricto	GA15035007	web_catalog_candidate	medium	collaborative_catalog	Malo	43.45082380	-8.14753332	point_from_source	Patrimonio Galego	review_only	review_only	Reconciliar manualmente antes de usar como positivo fuerte.	Patrimonio Galego	https://patrimoniogalego.net/index.php/99753/2018/04/castro-de-magalofes/	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-fene-ga15035008	Castro de Prismos	Castro de Prismos; Prismos	Fene	Limodre		trasancos_estricto	GA15035008	official_plan_reference	medium_high	official_context	Regular	43.44537826	-8.18191767	point_from_source	Patrimonio Galego	review_only	review_only		André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia; Galipedia; Patrimonio Galego; Plan Sectorial da rede viaria de Ferrol, Fene, Neda, Narón, Ares, Mugardos e Cabanas (2014)	https://gl.wikipedia.org/wiki/Castro_de_Prismos; https://patrimoniogalego.net/index.php/95624/2017/07/castro-de-prismos/; https://vivendaeinfraestruturas.xunta.gal/documents/36303/60845/01_Memoria%20PS.pdf; https://www.calameo.com/books/00129295754f931ea1d4a	Plan Sectorial 2014 | Presente en lista clásica Pena/Calaméo nº 26. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-fene-ga15035009	Castro de Orra	Castro de Orra; Orra	Fene	Sillobre		trasancos_estricto	GA15035009	official_plan_reference	medium_high	official_context	Malo	43.47097639	-8.15251549	point_from_source	Patrimonio Galego	review_only	review_only		Galipedia; Patrimonio Galego; Plan Sectorial da rede viaria de Ferrol, Fene, Neda, Narón, Ares, Mugardos e Cabanas (2014)	https://gl.wikipedia.org/wiki/Castro_de_Orra; https://patrimoniogalego.net/index.php/98922/2018/03/castro-de-orra/; https://vivendaeinfraestruturas.xunta.gal/documents/36303/60845/01_Memoria%20PS.pdf	Plan Sectorial 2014 | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-fene-ga15035010	Castro de Barallobre	Barallobre; Castro de Barallobre	Fene	Barallobre		trasancos_estricto	GA15035010	official_plan_reference	medium_high	official_context	Moi malo	43.46326112	-8.17490101	point_from_source	Patrimonio Galego	review_only	review_only		Galipedia; Patrimonio Galego; Plan Sectorial da rede viaria de Ferrol, Fene, Neda, Narón, Ares, Mugardos e Cabanas (2014)	https://gl.wikipedia.org/wiki/Castro_de_Barallobre; https://patrimoniogalego.net/index.php/95581/2017/07/castro-de-barallobre/; https://vivendaeinfraestruturas.xunta.gal/documents/36303/60845/01_Memoria%20PS.pdf	Plan Sectorial 2014 | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-fene-ga15035011	Castro de Cordoeiro	Castro de Cordoeiro; Cordoeiro	Fene	Perlío		trasancos_estricto	GA15035011	official_plan_reference	medium_high	official_context	desconocido			missing		needs_geocoding	review_only	Buscar/revisar coordenadas antes de crear tiles.	Plan Sectorial da rede viaria de Ferrol, Fene, Neda, Narón, Ares, Mugardos e Cabanas (2014)	https://vivendaeinfraestruturas.xunta.gal/documents/36303/60845/01_Memoria%20PS.pdf	Plan Sectorial 2014; posible relación con As Pías/Río Castro a revisar
tra-fene-ga15035012	Castro de Río Castro	Castro de Río Castro; Río Castro	Fene	Limodre (Santa Eulalia)	Río Castro	trasancos_estricto	GA15035012	web_catalog_candidate	medium	collaborative_catalog	Moi malo	43.42390093	-8.18635404	point_from_source	Patrimonio Galego	review_only	review_only	Reconciliar manualmente antes de usar como positivo fuerte.	Patrimonio Galego	https://patrimoniogalego.net/index.php/95596/2017/07/castro-de-rio-castro/	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-fene-loureiros	Castro de Loureiros	Loureiros	Fene	Santiago de Barallobre		trasancos_estricto		classical_catalog_reference	medium_low	classical_secondary_catalog	Desaparecido			missing		positive_damaged_review	review_only		André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-fene-ovra	Castro de Ovra	Ovra	Fene	Santa María de Sillobre		trasancos_estricto		classical_catalog_reference	medium_low	classical_secondary_catalog	desconocido			missing		needs_geocoding	review_only		André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-fene-re15035002	Castro do Sartego	Castro do Sartego; Sartego	Fene	Fene		trasancos_estricto	RE15035002	official_plan_reference	medium_high	official_context	Desaparecido			missing		positive_damaged_review	review_only	Buscar/revisar coordenadas antes de crear tiles.	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia; Plan Sectorial da rede viaria de Ferrol, Fene, Neda, Narón, Ares, Mugardos e Cabanas (2014)	https://vivendaeinfraestruturas.xunta.gal/documents/36303/60845/01_Memoria%20PS.pdf; https://www.calameo.com/books/00129295754f931ea1d4a	Plan Sectorial 2014; registro RE | Presente en lista clásica Pena/Calaméo nº 33.
tra-fene-san-esteban-de-perlio	Castro de San Esteban de Perlío	San Esteban de Perlío	Fene			trasancos_estricto		classical_catalog_reference	medium_low	classical_secondary_catalog	Desaparecido			missing		positive_damaged_review	review_only		André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-ferrol-canido	Castro de Canido	Canido	Ferrol			trasancos_estricto		classical_catalog_reference	medium_low	classical_secondary_catalog	Desaparecido			missing		positive_damaged_review	review_only		André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-ferrol-castro-da-pereiruga	Castro da Pereiruga	Castro da Pereiruga; Pereiruga	Ferrol	Pedroso (San Salvador)	Pereiruga	trasancos_estricto		web_catalog_candidate	medium	collaborative_catalog	Regular	43.54428455	-8.11914325	point_from_source	Patrimonio Galego	review_only	review_only	Reconciliar manualmente antes de usar como positivo fuerte.	Patrimonio Galego	https://patrimoniogalego.net/index.php/88327/2016/08/castro-de-pereiruga/	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-castro-de-ancos	Castro de Ancos	Ancos; Castro de Ancos	Ferrol	Neda, Santa María	Alto de Ancos	trasancos_estricto		web_catalog_candidate	medium	collaborative_catalog	Malo	43.52183380	-8.14046144	point_from_source	Patrimonio Galego	review_only	review_only	Reconciliar manualmente antes de usar como positivo fuerte.	Patrimonio Galego	https://patrimoniogalego.net/index.php/98002/2017/12/castro-de-ancos/	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
