site_id	primary_name	municipality	dataset_use	split	lat_wgs84	lon_wgs84	notes
tra-fene-almieiras	Castro de Almieiras	Fene	positive_damaged_review	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-fene-as-pias	Castro de As Pías	Fene	positive_damaged_review	review_only	43.47426751	-8.17153215	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-fene-castro-das-escadas	Castro das Escadas	Fene	review_only	review_only	43.45913000	-8.20861000	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-fene-castro-de-belelle	Castro de Belelle	Fene	review_only	review_only	43.46702358	-8.11322649	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-fene-fontenova	Castro de Fontenova	Fene	needs_geocoding	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-fene-ga15035007	Castro de Magalofes	Fene	review_only	review_only	43.45082380	-8.14753332	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-fene-ga15035008	Castro de Prismos	Fene	review_only	review_only	43.44537826	-8.18191767	Plan Sectorial 2014 | Presente en lista clásica Pena/Calaméo nº 26. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-fene-ga15035009	Castro de Orra	Fene	review_only	review_only	43.47097639	-8.15251549	Plan Sectorial 2014 | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-fene-ga15035010	Castro de Barallobre	Fene	review_only	review_only	43.46326112	-8.17490101	Plan Sectorial 2014 | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
tra-fene-ga15035011	Castro de Cordoeiro	Fene	needs_geocoding	review_only			Plan Sectorial 2014; posible relación con As Pías/Río Castro a revisar
tra-fene-ga15035012	Castro de Río Castro	Fene	review_only	review_only	43.42390093	-8.18635404	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-fene-loureiros	Castro de Loureiros	Fene	positive_damaged_review	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-fene-ovra	Castro de Ovra	Fene	needs_geocoding	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-fene-re15035002	Castro do Sartego	Fene	positive_damaged_review	review_only			Plan Sectorial 2014; registro RE | Presente en lista clásica Pena/Calaméo nº 33.
tra-fene-san-esteban-de-perlio	Castro de San Esteban de Perlío	Fene	positive_damaged_review	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-ferrol-canido	Castro de Canido	Ferrol	positive_damaged_review	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-ferrol-castro-da-pereiruga	Castro da Pereiruga	Ferrol	review_only	review_only	43.54428455	-8.11914325	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-castro-de-ancos	Castro de Ancos	Ferrol	review_only	review_only	43.52183380	-8.14046144	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-castro-de-lago	Castro de Lago	Ferrol	review_only	review_only	43.59217950	-8.17132863	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-castro-de-lavacerido	Castro de Lavacerido	Ferrol	review_only	review_only	43.60168211	-8.19886956	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-castro-de-loiravella	Castro de Loiravella	Ferrol	review_only	review_only	43.59482396	-8.05880788	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-castro-de-santo-tomas	Castro de Santo Tomás	Ferrol	review_only	review_only	43.59218304	-8.18721268	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-castro-de-sta-cecilia	Castro de Sta. Cecilia	Ferrol	review_only	review_only	43.51083300	-8.20027700	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-castro-de-sta-comba	Castro de Sta. Comba	Ferrol	review_only	review_only	43.55952700	-8.28257000	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-castro-de-sta-marina	Castro de Sta. Marina	Ferrol	review_only	review_only	43.49755900	-8.22508200	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-castro-de-viladonelle	Castro de Viladonelle	Ferrol	review_only	review_only	43.48461061	-8.11948051	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-castro-do-vilar	Castro do Vilar	Ferrol	review_only	review_only	43.54389738	-8.22231206	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
tra-ferrol-ferreiros	Castro de Ferreiros	Ferrol	needs_geocoding	review_only			Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
tra-ferrol-ga-15054008	Castro da Revolta	Ferrol	review_only	review_only	43.53925447	-8.15688762	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
