ambito	numero	nombre	parroquia_lugar	estado_en_fuente	fuente	url	nota
Ares	34	Monte Bailadora	San Pedro de Cervás	Desaparecido	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Bezoucos/Golfo Artabro ampliado
Ares	35	Santa Mariña	San Pedro de Cervás		André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Bezoucos/Golfo Artabro ampliado
Ares	36	San Pedro de Cervás			André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Bezoucos/Golfo Artabro ampliado
Ares	37	Punta Camouco	San Vicente de Camouco		André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Bezoucos/Golfo Artabro ampliado
Ares	38	Seselle	San José de Ares	Desaparecido	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Bezoucos/Golfo Artabro ampliado
Ares	39	Lubre	San José de Ares	Desaparecido	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Bezoucos/Golfo Artabro ampliado
Mugardos	40	San Juan de Piñeiro			André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Bezoucos/Golfo Artabro ampliado
Mugardos	41	O Seixo	Santiago de Franza		André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Bezoucos/Golfo Artabro ampliado
Mugardos	42	San Vitorio	Santiago de Franza	Desaparecido	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Bezoucos/Golfo Artabro ampliado
Mugardos	43	Pedrosos	San Xiao de Mugardos	Desaparecido	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Bezoucos/Golfo Artabro ampliado
Mugardos	44	San Vicente de Mehá			André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Bezoucos/Golfo Artabro ampliado
