site_id	primary_name	municipality	parish	ga_code	record_type	dataset_use	sources	urls	action
tra-fene-almieiras	Castro de Almieiras	Fene	Santa Eulalia de Limodre		classical_catalog_reference	positive_damaged_review	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-fene-fontenova	Castro de Fontenova	Fene	San Xurxo de Magalofes		classical_catalog_reference	needs_geocoding	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-fene-ga15035011	Castro de Cordoeiro	Fene	Perlío	GA15035011	official_plan_reference	needs_geocoding	Plan Sectorial da rede viaria de Ferrol, Fene, Neda, Narón, Ares, Mugardos e Cabanas (2014)	https://vivendaeinfraestruturas.xunta.gal/documents/36303/60845/01_Memoria%20PS.pdf	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-fene-loureiros	Castro de Loureiros	Fene	Santiago de Barallobre		classical_catalog_reference	positive_damaged_review	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-fene-ovra	Castro de Ovra	Fene	Santa María de Sillobre		classical_catalog_reference	needs_geocoding	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-fene-re15035002	Castro do Sartego	Fene	Fene	RE15035002	official_plan_reference	positive_damaged_review	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia; Plan Sectorial da rede viaria de Ferrol, Fene, Neda, Narón, Ares, Mugardos e Cabanas (2014)	https://vivendaeinfraestruturas.xunta.gal/documents/36303/60845/01_Memoria%20PS.pdf; https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-fene-san-esteban-de-perlio	Castro de San Esteban de Perlío	Fene			classical_catalog_reference	positive_damaged_review	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-ferrol-canido	Castro de Canido	Ferrol			classical_catalog_reference	positive_damaged_review	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-ferrol-ferreiros	Castro de Ferreiros	Ferrol	Santa Uxía de Mandiá		classical_catalog_reference	needs_geocoding	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-ferrol-o-xeixo	Castro de O Xeixo	Ferrol	San Pedro de Leixa		classical_catalog_reference	needs_geocoding	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-ferrol-papoy	Castro de Papoy	Ferrol	San Pedro de Marmancón		classical_catalog_reference	needs_geocoding	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-naron-o-castro	O Castro	Narón	San Martiño do Couto		classical_catalog_reference	positive_damaged_review	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-neda-castros	Castros	Neda	San Martiño de Neda		official_uncoded_castro	needs_geocoding	NNSS Neda / SIOTUGA y Plan Sectorial 2014	https://siotuga.xunta.gal/siotuga/documentos/urbanismo/NEDA/documents/0242ca004.pdf	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-neda-monte-de-rabadena	Monte de Rabadeña	Neda	Santa María de Neda		official_uncoded_castro	needs_geocoding	NNSS Neda / SIOTUGA y Plan Sectorial 2014	https://siotuga.xunta.gal/siotuga/documentos/urbanismo/NEDA/documents/0242ca004.pdf	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-neda-santa-maria-de-neda	Castro de Santa María de Neda	Neda	Santa María de Neda		classical_catalog_reference	positive_damaged_review	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-san-sadurnino-a-croa-naraio	A Croa / Naraío	San Sadurniño	Naraío		toponymic_candidate	review_only	Fálame/Galipedia/O Noso Patrimonio	https://onosopatrimonio.blogspot.com/2011/07/castros-de-galiza-i.html	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-san-sadurnino-castro-das-croas	Castro das Croas	San Sadurniño	San Sadurniño		official_uncoded_castro	needs_geocoding	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia; NNSS San Sadurniño / SIOTUGA, catálogo complementario	https://siotuga.xunta.gal/siotuga/documentos/urbanismo/SANSADURNINO/documents/0355ca001.pdf; https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-san-sadurnino-coto-da-croa-ou-a-croa-do-castro	Coto da Croa ou A Croa do Castro	San Sadurniño	Bardaos		official_uncoded_castro	needs_geocoding	Fálame/Galipedia/O Noso Patrimonio; Galipedia; NNSS San Sadurniño / SIOTUGA, catálogo complementario	https://gl.wikipedia.org/wiki/Coto_da_Croa; https://onosopatrimonio.blogspot.com/2011/07/castros-de-galiza-i.html; https://siotuga.xunta.gal/siotuga/documentos/urbanismo/SANSADURNINO/documents/0355ca001.pdf	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-san-sadurnino-fraga	Castro de Fraga	San Sadurniño	Santa María de Bardaos		classical_catalog_reference	needs_geocoding	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-san-sadurnino-ga15076004	Escoitadoira	San Sadurniño	Santa Mariña do Monte / Escoitadora	GA15076004	toponymic_candidate	review_only	Fálame/Galipedia/O Noso Patrimonio	https://www.falamedesansadurnino.org/imaxe/castro-da-escoitadoira/	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-san-sadurnino-ga15076005	Bardaos	San Sadurniño	Bardaos / Castro	GA15076005	toponymic_candidate	review_only	Fálame/Galipedia/O Noso Patrimonio	https://www.falamedesansadurnino.org/imaxe/o-castro-de-bardaos/	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-san-sadurnino-o-picho	O Picho	San Sadurniño	San Sadurniño		toponymic_candidate	review_only	Fálame/Galipedia/O Noso Patrimonio	https://onosopatrimonio.blogspot.com/2011/07/castros-de-galiza-i.html	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-san-sadurnino-san-cristobal	Castro de San Cristóbal	San Sadurniño	Santa María de San Sadurniño		classical_catalog_reference	needs_geocoding	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-san-sadurnino-tralocastro	Tralocastro	San Sadurniño	San Xiao de Lamas		classical_catalog_reference	positive_damaged_review	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-valdovino-as-filgueiras	Castro de As Filgueiras	Valdoviño	San Vicente de Meirás		classical_catalog_reference	needs_geocoding	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-valdovino-ga15087003	Castro de Coto Redondo	Valdoviño	Pantín	GA15087003	official_castro	needs_geocoding	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia; Concello de Valdoviño, Modificación Puntual nº 13, información patrimonial	https://www.calameo.com/books/00129295754f931ea1d4a; https://www.concellodevaldovino.com/arquivo/sites/all/themes/valbartik/doc/13/0102.pdf	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-valdovino-ga15087008	Castro	Valdoviño	Vilarrube	GA15087008	official_castro	positive_damaged_review	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia; Concello de Valdoviño, Modificación Puntual nº 13, información patrimonial	https://www.calameo.com/books/00129295754f931ea1d4a; https://www.concellodevaldovino.com/arquivo/sites/all/themes/valbartik/doc/13/0102.pdf	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-valdovino-ga15087011	O Castro	Valdoviño	Lago	GA15087011	official_castro	needs_geocoding	Concello de Valdoviño, Modificación Puntual nº 13, información patrimonial	https://www.concellodevaldovino.com/arquivo/sites/all/themes/valbartik/doc/13/0102.pdf	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-valdovino-ga15087012	Castro de Aviño	Valdoviño	Valdoviño	GA15087012	official_castro	needs_geocoding	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia; Concello de Valdoviño, Modificación Puntual nº 13, información patrimonial	https://www.calameo.com/books/00129295754f931ea1d4a; https://www.concellodevaldovino.com/arquivo/sites/all/themes/valbartik/doc/13/0102.pdf	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-valdovino-ga15087017	Puerto de Meirás	Valdoviño	Meirás	GA15087017	official_castro	needs_geocoding	Concello de Valdoviño, Modificación Puntual nº 13, información patrimonial	https://www.concellodevaldovino.com/arquivo/sites/all/themes/valbartik/doc/13/0102.pdf	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-valdovino-ga15087022	Castro de Punta do Vico	Valdoviño	Valdoviño	GA15087022	official_castro	needs_geocoding	Concello de Valdoviño, Modificación Puntual nº 13, información patrimonial	https://www.concellodevaldovino.com/arquivo/sites/all/themes/valbartik/doc/13/0102.pdf	Buscar coordenada oficial o descartar del MVP geoespacial.
tra-valdovino-praia-frouxeira	Castro de Praia Frouxeira	Valdoviño	Santa Eulalia de Valdoviño		classical_catalog_reference	needs_geocoding	André Pena Graña, Narón un concello con historia de seu I, edición Calaméo 2010, lista Catalogación de Castros de Galicia	https://www.calameo.com/books/00129295754f931ea1d4a	Buscar coordenada oficial o descartar del MVP geoespacial.
