tile_id	site_id	primary_name	municipality	split	dataset_use	center_lon_wgs84	center_lat_wgs84	center_easting_utm29	center_northing_utm29	bbox_wgs84	tile_side_m	required_sources	download_status
tile-tra-0001	tra-ferrol-ga15036001	Castro de Lobariz / Lobadiz	Ferrol	train	train_positive_candidate	-8.09129918	43.66075514	573268.26	4834595.92	-8.09447799,43.65845546,-8.08812037,43.66305482	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0002	tra-ferrol-ga15036002	Castro de Tralocastro / Esmelle	Ferrol	train	train_positive_candidate	-8.26729807	43.53191997	559203.67	4820147.10	-8.27047008,43.52962029,-8.26412606,43.53421965	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0003	tra-ferrol-ga15036003	Castro de Marmancón / Papoi	Ferrol	train	train_positive_candidate	-8.24894103	43.53979889	560679.05	4821035.35	-8.25211345,43.53749921,-8.24576861,43.54209857	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0004	tra-ferrol-ga15036004	Monte do Castro / Castro de Vilela	Ferrol	train	train_positive_candidate	-8.24006400	43.52436600	561411.90	4819327.90	-8.24323561,43.52206632,-8.23689239,43.52666568	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0005	tra-ferrol-ga15036005	Os Castros de Mandiá	Ferrol	train	train_positive_candidate	-8.23112044	43.51457186	562144.70	4818246.82	-8.23429154,43.51227218,-8.22794934,43.51687154	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0006	tra-ferrol-ga15036007	Castro de Santa Cecilia	Ferrol	train	train_positive_candidate	-8.19999608	43.51114054	564664.00	4817889.46	-8.20316700,43.50884086,-8.19682516,43.51344022	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0007	tra-ferrol-ga15036008	Castro de Vilasanche	Ferrol	train	train_positive_candidate	-8.26323300	43.50009000	559563.43	4816615.00	-8.26640334,43.49779032,-8.26006266,43.50238968	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0008	tra-ferrol-ga15036010	Coto dos Mouros / Castro de Vilabuíde	Ferrol	train	train_positive_candidate	-8.27676091	43.49387984	558475.77	4815915.72	-8.27993092,43.49158016,-8.27359090,43.49617952	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0009	tra-ferrol-ga15036014	Necrópolis de Santa Comba	Ferrol	train	train_positive_candidate	-8.28390598	43.56033873	557834.53	4823291.58	-8.28707948,43.55803905,-8.28073248,43.56263841	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0010	tra-naron-ga15054001	X-39 Monte do Castro	Narón	test_o_val	positive_o_val_holdout	-8.22045693	43.56700474	562952.00	4824078.00	-8.22363079,43.56470506,-8.21728307,43.56930442	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0011	tra-naron-ga15054002	X-41 Castro de Quintá	Narón	test_o_val	positive_o_val_holdout	-8.21426440	43.55278979	563467.00	4822504.00	-8.21743751,43.55049011,-8.21109129,43.55508947	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0012	tra-naron-ga15054003	X-14 Castro de San Mateo	Narón	test	test_positive_candidate	-8.22226682	43.54375029	562830.00	4821494.00	-8.22543945,43.54145061,-8.21909419,43.54604997	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0013	tra-naron-ga15054004	X-40 Castro de Santa María	Narón	test	test_positive_candidate	-8.17813899	43.54459412	566394.00	4821622.00	-8.18131166,43.54229444,-8.17496632,43.54689380	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0014	tra-naron-ga15054005	X-10 Castro de Eiravedra	Narón	test	test_positive_candidate	-8.13376509	43.55129878	569971.00	4822403.00	-8.13693812,43.54899910,-8.13059206,43.55359846	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0015	tra-naron-ga15054006	X-09 Castro de Couto / O Petouzal	Narón	test	test_positive_candidate	-8.17873332	43.50171132	566393.00	4816859.00	-8.18190374,43.49941164,-8.17556290,43.50401100	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0016	tra-naron-ga15054007	X-11 Castro de Sequeiro	Narón	test	test_positive_candidate	-8.17284242	43.53362484	566834.00	4820408.00	-8.17601452,43.53132516,-8.16967032,43.53592452	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0017	tra-naron-ga15054009	X-15 Castro de Vicás	Narón	test	test_positive_candidate	-8.15867341	43.53438585	567978.00	4820504.00	-8.16184555,43.53208617,-8.15550127,43.53668553	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0018	tra-naron-ga15054010	X-04 Castro da Ermida	Narón	test	test_positive_candidate	-8.10421499	43.53370200	572379.00	4820474.00	-8.10738709,43.53140232,-8.10104289,43.53600168	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0019	tra-naron-ga15054037	X-07 Castro de A Pedreira	Narón	test_o_val	positive_o_val_holdout	-8.22912986	43.56080566	562258.00	4823383.00	-8.23230339,43.55850598,-8.22595633,43.56310534	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0020	tra-naron-vilasuso	Castro de Vilasuso	Narón	test_o_val	positive_o_val_holdout	-8.22056326	43.56705213	562943.36	4824083.18	-8.22373712,43.56475245,-8.21738940,43.56935181	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0021	tra-naron-x-05-castro-da-pereiruga	X-05 Castro da Pereiruga	Narón	test	test_positive_candidate	-8.11938616	43.54320222	571142.00	4821516.00	-8.12255876,43.54090254,-8.11621356,43.54550190	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0022	tra-naron-x-06-castro-da-revolta	X-06 Castro da Revolta	Narón	test	test_positive_candidate	-8.15707067	43.53927232	568102.00	4821048.00	-8.16024306,43.53697264,-8.15389828,43.54157200	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0023	tra-naron-x-48-castro-do-ramo	X-48 Castro do Ramo	Narón	test	test_positive_candidate	-8.10386314	43.51985078	572424.00	4818936.00	-8.10703451,43.51755110,-8.10069177,43.52215046	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0024	tra-neda-castro-de-ancos	Castro de Ancos	Neda	train	train_positive_candidate	-8.14037000	43.52196000	569471.16	4819139.12	-8.14354148,43.51966032,-8.13719852,43.52425968	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0025	tra-neda-castro-de-viladonelle	Castro de Viladonelle	Neda	train	train_positive_candidate	-8.12008030	43.48519520	571154.05	4815073.20	-8.12324985,43.48289552,-8.11691075,43.48749488	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0026	tra-san-sadurnino-castro-da-croa-do-redo	Castro da Croa do Redo	San Sadurniño	val	val_positive_candidate	-8.03469410	43.54679590	577979.40	4821991.05	-8.03786689,43.54449622,-8.03152131,43.54909558	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0027	tra-san-sadurnino-castro-da-croa-ou-castro-de-rupiallo	Castro da Croa ou Castro de Rupiallo	San Sadurniño	val	val_positive_candidate	-8.08040294	43.53704092	574298.91	4820865.81	-8.08357522,43.53474124,-8.07723066,43.53934060	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
tile-tra-0028	tra-san-sadurnino-castro-de-castrelo	Castro de Castrelo	San Sadurniño	val	val_positive_candidate	-8.07517670	43.58368750	574663.54	4826051.06	-8.07835143,43.58138782,-8.07200197,43.58598718	512	pnoa_rgb; lidar_dem; hillshade; slope; lrm_msrm	pending_qgis_review
