tile_id	site_id	primary_name	municipality	split	dataset_use	center_lon_wgs84	center_lat_wgs84	bbox_wgs84	width_px	height_px	wms_layer	preview_url
tile-tra-0001	tra-ferrol-ga15036001	Castro de Lobariz / Lobadiz	Ferrol	train	train_positive_candidate	-8.09129918	43.66075514	-8.09447799,43.65845546,-8.08812037,43.66305482	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.09447799%2C43.65845546%2C-8.08812037%2C43.66305482&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0002	tra-ferrol-ga15036002	Castro de Tralocastro / Esmelle	Ferrol	train	train_positive_candidate	-8.26729807	43.53191997	-8.27047008,43.52962029,-8.26412606,43.53421965	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.27047008%2C43.52962029%2C-8.26412606%2C43.53421965&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0003	tra-ferrol-ga15036003	Castro de Marmancón / Papoi	Ferrol	train	train_positive_candidate	-8.24894103	43.53979889	-8.25211345,43.53749921,-8.24576861,43.54209857	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.25211345%2C43.53749921%2C-8.24576861%2C43.54209857&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0004	tra-ferrol-ga15036004	Monte do Castro / Castro de Vilela	Ferrol	train	train_positive_candidate	-8.24006400	43.52436600	-8.24323561,43.52206632,-8.23689239,43.52666568	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.24323561%2C43.52206632%2C-8.23689239%2C43.52666568&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0005	tra-ferrol-ga15036005	Os Castros de Mandiá	Ferrol	train	train_positive_candidate	-8.23112044	43.51457186	-8.23429154,43.51227218,-8.22794934,43.51687154	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.23429154%2C43.51227218%2C-8.22794934%2C43.51687154&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0006	tra-ferrol-ga15036007	Castro de Santa Cecilia	Ferrol	train	train_positive_candidate	-8.19999608	43.51114054	-8.20316700,43.50884086,-8.19682516,43.51344022	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.20316700%2C43.50884086%2C-8.19682516%2C43.51344022&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0007	tra-ferrol-ga15036008	Castro de Vilasanche	Ferrol	train	train_positive_candidate	-8.26323300	43.50009000	-8.26640334,43.49779032,-8.26006266,43.50238968	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.26640334%2C43.49779032%2C-8.26006266%2C43.50238968&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0008	tra-ferrol-ga15036010	Coto dos Mouros / Castro de Vilabuíde	Ferrol	train	train_positive_candidate	-8.27676091	43.49387984	-8.27993092,43.49158016,-8.27359090,43.49617952	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.27993092%2C43.49158016%2C-8.27359090%2C43.49617952&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0009	tra-ferrol-ga15036014	Necrópolis de Santa Comba	Ferrol	train	train_positive_candidate	-8.28390598	43.56033873	-8.28707948,43.55803905,-8.28073248,43.56263841	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.28707948%2C43.55803905%2C-8.28073248%2C43.56263841&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
tile-tra-0010	tra-naron-ga15054001	X-39 Monte do Castro	Narón	test_o_val	positive_o_val_holdout	-8.22045693	43.56700474	-8.22363079,43.56470506,-8.21728307,43.56930442	512	512	OI.OrthoimageCoverage	https://www.ign.es/wms-inspire/pnoa-ma?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&LAYERS=OI.OrthoimageCoverage&STYLES=&SRS=EPSG%3A4326&BBOX=-8.22363079%2C43.56470506%2C-8.21728307%2C43.56930442&WIDTH=512&HEIGHT=512&FORMAT=image%2Fpng&TRANSPARENT=false
