task_id	priority	site_id	primary_name	municipality	parish	dataset_use	split	has_coordinates	qgis_action	suggested_decision	notes
task-0010	P0	tra-fene-ga15035011	Castro de Cordoeiro	Fene	Perlío	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Plan Sectorial 2014; posible relación con As Pías/Río Castro a revisar
task-0005	P0	tra-fene-fontenova	Castro de Fontenova	Fene	San Xurxo de Magalofes	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0013	P0	tra-fene-ovra	Castro de Ovra	Fene	Santa María de Sillobre	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0028	P0	tra-ferrol-ferreiros	Castro de Ferreiros	Ferrol	Santa Uxía de Mandiá	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0042	P0	tra-ferrol-o-xeixo	Castro de O Xeixo	Ferrol	San Pedro de Leixa	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0043	P0	tra-ferrol-papoy	Castro de Papoy	Ferrol	San Pedro de Marmancón	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0076	P0	tra-neda-castros	Castros	Neda	San Martiño de Neda	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Plan Sectorial 2014, TOP15055002; topónimo/yacimiento a comprobar
task-0078	P0	tra-neda-monte-de-rabadena	Monte de Rabadeña	Neda	Santa María de Neda	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Plan Sectorial 2014, clave GA15055005; no sustituye al catálogo completo
task-0083	P0	tra-san-sadurnino-castro-das-croas	Castro das Croas	San Sadurniño	San Sadurniño	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	equivalente probable al Castro de San Sadurniño | Presente en lista clásica Pena/Calaméo nº 68.
task-0091	P0	tra-san-sadurnino-fraga	Castro de Fraga	San Sadurniño	Santa María de Bardaos	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0096	P0	tra-san-sadurnino-san-cristobal	Castro de San Cristóbal	San Sadurniño	Santa María de San Sadurniño	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0087	P0	tra-san-sadurnino-coto-da-croa-ou-a-croa-do-castro	Coto da Croa ou A Croa do Castro	San Sadurniño	Bardaos	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	catálogo NNSS San Sadurniño | solo pista nominal O Noso Patrimonio; confirmar
task-0098	P0	tra-valdovino-as-filgueiras	Castro de As Filgueiras	Valdoviño	San Vicente de Meirás	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0116	P0	tra-valdovino-ga15087012	Castro de Aviño	Valdoviño	Valdoviño	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 49.
task-0107	P0	tra-valdovino-ga15087003	Castro de Coto Redondo	Valdoviño	Pantín	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 53.
task-0127	P0	tra-valdovino-praia-frouxeira	Castro de Praia Frouxeira	Valdoviño	Santa Eulalia de Valdoviño	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0123	P0	tra-valdovino-ga15087022	Castro de Punta do Vico	Valdoviño	Valdoviño	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	tabla ID_IPAGA 2021
task-0115	P0	tra-valdovino-ga15087011	O Castro	Valdoviño	Lago	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	tabla ID_IPAGA 2021
task-0121	P0	tra-valdovino-ga15087017	Puerto de Meirás	Valdoviño	Meirás	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	tabla ID_IPAGA 2021
task-0001	P1	tra-fene-almieiras	Castro de Almieiras	Fene	Santa Eulalia de Limodre	positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
