task_id	priority	site_id	primary_name	municipality	parish	dataset_use	split	has_coordinates	qgis_action	suggested_decision	notes
task-0001	P1	tra-fene-almieiras	Castro de Almieiras	Fene	Santa Eulalia de Limodre	positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0002	P1	tra-fene-as-pias	Castro de As Pías	Fene	San Esteban de Perlío	positive_damaged_review	review_only	yes	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0012	P1	tra-fene-loureiros	Castro de Loureiros	Fene	Santiago de Barallobre	positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0015	P1	tra-fene-san-esteban-de-perlio	Castro de San Esteban de Perlío	Fene		positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0014	P1	tra-fene-re15035002	Castro do Sartego	Fene	Fene	positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Plan Sectorial 2014; registro RE | Presente en lista clásica Pena/Calaméo nº 33.
task-0037	P1	tra-ferrol-ga15036009	A Croa / Castro da Croa de Fontá	Ferrol	Doniños	positive_damaged_review	review_only	yes	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	catálogo Ferrol; Artabro/PG lo nombran como Croa de Fontá | Presente en lista clásica Pena/Calaméo nº 2. | Presente en lista clásica Pena/Calaméo nº 10. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0016	P1	tra-ferrol-canido	Castro de Canido	Ferrol		positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0040	P1	tra-ferrol-ga15036012	Castro de Ferrol Vello	Ferrol	Ferrol	positive_damaged_review	review_only	yes	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	otros yacimientos documentados | Presente en lista clásica Pena/Calaméo nº 11. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0030	P1	tra-ferrol-ga15036001	Castro de Lobariz / Lobadiz	Ferrol	San Xurxo da Mariña	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol; otros nombres Punta do Castro | Presente en lista clásica Pena/Calaméo nº 1. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0032	P1	tra-ferrol-ga15036003	Castro de Marmancón / Papoi	Ferrol	Marmancón	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol; otros nombres Castro de Papoi | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0035	P1	tra-ferrol-ga15036007	Castro de Santa Cecilia	Ferrol	Santa Icía de Trasancos	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol
task-0039	P1	tra-ferrol-ga15036011	Castro de Santa Mariña / Casal dos Ovos	Ferrol	Santa Mariña do Vilar | Serantes	positive_damaged_review	review_only	yes	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	catálogo Ferrol | otros yacimientos documentados; posible equivalencia con Santa Mariña/Casal dos Ovos, revisar | Presente en lista clásica Pena/Calaméo nº 12. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0031	P1	tra-ferrol-ga15036002	Castro de Tralocastro / Esmelle	Ferrol	Esmelle	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol | Presente en lista clásica Pena/Calaméo nº 5. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0036	P1	tra-ferrol-ga15036008	Castro de Vilasanche	Ferrol	Serantes	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol | Presente en lista clásica Pena/Calaméo nº 8. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0038	P1	tra-ferrol-ga15036010	Coto dos Mouros / Castro de Vilabuíde	Ferrol	Doniños	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol; otros nombres Castelo dos Mouros/Castro de Vilabuíde | Presente en lista clásica Pena/Calaméo nº 3. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0033	P1	tra-ferrol-ga15036004	Monte do Castro / Castro de Vilela	Ferrol	Mandiá	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol; OCR lee Vuela/Vilela | Presente en lista clásica Pena/Calaméo nº 7. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0041	P1	tra-ferrol-ga15036014	Necrópolis de Santa Comba	Ferrol	Covas	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	el catálogo la tipa como castro/asentamiento fortificado y necrópolis | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0034	P1	tra-ferrol-ga15036005	Os Castros de Mandiá	Ferrol	Mandiá	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo Ferrol
task-0067	P1	tra-naron-o-castro	O Castro	Narón	San Martiño do Couto	positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial. | Presente en lista clásica Pena/Calaméo nº 22.
task-0064	P1	tra-naron-ga15054010	X-04 Castro da Ermida	Narón	Pedroso	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 20. | 3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0070	P1	tra-naron-x-05-castro-da-pereiruga	X-05 Castro da Pereiruga	Narón	Pedroso	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 24. | 3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0071	P1	tra-naron-x-06-castro-da-revolta	X-06 Castro da Revolta	Narón	Sedes	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 17. | 3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0061	P1	tra-naron-ga15054006	X-09 Castro de Couto / O Petouzal	Narón	O Couto	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0060	P1	tra-naron-ga15054005	X-10 Castro de Eiravedra	Narón	Sedes	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 18. | 3 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0062	P1	tra-naron-ga15054007	X-11 Castro de Sequeiro	Narón	San Xiao de Narón	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 16. | 4 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0065	P1	tra-naron-ga15054015	X-12 Castro de Pena Lopesa	Narón	O Val	positive_damaged_review	review_only	yes	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Presente en lista clásica Pena/Calaméo nº 25. | 4 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0058	P1	tra-naron-ga15054003	X-14 Castro de San Mateo	Narón	Trasancos / San Mateo	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 15. | 2 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0063	P1	tra-naron-ga15054009	X-15 Castro de Vicás	Narón	San Xiao de Narón	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	Presente en lista clásica Pena/Calaméo nº 19. | 2 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0059	P1	tra-naron-ga15054004	X-40 Castro de Santa María	Narón	Castro (Santa María)	test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	
task-0072	P1	tra-naron-x-48-castro-do-ramo	X-48 Castro do Ramo	Narón		test_positive_candidate	test	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	en trámite según índice PXOM
task-0074	P1	tra-neda-castro-de-ancos	Castro de Ancos	Neda	Santa María de Neda	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo NNSS Neda, ficha 42 | Presente en lista clásica Pena/Calaméo nº 46.
task-0079	P1	tra-neda-santa-maria-de-neda	Castro de Santa María de Neda	Neda	Santa María de Neda	positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0075	P1	tra-neda-castro-de-viladonelle	Castro de Viladonelle	Neda	Viladonelle	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo NNSS Neda, ficha 43 | Presente en lista clásica Pena/Calaméo nº 47.
task-0081	P1	tra-san-sadurnino-castro-da-croa-do-redo	Castro da Croa do Redo	San Sadurniño	Lamas	val_positive_candidate	val	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	OCR lee Retío; Fálame/Galipedia leen Redo | Presente en lista clásica Pena/Calaméo nº 73. | parte del sistema de cinco castros del Val do Xuvia
task-0082	P1	tra-san-sadurnino-castro-da-croa-ou-castro-de-rupiallo	Castro da Croa ou Castro de Rupiallo	San Sadurniño	San Sadurniño	val_positive_candidate	val	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo NNSS San Sadurniño | flanco suroeste del sistema; junto a A Portela | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0084	P1	tra-san-sadurnino-castro-de-castrelo	Castro de Castrelo	San Sadurniño	Monte	val_positive_candidate	val	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo NNSS San Sadurniño | Presente en lista clásica Pena/Calaméo nº 69. | Presente en lista clásica Pena/Calaméo nº 70. | apoyo norte; deteriorado; fuente en Fálame y Ateneo 1987 | solo pista nominal Galipedia/O Noso Patrimonio; confirmar
task-0085	P1	tra-san-sadurnino-castro-de-croas-de-ramil	Castro de Croas de Ramil	San Sadurniño	Lamas	val_positive_candidate	val	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo NNSS San Sadurniño | Presente en lista clásica Pena/Calaméo nº 72. | flanco sureste del sistema según Fálame
task-0086	P1	tra-san-sadurnino-castro-de-riboira	Castro de Riboira	San Sadurniño	Lamas	val_positive_candidate	val	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	catálogo NNSS San Sadurniño | Presente en lista clásica Pena/Calaméo nº 67. | parte del sistema de cinco castros del Val do Xuvia | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0097	P1	tra-san-sadurnino-tralocastro	Tralocastro	San Sadurniño	San Xiao de Lamas	positive_damaged_review	review_only	no	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0110	P1	tra-valdovino-ga15087008	Castro	Valdoviño	Vilarrube	positive_damaged_review	review_only	yes	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 58. | Presente en lista clásica Pena/Calaméo nº 60. | Presente en lista clásica Pena/Calaméo nº 63.
task-0114	P1	tra-valdovino-ga15087012	Castro de Aviño	Valdoviño	Valdoviño	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 49.
task-0118	P1	tra-valdovino-ga15087016	Castro de Carreira de Abaixo	Valdoviño	O Sequeiro	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 64. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0109	P1	tra-valdovino-ga15087007	Castro de Casianes	Valdoviño	Pantín	positive_damaged_review	review_only	yes	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 54. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0105	P1	tra-valdovino-ga15087003	Castro de Coto Redondo	Valdoviño	Pantín	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 53.
task-0115	P1	tra-valdovino-ga15087013	Castro de Crecente	Valdoviño	Loira	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 50. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0106	P1	tra-valdovino-ga15087004	Castro de Lagoa	Valdoviño	Pantín	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021 | 4 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0117	P1	tra-valdovino-ga15087015	Castro de Lodeiro	Valdoviño	O Sequeiro	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 57. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0123	P1	tra-valdovino-ga15087024	Castro de Lousada	Valdoviño	Loira	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 65. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0112	P1	tra-valdovino-ga15087010	Castro de Poulo	Valdoviño	Valdoviño	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 51. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0111	P1	tra-valdovino-ga15087009	Castro de Punta Frouxeira	Valdoviño	Valdoviño	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021
task-0103	P1	tra-valdovino-ga15087001	Castro de Punta Taraza	Valdoviño	Meirás	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 52.
task-0121	P1	tra-valdovino-ga15087022	Castro de Punta do Vico	Valdoviño	Valdoviño	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021
task-0116	P1	tra-valdovino-ga15087014	Castro de Vidueiros	Valdoviño	Vilaboa	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 56. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0108	P1	tra-valdovino-ga15087006	Castro de Vilarrube / Os Castros de Ferreirías	Valdoviño	Pantín	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021
task-0122	P1	tra-valdovino-ga15087023	Castro y Mina do Pereiro	Valdoviño	Valdoviño	positive_damaged_review	review_only	yes	Comprobar visibilidad/conservación; usar solo como caso de error o revisión.	inspect_damaged_site	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 62. | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0104	P1	tra-valdovino-ga15087002	O Castrillón	Valdoviño	Meirás	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021 | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0113	P1	tra-valdovino-ga15087011	O Castro	Valdoviño	Lago	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021
task-0124	P1	tra-valdovino-ga15087032	O Foro	Valdoviño	Valdoviño	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021 | 2 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0107	P1	tra-valdovino-ga15087005	Os Castros	Valdoviño	Pantín	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021 | Presente en lista clásica Pena/Calaméo nº 55. | 4 coordenadas candidatas en fuentes; se eligió Artabro por prioridad.
task-0120	P1	tra-valdovino-ga15087020	Zona arqueológica de la Iglesia y Castro Sto. Tomás de Taraza	Valdoviño	Meirás	train_positive_candidate	train	yes	Verificar coordenada y dibujar polígono/buffer entrenable.	draw_training_polygon	tabla ID_IPAGA 2021
