task_id	priority	site_id	primary_name	municipality	parish	dataset_use	split	has_coordinates	qgis_action	suggested_decision	notes
task-0003	P2	tra-fene-castro-das-escadas	Castro das Escadas	Fene		review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0009	P2	tra-fene-ga15035010	Castro de Barallobre	Fene	Barallobre	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Plan Sectorial 2014 | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0004	P2	tra-fene-castro-de-belelle	Castro de Belelle	Fene	Sillobre (Santa Mariña)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0006	P2	tra-fene-ga15035007	Castro de Magalofes	Fene	Magalofes (San Xurxo)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0008	P2	tra-fene-ga15035009	Castro de Orra	Fene	Sillobre	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Plan Sectorial 2014 | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0007	P2	tra-fene-ga15035008	Castro de Prismos	Fene	Limodre	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Plan Sectorial 2014 | Presente en lista clásica Pena/Calaméo nº 26. | 2 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0011	P2	tra-fene-ga15035012	Castro de Río Castro	Fene	Limodre (Santa Eulalia)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0046	P2	tra-ferrol-ri-000007172	Castro da Croa de Leixa	Ferrol	Leixa	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0047	P2	tra-ferrol-ri-000009062	Castro da Ermida	Ferrol	Pedroso (San Salvador)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0017	P2	tra-ferrol-castro-da-pereiruga	Castro da Pereiruga	Ferrol	Pedroso (San Salvador)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0029	P2	tra-ferrol-ga-15054008	Castro da Revolta	Ferrol	Sedes (San Estevo)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0018	P2	tra-ferrol-castro-de-ancos	Castro de Ancos	Ferrol	Neda, Santa María	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0045	P2	tra-ferrol-ref15036004	Castro de Arbosa	Ferrol	Brión	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	referencia del catálogo, no código GA
task-0048	P2	tra-ferrol-ri-000015019	Castro de Crecente	Ferrol	Loira (San Pedro)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0019	P2	tra-ferrol-castro-de-lago	Castro de Lago	Ferrol	Lago (Santiago)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0020	P2	tra-ferrol-castro-de-lavacerido	Castro de Lavacerido	Ferrol	Meirás ( San Vicente)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0049	P2	tra-ferrol-ri-000015021	Castro de Lodeiro	Ferrol	O Sequeiro (Santa María)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0021	P2	tra-ferrol-castro-de-loiravella	Castro de Loiravella	Ferrol	Loira (Santiago)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0022	P2	tra-ferrol-castro-de-santo-tomas	Castro de Santo Tomás	Ferrol	Meirás	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0023	P2	tra-ferrol-castro-de-sta-cecilia	Castro de Sta. Cecilia	Ferrol	Sta. Cecilia de Trasancos	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0024	P2	tra-ferrol-castro-de-sta-comba	Castro de Sta. Comba	Ferrol	S. Martín de Cobas	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0025	P2	tra-ferrol-castro-de-sta-marina	Castro de Sta. Marina	Ferrol	Sta. Marina del Vilar	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0026	P2	tra-ferrol-castro-de-viladonelle	Castro de Viladonelle	Ferrol	Viladonelle (Santo André)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0050	P2	tra-ferrol-ri-000015057	Castro do Rodo	Ferrol	Pantín	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0027	P2	tra-ferrol-castro-do-vilar	Castro do Vilar	Ferrol	Trasancos (San Mateo)	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0044	P2	tra-ferrol-ref15036002	Pico de Ouro	Ferrol	Mandiá	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	referencia del catálogo, no código GA
task-0051	P2	tra-naron-castro-de-bicas	Castro de Bicás	Narón	S. Julián de Narón	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0052	P2	tra-naron-castro-de-s-mateo	Castro de S. Mateo	Narón	S. Mateo de Trasancos	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0053	P2	tra-naron-castro-de-san-estevo	Castro de San Estevo	Narón		review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0054	P2	tra-naron-castro-de-sedes	Castro de Sedes	Narón	S. Esteban de Sedes	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0055	P2	tra-naron-castro-de-sta-maria	Castro de Sta. María	Narón	Sta. María de Castro	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0068	P2	tra-naron-to15054003	X-08 Castro de Abaixo	Narón		review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	en PXOM como toponímico/castro; revisar código
task-0077	P2	tra-neda-ga150554006	Castro do Petouzal	Neda	O Couto	review_only	review_only	yes	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	Candidato procedente de catálogo web no reconciliado con la tabla oficial normalizada.
task-0080	P2	tra-san-sadurnino-a-croa-naraio	A Croa / Naraío	San Sadurniño	Naraío	review_only	review_only	no	Reconciliar con fuente oficial o descartar.	reconcile_or_discard	posible castro/topónimo bajo lectura muy débil; confirmar
