series_code	series_label	series_priority	query_tile_lower_id	query_x_utm29	query_y_utm29	query_lon_wgs84	query_lat_wgs84	query_total_archivos	file_name	sec	detail_url	download_url	product	year	density_or_scale	size_mb	format	download_unit	init_download_status	downloaded_path	status	notes
LIDA3	LIDAR - 3a Cobertura (2022-2025)	1	630-4779	630500.00	4779500.00	-7.39485808	43.15699886	1	PNOA_2024_GAL_630-4780_H29_NPC01.laz	12726608	https://centrodedescargas.cnig.es/CentroDescargas/detalleArchivo?sec=12726608	https://centrodedescargas.cnig.es/CentroDescargas/descargaDir	LIDAR - 3ª Cobertura (2022-2025)	2024	5 ptos/m2	57.97	LAZ	Superficies de 1x1 km.	ready_no_interactive_license		ready_to_download	
LIDA3	LIDAR - 3a Cobertura (2022-2025)	1	630-4780	630500.00	4780500.00	-7.39462236	43.16600015	1	PNOA_2024_GAL_630-4781_H29_NPC01.laz	12735925	https://centrodedescargas.cnig.es/CentroDescargas/detalleArchivo?sec=12735925	https://centrodedescargas.cnig.es/CentroDescargas/descargaDir	LIDAR - 3ª Cobertura (2022-2025)	2024	5 ptos/m2	66.42	LAZ	Superficies de 1x1 km.	ready_no_interactive_license		ready_to_download	
LIDA3	LIDAR - 3a Cobertura (2022-2025)	1	631-4779	631500.00	4779500.00	-7.38256293	43.15682567	1	PNOA_2024_GAL_631-4780_H29_NPC01.laz	12731455	https://centrodedescargas.cnig.es/CentroDescargas/detalleArchivo?sec=12731455	https://centrodedescargas.cnig.es/CentroDescargas/descargaDir	LIDAR - 3ª Cobertura (2022-2025)	2024	5 ptos/m2	72.65	LAZ	Superficies de 1x1 km.	ready_no_interactive_license		ready_to_download	
LIDA3	LIDAR - 3a Cobertura (2022-2025)	1	631-4780	631500.00	4780500.00	-7.38232540	43.16582691	1	PNOA_2024_GAL_631-4781_H29_NPC01.laz	12755297	https://centrodedescargas.cnig.es/CentroDescargas/detalleArchivo?sec=12755297	https://centrodedescargas.cnig.es/CentroDescargas/descargaDir	LIDAR - 3ª Cobertura (2022-2025)	2024	5 ptos/m2	61.87	LAZ	Superficies de 1x1 km.	ready_no_interactive_license		ready_to_download	
LIDA2	LIDAR - 2a Cobertura (2015-2021)	2	630-4779	630500.00	4779500.00	-7.39485808	43.15699886	2	PNOA_2016_GAL_E_630-4780_ORT-CLA-CIR.laz	11036866	https://centrodedescargas.cnig.es/CentroDescargas/detalleArchivo?sec=11036866	https://centrodedescargas.cnig.es/CentroDescargas/descargaDir	LIDAR - 2ª Cobertura (2015-2021)	2016	0,50 ptos/m2	44.55	LAZ	Superficies de 2x2 km de extensión con excepciones de 1x1 km.	ready_no_interactive_license		ready_to_download	
LIDA2	LIDAR - 2a Cobertura (2015-2021)	2	630-4779	630500.00	4779500.00	-7.39485808	43.15699886	2	PNOA_2016_GAL_E_630-4780_ORT-CLA-COL.laz	11032764	https://centrodedescargas.cnig.es/CentroDescargas/detalleArchivo?sec=11032764	https://centrodedescargas.cnig.es/CentroDescargas/descargaDir	LIDAR - 2ª Cobertura (2015-2021)	2016	0,50 ptos/m2	44.36	LAZ	Superficies de 2x2 km de extensión con excepciones de 1x1 km.	ready_no_interactive_license		ready_to_download	
LIDA2	LIDAR - 2a Cobertura (2015-2021)	2	630-4780	630500.00	4780500.00	-7.39462236	43.16600015	2	PNOA_2016_GAL_E_630-4782_ORT-CLA-CIR.laz	11036867	https://centrodedescargas.cnig.es/CentroDescargas/detalleArchivo?sec=11036867	https://centrodedescargas.cnig.es/CentroDescargas/descargaDir	LIDAR - 2ª Cobertura (2015-2021)	2016	0,50 ptos/m2	41.99	LAZ	Superficies de 2x2 km de extensión con excepciones de 1x1 km.	ready_no_interactive_license		ready_to_download	
LIDA2	LIDAR - 2a Cobertura (2015-2021)	2	630-4780	630500.00	4780500.00	-7.39462236	43.16600015	2	PNOA_2016_GAL_E_630-4782_ORT-CLA-COL.laz	11032765	https://centrodedescargas.cnig.es/CentroDescargas/detalleArchivo?sec=11032765	https://centrodedescargas.cnig.es/CentroDescargas/descargaDir	LIDAR - 2ª Cobertura (2015-2021)	2016	0,50 ptos/m2	41.71	LAZ	Superficies de 2x2 km de extensión con excepciones de 1x1 km.	ready_no_interactive_license		ready_to_download	
LIDA2	LIDAR - 2a Cobertura (2015-2021)	2	631-4779	631500.00	4779500.00	-7.38256293	43.15682567	2	PNOA_2016_GAL_E_630-4780_ORT-CLA-CIR.laz	11036866	https://centrodedescargas.cnig.es/CentroDescargas/detalleArchivo?sec=11036866	https://centrodedescargas.cnig.es/CentroDescargas/descargaDir	LIDAR - 2ª Cobertura (2015-2021)	2016	0,50 ptos/m2	44.55	LAZ	Superficies de 2x2 km de extensión con excepciones de 1x1 km.	ready_no_interactive_license		ready_to_download	
LIDA2	LIDAR - 2a Cobertura (2015-2021)	2	631-4779	631500.00	4779500.00	-7.38256293	43.15682567	2	PNOA_2016_GAL_E_630-4780_ORT-CLA-COL.laz	11032764	https://centrodedescargas.cnig.es/CentroDescargas/detalleArchivo?sec=11032764	https://centrodedescargas.cnig.es/CentroDescargas/descargaDir	LIDAR - 2ª Cobertura (2015-2021)	2016	0,50 ptos/m2	44.36	LAZ	Superficies de 2x2 km de extensión con excepciones de 1x1 km.	ready_no_interactive_license		ready_to_download	
