chip_id	label_class	ring	r_min	r_max	pixels	dem_mean	slope_mean	lrm_mean	lrm_abs_mean	hillshade_edge_mean
viladonga-pnoa-positive-1	1	core	0.00	0.60	187	547.978638	5.515691	-0.072921	0.541654	0.288594
viladonga-pnoa-positive-1	1	inner_plateau	0.60	0.85	188	548.526611	11.693231	1.451512	1.587700	0.657698
viladonga-pnoa-positive-1	1	expected_wall_inner	0.85	1.05	197	545.751282	13.781946	-0.165542	0.999454	0.519447
viladonga-pnoa-positive-1	1	expected_wall_outer	1.05	1.30	305	544.603271	6.614532	0.325565	0.861699	0.329690
viladonga-pnoa-positive-1	1	near_exterior	1.30	1.70	624	541.645813	10.790936	0.391807	0.604459	0.241769
viladonga-pnoa-positive-1	1	far_context	1.70	2.50	1741	534.369324	12.745768	0.355628	0.672041	0.252289
viladonga-pnoa-negative-2	0	core	0.00	0.60	188	515.914917	8.984458	-0.010550	0.314576	0.190024
viladonga-pnoa-negative-2	0	inner_plateau	0.60	0.85	181	515.828735	9.403787	0.115747	0.357106	0.213403
viladonga-pnoa-negative-2	0	expected_wall_inner	0.85	1.05	202	515.896057	10.251298	0.131782	0.352387	0.187039
viladonga-pnoa-negative-2	0	expected_wall_outer	1.05	1.30	301	515.421936	10.168039	0.207517	0.396638	0.202343
viladonga-pnoa-negative-2	0	near_exterior	1.30	1.70	628	514.261169	10.556476	0.273885	0.457228	0.209375
viladonga-pnoa-negative-2	0	far_context	1.70	2.50	1726	510.900940	12.105724	0.048213	0.490855	0.220267
viladonga-pnoa-negative-3	0	core	0.00	0.60	188	517.047852	6.873171	-0.013321	0.291850	0.146039
viladonga-pnoa-negative-3	0	inner_plateau	0.60	0.85	181	517.077332	7.967207	0.059813	0.342997	0.171231
viladonga-pnoa-negative-3	0	expected_wall_inner	0.85	1.05	202	517.118835	7.266684	0.082930	0.358522	0.153819
viladonga-pnoa-negative-3	0	expected_wall_outer	1.05	1.30	302	516.834412	6.940716	0.001834	0.339802	0.185906
viladonga-pnoa-negative-3	0	near_exterior	1.30	1.70	627	516.532715	6.858316	0.168993	0.406619	0.195825
viladonga-pnoa-negative-3	0	far_context	1.70	2.50	1726	514.902649	8.661573	0.112609	0.648679	0.305350
viladonga-pnoa-negative-4	0	core	0.00	0.60	183	496.967224	6.843021	-0.234475	0.341327	0.174644
viladonga-pnoa-negative-4	0	inner_plateau	0.60	0.85	190	497.810516	6.619956	-0.377295	0.427490	0.170587
viladonga-pnoa-negative-4	0	expected_wall_inner	0.85	1.05	198	498.570709	7.825364	-0.337716	0.493489	0.156591
viladonga-pnoa-negative-4	0	expected_wall_outer	1.05	1.30	298	499.986572	9.110678	-0.164623	0.456542	0.183050
viladonga-pnoa-negative-4	0	near_exterior	1.30	1.70	620	501.874207	10.360434	-0.222914	0.505132	0.191765
viladonga-pnoa-negative-4	0	far_context	1.70	2.50	1734	506.111298	10.652616	-0.114821	0.516319	0.164171
viladonga-pnoa-negative-5	0	core	0.00	0.60	188	483.037231	4.752379	0.028662	0.453754	0.223509
viladonga-pnoa-negative-5	0	inner_plateau	0.60	0.85	178	483.123596	4.675307	0.331043	0.612870	0.203386
viladonga-pnoa-negative-5	0	expected_wall_inner	0.85	1.05	200	482.554993	6.177040	0.278389	0.577561	0.189759
viladonga-pnoa-negative-5	0	expected_wall_outer	1.05	1.30	304	481.756592	6.655488	0.198264	0.575657	0.194812
viladonga-pnoa-negative-5	0	near_exterior	1.30	1.70	626	480.199677	7.814990	-0.043276	0.589682	0.228189
viladonga-pnoa-negative-5	0	far_context	1.70	2.50	1718	478.572754	6.967960	-0.123943	0.672399	0.225879
viladonga-pnoa-negative-6	0	core	0.00	0.60	185	464.172974	3.913635	0.008667	0.310565	0.121626
viladonga-pnoa-negative-6	0	inner_plateau	0.60	0.85	191	464.198944	2.776163	-0.023149	0.248324	0.084360
viladonga-pnoa-negative-6	0	expected_wall_inner	0.85	1.05	192	464.098969	3.131623	-0.216727	0.363335	0.132485
viladonga-pnoa-negative-6	0	expected_wall_outer	1.05	1.30	306	464.467316	4.505209	-0.213013	0.404986	0.171997
viladonga-pnoa-negative-6	0	near_exterior	1.30	1.70	619	465.407104	5.317658	-0.146864	0.398884	0.169221
viladonga-pnoa-negative-6	0	far_context	1.70	2.50	1737	467.746124	6.419011	-0.017086	0.399373	0.167697
viladonga-pnoa-negative-7	0	core	0.00	0.60	185	470.048645	6.029747	-0.135627	0.295913	0.077528
