dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	wms_source	name	municipality	parish	morphology_proxy	negative_type	proposed_radius_m	feature_radius_m	image_path	status	error	gray_mean	gray_std	gray_entropy	dark_fraction	bright_fraction	green_mean	excess_green_mean	green_std	edge_global_mean	edge_global_std	edge_inner_mean	edge_annulus_mean	edge_outer_mean	edge_annulus_to_outer_ratio	edge_annulus_to_inner_ratio	texture_inner_std	texture_annulus_std	texture_outer_std	texture_annulus_to_outer_ratio	luminance_inner_mean	luminance_annulus_mean	luminance_outer_mean	luminance_delta_inner_outer	green_delta_inner_outer	ring_sector_coverage	ring_sector_balance	radial_peak_inverse_rank	radial_peak_count
train	wl-tile-v1-09842	wl-neg-neg-pt-dgpc-109485	neg-pt-dgpc-109485	0	hard_negative	train	PT	dgt_ortos2021_rgb	Abobeleira	Chaves	Vale de Anta		roman_built_context	80.0	120.0	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09842-neg-pt-dgpc-109485.png	ok		0.54661191	0.12169835	4.93658733	0.00000000	0.00507270	0.55010200	0.01838363	0.11797635	0.30197594	0.27502203	0.23460269	0.33566281	0.28019956	1.19794198	1.43077137	0.07877088	0.11352835	0.12015194	0.94487323	0.53834981	0.55110133	0.54603070	-0.00768089	-0.01158309	0.63888889	0.73112749	1.00000000	20.00000000
train	wl-tile-v1-09671	wl-neg-neg-pt-dgpc-113998	neg-pt-dgpc-113998	0	hard_negative	train	PT	dgt_ortos2021_rgb	Albergaria de Amarante	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		necropolis_or_burial	50.0	120.0	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09671-neg-pt-dgpc-113998.png	ok		0.48504528	0.13749020	5.10227786	0.00000000	0.00070530	0.48440042	0.02083525	0.13198358	0.41846165	0.33587164	0.45687324	0.43944892	0.39758682	1.10529046	0.96186182	0.14202043	0.13962740	0.14087819	0.99112149	0.52137417	0.47003779	0.48756236	0.03381181	0.03206486	0.52777778	0.73351050	0.20000000	20.00000000
train	wl-tile-v1-09786	wl-neg-neg-pt-dgpc-112388	neg-pt-dgpc-112388	0	hard_negative	train	PT	dgt_ortos2021_rgb	Almas 1	Paredes de Coura	Insalde e Porreiras		rock_art_surface	35.0	120.0	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09786-neg-pt-dgpc-112388.png	ok		0.44407797	0.08744727	4.41399113	0.00000000	0.00000000	0.44292578	0.01705804	0.08346481	0.26396549	0.25368121	0.25421289	0.26500919	0.25911066	1.02276454	1.04246956	0.07454507	0.08064471	0.08102823	0.99526685	0.43970075	0.41706997	0.44784474	-0.00814399	-0.00991589	0.41666667	0.66741891	0.14285714	20.00000000
train	wl-tile-v1-09787	wl-neg-neg-pt-dgpc-112389	neg-pt-dgpc-112389	0	hard_negative	train	PT	dgt_ortos2021_rgb	Almas 2	Paredes de Coura	Insalde e Porreiras		rock_art_surface	35.0	120.0	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09787-neg-pt-dgpc-112389.png	ok		0.42006561	0.07669792	4.24275641	0.00000000	0.00000000	0.42013466	0.01872617	0.07366306	0.20988025	0.20556833	0.22392921	0.18172647	0.20777528	0.87462989	0.81153535	0.07568388	0.05963557	0.07963982	0.74881594	0.42189166	0.40619725	0.42317811	-0.00128645	-0.00253671	0.27777778	0.71071883	0.05000000	20.00000000
train	wl-tile-v1-09789	wl-neg-neg-pt-dgpc-112391	neg-pt-dgpc-112391	0	hard_negative	train	PT	dgt_ortos2021_rgb	Almas 3	Paredes de Coura	Insalde e Porreiras		megalithic_mound	45.0	120.0	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09789-neg-pt-dgpc-112391.png	ok		0.41293594	0.07641654	4.23679392	0.00000000	0.00000000	0.41347706	0.02001825	0.07346208	0.20894419	0.20392160	0.19824032	0.22295623	0.20182414	1.10470542	1.12467645	0.05980451	0.07723112	0.07717860	1.00068058	0.42320412	0.38990766	0.42074361	0.00246051	0.00035644	0.47222222	0.63354509	0.20000000	20.00000000
train	wl-tile-v1-09860	wl-neg-neg-pt-dgpc-110210	neg-pt-dgpc-110210	0	hard_negative	train	PT	dgt_ortos2021_rgb	Alto da Raia	Montalegre	Tourém		roman_built_context	80.0	120.0	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09860-neg-pt-dgpc-110210.png	ok		0.36456272	0.04287785	3.43432641	0.00000000	0.00000000	0.36914635	0.04386840	0.04233909	0.11595716	0.11569308	0.06074847	0.09527950	0.11666994	0.81665853	1.56842635	0.02149214	0.03407011	0.03907257	0.87196991	0.40080446	0.38160783	0.36203685	0.03876761	0.03629392	0.36111111	0.64990934	0.09090909	20.00000000
train	wl-tile-v1-09839	wl-neg-neg-pt-dgpc-109328	neg-pt-dgpc-109328	0	hard_negative	train	PT	dgt_ortos2021_rgb	Alto do Circo/ Faiões	Chaves	Faiões		roman_built_context	80.0	120.0	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09839-neg-pt-dgpc-109328.png	ok		0.56993526	0.14885245	5.23552888	0.00000000	0.00493707	0.57367009	0.02481331	0.14479195	0.43286759	0.33274746	0.43708503	0.34990710	0.44590709	0.78470854	0.80054697	0.11913690	0.13940339	0.15638024	0.89143866	0.62388271	0.57055134	0.56045580	0.06342691	0.06035399	0.13888889	0.69087526	0.05000000	20.00000000
train	wl-tile-v1-09665	wl-neg-neg-pt-dgpc-105104	neg-pt-dgpc-105104	0	hard_negative	train	PT	dgt_ortos2021_rgb	Amarante - Calçada da Misericórdia	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		necropolis_or_burial;roman_built_context	80.0	120.0	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09665-neg-pt-dgpc-105104.png	ok		0.52434832	0.15464523	5.28701922	0.00000000	0.00387912	0.52084571	0.00467559	0.15098040	0.50644565	0.37360159	0.53130764	0.55645430	0.50385624	1.10439100	1.04732976	0.13664272	0.14237054	0.15430662	0.92264698	0.52988571	0.53935748	0.51814210	0.01174361	0.01114458	0.44444444	0.81416330	0.07692308	20.00000000
train	wl-tile-v1-09673	wl-neg-neg-pt-dgpc-114810	neg-pt-dgpc-114810	0	hard_negative	train	PT	dgt_ortos2021_rgb	Amarante - Ponte de Santa Luzia	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		roman_built_context	80.0	120.0	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09673-neg-pt-dgpc-114810.png	ok		0.50365937	0.14270009	5.17242681	0.00000000	0.00217014	0.50082421	0.00750549	0.13834283	0.48825967	0.35833508	0.55398959	0.50687653	0.48516291	1.04475531	0.91495678	0.14675246	0.13639103	0.13865952	0.98363983	0.56630075	0.50706291	0.49895501	0.06734574	0.06436813	0.36111111	0.83538671	0.07142857	20.00000000
train	wl-tile-v1-09533	wl-neg-neg-pt-dgpc-109231	neg-pt-dgpc-109231	0	hard_negative	train	PT	dgt_ortos2021_rgb	Anjo da Guarda São Miguel-o-Anjo	Amares	Ferreiros, Prozelo e Besteiros		roman_built_context	80.0	120.0	data/external/weak-label-chips-v1/train/negative/wl-tile-v1-09533-neg-pt-dgpc-109231.png	ok		0.47453797	0.15191814	5.19669585	0.00000000	0.00325521	0.47581789	0.02471703	0.14786413	0.42739066	0.36725262	0.47903872	0.46122834	0.40654474	1.13450819	0.96282059	0.14050989	0.15325247	0.16078822	0.95313242	0.46205175	0.47254485	0.47317991	-0.01112816	-0.01223353	0.63888889	0.75304767	1.00000000	20.00000000
