dataset	subset	rows	positives	negatives	roc_auc	average_precision	precision_at_10	recall_at_10	precision_at_50	recall_at_50	precision_at_100	recall_at_100	best_positive_rank	median_positive_rank
holdouts	all	204	68	136	0.862565	0.770981	0.800000	0.117647	0.820000	0.602941	0.600000	0.882353	1	39.5
holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
holdouts	split:test_trasancos	199	64	135	0.872338	0.769360	0.800000	0.125000	0.800000	0.625000	0.580000	0.906250	1	37.5
holdouts	source:ign_pnoa_rgb	204	68	136	0.862565	0.770981	0.800000	0.117647	0.820000	0.602941	0.600000	0.882353	1	39.5
test	all	2530	564	1966	0.743694	0.482859	0.600000	0.010638	0.700000	0.062057	0.720000	0.127660	2	584.0
test	source:dgt_ortos2021_rgb	147	36	111	0.521021	0.286604	0.200000	0.055556	0.280000	0.388889	0.250000	0.694444	2	78.5
test	source:ign_pnoa_rgb	2383	528	1855	0.767334	0.497648	0.600000	0.011364	0.700000	0.066288	0.720000	0.136364	2	519.5
train	all	9145	2014	7131	0.730968	0.491341	1.000000	0.004965	0.900000	0.022344	0.810000	0.040218	1	2124.0
train	source:dgt_ortos2021_rgb	504	170	334	0.564248	0.355670	0.100000	0.005882	0.220000	0.064706	0.320000	0.188235	1	218.5
train	source:ign_pnoa_rgb	8641	1844	6797	0.758435	0.513146	1.000000	0.005423	0.900000	0.024403	0.800000	0.043384	1	1807.0
val	all	2037	425	1612	0.709889	0.417477	0.900000	0.021176	0.660000	0.077647	0.560000	0.131765	1	550.0
val	source:dgt_ortos2021_rgb	186	66	120	0.562374	0.387863	0.300000	0.045455	0.380000	0.287879	0.390000	0.590909	1	84.0
val	source:ign_pnoa_rgb	1851	359	1492	0.756297	0.441023	0.900000	0.025070	0.660000	0.091922	0.560000	0.155989	1	439.0
