dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	wms_source	name	municipality	parish	morphology_proxy	negative_type	proposed_radius_m	feature_radius_m	probability	rank_desc_in_dataset	status	error
train	wl-tile-v1-09842	wl-neg-neg-pt-dgpc-109485	neg-pt-dgpc-109485	0	hard_negative	train	PT	dgt_ortos2021_rgb	Abobeleira	Chaves	Vale de Anta		roman_built_context	80.0	120.0	0.41129810	5172	ok	
train	wl-tile-v1-09671	wl-neg-neg-pt-dgpc-113998	neg-pt-dgpc-113998	0	hard_negative	train	PT	dgt_ortos2021_rgb	Albergaria de Amarante	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		necropolis_or_burial	50.0	120.0	0.55928976	2562	ok	
train	wl-tile-v1-09786	wl-neg-neg-pt-dgpc-112388	neg-pt-dgpc-112388	0	hard_negative	train	PT	dgt_ortos2021_rgb	Almas 1	Paredes de Coura	Insalde e Porreiras		rock_art_surface	35.0	120.0	0.33853868	6643	ok	
train	wl-tile-v1-09787	wl-neg-neg-pt-dgpc-112389	neg-pt-dgpc-112389	0	hard_negative	train	PT	dgt_ortos2021_rgb	Almas 2	Paredes de Coura	Insalde e Porreiras		rock_art_surface	35.0	120.0	0.25899068	8027	ok	
train	wl-tile-v1-09789	wl-neg-neg-pt-dgpc-112391	neg-pt-dgpc-112391	0	hard_negative	train	PT	dgt_ortos2021_rgb	Almas 3	Paredes de Coura	Insalde e Porreiras		megalithic_mound	45.0	120.0	0.20886936	8653	ok	
train	wl-tile-v1-09860	wl-neg-neg-pt-dgpc-110210	neg-pt-dgpc-110210	0	hard_negative	train	PT	dgt_ortos2021_rgb	Alto da Raia	Montalegre	Tourém		roman_built_context	80.0	120.0	0.10212097	9124	ok	
train	wl-tile-v1-09839	wl-neg-neg-pt-dgpc-109328	neg-pt-dgpc-109328	0	hard_negative	train	PT	dgt_ortos2021_rgb	Alto do Circo/ Faiões	Chaves	Faiões		roman_built_context	80.0	120.0	0.43315687	4745	ok	
train	wl-tile-v1-09665	wl-neg-neg-pt-dgpc-105104	neg-pt-dgpc-105104	0	hard_negative	train	PT	dgt_ortos2021_rgb	Amarante - Calçada da Misericórdia	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		necropolis_or_burial;roman_built_context	80.0	120.0	0.70668281	870	ok	
train	wl-tile-v1-09673	wl-neg-neg-pt-dgpc-114810	neg-pt-dgpc-114810	0	hard_negative	train	PT	dgt_ortos2021_rgb	Amarante - Ponte de Santa Luzia	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		roman_built_context	80.0	120.0	0.65248718	1378	ok	
train	wl-tile-v1-09533	wl-neg-neg-pt-dgpc-109231	neg-pt-dgpc-109231	0	hard_negative	train	PT	dgt_ortos2021_rgb	Anjo da Guarda São Miguel-o-Anjo	Amares	Ferreiros, Prozelo e Besteiros		roman_built_context	80.0	120.0	0.65952729	1308	ok	
