dataset	subset	rows	positives	negatives	roc_auc	average_precision	precision_at_10	recall_at_10	precision_at_50	recall_at_50	precision_at_100	recall_at_100	best_positive_rank	median_positive_rank
holdouts	all	204	68	136	0.710748	0.633197	0.900000	0.132353	0.680000	0.500000	0.490000	0.720588	1	52.0
holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
holdouts	split:test_trasancos	199	64	135	0.715741	0.631740	0.900000	0.140625	0.660000	0.515625	0.470000	0.734375	1	48.5
holdouts	source:ign_pnoa_rgb	204	68	136	0.710748	0.633197	0.900000	0.132353	0.680000	0.500000	0.490000	0.720588	1	52.0
train_mini	all	1000	446	554	0.683160	0.623365	0.800000	0.017937	0.820000	0.091928	0.720000	0.161435	1	381.5
train_mini	source:dgt_ortos2021_rgb	447	170	277	0.725632	0.599590	0.700000	0.041176	0.680000	0.200000	0.690000	0.405882	1	142.0
train_mini	source:ign_pnoa_rgb	553	276	277	0.653233	0.659380	0.800000	0.028986	0.820000	0.148551	0.720000	0.260870	1	217.5
val	all	2037	425	1612	0.681073	0.381901	0.900000	0.021176	0.600000	0.070588	0.520000	0.122353	1	587.0
val	source:dgt_ortos2021_rgb	186	66	120	0.699621	0.526421	0.600000	0.090909	0.580000	0.439394	0.450000	0.681818	3	57.0
val	source:ign_pnoa_rgb	1851	359	1492	0.716841	0.396769	0.900000	0.025070	0.600000	0.083565	0.520000	0.144847	1	476.0
