score_name	dataset	subset	rows	positives	negatives	roc_auc	average_precision	precision_at_10	recall_at_10	precision_at_50	recall_at_50	precision_at_100	recall_at_100	best_positive_rank	median_positive_rank
fusion_reference	holdouts	all	204	68	136	0.925281	0.880837	1.000000	0.147059	0.880000	0.647059	0.640000	0.941176	1	36.5
fusion_reference	holdouts	castro_vs_mamoa	201	68	133	0.926913	0.883990	1.000000	0.147059	0.880000	0.647059	0.640000	0.941176	1	36.5
fusion_reference	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion_reference	holdouts	split:test_trasancos	199	64	135	0.935764	0.879315	1.000000	0.156250	0.840000	0.656250	0.610000	0.953125	1	34.5
fusion_reference	test	all	2383	528	1855	0.910299	0.774873	1.000000	0.018939	0.940000	0.089015	0.910000	0.172348	1	312.5
fusion_reference	test	castro_vs_mamoa	1777	528	1249	0.930784	0.881468	1.000000	0.018939	1.000000	0.094697	0.990000	0.187500	1	274.5
fusion_reference	train	all	8641	1844	6797	0.916019	0.793529	1.000000	0.005423	1.000000	0.027115	0.960000	0.052061	1	1057.5
fusion_reference	train	castro_vs_mamoa	6816	1844	4972	0.930043	0.875294	1.000000	0.005423	1.000000	0.027115	1.000000	0.054230	1	959.5
fusion_reference	val	all	1851	359	1492	0.905931	0.759620	1.000000	0.027855	0.940000	0.130919	0.920000	0.256267	1	206.0
fusion_reference	val	castro_vs_mamoa	1357	359	998	0.902406	0.829138	1.000000	0.027855	1.000000	0.139276	0.980000	0.272981	1	191.0
castro_mamoa_specialist	holdouts	all	204	68	136	0.922362	0.868727	1.000000	0.147059	0.860000	0.632353	0.640000	0.941176	1	38.0
castro_mamoa_specialist	holdouts	castro_vs_mamoa	201	68	133	0.924923	0.873656	1.000000	0.147059	0.860000	0.632353	0.640000	0.941176	1	38.0
castro_mamoa_specialist	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
castro_mamoa_specialist	holdouts	split:test_trasancos	199	64	135	0.927546	0.865037	1.000000	0.156250	0.820000	0.640625	0.610000	0.953125	1	36.5
castro_mamoa_specialist	test	all	2383	528	1855	0.890131	0.727865	1.000000	0.018939	0.920000	0.087121	0.890000	0.168561	1	342.0
castro_mamoa_specialist	test	castro_vs_mamoa	1777	528	1249	0.929348	0.878478	1.000000	0.018939	1.000000	0.094697	0.990000	0.187500	1	276.5
castro_mamoa_specialist	train	all	8641	1844	6797	0.909099	0.767365	1.000000	0.005423	0.960000	0.026030	0.950000	0.051518	1	1096.5
castro_mamoa_specialist	train	castro_vs_mamoa	6816	1844	4972	0.934318	0.878883	1.000000	0.005423	1.000000	0.027115	1.000000	0.054230	1	962.5
castro_mamoa_specialist	val	all	1851	359	1492	0.899621	0.733719	0.900000	0.025070	0.900000	0.125348	0.880000	0.245125	1	217.0
castro_mamoa_specialist	val	castro_vs_mamoa	1357	359	998	0.912516	0.845939	1.000000	0.027855	1.000000	0.139276	0.980000	0.272981	1	190.0
fusion_specialist_mean	holdouts	all	204	68	136	0.926146	0.879864	1.000000	0.147059	0.860000	0.632353	0.630000	0.926471	1	36.5
