dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	fusion_probability	specialist_probability	fusion_specialist_mean	fusion_specialist_product	fusion70_specialist30	fusion_rank	specialist_rank	mean_rank	product_rank	fusion70_rank	max_safety_rank
train	wl-tile-v1-06178	wl-neg-neg-es-pba-38894	neg-es-pba-38894	0	hard_negative	train	ES	A Chousa das Minas	Pol	Arcos de Frades (Santiago)		mining_or_quarry	0.01485387	0.00783794	0.01134591	0.00011642	0.01274909	8563	8607	8587	8591	8576	8625
train	wl-tile-v1-05758	wl-neg-neg-es-pba-35203	neg-es-pba-35203	0	hard_negative	train	ES	A Costa/Medorra de Montecalvo 1	Monterroso	Marzán (Santa María)		megalithic_mound	0.20585212	0.23197660	0.21891436	0.04775287	0.21368946	4724	4471	4604	4571	4656	2921
train	wl-tile-v1-05760	wl-neg-neg-es-pba-35254	neg-es-pba-35254	0	hard_negative	train	ES	A Costa/Medorra de Montecalvo 2	Monterroso	Marzán (Santa María)		megalithic_mound	0.23859622	0.27404190	0.25631906	0.06538536	0.24922992	4312	4079	4174	4136	4223	2569
train	wl-tile-v1-03135	wl-neg-neg-es-pba-18194	neg-es-pba-18194	0	hard_negative	train	ES	A Cruz do Pinal/Mámoa da Cruz do Pinal	As Pontes de García Rodríguez	Vilavella (Santa María)		megalithic_mound	0.61428160	0.71048113	0.66238137	0.43643549	0.64314146	1937	1860	1886	1879	1903	788
train	wl-tile-v1-06235	wl-neg-neg-es-pba-40747	neg-es-pba-40747	0	hard_negative	train	ES	A Eira da Torre/Medorra de Sotordei	Ribas de Sil	Soutordei (Santiago)		megalithic_mound	0.78676691	0.91227422	0.84952056	0.71774717	0.82441910	1305	1047	1179	1188	1234	1770
train	wl-tile-v1-05761	wl-neg-neg-es-pba-35256	neg-es-pba-35256	0	hard_negative	train	ES	A Escrita/A Casa das Mouras/As Fontelas/Orgoso/Mámoa da Escrita 1	Monterroso	Fufín (San Martiño)		megalithic_mound	0.13547424	0.11401525	0.12474475	0.01544613	0.12903654	5795	6125	6012	5984	5931	6607
train	wl-tile-v1-07467	wl-neg-neg-es-pba-65654	neg-es-pba-65654	0	hard_negative	train	ES	A Gándara	A Guarda	Salcidos (San Lourenzo)		roman_built_context	0.28414719	0.26098480	0.27256600	0.07415810	0.27719847	3821	4206	4007	3975	3936	3408
train	wl-tile-v1-08416	wl-neg-neg-es-pba-66223	neg-es-pba-66223	0	hard_negative	train	ES	A Laxe das Presiñas	Gondomar	Peitieiros (San Miguel)		rock_art_surface	0.05036600	0.12927823	0.08982212	0.00651123	0.07403967	7730	5861	6751	6942	7121	1929
train	wl-tile-v1-06179	wl-neg-neg-es-pba-38898	neg-es-pba-38898	0	hard_negative	train	ES	A Madorra da Valiña	Pol	Luaces (Santa María)		megalithic_mound	0.38989996	0.32633412	0.35811704	0.12723766	0.37083021	3065	3657	3368	3343	3244	4053
train	wl-tile-v1-04509	wl-neg-neg-es-pba-24888	neg-es-pba-24888	0	hard_negative	train	ES	A Madorra/Foxo do Cabrito	Toques	Santa Mariña de Brañas (Santa Mari¤a)		megalithic_mound	0.27388094	0.23715385	0.25551740	0.06495192	0.26286281	3921	4415	4182	4143	4071	5122
train	wl-tile-v1-07325	wl-neg-neg-es-pba-56893	neg-es-pba-56893	0	hard_negative	train	ES	A Meana	Rubiá	Quereño (San Cristovo)		mining_or_quarry	0.15689244	0.16836690	0.16262967	0.02641549	0.16033478	5403	5241	5387	5344	5412	4469
train	wl-tile-v1-05830	wl-neg-neg-es-pba-29650	neg-es-pba-29650	0	hard_negative	train	ES	A Medorra	O Corgo	Santo Estevo de Farnadeiros (Santo Estevo)		megalithic_mound	0.94380628	0.96044817	0.95212723	0.90647702	0.94879885	612	708	639	639	625	887
train	wl-tile-v1-06757	wl-neg-neg-es-pba-50551	neg-es-pba-50551	0	hard_negative	train	ES	A Medorra	A Gudiña	O Canizo (Santa María)		megalithic_mound	0.38665430	0.56787188	0.47726309	0.21957010	0.44101957	3091	2412	2685	2715	2830	4086
train	wl-tile-v1-09449	wl-neg-neg-es-pba-74609	neg-es-pba-74609	0	hard_negative	train	ES	A Medorra 2	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	0.45541912	0.39349242	0.42445577	0.17920397	0.43684111	2698	3262	2970	2955	2861	3458
train	wl-tile-v1-09450	wl-neg-neg-es-pba-74610	neg-es-pba-74610	0	hard_negative	train	ES	A Medorra 3	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	0.15735260	0.10225656	0.12980458	0.01609034	0.14082379	5398	6383	5920	5940	5731	6655
train	wl-tile-v1-09451	wl-neg-neg-es-pba-74611	neg-es-pba-74611	0	hard_negative	train	ES	A Medorra 4	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	0.05070753	0.02696109	0.03883431	0.00136713	0.04358360	7724	8213	7998	8021	7907	8422
train	wl-tile-v1-09452	wl-neg-neg-es-pba-74612	neg-es-pba-74612	0	hard_negative	train	ES	A Medorra 5	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	0.18490288	0.10939712	0.14715000	0.02022784	0.16225115	5022	6228	5616	5662	5393	5799
train	wl-tile-v1-05833	wl-neg-neg-es-pba-32105	neg-es-pba-32105	0	hard_negative	train	ES	A Medorra de Cereixido	O Incio	Santa María do Mao (Santa María)		megalithic_mound	0.01635379	0.00767539	0.01201459	0.00012552	0.01375027	8538	8608	8581	8585	8565	8569
train	wl-tile-v1-06187	wl-neg-neg-es-pba-38387	neg-es-pba-38387	0	hard_negative	train	ES	A Medorra de Hospital	Portomarín	Nespereira (San Cibrao)		megalithic_mound	0.09805694	0.07053279	0.08429487	0.00691623	0.08979970	6569	7068	6885	6873	6766	7417
train	wl-tile-v1-05616	wl-neg-neg-es-pba-31043	neg-es-pba-31043	0	hard_negative	train	ES	A Medorra de Reigosa 1	Friol	Friol (San Xiao)		megalithic_mound	0.31099183	0.32664457	0.31881820	0.10158379	0.31568765	3589	3652	3626	3600	3616	2481
train	wl-tile-v1-06315	wl-neg-neg-es-pba-42146	neg-es-pba-42146	0	hard_negative	train	ES	A Medorra de Xisto	Sarria	San Vicenzo de Froián (San Vicenzo)		megalithic_mound	0.78879785	0.78982431	0.78931108	0.62301172	0.78910579	1302	1562	1405	1404	1362	1758
train	wl-tile-v1-05617	wl-neg-neg-es-pba-31044	neg-es-pba-31044	0	hard_negative	train	ES	A Medorra de Xoana	Friol	Santalla de Devesa (Santalla)		megalithic_mound	0.14513357	0.07574341	0.11043849	0.01099291	0.12431652	5633	6942	6295	6379	6023	6888
train	wl-tile-v1-06188	wl-neg-neg-es-pba-38388	neg-es-pba-38388	0	hard_negative	train	ES	A Medorra do Rañadoiro 1	Portomarín	Vilaxuste (San Pedro)		megalithic_mound	0.28128512	0.22737714	0.25433113	0.06395781	0.26511273	3845	4517	4194	4167	4049	5035
