score_name	dataset	subset	rows	positives	negatives	roc_auc	average_precision	precision_at_10	recall_at_10	precision_at_50	recall_at_50	precision_at_100	recall_at_100	best_positive_rank	median_positive_rank
fusion_reference	holdouts	all	204	68	136	0.888949	0.866398	1.000000	0.147059	0.900000	0.661765	0.600000	0.882353	1	37.5
fusion_reference	holdouts	castro_vs_mamoa	201	68	133	0.888877	0.867749	1.000000	0.147059	0.900000	0.661765	0.600000	0.882353	1	37.5
fusion_reference	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion_reference	holdouts	split:test_trasancos	199	64	135	0.897569	0.864284	1.000000	0.156250	0.880000	0.687500	0.570000	0.890625	1	36.5
fusion_reference	train_mini	all	553	276	277	0.869330	0.859469	1.000000	0.036232	0.920000	0.166667	0.890000	0.322464	1	156.5
fusion_reference	train_mini	castro_vs_mamoa	424	276	148	0.896641	0.947133	1.000000	0.036232	0.980000	0.177536	0.990000	0.358696	1	140.5
fusion_reference	val	all	1851	359	1492	0.878253	0.754336	1.000000	0.027855	0.980000	0.136490	0.950000	0.264624	1	207.0
fusion_reference	val	castro_vs_mamoa	1357	359	998	0.853716	0.783233	1.000000	0.027855	1.000000	0.139276	0.980000	0.272981	1	200.0
castro_mamoa_specialist	holdouts	all	204	68	136	0.920631	0.870753	1.000000	0.147059	0.880000	0.647059	0.640000	0.941176	1	36.5
castro_mamoa_specialist	holdouts	castro_vs_mamoa	201	68	133	0.923264	0.876547	1.000000	0.147059	0.880000	0.647059	0.640000	0.941176	1	36.5
castro_mamoa_specialist	holdouts	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
castro_mamoa_specialist	holdouts	split:test_trasancos	199	64	135	0.916204	0.857389	1.000000	0.156250	0.820000	0.640625	0.610000	0.953125	1	34.5
castro_mamoa_specialist	train_mini	all	553	276	277	0.841221	0.799532	0.700000	0.025362	0.840000	0.152174	0.850000	0.307971	1	165.5
castro_mamoa_specialist	train_mini	castro_vs_mamoa	424	276	148	0.913362	0.955823	1.000000	0.036232	1.000000	0.181159	0.990000	0.358696	1	140.5
castro_mamoa_specialist	val	all	1851	359	1492	0.892655	0.742794	0.900000	0.025070	0.900000	0.125348	0.920000	0.256267	1	211.0
castro_mamoa_specialist	val	castro_vs_mamoa	1357	359	998	0.892278	0.814476	0.900000	0.025070	0.980000	0.136490	0.970000	0.270195	1	193.0
fusion_specialist_mean	holdouts	all	204	68	136	0.923227	0.887287	1.000000	0.147059	0.900000	0.661765	0.630000	0.926471	1	35.5
fusion_specialist_mean	holdouts	castro_vs_mamoa	201	68	133	0.924701	0.890485	1.000000	0.147059	0.900000	0.661765	0.640000	0.941176	1	35.5
fusion_specialist_mean	holdouts	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion_specialist_mean	holdouts	split:test_trasancos	199	64	135	0.919329	0.876879	1.000000	0.156250	0.860000	0.671875	0.600000	0.937500	1	33.5
fusion_specialist_mean	train_mini	all	553	276	277	0.862973	0.849400	1.000000	0.036232	0.880000	0.159420	0.880000	0.318841	1	157.5
fusion_specialist_mean	train_mini	castro_vs_mamoa	424	276	148	0.911477	0.953970	1.000000	0.036232	0.980000	0.177536	0.990000	0.358696	1	140.5
fusion_specialist_mean	val	all	1851	359	1492	0.893116	0.773066	1.000000	0.027855	0.980000	0.136490	0.960000	0.267409	1	200.0
fusion_specialist_mean	val	castro_vs_mamoa	1357	359	998	0.881624	0.815519	1.000000	0.027855	0.980000	0.136490	0.980000	0.272981	1	191.0
fusion_specialist_product	holdouts	all	204	68	136	0.921713	0.884400	1.000000	0.147059	0.900000	0.661765	0.620000	0.911765	1	35.5
fusion_specialist_product	holdouts	castro_vs_mamoa	201	68	133	0.922822	0.886932	1.000000	0.147059	0.900000	0.661765	0.630000	0.926471	1	35.5
fusion_specialist_product	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion_specialist_product	holdouts	split:test_trasancos	199	64	135	0.921065	0.878650	1.000000	0.156250	0.860000	0.671875	0.590000	0.921875	1	33.5
fusion_specialist_product	train_mini	all	553	276	277	0.863745	0.850844	1.000000	0.036232	0.880000	0.159420	0.880000	0.318841	1	157.5
fusion_specialist_product	train_mini	castro_vs_mamoa	424	276	148	0.910130	0.953441	1.000000	0.036232	0.980000	0.177536	0.990000	0.358696	1	140.5
fusion_specialist_product	val	all	1851	359	1492	0.892353	0.773065	1.000000	0.027855	0.960000	0.133705	0.960000	0.267409	1	199.0
fusion_specialist_product	val	castro_vs_mamoa	1357	359	998	0.879885	0.813763	1.000000	0.027855	0.980000	0.136490	0.980000	0.272981	1	190.0
fusion70_specialist30	holdouts	all	204	68	136	0.917712	0.885894	1.000000	0.147059	0.880000	0.647059	0.620000	0.911765	1	36.0
fusion70_specialist30	holdouts	castro_vs_mamoa	201	68	133	0.918399	0.887906	1.000000	0.147059	0.880000	0.647059	0.620000	0.911765	1	36.0
fusion70_specialist30	holdouts	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion70_specialist30	holdouts	split:test_trasancos	199	64	135	0.915046	0.878399	1.000000	0.156250	0.840000	0.656250	0.580000	0.906250	1	34.5
fusion70_specialist30	train_mini	all	553	276	277	0.867407	0.854743	1.000000	0.036232	0.880000	0.159420	0.890000	0.322464	1	156.0
fusion70_specialist30	train_mini	castro_vs_mamoa	424	276	148	0.907241	0.951991	1.000000	0.036232	0.980000	0.177536	0.990000	0.358696	1	140.5
fusion70_specialist30	val	all	1851	359	1492	0.889352	0.769327	1.000000	0.027855	0.980000	0.136490	0.960000	0.267409	1	199.0
fusion70_specialist30	val	castro_vs_mamoa	1357	359	998	0.873072	0.805647	1.000000	0.027855	0.980000	0.136490	0.980000	0.272981	1	192.0
