score_name	dataset	subset	rows	positives	negatives	roc_auc	average_precision	precision_at_10	recall_at_10	precision_at_50	recall_at_50	precision_at_100	recall_at_100	best_positive_rank	median_positive_rank
fusion_reference	holdouts	all	204	68	136	0.944312	0.909383	1.000000	0.147059	0.900000	0.661765	0.650000	0.955882	1	35.5
fusion_reference	holdouts	castro_vs_mamoa	201	68	133	0.945931	0.912630	1.000000	0.147059	0.900000	0.661765	0.650000	0.955882	1	35.5
fusion_reference	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion_reference	holdouts	split:test_trasancos	199	64	135	0.947917	0.907557	1.000000	0.156250	0.880000	0.687500	0.620000	0.968750	1	33.5
fusion_reference	test	all	2383	528	1855	0.925436	0.812968	1.000000	0.018939	1.000000	0.094697	0.950000	0.179924	1	302.5
fusion_reference	test	castro_vs_mamoa	1777	528	1249	0.945048	0.903738	1.000000	0.018939	1.000000	0.094697	1.000000	0.189394	1	272.5
fusion_reference	train	all	8641	1844	6797	0.932440	0.829662	1.000000	0.005423	1.000000	0.027115	0.980000	0.053145	1	1036.5
fusion_reference	train	castro_vs_mamoa	6816	1844	4972	0.945134	0.895337	1.000000	0.005423	1.000000	0.027115	0.990000	0.053688	1	962.5
fusion_reference	val	all	1851	359	1492	0.927349	0.799049	1.000000	0.027855	0.960000	0.133705	0.940000	0.261838	1	200.0
fusion_reference	val	castro_vs_mamoa	1357	359	998	0.929913	0.871839	1.000000	0.027855	1.000000	0.139276	1.000000	0.278552	1	185.0
castro_mamoa_specialist	holdouts	all	204	68	136	0.922362	0.868727	1.000000	0.147059	0.860000	0.632353	0.640000	0.941176	1	38.0
castro_mamoa_specialist	holdouts	castro_vs_mamoa	201	68	133	0.924923	0.873656	1.000000	0.147059	0.860000	0.632353	0.640000	0.941176	1	38.0
castro_mamoa_specialist	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
castro_mamoa_specialist	holdouts	split:test_trasancos	199	64	135	0.927546	0.865037	1.000000	0.156250	0.820000	0.640625	0.610000	0.953125	1	36.5
castro_mamoa_specialist	test	all	2383	528	1855	0.890131	0.727865	1.000000	0.018939	0.920000	0.087121	0.890000	0.168561	1	342.0
castro_mamoa_specialist	test	castro_vs_mamoa	1777	528	1249	0.929348	0.878478	1.000000	0.018939	1.000000	0.094697	0.990000	0.187500	1	276.5
castro_mamoa_specialist	train	all	8641	1844	6797	0.909099	0.767365	1.000000	0.005423	0.960000	0.026030	0.950000	0.051518	1	1096.5
castro_mamoa_specialist	train	castro_vs_mamoa	6816	1844	4972	0.934318	0.878883	1.000000	0.005423	1.000000	0.027115	1.000000	0.054230	1	962.5
castro_mamoa_specialist	val	all	1851	359	1492	0.899621	0.733719	0.900000	0.025070	0.900000	0.125348	0.880000	0.245125	1	217.0
castro_mamoa_specialist	val	castro_vs_mamoa	1357	359	998	0.912516	0.845939	1.000000	0.027855	1.000000	0.139276	0.980000	0.272981	1	190.0
fusion_specialist_mean	holdouts	all	204	68	136	0.938581	0.896198	1.000000	0.147059	0.880000	0.647059	0.660000	0.970588	1	36.0
fusion_specialist_mean	holdouts	castro_vs_mamoa	201	68	133	0.941287	0.901285	1.000000	0.147059	0.880000	0.647059	0.670000	0.985294	1	36.0
fusion_specialist_mean	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion_specialist_mean	holdouts	split:test_trasancos	199	64	135	0.943287	0.893398	1.000000	0.156250	0.860000	0.671875	0.640000	1.000000	1	35.0
fusion_specialist_mean	test	all	2383	528	1855	0.915003	0.782688	1.000000	0.018939	0.960000	0.090909	0.910000	0.172348	1	312.5
fusion_specialist_mean	test	castro_vs_mamoa	1777	528	1249	0.943350	0.899763	1.000000	0.018939	1.000000	0.094697	0.990000	0.187500	1	273.5
fusion_specialist_mean	train	all	8641	1844	6797	0.927241	0.813215	1.000000	0.005423	0.980000	0.026573	0.970000	0.052603	1	1040.0
fusion_specialist_mean	train	castro_vs_mamoa	6816	1844	4972	0.945412	0.897299	1.000000	0.005423	1.000000	0.027115	1.000000	0.054230	1	953.0
fusion_specialist_mean	val	all	1851	359	1492	0.919941	0.779531	1.000000	0.027855	0.940000	0.130919	0.910000	0.253482	1	209.0
fusion_specialist_mean	val	castro_vs_mamoa	1357	359	998	0.927627	0.869098	1.000000	0.027855	1.000000	0.139276	0.990000	0.275766	1	188.0
fusion_specialist_product	holdouts	all	204	68	136	0.938798	0.896403	1.000000	0.147059	0.880000	0.647059	0.640000	0.941176	1	36.0
fusion_specialist_product	holdouts	castro_vs_mamoa	201	68	133	0.941398	0.901363	1.000000	0.147059	0.900000	0.661765	0.660000	0.970588	1	36.0
fusion_specialist_product	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion_specialist_product	holdouts	split:test_trasancos	199	64	135	0.943056	0.893429	1.000000	0.156250	0.860000	0.671875	0.630000	0.984375	1	34.5
fusion_specialist_product	test	all	2383	528	1855	0.914830	0.782128	1.000000	0.018939	0.960000	0.090909	0.910000	0.172348	1	312.5
fusion_specialist_product	test	castro_vs_mamoa	1777	528	1249	0.942662	0.898505	1.000000	0.018939	1.000000	0.094697	0.990000	0.187500	1	273.5
