dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	fusion_probability	specialist_probability	fusion_specialist_mean	fusion_specialist_product	fusion70_specialist30	fusion_rank	specialist_rank	mean_rank	product_rank	fusion70_rank	max_safety_rank
train	wl-tile-v1-06178	wl-neg-neg-es-pba-38894	neg-es-pba-38894	0	hard_negative	train	ES	A Chousa das Minas	Pol	Arcos de Frades (Santiago)		mining_or_quarry	0.03830861	0.00783794	0.02307328	0.00030026	0.02916741	7530	8607	8270	8398	8049	8280
train	wl-tile-v1-05758	wl-neg-neg-es-pba-35203	neg-es-pba-35203	0	hard_negative	train	ES	A Costa/Medorra de Montecalvo 1	Monterroso	Marzán (Santa María)		megalithic_mound	0.37893437	0.23197660	0.30545548	0.08790391	0.33484704	2979	4471	3633	3613	3336	2995
train	wl-tile-v1-05760	wl-neg-neg-es-pba-35254	neg-es-pba-35254	0	hard_negative	train	ES	A Costa/Medorra de Montecalvo 2	Monterroso	Marzán (Santa María)		megalithic_mound	0.49028158	0.27404190	0.38216174	0.13435770	0.42540968	2446	4079	3148	3154	2834	2648
train	wl-tile-v1-03135	wl-neg-neg-es-pba-18194	neg-es-pba-18194	0	hard_negative	train	ES	A Cruz do Pinal/Mámoa da Cruz do Pinal	As Pontes de García Rodríguez	Vilavella (Santa María)		megalithic_mound	0.54725653	0.71048113	0.62886883	0.38881544	0.59622391	2219	1860	2004	1994	2095	848
train	wl-tile-v1-06235	wl-neg-neg-es-pba-40747	neg-es-pba-40747	0	hard_negative	train	ES	A Eira da Torre/Medorra de Sotordei	Ribas de Sil	Soutordei (Santiago)		megalithic_mound	0.81897478	0.91227422	0.86562450	0.74712958	0.84696461	1347	1047	1164	1160	1229	1798
train	wl-tile-v1-05761	wl-neg-neg-es-pba-35256	neg-es-pba-35256	0	hard_negative	train	ES	A Escrita/A Casa das Mouras/As Fontelas/Orgoso/Mámoa da Escrita 1	Monterroso	Fufín (San Martiño)		megalithic_mound	0.08159378	0.11401525	0.09780452	0.00930294	0.09132022	6238	6125	6280	6195	6304	6547
train	wl-tile-v1-07467	wl-neg-neg-es-pba-65654	neg-es-pba-65654	0	hard_negative	train	ES	A Gándara	A Guarda	Salcidos (San Lourenzo)		roman_built_context	0.21886487	0.26098480	0.23992484	0.05712040	0.23150085	4070	4206	4182	4092	4156	3467
train	wl-tile-v1-08416	wl-neg-neg-es-pba-66223	neg-es-pba-66223	0	hard_negative	train	ES	A Laxe das Presiñas	Gondomar	Peitieiros (San Miguel)		rock_art_surface	0.08536439	0.12927823	0.10732131	0.01103576	0.09853854	6160	5861	6059	6000	6135	2028
train	wl-tile-v1-06179	wl-neg-neg-es-pba-38898	neg-es-pba-38898	0	hard_negative	train	ES	A Madorra da Valiña	Pol	Luaces (Santa María)		megalithic_mound	0.13587925	0.32633412	0.23110668	0.04434203	0.19301571	5106	3657	4282	4379	4556	6290
train	wl-tile-v1-04509	wl-neg-neg-es-pba-24888	neg-es-pba-24888	0	hard_negative	train	ES	A Madorra/Foxo do Cabrito	Toques	Santa Mariña de Brañas (Santa Mari¤a)		megalithic_mound	0.19975759	0.23715385	0.21845572	0.04737328	0.21097647	4254	4415	4390	4305	4345	5428
train	wl-tile-v1-07325	wl-neg-neg-es-pba-56893	neg-es-pba-56893	0	hard_negative	train	ES	A Meana	Rubiá	Quereño (San Cristovo)		mining_or_quarry	0.10257204	0.16836690	0.13546947	0.01726974	0.12231050	5751	5241	5557	5502	5641	4492
train	wl-tile-v1-05830	wl-neg-neg-es-pba-29650	neg-es-pba-29650	0	hard_negative	train	ES	A Medorra	O Corgo	Santo Estevo de Farnadeiros (Santo Estevo)		megalithic_mound	0.96683645	0.96044817	0.96364231	0.92859630	0.96491997	515	708	537	534	519	840
train	wl-tile-v1-06757	wl-neg-neg-es-pba-50551	neg-es-pba-50551	0	hard_negative	train	ES	A Medorra	A Gudiña	O Canizo (Santa María)		megalithic_mound	0.49056976	0.56787188	0.52922082	0.27858077	0.51376040	2443	2412	2413	2363	2416	3233
train	wl-tile-v1-09449	wl-neg-neg-es-pba-74609	neg-es-pba-74609	0	hard_negative	train	ES	A Medorra 2	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	0.40018269	0.39349242	0.39683755	0.15746885	0.39817561	2875	3262	3067	2983	2984	3502
train	wl-tile-v1-09450	wl-neg-neg-es-pba-74610	neg-es-pba-74610	0	hard_negative	train	ES	A Medorra 3	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	0.06305644	0.10225656	0.08265650	0.00644793	0.07481648	6728	6383	6667	6614	6736	7777
train	wl-tile-v1-09451	wl-neg-neg-es-pba-74611	neg-es-pba-74611	0	hard_negative	train	ES	A Medorra 4	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	0.08733497	0.02696109	0.05714803	0.00235465	0.06922281	6114	8213	7298	7472	6861	7268
train	wl-tile-v1-09452	wl-neg-neg-es-pba-74612	neg-es-pba-74612	0	hard_negative	train	ES	A Medorra 5	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	0.13846908	0.10939712	0.12393310	0.01514812	0.12974749	5065	6228	5763	5652	5520	5729
train	wl-tile-v1-05833	wl-neg-neg-es-pba-32105	neg-es-pba-32105	0	hard_negative	train	ES	A Medorra de Cereixido	O Incio	Santa María do Mao (Santa María)		megalithic_mound	0.01453427	0.00767539	0.01110483	0.00011156	0.01247661	8392	8608	8568	8569	8528	8572
train	wl-tile-v1-06187	wl-neg-neg-es-pba-38387	neg-es-pba-38387	0	hard_negative	train	ES	A Medorra de Hospital	Portomarín	Nespereira (San Cibrao)		megalithic_mound	0.10178582	0.07053279	0.08615931	0.00717924	0.09240991	5767	7068	6584	6506	6285	6947
train	wl-tile-v1-05616	wl-neg-neg-es-pba-31043	neg-es-pba-31043	0	hard_negative	train	ES	A Medorra de Reigosa 1	Friol	Friol (San Xiao)		megalithic_mound	0.22407388	0.32664457	0.27535923	0.07319252	0.25484509	4025	3652	3865	3802	3928	2551
