queue	priority_order	dataset	final_split	sample_id	bank_id	label_class	label_role	name	municipality	parish	country	longitude	latitude	fusion_probability	fusion_rank	max_safety_rank	archetype_only_rank	rank_delta_fusion_to_max	negative_type	morphology_proxy	review_reason
holdout_top_false_positives	1	holdouts	test_trasancos	wl-neg-neg-es-pba-8682	neg-es-pba-8682	0	hard_negative	Mámoa do Monte Marraxón IV-1	Fene	Sillobre (Santa Mariña)	ES	-8.132051265443264	43.4784901008791	0.63027339	34	37	34	-3	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	2	holdouts	test_trasancos	wl-neg-neg-es-pba-8715	neg-es-pba-8715	0	hard_negative	Mámoa do Rego da Moa	Fene	Barallobre (Santiago)	ES	-8.175129668390355	43.450897497780126	0.61573051	35	24	12	11	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	3	holdouts	test_trasancos	wl-neg-neg-es-pba-24849	neg-es-pba-24849	0	hard_negative	Mámoa de Rioboo 1/Mámoa de Canteiros 1	Valdoviño	Meirás (San Vicente)	ES	-8.20129105753339	43.572014263769375	0.57929205	37	41	112	-4	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	4	holdouts	test_trasancos	wl-neg-neg-es-pba-14259	neg-es-pba-14259	0	hard_negative	Mámoa do Monte dos Niños 05	Narón	Sedes (Santo Estevo)	ES	-8.123356750541028	43.56133110666142	0.57631836	38	42	58	-4	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	5	holdouts	test_trasancos	wl-neg-neg-es-pba-14223	neg-es-pba-14223	0	hard_negative	Mámoa de Muíño do Vento	Narón	Trasancos (San Mateo)	ES	-8.2207321781512	43.5237064246763	0.55826249	44	48	84	-4	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	6	holdouts	test_trasancos	wl-neg-neg-es-pba-20406	neg-es-pba-20406	0	hard_negative	Mámoa de Bardaos	San Sadurniño	Bardaos (Santa María)	ES	-8.045691218805501	43.56779596584658	0.47516969	53	63	53	-10	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	7	holdouts	test_trasancos	wl-neg-neg-es-pba-24332	neg-es-pba-24332	0	hard_negative	Mámoa do Monte de Pena Moura 3	Valdoviño	Valdoviño (Santaia)	ES	-8.128269502838254	43.57801699616052	0.45368295	55	66	51	-11	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	8	holdouts	test_trasancos	wl-neg-neg-es-pba-24843	neg-es-pba-24843	0	hard_negative	Mámoa de Coto da Fraga 2	Valdoviño	Pantín (Santiago)	ES	-8.096261067263583	43.625262213712574	0.44129649	56	51	26	5	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	9	holdouts	test_trasancos	wl-neg-neg-es-pba-24846	neg-es-pba-24846	0	hard_negative	Mámoa de Pena Moura	Valdoviño	Vilarrube (San Martiño)	ES	-8.050266230012467	43.6232429879672	0.42819688	58	38	21	20	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	10	holdouts	test_trasancos	wl-neg-neg-es-pba-10071	neg-es-pba-10071	0	hard_negative	Mámoa dos Montes de Brión III-8	Ferrol	Doniños (San Román)	ES	-8.296676405945123	43.484912722428156	0.40880619	60	67	40	-7	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	11	holdouts	test_trasancos	wl-neg-neg-es-pba-10131	neg-es-pba-10131	0	hard_negative	Mámoa dos Montes de Brión VI-1	Ferrol	Brión (Santa María)	ES	-8.271862778359397	43.47905394680505	0.38900115	63	76	57	-13	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	12	holdouts	test_trasancos	wl-neg-neg-es-pba-9981	neg-es-pba-9981	0	hard_negative	Mámoa de Mougá 6	Ferrol	Doniños (San Román)	ES	-8.270074776662353	43.50536423132985	0.38321919	64	59	36	5	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	13	holdouts	test_trasancos	wl-neg-neg-es-pba-10014	neg-es-pba-10014	0	hard_negative	Mámoa dos Montes de Brión I-7	Ferrol	Brión (Santa María)	ES	-8.285559472887922	43.4827670044632	0.37839992	66	79	65	-13	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	14	holdouts	test_trasancos	wl-neg-neg-es-pba-9974	neg-es-pba-9974	0	hard_negative	Mámoa de Leixa 2	Ferrol	Leixa (San Pedro)	ES	-8.197523939371287	43.52116200826383	0.37433017	67	81	144	-14	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	15	holdouts	test_trasancos	wl-neg-neg-es-pba-14222	neg-es-pba-14222	0	hard_negative	Mámoa de Leixa 3/Mámoa de Trasancos	Narón	Trasancos (San Mateo)	ES	-8.198459950939915	43.52249373946746	0.37254851	68	82	96	-14	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	16	holdouts	test_trasancos	wl-neg-neg-es-pba-20435	neg-es-pba-20435	0	hard_negative	Mámoa de Pena Escrita	San Sadurniño	Lamas (San Xiao)	ES	-8.033552435280814	43.564559061061054	0.36044579	69	84	151	-15	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	17	holdouts	test_trasancos	wl-neg-neg-es-pba-9983	neg-es-pba-9983	0	hard_negative	Mámoa dos Montes de Brión I-1	Ferrol	Doniños (San Román)	ES	-8.289157188370986	43.48425883479058	0.36018193	70	39	23	31	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	18	holdouts	test_trasancos	wl-neg-neg-es-pba-10102	neg-es-pba-10102	0	hard_negative	Mámoa dos Montes de Brión IV-7	Ferrol	Brión (Santa María)	ES	-8.291693642023777	43.477408326571705	0.35708707	71	85	81	-14	megalithic_mound		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	19	holdouts	test_trasancos	wl-neg-neg-es-pba-9853	neg-es-pba-9853	0	hard_negative	Petróglifo do coto de San Xurxo	Ferrol	San Xurxo da Mariña (San Xurxo)	ES	-8.288881663066935	43.51388427158965	0.35525190	73	88	92	-15	rock_art_surface		Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
