queue	priority_order	dataset	final_split	sample_id	bank_id	label_class	label_role	name	municipality	parish	country	longitude	latitude	fusion_probability	fusion_rank	max_safety_rank	archetype_only_rank	specialist_probability	specialist_rank	specialist_mean_rank	rank_delta_fusion_to_max	negative_type	morphology_proxy	review_lane	review_reason
holdout_top_false_positives	1	holdouts	test_trasancos	wl-neg-neg-es-pba-8715	neg-es-pba-8715	0	hard_negative	Mámoa do Rego da Moa	Fene	Barallobre (Santiago)	ES	-8.175129668390355	43.450897497780126	0.80936223	34	26	21	0.92221855	28	31	8	megalithic_mound		mamoa_false_positive_review	Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	2	holdouts	test_trasancos	wl-neg-neg-es-pba-24849	neg-es-pba-24849	0	hard_negative	Mámoa de Rioboo 1/Mámoa de Canteiros 1	Valdoviño	Meirás (San Vicente)	ES	-8.20129105753339	43.572014263769375	0.72445067	41	58	123	0.63210315	58	45	-17	megalithic_mound		mamoa_false_positive_review	Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	3	holdouts	test_trasancos	wl-neg-neg-es-pba-9982	neg-es-pba-9982	0	hard_negative	Mámoa do Pico de Ouro	Ferrol	Mandiá (Santa Uxía)	ES	-8.250116109294842	43.51197345075792	0.69191766	44	48	38	0.82822698	35	38	-4	megalithic_mound		mamoa_false_positive_review	Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	4	holdouts	test_trasancos	wl-neg-neg-es-pba-8682	neg-es-pba-8682	0	hard_negative	Mámoa do Monte Marraxón IV-1	Fene	Sillobre (Santa Mariña)	ES	-8.132051265443264	43.4784901008791	0.63102795	47	34	28	0.49668358	67	56	13	megalithic_mound		mamoa_false_positive_review	Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	5	holdouts	test_trasancos	wl-neg-neg-es-pba-24846	neg-es-pba-24846	0	hard_negative	Mámoa de Pena Moura	Valdoviño	Vilarrube (San Martiño)	ES	-8.050266230012467	43.6232429879672	0.62108496	49	30	26	0.94737242	22	36	19	megalithic_mound		mamoa_false_positive_review	Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	6	holdouts	test_trasancos	wl-neg-neg-es-pba-14223	neg-es-pba-14223	0	hard_negative	Mámoa de Muíño do Vento	Narón	Trasancos (San Mateo)	ES	-8.2207321781512	43.5237064246763	0.59412460	51	71	102	0.65392542	57	48	-20	megalithic_mound		mamoa_false_positive_review	Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	7	holdouts	test_trasancos	wl-neg-neg-es-pba-10071	neg-es-pba-10071	0	hard_negative	Mámoa dos Montes de Brión III-8	Ferrol	Doniños (San Román)	ES	-8.296676405945123	43.484912722428156	0.55767896	54	45	35	0.33705723	82	71	9	megalithic_mound		mamoa_false_positive_review	Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	8	holdouts	test_trasancos	wl-neg-neg-es-pba-9852	neg-es-pba-9852	0	hard_negative	Petróglifo de Chamorro	Ferrol	Serantes (San Salvador)	ES	-8.245373920147154	43.50760263509735	0.49364880	57	65	51	0.74253723	48	49	-8	rock_art_surface		weak_negative_review	Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	9	holdouts	test_trasancos	wl-neg-neg-es-pba-24843	neg-es-pba-24843	0	hard_negative	Mámoa de Coto da Fraga 2	Valdoviño	Pantín (Santiago)	ES	-8.096261067263583	43.625262213712574	0.45696735	60	51	42	0.57077016	64	61	9	megalithic_mound		mamoa_false_positive_review	Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
holdout_top_false_positives	10	holdouts	test_trasancos	wl-neg-neg-es-pba-10131	neg-es-pba-10131	0	hard_negative	Mámoa dos Montes de Brión VI-1	Ferrol	Brión (Santa María)	ES	-8.271862778359397	43.47905394680505	0.43240185	62	63	48	0.59201347	63	63	-1	megalithic_mound		mamoa_false_positive_review	Known hard negative ranked high by the main fusion model; inspect as false-positive pattern.
