queue	priority_order	dataset	final_split	sample_id	label_class	name	municipality	parish	country	fusion_probability	fusion_rank	max_safety_rank	archetype_only_rank	specialist_probability	specialist_rank	specialist_mean_rank	rank_delta_fusion_to_max	negative_type	morphology_proxy	review_lane	rgb_status	relief_status	visual_sheet	review_focus
holdout_top_false_positives	1	holdouts	test_trasancos	wl-neg-neg-es-pba-8682	0	Mámoa do Monte Marraxón IV-1	Fene	Sillobre (Santa Mariña)	ES	0.63027339	34	37	34	0.59351267	47	40	-3	megalithic_mound		mamoa_false_positive_review	valid	valid	reports/figures/weak_label_error_review_v1/holdout-top-false-positives.png	negative high in fusion; inspect recurring distractor type
holdout_top_false_positives	2	holdouts	test_trasancos	wl-neg-neg-es-pba-8715	0	Mámoa do Rego da Moa	Fene	Barallobre (Santiago)	ES	0.61573051	35	24	12	0.95558477	18	27	11	megalithic_mound		mamoa_false_positive_review	valid	valid	reports/figures/weak_label_error_review_v1/holdout-top-false-positives.png	negative high in fusion; inspect recurring distractor type
holdout_top_false_positives	3	holdouts	test_trasancos	wl-neg-neg-es-pba-24849	0	Mámoa de Rioboo 1/Mámoa de Canteiros 1	Valdoviño	Meirás (San Vicente)	ES	0.57929205	37	41	112	0.51304754	59	49	-4	megalithic_mound		mamoa_false_positive_review	valid	valid	reports/figures/weak_label_error_review_v1/holdout-top-false-positives.png	negative high in fusion; inspect recurring distractor type
holdout_top_false_positives	4	holdouts	test_trasancos	wl-neg-neg-es-pba-14259	0	Mámoa do Monte dos Niños 05	Narón	Sedes (Santo Estevo)	ES	0.57631836	38	42	58	0.53494045	55	48	-4	megalithic_mound		mamoa_false_positive_review	valid	valid	reports/figures/weak_label_error_review_v1/holdout-top-false-positives.png	negative high in fusion; inspect recurring distractor type
holdout_top_false_positives	5	holdouts	test_trasancos	wl-neg-neg-es-pba-14223	0	Mámoa de Muíño do Vento	Narón	Trasancos (San Mateo)	ES	0.55826249	44	48	84	0.44488268	66	55	-4	megalithic_mound		mamoa_false_positive_review	valid	valid	reports/figures/weak_label_error_review_v1/holdout-top-false-positives.png	negative high in fusion; inspect recurring distractor type
holdout_top_false_positives	6	holdouts	test_trasancos	wl-neg-neg-es-pba-20406	0	Mámoa de Bardaos	San Sadurniño	Bardaos (Santa María)	ES	0.47516969	53	63	53	0.51674851	58	56	-10	megalithic_mound		mamoa_false_positive_review	valid	valid	reports/figures/weak_label_error_review_v1/holdout-top-false-positives.png	negative high in fusion; inspect recurring distractor type
holdout_top_false_positives	7	holdouts	test_trasancos	wl-neg-neg-es-pba-24332	0	Mámoa do Monte de Pena Moura 3	Valdoviño	Valdoviño (Santaia)	ES	0.45368295	55	66	51	0.56808626	52	53	-11	megalithic_mound		mamoa_false_positive_review	valid	valid	reports/figures/weak_label_error_review_v1/holdout-top-false-positives.png	negative high in fusion; inspect recurring distractor type
holdout_top_false_positives	8	holdouts	test_trasancos	wl-neg-neg-es-pba-24843	0	Mámoa de Coto da Fraga 2	Valdoviño	Pantín (Santiago)	ES	0.44129649	56	51	26	0.57147575	51	54	5	megalithic_mound		mamoa_false_positive_review	valid	valid	reports/figures/weak_label_error_review_v1/holdout-top-false-positives.png	negative high in fusion; inspect recurring distractor type
holdout_top_false_positives	9	holdouts	test_trasancos	wl-neg-neg-es-pba-24846	0	Mámoa de Pena Moura	Valdoviño	Vilarrube (San Martiño)	ES	0.42819688	58	38	21	0.82864178	34	38	20	megalithic_mound		mamoa_false_positive_review	valid	valid	reports/figures/weak_label_error_review_v1/holdout-top-false-positives.png	negative high in fusion; inspect recurring distractor type
holdout_top_false_positives	10	holdouts	test_trasancos	wl-neg-neg-es-pba-10071	0	Mámoa dos Montes de Brión III-8	Ferrol	Doniños (San Román)	ES	0.40880619	60	67	40	0.49869196	60	58	-7	megalithic_mound		mamoa_false_positive_review	valid	valid	reports/figures/weak_label_error_review_v1/holdout-top-false-positives.png	negative high in fusion; inspect recurring distractor type
