blend	dataset	subset	rows	positives	negatives	roc_auc	average_precision	precision_at_10	recall_at_10	precision_at_50	recall_at_50	precision_at_100	recall_at_100	best_positive_rank	median_positive_rank
archetype_only	holdouts	all	204	68	136	0.777898	0.706531	1.000000	0.147059	0.640000	0.470588	0.520000	0.764706	1	55.5
archetype_only	holdouts	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
archetype_only	holdouts	split:test_trasancos	199	64	135	0.770486	0.689640	1.000000	0.156250	0.580000	0.453125	0.480000	0.750000	1	54.5
archetype_only	test	all	2383	528	1855	0.789519	0.570808	1.000000	0.018939	0.820000	0.077652	0.770000	0.145833	1	440.0
archetype_only	train	all	8641	1844	6797	0.811846	0.598607	0.700000	0.003796	0.900000	0.024403	0.880000	0.047722	1	1478.5
archetype_only	val	all	1851	359	1492	0.814298	0.581118	0.700000	0.019499	0.800000	0.111421	0.800000	0.222841	1	297.0
fusion70_arch30	holdouts	all	204	68	136	0.903330	0.839886	1.000000	0.147059	0.820000	0.602941	0.630000	0.926471	1	38.5
fusion70_arch30	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion70_arch30	holdouts	split:test_trasancos	199	64	135	0.907060	0.833381	1.000000	0.156250	0.780000	0.609375	0.600000	0.937500	1	36.5
fusion70_arch30	test	all	2383	528	1855	0.897981	0.743006	1.000000	0.018939	0.920000	0.087121	0.870000	0.164773	1	331.5
fusion70_arch30	train	all	8641	1844	6797	0.907792	0.762320	1.000000	0.005423	0.960000	0.026030	0.960000	0.052061	1	1104.0
fusion70_arch30	val	all	1851	359	1492	0.900780	0.739399	0.900000	0.025070	0.940000	0.130919	0.920000	0.256267	1	215.0
fusion_only	holdouts	all	204	68	136	0.925281	0.880837	1.000000	0.147059	0.880000	0.647059	0.640000	0.941176	1	36.5
fusion_only	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion_only	holdouts	split:test_trasancos	199	64	135	0.935764	0.879315	1.000000	0.156250	0.840000	0.656250	0.610000	0.953125	1	34.5
fusion_only	test	all	2383	528	1855	0.910299	0.774873	1.000000	0.018939	0.940000	0.089015	0.910000	0.172348	1	312.5
fusion_only	train	all	8641	1844	6797	0.916019	0.793529	1.000000	0.005423	1.000000	0.027115	0.960000	0.052061	1	1057.5
fusion_only	val	all	1851	359	1492	0.905931	0.759620	1.000000	0.027855	0.940000	0.130919	0.920000	0.256267	1	206.0
max_safety	holdouts	all	204	68	136	0.888408	0.803219	1.000000	0.147059	0.740000	0.544118	0.630000	0.926471	1	44.0
max_safety	holdouts	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
max_safety	holdouts	split:test_trasancos	199	64	135	0.883796	0.789117	1.000000	0.156250	0.720000	0.562500	0.600000	0.937500	1	42.0
max_safety	test	all	2383	528	1855	0.878640	0.677122	1.000000	0.018939	0.880000	0.083333	0.830000	0.157197	1	363.0
max_safety	train	all	8641	1844	6797	0.891219	0.710325	0.700000	0.003796	0.900000	0.024403	0.900000	0.048807	1	1182.5
max_safety	val	all	1851	359	1492	0.877126	0.658915	0.700000	0.019499	0.800000	0.111421	0.820000	0.228412	1	239.0
mean	holdouts	all	204	68	136	0.877703	0.803166	1.000000	0.147059	0.780000	0.573529	0.590000	0.867647	1	41.5
mean	holdouts	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
mean	holdouts	split:test_trasancos	199	64	135	0.876273	0.793347	1.000000	0.156250	0.760000	0.593750	0.580000	0.906250	1	39.5
mean	test	all	2383	528	1855	0.876774	0.702578	1.000000	0.018939	0.900000	0.085227	0.870000	0.164773	1	341.5
mean	train	all	8641	1844	6797	0.890984	0.724934	0.800000	0.004338	0.940000	0.025488	0.950000	0.051518	1	1170.0
mean	val	all	1851	359	1492	0.885699	0.703299	0.800000	0.022284	0.920000	0.128134	0.880000	0.245125	1	234.0
