blend	dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	fusion_probability	fusion_logit_z	archetype_score	archetype_z	blend_score	rank_desc_in_dataset
fusion_only	holdouts	wl-tile-v1-02661	wl-neg-neg-es-pba-24808	neg-es-pba-24808	0	hard_negative	test_trasancos	ES	Igrexa de San Martiño de Valdetires	Valdoviño	Meirás (San Vicente)		megalithic_mound	0.20347956	0.03090099	0.16077724	-0.41791110	0.03090099	101
fusion_only	holdouts	wl-tile-v1-02650	wl-neg-neg-es-pba-20404	neg-es-pba-20404	0	hard_negative	test_trasancos	ES	Mámoa da Ermida	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	0.10037177	-0.38070882	-0.03629584	-0.65704820	-0.38070882	135
fusion_only	holdouts	wl-tile-v1-02651	wl-neg-neg-es-pba-20405	neg-es-pba-20405	0	hard_negative	test_trasancos	ES	Mámoa da Pena do Cabalo	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	0.29927041	0.28624635	0.42950053	-0.09183050	0.28624635	80
fusion_only	holdouts	wl-tile-v1-02652	wl-neg-neg-es-pba-20406	neg-es-pba-20406	0	hard_negative	test_trasancos	ES	Mámoa de Bardaos	San Sadurniño	Bardaos (Santa María)		megalithic_mound	0.19450713	0.00292832	1.48582019	1.18995401	0.00292832	102
fusion_only	holdouts	wl-tile-v1-02599	wl-neg-neg-es-pba-9906	neg-es-pba-9906	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 01/Mámoa de Chao de Castelo 01	Ferrol	Doniños (San Román)		megalithic_mound	0.12005712	-0.28073395	0.37411449	-0.15903835	-0.28073395	126
fusion_only	holdouts	wl-tile-v1-02600	wl-neg-neg-es-pba-9907	neg-es-pba-9907	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 02/Mámoa de Chao de Castelo 02	Ferrol	Doniños (San Román)		megalithic_mound	0.16212976	-0.10711774	0.42439116	-0.09803043	-0.10711774	111
fusion_only	holdouts	wl-tile-v1-02601	wl-neg-neg-es-pba-9908	neg-es-pba-9908	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 03	Ferrol	Doniños (San Román)		megalithic_mound	0.26316772	0.19740971	1.40815846	1.09571587	0.19740971	87
fusion_only	holdouts	wl-tile-v1-02602	wl-neg-neg-es-pba-9909	neg-es-pba-9909	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 04	Ferrol	Doniños (San Román)		megalithic_mound	0.12327791	-0.26575816	0.41431246	-0.11026037	-0.26575816	124
fusion_only	holdouts	wl-tile-v1-02603	wl-neg-neg-es-pba-9910	neg-es-pba-9910	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 05	Ferrol	Doniños (San Román)		megalithic_mound	0.09306111	-0.42230543	0.03877700	-0.56595153	-0.42230543	136
fusion_only	holdouts	wl-tile-v1-02604	wl-neg-neg-es-pba-9911	neg-es-pba-9911	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 06	Ferrol	Doniños (San Román)		megalithic_mound	0.07164983	-0.56381241	-0.15077876	-0.79596679	-0.56381241	152
fusion_only	holdouts	wl-tile-v1-02605	wl-neg-neg-es-pba-9912	neg-es-pba-9912	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 07	Ferrol	Doniños (San Román)		megalithic_mound	0.04291757	-0.83360526	-0.42437509	-1.12796055	-0.83360526	174
fusion_only	holdouts	wl-tile-v1-02606	wl-neg-neg-es-pba-9913	neg-es-pba-9913	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 08	Ferrol	Doniños (San Román)		megalithic_mound	0.05524047	-0.70175033	-0.02930017	-0.64855935	-0.70175033	164
fusion_only	holdouts	wl-tile-v1-02607	wl-neg-neg-es-pba-9914	neg-es-pba-9914	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 09	Ferrol	Doniños (San Román)		megalithic_mound	0.07296722	-0.55405418	0.30165564	-0.24696309	-0.55405418	150
fusion_only	holdouts	wl-tile-v1-02608	wl-neg-neg-es-pba-9939	neg-es-pba-9939	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 10	Ferrol	Doniños (San Román)		megalithic_mound	0.14426185	-0.17561963	0.99339879	0.59242833	-0.17561963	113
fusion_only	holdouts	wl-tile-v1-02609	wl-neg-neg-es-pba-9940	neg-es-pba-9940	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 11	Ferrol	Doniños (San Román)		megalithic_mound	0.05158349	-0.73770226	0.13827352	-0.44521810	-0.73770226	168
fusion_only	holdouts	wl-tile-v1-02610	wl-neg-neg-es-pba-9941	neg-es-pba-9941	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 12	Ferrol	Doniños (San Román)		megalithic_mound	0.05172972	-0.73621912	0.21739701	-0.34920619	-0.73621912	167
fusion_only	holdouts	wl-tile-v1-02611	wl-neg-neg-es-pba-9942	neg-es-pba-9942	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 13	Ferrol	Doniños (San Román)		megalithic_mound	0.06974553	-0.57821485	0.43488485	-0.08529693	-0.57821485	154
fusion_only	holdouts	wl-tile-v1-02653	wl-neg-neg-es-pba-20407	neg-es-pba-20407	0	hard_negative	test_trasancos	ES	Mámoa de Campo da Cruz 2	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	0.13657298	-0.20727783	-0.33079045	-1.01440085	-0.20727783	118
fusion_only	holdouts	wl-tile-v1-02612	wl-neg-neg-es-pba-9943	neg-es-pba-9943	0	hard_negative	test_trasancos	ES	Mámoa de Catabois	Ferrol	Serantes (San Salvador)		megalithic_mound	0.17900439	-0.04781250	0.29444407	-0.25571392	-0.04781250	105
fusion_only	holdouts	wl-tile-v1-02662	wl-neg-neg-es-pba-24842	neg-es-pba-24842	0	hard_negative	test_trasancos	ES	Mámoa de Coto da Fraga 1	Valdoviño	Pantín (Santiago)		megalithic_mound	0.10480915	-0.35675755	0.76359969	0.31358004	-0.35675755	133
fusion_only	holdouts	wl-tile-v1-02663	wl-neg-neg-es-pba-24843	neg-es-pba-24843	0	hard_negative	test_trasancos	ES	Mámoa de Coto da Fraga 2	Valdoviño	Pantín (Santiago)		megalithic_mound	0.42403535	0.55681186	1.58722769	1.31300631	0.55681186	70
fusion_only	holdouts	wl-tile-v1-02613	wl-neg-neg-es-pba-9944	neg-es-pba-9944	0	hard_negative	test_trasancos	ES	Mámoa de Espadanido 1	Ferrol	Marmancón (San Pedro)		megalithic_mound	0.11466117	-0.30662044	0.16100794	-0.41763116	-0.30662044	129
fusion_only	holdouts	wl-tile-v1-02614	wl-neg-neg-es-pba-9945	neg-es-pba-9945	0	hard_negative	test_trasancos	ES	Mámoa de Espadanido 2	Ferrol	Marmancón (San Pedro)		megalithic_mound	0.08100337	-0.49781553	0.17177640	-0.40456424	-0.49781553	146
fusion_only	holdouts	wl-tile-v1-02615	wl-neg-neg-es-pba-9946	neg-es-pba-9946	0	hard_negative	test_trasancos	ES	Mámoa de Ferreiros	Ferrol	Brión (Santa María)		megalithic_mound	0.13000879	-0.23551507	-0.02347597	-0.64149201	-0.23551507	122
fusion_only	holdouts	wl-tile-v1-02616	wl-neg-neg-es-pba-9947	neg-es-pba-9947	0	hard_negative	test_trasancos	ES	Mámoa de Leixa 1	Ferrol	Leixa (San Pedro)		megalithic_mound	0.08251842	-0.48778842	-0.26484929	-0.93438496	-0.48778842	144
fusion_only	holdouts	wl-tile-v1-02617	wl-neg-neg-es-pba-9974	neg-es-pba-9974	0	hard_negative	test_trasancos	ES	Mámoa de Leixa 2	Ferrol	Leixa (San Pedro)		megalithic_mound	0.12456202	-0.25988111	-0.06517038	-0.69208583	-0.25988111	123
