blend	dataset	subset	rows	positives	negatives	roc_auc	average_precision	precision_at_10	recall_at_10	precision_at_50	recall_at_50	precision_at_100	recall_at_100	best_positive_rank	median_positive_rank
archetype_only	holdouts	all	204	68	136	0.790333	0.707459	1.000000	0.147059	0.740000	0.544118	0.520000	0.764706	1	45.5
archetype_only	holdouts	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
archetype_only	holdouts	split:test_trasancos	199	64	135	0.783796	0.691568	0.900000	0.140625	0.700000	0.546875	0.480000	0.750000	1	43.5
archetype_only	train_mini	all	553	276	277	0.718948	0.707683	0.900000	0.032609	0.800000	0.144928	0.730000	0.264493	1	191.0
archetype_only	val	all	1851	359	1492	0.799398	0.537969	0.700000	0.019499	0.740000	0.103064	0.760000	0.211699	1	314.0
fusion70_arch30	holdouts	all	204	68	136	0.890030	0.850609	1.000000	0.147059	0.840000	0.617647	0.590000	0.867647	1	36.5
fusion70_arch30	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion70_arch30	holdouts	split:test_trasancos	199	64	135	0.896759	0.847136	1.000000	0.156250	0.800000	0.625000	0.570000	0.890625	1	35.0
fusion70_arch30	train_mini	all	553	276	277	0.850481	0.840630	1.000000	0.036232	0.880000	0.159420	0.890000	0.322464	1	161.5
fusion70_arch30	val	all	1851	359	1492	0.886970	0.739653	1.000000	0.027855	0.960000	0.133705	0.910000	0.253482	1	217.0
fusion_only	holdouts	all	204	68	136	0.888949	0.866398	1.000000	0.147059	0.900000	0.661765	0.600000	0.882353	1	37.5
fusion_only	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion_only	holdouts	split:test_trasancos	199	64	135	0.897569	0.864284	1.000000	0.156250	0.880000	0.687500	0.570000	0.890625	1	36.5
fusion_only	train_mini	all	553	276	277	0.869330	0.859469	1.000000	0.036232	0.920000	0.166667	0.890000	0.322464	1	156.5
fusion_only	val	all	1851	359	1492	0.878253	0.754336	1.000000	0.027855	0.980000	0.136490	0.950000	0.264624	1	207.0
max_safety	holdouts	all	204	68	136	0.909278	0.858070	1.000000	0.147059	0.840000	0.617647	0.620000	0.911765	1	38.0
max_safety	holdouts	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
max_safety	holdouts	split:test_trasancos	199	64	135	0.905903	0.848180	1.000000	0.156250	0.820000	0.640625	0.590000	0.921875	1	38.5
max_safety	train_mini	all	553	276	277	0.804112	0.772932	0.900000	0.032609	0.860000	0.155797	0.780000	0.282609	1	174.5
max_safety	val	all	1851	359	1492	0.866082	0.630999	0.700000	0.019499	0.760000	0.105850	0.780000	0.217270	1	256.0
mean	holdouts	all	204	68	136	0.878028	0.822447	1.000000	0.147059	0.800000	0.588235	0.560000	0.823529	1	40.0
mean	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
mean	holdouts	split:test_trasancos	199	64	135	0.880093	0.816733	1.000000	0.156250	0.780000	0.609375	0.560000	0.875000	1	38.0
mean	train_mini	all	553	276	277	0.823392	0.814895	1.000000	0.036232	0.900000	0.163043	0.850000	0.307971	1	166.5
mean	val	all	1851	359	1492	0.880809	0.698574	1.000000	0.027855	0.900000	0.125348	0.840000	0.233983	1	228.0
