blend	dataset	subset	rows	positives	negatives	roc_auc	average_precision	precision_at_10	recall_at_10	precision_at_50	recall_at_50	precision_at_100	recall_at_100	best_positive_rank	median_positive_rank
archetype_only	holdouts	all	204	68	136	0.777898	0.706531	1.000000	0.147059	0.640000	0.470588	0.520000	0.764706	1	55.5
archetype_only	holdouts	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
archetype_only	holdouts	split:test_trasancos	199	64	135	0.770486	0.689640	1.000000	0.156250	0.580000	0.453125	0.480000	0.750000	1	54.5
archetype_only	test	all	2383	528	1855	0.789519	0.570808	1.000000	0.018939	0.820000	0.077652	0.770000	0.145833	1	440.0
archetype_only	train	all	8641	1844	6797	0.811846	0.598607	0.700000	0.003796	0.900000	0.024403	0.880000	0.047722	1	1478.5
archetype_only	val	all	1851	359	1492	0.814298	0.581118	0.700000	0.019499	0.800000	0.111421	0.800000	0.222841	1	297.0
fusion70_arch30	holdouts	all	204	68	136	0.917820	0.860842	1.000000	0.147059	0.840000	0.617647	0.660000	0.970588	1	35.5
fusion70_arch30	holdouts	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion70_arch30	holdouts	split:test_trasancos	199	64	135	0.916319	0.851872	1.000000	0.156250	0.780000	0.609375	0.620000	0.968750	1	35.0
fusion70_arch30	test	all	2383	528	1855	0.910985	0.767764	1.000000	0.018939	0.940000	0.089015	0.880000	0.166667	1	318.5
fusion70_arch30	train	all	8641	1844	6797	0.921344	0.791697	0.900000	0.004881	0.960000	0.026030	0.960000	0.052061	1	1074.5
fusion70_arch30	val	all	1851	359	1492	0.916526	0.767306	0.800000	0.022284	0.920000	0.128134	0.920000	0.256267	1	210.0
fusion_only	holdouts	all	204	68	136	0.944312	0.909383	1.000000	0.147059	0.900000	0.661765	0.650000	0.955882	1	35.5
fusion_only	holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
fusion_only	holdouts	split:test_trasancos	199	64	135	0.947917	0.907557	1.000000	0.156250	0.880000	0.687500	0.620000	0.968750	1	33.5
fusion_only	test	all	2383	528	1855	0.925436	0.812968	1.000000	0.018939	1.000000	0.094697	0.950000	0.179924	1	302.5
fusion_only	train	all	8641	1844	6797	0.932440	0.829662	1.000000	0.005423	1.000000	0.027115	0.980000	0.053145	1	1036.5
fusion_only	val	all	1851	359	1492	0.927349	0.799049	1.000000	0.027855	0.960000	0.133705	0.940000	0.261838	1	200.0
max_safety	holdouts	all	204	68	136	0.903330	0.830729	1.000000	0.147059	0.760000	0.558824	0.630000	0.926471	1	40.5
max_safety	holdouts	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
max_safety	holdouts	split:test_trasancos	199	64	135	0.898611	0.815204	1.000000	0.156250	0.740000	0.578125	0.610000	0.953125	1	39.0
max_safety	test	all	2383	528	1855	0.892131	0.697323	1.000000	0.018939	0.840000	0.079545	0.830000	0.157197	1	349.0
max_safety	train	all	8641	1844	6797	0.907437	0.736534	0.700000	0.003796	0.900000	0.024403	0.890000	0.048265	1	1145.0
max_safety	val	all	1851	359	1492	0.895609	0.694859	0.700000	0.019499	0.800000	0.111421	0.830000	0.231198	1	233.0
mean	holdouts	all	204	68	136	0.888408	0.819240	1.000000	0.147059	0.780000	0.573529	0.610000	0.897059	1	40.5
mean	holdouts	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
mean	holdouts	split:test_trasancos	199	64	135	0.884954	0.807330	1.000000	0.156250	0.720000	0.562500	0.580000	0.906250	1	38.5
mean	test	all	2383	528	1855	0.888608	0.716510	1.000000	0.018939	0.920000	0.087121	0.840000	0.159091	1	338.5
mean	train	all	8641	1844	6797	0.902651	0.745171	0.800000	0.004338	0.940000	0.025488	0.930000	0.050434	1	1134.5
mean	val	all	1851	359	1492	0.898607	0.721334	0.800000	0.022284	0.920000	0.128134	0.890000	0.247911	1	228.0
