blend	dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	fusion_probability	fusion_logit_z	archetype_score	archetype_z	blend_score	rank_desc_in_dataset
fusion_only	holdouts	wl-tile-v1-02661	wl-neg-neg-es-pba-24808	neg-es-pba-24808	0	hard_negative	test_trasancos	ES	Igrexa de San Martiño de Valdetires	Valdoviño	Meirás (San Vicente)		megalithic_mound	0.09840311	-0.23244219	0.16077724	-0.41791110	-0.23244219	124
fusion_only	holdouts	wl-tile-v1-02650	wl-neg-neg-es-pba-20404	neg-es-pba-20404	0	hard_negative	test_trasancos	ES	Mámoa da Ermida	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	0.05146495	-0.54537891	-0.03629584	-0.65704820	-0.54537891	149
fusion_only	holdouts	wl-tile-v1-02651	wl-neg-neg-es-pba-20405	neg-es-pba-20405	0	hard_negative	test_trasancos	ES	Mámoa da Pena do Cabalo	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	0.18333364	0.09045655	0.42950053	-0.09183050	0.09045655	96
fusion_only	holdouts	wl-tile-v1-02652	wl-neg-neg-es-pba-20406	neg-es-pba-20406	0	hard_negative	test_trasancos	ES	Mámoa de Bardaos	San Sadurniño	Bardaos (Santa María)		megalithic_mound	0.39572436	0.56981335	1.48582019	1.18995401	0.56981335	67
fusion_only	holdouts	wl-tile-v1-02599	wl-neg-neg-es-pba-9906	neg-es-pba-9906	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 01/Mámoa de Chao de Castelo 01	Ferrol	Doniños (San Román)		megalithic_mound	0.03284052	-0.75522757	0.37411449	-0.15903835	-0.75522757	168
fusion_only	holdouts	wl-tile-v1-02600	wl-neg-neg-es-pba-9907	neg-es-pba-9907	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 02/Mámoa de Chao de Castelo 02	Ferrol	Doniños (San Román)		megalithic_mound	0.11803093	-0.14115448	0.42439116	-0.09803043	-0.14115448	117
fusion_only	holdouts	wl-tile-v1-02601	wl-neg-neg-es-pba-9908	neg-es-pba-9908	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 03	Ferrol	Doniños (San Román)		megalithic_mound	0.33801825	0.45840380	1.40815846	1.09571587	0.45840380	76
fusion_only	holdouts	wl-tile-v1-02602	wl-neg-neg-es-pba-9909	neg-es-pba-9909	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 04	Ferrol	Doniños (San Román)		megalithic_mound	0.08504115	-0.30437130	0.41431246	-0.11026037	-0.30437130	129
fusion_only	holdouts	wl-tile-v1-02603	wl-neg-neg-es-pba-9910	neg-es-pba-9910	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 05	Ferrol	Doniños (San Román)		megalithic_mound	0.03057654	-0.78825665	0.03877700	-0.56595153	-0.78825665	172
fusion_only	holdouts	wl-tile-v1-02604	wl-neg-neg-es-pba-9911	neg-es-pba-9911	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 06	Ferrol	Doniños (San Román)		megalithic_mound	0.03070438	-0.78632951	-0.15077876	-0.79596679	-0.78632951	171
fusion_only	holdouts	wl-tile-v1-02605	wl-neg-neg-es-pba-9912	neg-es-pba-9912	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 07	Ferrol	Doniños (San Román)		megalithic_mound	0.04380600	-0.62112437	-0.42437509	-1.12796055	-0.62112437	158
fusion_only	holdouts	wl-tile-v1-02606	wl-neg-neg-es-pba-9913	neg-es-pba-9913	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 08	Ferrol	Doniños (San Román)		megalithic_mound	0.02614125	-0.86046988	-0.02930017	-0.64855935	-0.86046988	182
fusion_only	holdouts	wl-tile-v1-02607	wl-neg-neg-es-pba-9914	neg-es-pba-9914	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 09	Ferrol	Doniños (San Román)		megalithic_mound	0.02832806	-0.82349254	0.30165564	-0.24696309	-0.82349254	178
fusion_only	holdouts	wl-tile-v1-02608	wl-neg-neg-es-pba-9939	neg-es-pba-9939	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 10	Ferrol	Doniños (San Román)		megalithic_mound	0.15465900	-0.00114888	0.99339879	0.59242833	-0.00114888	103
fusion_only	holdouts	wl-tile-v1-02609	wl-neg-neg-es-pba-9940	neg-es-pba-9940	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 11	Ferrol	Doniños (San Román)		megalithic_mound	0.02999527	-0.79711870	0.13827352	-0.44521810	-0.79711870	173
fusion_only	holdouts	wl-tile-v1-02610	wl-neg-neg-es-pba-9941	neg-es-pba-9941	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 12	Ferrol	Doniños (San Román)		megalithic_mound	0.03652978	-0.70584770	0.21739701	-0.34920619	-0.70584770	165
fusion_only	holdouts	wl-tile-v1-02611	wl-neg-neg-es-pba-9942	neg-es-pba-9942	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 13	Ferrol	Doniños (San Román)		megalithic_mound	0.03882583	-0.67748602	0.43488485	-0.08529693	-0.67748602	163
fusion_only	holdouts	wl-tile-v1-02653	wl-neg-neg-es-pba-20407	neg-es-pba-20407	0	hard_negative	test_trasancos	ES	Mámoa de Campo da Cruz 2	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	0.05179832	-0.54233058	-0.33079045	-1.01440085	-0.54233058	148
fusion_only	holdouts	wl-tile-v1-02612	wl-neg-neg-es-pba-9943	neg-es-pba-9943	0	hard_negative	test_trasancos	ES	Mámoa de Catabois	Ferrol	Serantes (San Salvador)		megalithic_mound	0.14905705	-0.02062500	0.29444407	-0.25571392	-0.02062500	107
fusion_only	holdouts	wl-tile-v1-02662	wl-neg-neg-es-pba-24842	neg-es-pba-24842	0	hard_negative	test_trasancos	ES	Mámoa de Coto da Fraga 1	Valdoviño	Pantín (Santiago)		megalithic_mound	0.11813637	-0.14070115	0.76359969	0.31358004	-0.14070115	116
fusion_only	holdouts	wl-tile-v1-02663	wl-neg-neg-es-pba-24843	neg-es-pba-24843	0	hard_negative	test_trasancos	ES	Mámoa de Coto da Fraga 2	Valdoviño	Pantín (Santiago)		megalithic_mound	0.45696735	0.68208680	1.58722769	1.31300631	0.68208680	60
fusion_only	holdouts	wl-tile-v1-02613	wl-neg-neg-es-pba-9944	neg-es-pba-9944	0	hard_negative	test_trasancos	ES	Mámoa de Espadanido 1	Ferrol	Marmancón (San Pedro)		megalithic_mound	0.07224572	-0.38359917	0.16100794	-0.41763116	-0.38359917	135
