dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	rgb__gray_mean	rgb__gray_std	rgb__gray_entropy	rgb__dark_fraction	rgb__bright_fraction	rgb__green_mean	rgb__excess_green_mean	rgb__green_std	rgb__edge_global_mean	rgb__edge_global_std	rgb__edge_inner_mean	rgb__edge_annulus_mean	rgb__edge_outer_mean	rgb__edge_annulus_to_outer_ratio	rgb__edge_annulus_to_inner_ratio	rgb__texture_inner_std	rgb__texture_annulus_std	rgb__texture_outer_std	rgb__texture_annulus_to_outer_ratio	rgb__luminance_inner_mean	rgb__luminance_annulus_mean	rgb__luminance_outer_mean	rgb__luminance_delta_inner_outer	rgb__green_delta_inner_outer	rgb__ring_sector_coverage	rgb__ring_sector_balance	rgb__radial_peak_inverse_rank	rgb__radial_peak_count	relief__dem_prominence_m	relief__slope_annulus_mean	relief__slope_context_mean	relief__slope_ratio	relief__lrm_abs_annulus_mean	relief__lrm_abs_context_mean	relief__lrm_abs_ratio	relief__lrm_core_mean	relief__lrm_context_mean	relief__lrm_core_delta	relief__hillshade_edge_annulus_mean	relief__hillshade_edge_context_mean	relief__hillshade_edge_ratio	relief__ring_sector_coverage	relief__ring_sector_balance	relief_variant__hilltop	relief_variant__edge_ring	relief_variant__promontory	relief_variant__archetype_max	error	status
train	wl-tile-v1-09842	wl-neg-neg-pt-dgpc-109485	neg-pt-dgpc-109485	0	hard_negative	train	PT	Abobeleira	Chaves	Vale de Anta		roman_built_context																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09671	wl-neg-neg-pt-dgpc-113998	neg-pt-dgpc-113998	0	hard_negative	train	PT	Albergaria de Amarante	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		necropolis_or_burial																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09786	wl-neg-neg-pt-dgpc-112388	neg-pt-dgpc-112388	0	hard_negative	train	PT	Almas 1	Paredes de Coura	Insalde e Porreiras		rock_art_surface																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09787	wl-neg-neg-pt-dgpc-112389	neg-pt-dgpc-112389	0	hard_negative	train	PT	Almas 2	Paredes de Coura	Insalde e Porreiras		rock_art_surface																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09789	wl-neg-neg-pt-dgpc-112391	neg-pt-dgpc-112391	0	hard_negative	train	PT	Almas 3	Paredes de Coura	Insalde e Porreiras		megalithic_mound																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09860	wl-neg-neg-pt-dgpc-110210	neg-pt-dgpc-110210	0	hard_negative	train	PT	Alto da Raia	Montalegre	Tourém		roman_built_context																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09839	wl-neg-neg-pt-dgpc-109328	neg-pt-dgpc-109328	0	hard_negative	train	PT	Alto do Circo/ Faiões	Chaves	Faiões		roman_built_context																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09665	wl-neg-neg-pt-dgpc-105104	neg-pt-dgpc-105104	0	hard_negative	train	PT	Amarante - Calçada da Misericórdia	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		necropolis_or_burial;roman_built_context																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09673	wl-neg-neg-pt-dgpc-114810	neg-pt-dgpc-114810	0	hard_negative	train	PT	Amarante - Ponte de Santa Luzia	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		roman_built_context																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09533	wl-neg-neg-pt-dgpc-109231	neg-pt-dgpc-109231	0	hard_negative	train	PT	Anjo da Guarda São Miguel-o-Anjo	Amares	Ferreiros, Prozelo e Besteiros		roman_built_context																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09859	wl-neg-neg-pt-dgpc-109575	neg-pt-dgpc-109575	0	hard_negative	train	PT	Antigo de Arcos/ Arcos-Miliário do Imperador Tibério	Montalegre	Cervos		roman_built_context																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09626	wl-neg-neg-pt-dgpc-109367	neg-pt-dgpc-109367	0	hard_negative	train	PT	Arca	Vila Verde	Turiz		roman_built_context																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09702	wl-neg-neg-pt-dgpc-104969	neg-pt-dgpc-104969	0	hard_negative	train	PT	Arcos	Maia	São Pedro Fins		megalithic_mound																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09704	wl-neg-neg-pt-dgpc-106058	neg-pt-dgpc-106058	0	hard_negative	train	PT	Ardegães/ Bouça da Cova da Moura	Maia	Águas Santas		rock_art_surface																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09595	wl-neg-neg-pt-dgpc-114655	neg-pt-dgpc-114655	0	hard_negative	train	PT	Assento	Terras de Bouro	Balança		necropolis_or_burial																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
train	wl-tile-v1-09621	wl-neg-neg-pt-dgpc-107051	neg-pt-dgpc-107051	0	hard_negative	train	PT	Atalaia do Telhado	Vila Nova de Famalicão	Vermoim		historic_fortification																																																relief_status:failed:manifest_dem_status:unsupported_country	failed
