dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	probability	rank_desc_in_dataset	error	status
train	wl-tile-v1-06178	wl-neg-neg-es-pba-38894	neg-es-pba-38894	0	hard_negative	train	ES	A Chousa das Minas	Pol	Arcos de Frades (Santiago)		mining_or_quarry	0.03830861	7530		ok
train	wl-tile-v1-05758	wl-neg-neg-es-pba-35203	neg-es-pba-35203	0	hard_negative	train	ES	A Costa/Medorra de Montecalvo 1	Monterroso	Marzán (Santa María)		megalithic_mound	0.37893437	2979		ok
train	wl-tile-v1-05760	wl-neg-neg-es-pba-35254	neg-es-pba-35254	0	hard_negative	train	ES	A Costa/Medorra de Montecalvo 2	Monterroso	Marzán (Santa María)		megalithic_mound	0.49028158	2446		ok
train	wl-tile-v1-03135	wl-neg-neg-es-pba-18194	neg-es-pba-18194	0	hard_negative	train	ES	A Cruz do Pinal/Mámoa da Cruz do Pinal	As Pontes de García Rodríguez	Vilavella (Santa María)		megalithic_mound	0.54725653	2219		ok
train	wl-tile-v1-06235	wl-neg-neg-es-pba-40747	neg-es-pba-40747	0	hard_negative	train	ES	A Eira da Torre/Medorra de Sotordei	Ribas de Sil	Soutordei (Santiago)		megalithic_mound	0.81897478	1347		ok
train	wl-tile-v1-05761	wl-neg-neg-es-pba-35256	neg-es-pba-35256	0	hard_negative	train	ES	A Escrita/A Casa das Mouras/As Fontelas/Orgoso/Mámoa da Escrita 1	Monterroso	Fufín (San Martiño)		megalithic_mound	0.08159378	6238		ok
train	wl-tile-v1-07467	wl-neg-neg-es-pba-65654	neg-es-pba-65654	0	hard_negative	train	ES	A Gándara	A Guarda	Salcidos (San Lourenzo)		roman_built_context	0.21886487	4070		ok
train	wl-tile-v1-08416	wl-neg-neg-es-pba-66223	neg-es-pba-66223	0	hard_negative	train	ES	A Laxe das Presiñas	Gondomar	Peitieiros (San Miguel)		rock_art_surface	0.08536439	6160		ok
train	wl-tile-v1-06179	wl-neg-neg-es-pba-38898	neg-es-pba-38898	0	hard_negative	train	ES	A Madorra da Valiña	Pol	Luaces (Santa María)		megalithic_mound	0.13587925	5106		ok
train	wl-tile-v1-04509	wl-neg-neg-es-pba-24888	neg-es-pba-24888	0	hard_negative	train	ES	A Madorra/Foxo do Cabrito	Toques	Santa Mariña de Brañas (Santa Mari¤a)		megalithic_mound	0.19975759	4254		ok
train	wl-tile-v1-07325	wl-neg-neg-es-pba-56893	neg-es-pba-56893	0	hard_negative	train	ES	A Meana	Rubiá	Quereño (San Cristovo)		mining_or_quarry	0.10257204	5751		ok
train	wl-tile-v1-05830	wl-neg-neg-es-pba-29650	neg-es-pba-29650	0	hard_negative	train	ES	A Medorra	O Corgo	Santo Estevo de Farnadeiros (Santo Estevo)		megalithic_mound	0.96683645	515		ok
train	wl-tile-v1-06757	wl-neg-neg-es-pba-50551	neg-es-pba-50551	0	hard_negative	train	ES	A Medorra	A Gudiña	O Canizo (Santa María)		megalithic_mound	0.49056976	2443		ok
train	wl-tile-v1-09449	wl-neg-neg-es-pba-74609	neg-es-pba-74609	0	hard_negative	train	ES	A Medorra 2	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	0.40018269	2875		ok
train	wl-tile-v1-09450	wl-neg-neg-es-pba-74610	neg-es-pba-74610	0	hard_negative	train	ES	A Medorra 3	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	0.06305644	6728		ok
train	wl-tile-v1-09451	wl-neg-neg-es-pba-74611	neg-es-pba-74611	0	hard_negative	train	ES	A Medorra 4	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	0.08733497	6114		ok
train	wl-tile-v1-09452	wl-neg-neg-es-pba-74612	neg-es-pba-74612	0	hard_negative	train	ES	A Medorra 5	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	0.13846908	5065		ok
train	wl-tile-v1-05833	wl-neg-neg-es-pba-32105	neg-es-pba-32105	0	hard_negative	train	ES	A Medorra de Cereixido	O Incio	Santa María do Mao (Santa María)		megalithic_mound	0.01453427	8392		ok
train	wl-tile-v1-06187	wl-neg-neg-es-pba-38387	neg-es-pba-38387	0	hard_negative	train	ES	A Medorra de Hospital	Portomarín	Nespereira (San Cibrao)		megalithic_mound	0.10178582	5767		ok
train	wl-tile-v1-05616	wl-neg-neg-es-pba-31043	neg-es-pba-31043	0	hard_negative	train	ES	A Medorra de Reigosa 1	Friol	Friol (San Xiao)		megalithic_mound	0.22407388	4025		ok
train	wl-tile-v1-06315	wl-neg-neg-es-pba-42146	neg-es-pba-42146	0	hard_negative	train	ES	A Medorra de Xisto	Sarria	San Vicenzo de Froián (San Vicenzo)		megalithic_mound	0.80992424	1385		ok
train	wl-tile-v1-05617	wl-neg-neg-es-pba-31044	neg-es-pba-31044	0	hard_negative	train	ES	A Medorra de Xoana	Friol	Santalla de Devesa (Santalla)		megalithic_mound	0.11168153	5563		ok
train	wl-tile-v1-06188	wl-neg-neg-es-pba-38388	neg-es-pba-38388	0	hard_negative	train	ES	A Medorra do Rañadoiro 1	Portomarín	Vilaxuste (San Pedro)		megalithic_mound	0.11498486	5490		ok
train	wl-tile-v1-06189	wl-neg-neg-es-pba-38389	neg-es-pba-38389	0	hard_negative	train	ES	A Medorra do Rañadoiro 2	Portomarín	Vilaxuste (San Pedro)		megalithic_mound	0.03825009	7533		ok
train	wl-tile-v1-06190	wl-neg-neg-es-pba-38420	neg-es-pba-38420	0	hard_negative	train	ES	A Medorra do Rañadoiro 3	Portomarín	Vilaxuste (San Pedro)		megalithic_mound	0.10587792	5678		ok
train	wl-tile-v1-03920	wl-neg-neg-es-pba-15468	neg-es-pba-15468	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 1	Ordes	Beán (Santa María)		megalithic_mound	0.12435018	5307		ok
train	wl-tile-v1-03921	wl-neg-neg-es-pba-15469	neg-es-pba-15469	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 2	Ordes	Beán (Santa María)		megalithic_mound	0.12476538	5302		ok
train	wl-tile-v1-03922	wl-neg-neg-es-pba-15470	neg-es-pba-15470	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 3	Ordes	Beán (Santa María)		megalithic_mound	0.03904396	7507		ok
train	wl-tile-v1-03923	wl-neg-neg-es-pba-15471	neg-es-pba-15471	0	hard_negative	train	ES	A Medorra/Mámoa de Aldea de Abaixo 4	Ordes	Beán (Santa María)		megalithic_mound	0.02835865	7881		ok
train	wl-tile-v1-05091	wl-neg-neg-es-pba-42396	neg-es-pba-42396	0	hard_negative	train	ES	A Medorriña/Medorra do Coto Redondo	Baralla	Pacios (Santa María)		megalithic_mound	0.30375069	3405		ok
train	wl-tile-v1-05007	wl-neg-neg-es-pba-38985	neg-es-pba-38985	0	hard_negative	train	ES	A Mina	A Pobra do Brollón	Ferreiros (San Salvador)		mining_or_quarry	0.77558197	1496		ok
train	wl-tile-v1-07427	wl-neg-neg-es-pba-60601	neg-es-pba-60601	0	hard_negative	train	ES	A Mina dos Lameiros	Vilardevós	Vilar de Cervos (San Vicente)		mining_or_quarry	0.26938604	3639		ok
train	wl-tile-v1-06609	wl-neg-neg-es-pba-30140	neg-es-pba-30140	0	hard_negative	train	ES	A Modia	Xermade	Xermade (Santa María)		megalithic_mound	0.70931008	1710		ok
train	wl-tile-v1-06482	wl-neg-neg-es-pba-43240	neg-es-pba-43240	0	hard_negative	train	ES	A Modia de Gocendre	Vilalba	Goiriz (Santiago)		megalithic_mound	0.44310763	2660		ok
train	wl-tile-v1-06610	wl-neg-neg-es-pba-30141	neg-es-pba-30141	0	hard_negative	train	ES	A Modia/Medoña da Zaipa	Xermade	Xermade (Santa María)		megalithic_mound	0.32120353	3306		ok
train	wl-tile-v1-05008	wl-neg-neg-es-pba-38986	neg-es-pba-38986	0	hard_negative	train	ES	A Modorra	A Pobra do Brollón	Eixón (San Xurxo)		megalithic_mound	0.89246631	1028		ok
train	wl-tile-v1-06046	wl-neg-neg-es-pba-37805	neg-es-pba-37805	0	hard_negative	train	ES	A Modorra Grande	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.13860123	5062		ok
train	wl-tile-v1-06044	wl-neg-neg-es-pba-37803	neg-es-pba-37803	0	hard_negative	train	ES	A Modorra de Bacorelle	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.49838180	2405		ok
train	wl-tile-v1-06316	wl-neg-neg-es-pba-42147	neg-es-pba-42147	0	hard_negative	train	ES	A Modorra do Cruceiro	Sarria	Santalla de Arxemil (Santalla)		megalithic_mound	0.30082082	3422		ok
train	wl-tile-v1-06045	wl-neg-neg-es-pba-37804	neg-es-pba-37804	0	hard_negative	train	ES	A Modorra dos Chaos	Paradela	Castro de Rei de Lemos (Santa María)		megalithic_mound	0.07021376	6506		ok
train	wl-tile-v1-07326	wl-neg-neg-es-pba-56894	neg-es-pba-56894	0	hard_negative	train	ES	A Muria/O Foio	Rubiá	O Barrio de Cascallá (Nosa Señora da Asunción)		mining_or_quarry	0.43347639	2714		ok
train	wl-tile-v1-03540	wl-neg-neg-es-pba-10048	neg-es-pba-10048	0	hard_negative	train	ES	A Mámoa	Fisterra	Duio (San Vicenzo)		megalithic_mound	0.15343169	4840		ok
train	wl-tile-v1-09448	wl-neg-neg-es-pba-74608	neg-es-pba-74608	0	hard_negative	train	ES	A Mámoa 2	Vila de Cruces	Ferreirós (San Xes)		megalithic_mound	0.10626427	5668		ok
