dataset	tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	probability	rank_desc_in_dataset	status	error
train_mini	wl-tile-v1-06178	wl-neg-neg-es-pba-38894	neg-es-pba-38894	0	hard_negative	train	ES	A Chousa das Minas	Pol	Arcos de Frades (Santiago)		mining_or_quarry	0.07592820	525	ok	
train_mini	wl-tile-v1-05758	wl-neg-neg-es-pba-35203	neg-es-pba-35203	0	hard_negative	train	ES	A Costa/Medorra de Montecalvo 1	Monterroso	Marzán (Santa María)		megalithic_mound	0.40648065	310	ok	
train_mini	wl-tile-v1-05760	wl-neg-neg-es-pba-35254	neg-es-pba-35254	0	hard_negative	train	ES	A Costa/Medorra de Montecalvo 2	Monterroso	Marzán (Santa María)		megalithic_mound	0.41500148	306	ok	
train_mini	wl-tile-v1-03135	wl-neg-neg-es-pba-18194	neg-es-pba-18194	0	hard_negative	train	ES	A Cruz do Pinal/Mámoa da Cruz do Pinal	As Pontes de García Rodríguez	Vilavella (Santa María)		megalithic_mound	0.40025661	317	ok	
train_mini	wl-tile-v1-06235	wl-neg-neg-es-pba-40747	neg-es-pba-40747	0	hard_negative	train	ES	A Eira da Torre/Medorra de Sotordei	Ribas de Sil	Soutordei (Santiago)		megalithic_mound	0.30684191	379	ok	
train_mini	wl-tile-v1-05761	wl-neg-neg-es-pba-35256	neg-es-pba-35256	0	hard_negative	train	ES	A Escrita/A Casa das Mouras/As Fontelas/Orgoso/Mámoa da Escrita 1	Monterroso	Fufín (San Martiño)		megalithic_mound	0.19037196	445	ok	
train_mini	wl-tile-v1-07467	wl-neg-neg-es-pba-65654	neg-es-pba-65654	0	hard_negative	train	ES	A Gándara	A Guarda	Salcidos (San Lourenzo)		roman_built_context	0.36085971	342	ok	
train_mini	wl-tile-v1-08416	wl-neg-neg-es-pba-66223	neg-es-pba-66223	0	hard_negative	train	ES	A Laxe das Presiñas	Gondomar	Peitieiros (San Miguel)		rock_art_surface	0.02232194	545	ok	
train_mini	wl-tile-v1-06179	wl-neg-neg-es-pba-38898	neg-es-pba-38898	0	hard_negative	train	ES	A Madorra da Valiña	Pol	Luaces (Santa María)		megalithic_mound	0.40289783	315	ok	
train_mini	wl-tile-v1-04509	wl-neg-neg-es-pba-24888	neg-es-pba-24888	0	hard_negative	train	ES	A Madorra/Foxo do Cabrito	Toques	Santa Mariña de Brañas (Santa Mari¤a)		megalithic_mound	0.42773003	297	ok	
