tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	dem_path	msrm_abs_annulus_mean	msrm_abs_context_mean	msrm_abs_ratio	msrm_core_mean	msrm_context_mean	msrm_core_delta	msrm_ring_coverage	msrm_ring_balance	best_ring_radius_m	best_ring_coverage	best_ring_balance	best_ring_abs_ratio	ring_radius_sharpness	dominant_scale_m	dominant_scale_ratio	scale_ratio_spread	scale_response_entropy	lrm_15m_abs_ratio	lrm_15m_core_delta	lrm_30m_abs_ratio	lrm_30m_core_delta	lrm_60m_abs_ratio	lrm_60m_core_delta	lrm_120m_abs_ratio	lrm_120m_core_delta	lrm_240m_abs_ratio	lrm_240m_core_delta	status	error
wl-tile-v1-00001	wl-neg-neg-es-pba-3535	neg-es-pba-3535	0	hard_negative	test	ES	Mámoa da Fonte da Lebre 1	A Capela	Caaveiro (San Boulo)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00001-neg-es-pba-3535-mdt5.tif	0.45692587	0.74370104	0.61439455	-0.21219714	0.21061337	-0.42281051	0.08333333	0.68794443	80.00000000	0.44444444	0.62346972	1.05926971	0.15625000	15.00000000	0.87726903	0.38888479	0.98345662	0.87726903	-0.03454890	0.81256094	-0.13451361	0.61546318	-0.53192061	0.48838424	-1.66122407	0.53012530	-2.80635667	ok	
wl-tile-v1-00002	wl-neg-neg-es-pba-3536	neg-es-pba-3536	0	hard_negative	test	ES	Mámoa da Fonte da Lebre 2	A Capela	Caaveiro (San Boulo)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00002-neg-es-pba-3536-mdt5.tif	0.42008653	0.70666391	0.59446440	-0.08043669	0.33228585	-0.41272254	0.02777778	0.69962602	60.00000000	0.47222222	0.66427660	1.25889444	0.23611111	15.00000000	0.79987745	0.32411532	0.98981569	0.79987745	-0.05755446	0.67965258	-0.16775682	0.63558205	-0.53806214	0.53432132	-1.67649654	0.47576213	-2.76828146	ok	
wl-tile-v1-00003	wl-neg-neg-es-pba-3537	neg-es-pba-3537	0	hard_negative	test	ES	Mámoa da Fonte da Lebre 3	A Capela	Caaveiro (San Boulo)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00003-neg-es-pba-3537-mdt5.tif	0.46165329	0.68180317	0.67710641	-0.11120542	0.28558800	-0.39679342	0.08333333	0.70549502	80.00000000	0.44444444	0.67964883	1.20210292	0.20486111	15.00000000	0.84870415	0.27710982	0.99490313	0.84870415	-0.04612000	0.73854380	-0.15904905	0.68970046	-0.54825780	0.67386178	-1.72024953	0.57159433	-2.55727637	ok	
wl-tile-v1-00004	wl-neg-neg-es-pba-3563	neg-es-pba-3563	0	hard_negative	test	ES	Mámoa da Fonte da Lebre 4	A Capela	Caaveiro (San Boulo)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00004-neg-es-pba-3563-mdt5.tif	0.47821230	0.67778420	0.70555244	-0.15715650	0.27242607	-0.42958257	0.08333333	0.69857040	80.00000000	0.41666667	0.65361347	1.19323347	0.19444444	15.00000000	0.90446916	0.33137575	0.99332400	0.90446916	-0.06194517	0.78606053	-0.19481748	0.71246318	-0.61806735	0.71894500	-1.80914569	0.57309341	-2.57234669	ok	
wl-tile-v1-00005	wl-neg-neg-es-pba-3564	neg-es-pba-3564	0	hard_negative	test	ES	Mámoa da Pena de Lama	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00005-neg-es-pba-3564-mdt5.tif	0.65249157	0.58600873	1.11345026	-0.40437457	-0.37373635	-0.03063822	0.44444444	0.68836753	150.00000000	0.47222222	0.69834443	1.14139811	0.16319444	30.00000000	1.19817762	0.25555729	0.99808240	1.14149049	-0.02551075	1.19817762	-0.06160213	1.11480774	0.03756970	0.94262033	0.59977353	1.10721064	-1.65618849	ok	
wl-tile-v1-00006	wl-neg-neg-es-pba-3565	neg-es-pba-3565	0	hard_negative	test	ES	Mámoa da Pena Escaleira	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00006-neg-es-pba-3565-mdt5.tif	0.66535062	0.68753392	0.96773497	0.47112098	0.13813484	0.33298615	0.19444444	0.55212248	180.00000000	0.44444444	0.62675522	1.34828071	0.17361111	15.00000000	1.01878154	0.09206643	0.99953290	1.01878154	0.02637057	0.96931130	0.07100094	0.93387650	0.22589736	0.92671511	0.91371229	1.00942365	2.98591125	ok	
wl-tile-v1-00007	wl-neg-neg-es-pba-3566	neg-es-pba-3566	0	hard_negative	test	ES	Mámoa da Pena Grande 1	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00007-neg-es-pba-3566-mdt5.tif	0.59705204	0.64012265	0.93271506	0.65506548	0.28492203	0.37014344	0.25000000	0.63692538	40.00000000	0.44444444	0.66451545	1.06690562	0.15972222	240.00000000	1.42775092	0.68897606	0.97924013	0.77821904	0.03939326	0.73877486	0.13408323	0.83480685	0.43223709	1.10367993	1.66751099	1.42775092	6.80085444	ok	
wl-tile-v1-00008	wl-neg-neg-es-pba-3567	neg-es-pba-3567	0	hard_negative	test	ES	Mámoa da Pena Grande 2	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00008-neg-es-pba-3567-mdt5.tif	0.59389704	0.73475784	0.80828950	0.51278895	0.40158746	0.11120149	0.19444444	0.66446298	220.00000000	0.33333333	0.71111812	0.97408460	0.10069444	240.00000000	1.18154206	0.52073574	0.98644007	0.84024544	-0.02479123	0.73196143	-0.06723100	0.66080632	-0.08958685	0.78133688	0.54940069	1.18154206	4.81128597	ok	
wl-tile-v1-00009	wl-neg-neg-es-pba-3568	neg-es-pba-3568	0	hard_negative	test	ES	Mámoa da Serra	A Capela	Capela (Santiago)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00009-neg-es-pba-3568-mdt5.tif	0.50239539	0.56746227	0.88533709	0.52285457	0.17252024	0.35033433	0.25000000	0.68774189	40.00000000	0.83333333	0.74208904	1.66467398	0.45138889	240.00000000	1.02605076	0.23287666	0.99707260	0.97921837	0.05726412	0.82799275	0.16519079	0.79317410	0.49014083	0.89942728	1.60871750	1.02605076	4.44689894	ok	
wl-tile-v1-00010	wl-neg-neg-es-pba-3569	neg-es-pba-3569	0	hard_negative	test	ES	Mámoa da Serra de Abaixo	A Capela	Capela (Santiago)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00010-neg-es-pba-3569-mdt5.tif	0.47377658	0.48408872	0.97869783	0.33043537	-0.05507893	0.38551429	0.25000000	0.64806271	40.00000000	0.44444444	0.75547231	1.29261162	0.23611111	60.00000000	1.01849447	0.31637551	0.99521413	0.96857004	0.05648698	0.93372886	0.20083849	1.01849447	0.66298958	0.95733743	1.78114100	0.70211897	3.06106544	ok	
