tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	dem_path	msrm_abs_annulus_mean	msrm_abs_context_mean	msrm_abs_ratio	msrm_core_mean	msrm_context_mean	msrm_core_delta	msrm_ring_coverage	msrm_ring_balance	best_ring_radius_m	best_ring_coverage	best_ring_balance	best_ring_abs_ratio	ring_radius_sharpness	dominant_scale_m	dominant_scale_ratio	scale_ratio_spread	scale_response_entropy	lrm_15m_abs_ratio	lrm_15m_core_delta	lrm_30m_abs_ratio	lrm_30m_core_delta	lrm_60m_abs_ratio	lrm_60m_core_delta	lrm_120m_abs_ratio	lrm_120m_core_delta	lrm_240m_abs_ratio	lrm_240m_core_delta	status	error
wl-tile-v1-02536	wl-neg-neg-es-pba-8678	neg-es-pba-8678	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón III-3	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02536-neg-es-pba-8678-mdt5.tif	0.60984761	0.60777521	1.00340980	0.58929741	0.23159607	0.35770135	0.41666667	0.63601939	40.00000000	0.61111111	0.86490307	1.19606559	0.26041667	240.00000000	1.51607357	0.90768216	0.95825520	0.60839141	0.05052462	0.62380602	0.21702465	0.78685166	0.90630734	1.17576433	4.40148115	1.51607357	18.74279308	ok	
wl-tile-v1-02537	wl-neg-neg-es-pba-8679	neg-es-pba-8679	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón III-4	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02537-neg-es-pba-8679-mdt5.tif	0.70870405	0.63387305	1.11805362	0.56949687	0.07519868	0.49429819	0.52777778	0.64909357	120.00000000	0.52777778	0.64909357	1.11805362	0.19791667	240.00000000	1.53604401	0.82790682	0.97099778	0.70813718	0.12644299	0.74386603	0.47253380	0.99385648	1.67224227	1.33792372	6.64675307	1.53604401	23.58704138	ok	
wl-tile-v1-02538	wl-neg-neg-es-pba-8680	neg-es-pba-8680	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón III-5	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02538-neg-es-pba-8680-mdt5.tif	0.57763582	0.61417973	0.94049966	0.54944581	0.31082913	0.23861668	0.30555556	0.65492007	60.00000000	0.36111111	0.70130477	0.93851156	0.06250000	240.00000000	1.25428804	0.49618856	0.99029012	0.88593326	0.00851007	0.84191056	0.04620856	0.75809947	0.37793863	0.95682792	2.64184737	1.25428804	10.91383314	ok	
wl-tile-v1-02539	wl-neg-neg-es-pba-8681	neg-es-pba-8681	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón III-6	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02539-neg-es-pba-8681-mdt5.tif	0.55777472	0.60853624	0.91658423	0.57968897	0.30364791	0.27604106	0.25000000	0.68135607	60.00000000	0.47222222	0.68432892	1.11982054	0.14236111	240.00000000	1.26154939	0.52047363	0.98906943	0.87463098	0.02717138	0.82480516	0.10937306	0.74107576	0.52522576	0.95159346	2.94034839	1.26154939	11.57440758	ok	
wl-tile-v1-02540	wl-neg-neg-es-pba-8682	neg-es-pba-8682	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón IV-1	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02540-neg-es-pba-8682-mdt5.tif	0.71484375	0.54173881	1.31953580	1.69418883	0.33985886	1.35432997	0.61111111	0.69920049	60.00000000	1.00000000	0.88923149	1.75078264	0.36111111	240.00000000	2.08954302	1.07417100	0.97421512	1.01537202	0.23330453	1.04751188	0.80790754	1.13493377	2.75312811	1.50352567	8.62532353	2.08954302	20.43739748	ok	
wl-tile-v1-02541	wl-neg-neg-es-pba-8683	neg-es-pba-8683	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón IV-2	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02541-neg-es-pba-8683-mdt5.tif	0.60902244	0.64659017	0.94189869	0.77980214	0.48785442	0.29194772	0.30555556	0.77468221	40.00000000	0.69444444	0.75128189	1.41446153	0.36805556	240.00000000	1.16473704	0.26734615	0.99720662	0.98567908	0.03990950	0.97433171	0.12876046	0.89739089	0.38499105	0.91371817	1.39449763	1.16473704	6.45357990	ok	
wl-tile-v1-02542	wl-neg-neg-es-pba-8684	neg-es-pba-8684	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón IV-3	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02542-neg-es-pba-8684-mdt5.tif	0.61431557	0.71431464	0.86000697	0.83342272	0.45810488	0.37531784	0.16666667	0.71290183	40.00000000	0.77777778	0.81852250	1.47014818	0.44791667	240.00000000	1.17193508	0.39654867	0.99330221	0.96864558	0.06637372	0.88108867	0.19369507	0.77538641	0.54979026	0.83360780	1.77905297	1.17193508	7.55010319	ok	
wl-tile-v1-02543	wl-neg-neg-es-pba-8685	neg-es-pba-8685	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón IV-4	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02543-neg-es-pba-8685-mdt5.tif	0.67077661	0.65968984	1.01680602	0.57673126	0.55955195	0.01717931	0.30555556	0.78515636	100.00000000	0.38888889	0.76797285	1.10847066	0.10763889	240.00000000	1.36320449	0.52398411	0.99071121	0.93925590	-0.02845065	0.93628192	-0.09432849	0.83922038	-0.27241218	1.01102709	-0.08527493	1.36320449	4.68569851	ok	
wl-tile-v1-02544	wl-neg-neg-es-pba-8713	neg-es-pba-8713	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón IV-5	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02544-neg-es-pba-8713-mdt5.tif	0.82872438	0.55685079	1.48823419	0.85792059	0.34201828	0.51590231	0.72222222	0.74778043	120.00000000	0.72222222	0.74778043	1.48823419	0.37500000	240.00000000	1.74252543	0.70640312	0.98826944	1.03612231	0.05742635	1.18366445	0.17409530	1.49676957	0.56982547	1.66626910	2.30980384	1.74252543	8.93725491	ok	
wl-tile-v1-02545	wl-neg-neg-es-pba-8714	neg-es-pba-8714	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón IV-6	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02545-neg-es-pba-8714-mdt5.tif	0.58081847	0.64372087	0.90228313	0.55032039	0.27998817	0.27033222	0.30555556	0.62178953	150.00000000	0.41666667	0.66313071	0.92597791	0.05208333	240.00000000	1.51173214	0.95115826	0.95321352	0.56057388	0.01366227	0.60019660	0.07093972	0.79350355	0.46353173	1.19795607	3.86240649	1.51173214	19.98745632	ok	
