tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	dem_path	msrm_score	rank_desc	dominant_scale_m	best_ring_radius_m
wl-tile-v1-00001	wl-neg-neg-es-pba-3535	neg-es-pba-3535	0	hard_negative	test	ES	Mámoa da Fonte da Lebre 1	A Capela	Caaveiro (San Boulo)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00001-neg-es-pba-3535-mdt5.tif	-0.85218983	11976	15.00000000	80.00000000
wl-tile-v1-00002	wl-neg-neg-es-pba-3536	neg-es-pba-3536	0	hard_negative	test	ES	Mámoa da Fonte da Lebre 2	A Capela	Caaveiro (San Boulo)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00002-neg-es-pba-3536-mdt5.tif	-0.43240107	9280	15.00000000	60.00000000
wl-tile-v1-00003	wl-neg-neg-es-pba-3537	neg-es-pba-3537	0	hard_negative	test	ES	Mámoa da Fonte da Lebre 3	A Capela	Caaveiro (San Boulo)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00003-neg-es-pba-3537-mdt5.tif	-0.52157512	9965	15.00000000	80.00000000
wl-tile-v1-00004	wl-neg-neg-es-pba-3563	neg-es-pba-3563	0	hard_negative	test	ES	Mámoa da Fonte da Lebre 4	A Capela	Caaveiro (San Boulo)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00004-neg-es-pba-3563-mdt5.tif	-0.66812498	10922	15.00000000	80.00000000
wl-tile-v1-00005	wl-neg-neg-es-pba-3564	neg-es-pba-3564	0	hard_negative	test	ES	Mámoa da Pena de Lama	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00005-neg-es-pba-3564-mdt5.tif	-0.38368797	8896	30.00000000	150.00000000
wl-tile-v1-00006	wl-neg-neg-es-pba-3565	neg-es-pba-3565	0	hard_negative	test	ES	Mámoa da Pena Escaleira	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00006-neg-es-pba-3565-mdt5.tif	-0.27518548	8101	15.00000000	180.00000000
wl-tile-v1-00007	wl-neg-neg-es-pba-3566	neg-es-pba-3566	0	hard_negative	test	ES	Mámoa da Pena Grande 1	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00007-neg-es-pba-3566-mdt5.tif	-0.44146798	9339	240.00000000	40.00000000
wl-tile-v1-00008	wl-neg-neg-es-pba-3567	neg-es-pba-3567	0	hard_negative	test	ES	Mámoa da Pena Grande 2	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00008-neg-es-pba-3567-mdt5.tif	-0.76756899	11544	240.00000000	220.00000000
wl-tile-v1-00009	wl-neg-neg-es-pba-3568	neg-es-pba-3568	0	hard_negative	test	ES	Mámoa da Serra	A Capela	Capela (Santiago)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00009-neg-es-pba-3568-mdt5.tif	1.29263782	1755	240.00000000	40.00000000
wl-tile-v1-00010	wl-neg-neg-es-pba-3569	neg-es-pba-3569	0	hard_negative	test	ES	Mámoa da Serra de Abaixo	A Capela	Capela (Santiago)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00010-neg-es-pba-3569-mdt5.tif	0.07638065	5776	60.00000000	40.00000000
wl-tile-v1-00011	wl-neg-neg-es-pba-3601	neg-es-pba-3601	0	hard_negative	test	ES	Mámoa de Grula 1	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00011-neg-es-pba-3601-mdt5.tif	-0.25022538	7895	120.00000000	220.00000000
wl-tile-v1-00012	wl-neg-neg-es-pba-3602	neg-es-pba-3602	0	hard_negative	test	ES	Mámoa de Grula 2	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00012-neg-es-pba-3602-mdt5.tif	-0.39960916	9035	120.00000000	150.00000000
wl-tile-v1-00013	wl-neg-neg-es-pba-3603	neg-es-pba-3603	0	hard_negative	test	ES	Mámoa de Grula 3	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00013-neg-es-pba-3603-mdt5.tif	0.19676520	5149	120.00000000	40.00000000
wl-tile-v1-00014	wl-neg-neg-es-pba-3604	neg-es-pba-3604	0	hard_negative	test	ES	Mámoa de Grula 4	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00014-neg-es-pba-3604-mdt5.tif	-1.01585244	12619	15.00000000	80.00000000
wl-tile-v1-00015	wl-neg-neg-es-pba-3605	neg-es-pba-3605	0	hard_negative	test	ES	Mámoa de Louseira Alta 1	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00015-neg-es-pba-3605-mdt5.tif	-0.87282400	12071	15.00000000	60.00000000
wl-tile-v1-00016	wl-neg-neg-es-pba-3606	neg-es-pba-3606	0	hard_negative	test	ES	Mámoa de Louseira Alta 2	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00016-neg-es-pba-3606-mdt5.tif	0.70985753	3126	240.00000000	100.00000000
wl-tile-v1-00017	wl-neg-neg-es-pba-3634	neg-es-pba-3634	0	hard_negative	test	ES	Mámoa de Louseira Alta 3	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00017-neg-es-pba-3634-mdt5.tif	0.74917984	3015	240.00000000	100.00000000
wl-tile-v1-00018	wl-neg-neg-es-pba-3635	neg-es-pba-3635	0	hard_negative	test	ES	Mámoa de Louseira Alta 4	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00018-neg-es-pba-3635-mdt5.tif	0.47539075	3918	240.00000000	120.00000000
wl-tile-v1-00019	wl-neg-neg-es-pba-3636	neg-es-pba-3636	0	hard_negative	test	ES	Mámoa do Alto da Serra 1	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00019-neg-es-pba-3636-mdt5.tif	-0.04079459	6456	240.00000000	100.00000000
wl-tile-v1-00020	wl-neg-neg-es-pba-3637	neg-es-pba-3637	0	hard_negative	test	ES	Mámoa do Alto da Serra 2	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00020-neg-es-pba-3637-mdt5.tif	0.72863047	3075	240.00000000	40.00000000
wl-tile-v1-00021	wl-neg-neg-es-pba-3638	neg-es-pba-3638	0	hard_negative	test	ES	Mámoa do Alto da Serra 3	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00021-neg-es-pba-3638-mdt5.tif	-0.14923373	7172	240.00000000	120.00000000
wl-tile-v1-00022	wl-neg-neg-es-pba-3639	neg-es-pba-3639	0	hard_negative	test	ES	Mámoa do Alto da Serra II-3	A Capela	Cabalar (Santa María)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00022-neg-es-pba-3639-mdt5.tif	-0.24548051	7858	240.00000000	100.00000000
wl-tile-v1-00023	wl-neg-neg-es-pba-3640	neg-es-pba-3640	0	hard_negative	test	ES	Mámoa do Forgoselo VI-1	A Capela	Caaveiro (San Boulo)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00023-neg-es-pba-3640-mdt5.tif	-0.47387280	9614	15.00000000	220.00000000
wl-tile-v1-00024	wl-neg-neg-es-pba-3641	neg-es-pba-3641	0	hard_negative	test	ES	Mámoa do Forgoselo VI-2	A Capela	Caaveiro (San Boulo)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00024-neg-es-pba-3641-mdt5.tif	-0.20686739	7569	240.00000000	60.00000000
wl-tile-v1-00025	wl-neg-neg-es-pba-3669	neg-es-pba-3669	0	hard_negative	test	ES	Mámoa do Pando	A Capela	Capela (Santiago)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00025-neg-es-pba-3669-mdt5.tif	1.20314554	1941	120.00000000	40.00000000
wl-tile-v1-00026	wl-neg-neg-es-pba-3670	neg-es-pba-3670	0	hard_negative	test	ES	Mámoa do Pico das Troitas 1	A Capela	Caaveiro (San Boulo)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00026-neg-es-pba-3670-mdt5.tif	-0.87650444	12088	15.00000000	60.00000000
wl-tile-v1-00027	wl-neg-neg-es-pba-3671	neg-es-pba-3671	0	hard_negative	test	ES	Mámoa do Pico das Troitas 2	A Capela	Caaveiro (San Boulo)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00027-neg-es-pba-3671-mdt5.tif	-0.61355644	10597	60.00000000	220.00000000
wl-tile-v1-00028	wl-neg-neg-es-pba-3672	neg-es-pba-3672	0	hard_negative	test	ES	Mámoa dos Chaos 1	A Capela	Capela (Santiago)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00028-neg-es-pba-3672-mdt5.tif	-1.18087920	12930	240.00000000	220.00000000
wl-tile-v1-00029	wl-neg-neg-es-pba-3673	neg-es-pba-3673	0	hard_negative	test	ES	Mámoa dos Chaos 2	A Capela	Capela (Santiago)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00029-neg-es-pba-3673-mdt5.tif	-0.06413255	6625	240.00000000	40.00000000
wl-tile-v1-00030	wl-neg-neg-es-pba-3674	neg-es-pba-3674	0	hard_negative	test	ES	Mámoa dos Chaos 3	A Capela	Capela (Santiago)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00030-neg-es-pba-3674-mdt5.tif	-0.64602239	10779	240.00000000	80.00000000
wl-tile-v1-00031	wl-neg-neg-es-pba-1936	neg-es-pba-1936	0	hard_negative	test	ES	Mámoa da Agra de Bons	Arteixo	Larín (Santo Estevo)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00031-neg-es-pba-1936-mdt5.tif	0.04738848	5944	120.00000000	40.00000000
wl-tile-v1-00032	wl-neg-neg-es-pba-1937	neg-es-pba-1937	0	hard_negative	test	ES	Mámoa da Canteira	Arteixo	Oseiro (San Tirso)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00032-neg-es-pba-1937-mdt5.tif	0.60361385	3462	120.00000000	60.00000000
wl-tile-v1-00033	wl-neg-neg-es-pba-1938	neg-es-pba-1938	0	hard_negative	test	ES	Mámoa de Alvite	Arteixo	Sorrizo (San Pedro)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00033-neg-es-pba-1938-mdt5.tif	-1.09127314	12780	15.00000000	220.00000000
wl-tile-v1-00034	wl-neg-neg-es-pba-1939	neg-es-pba-1939	0	hard_negative	test	ES	Mámoa de Fragavella	Arteixo	Oseiro (San Tirso)		megalithic_mound	data/external/weak-label-relief-v1/test/negative/wl-tile-v1-00034-neg-es-pba-1939-mdt5.tif	-0.04457719	6489	240.00000000	100.00000000
