tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	dem_path	msrm_score	rank_desc	dominant_scale_m	best_ring_radius_m
wl-tile-v1-02536	wl-neg-neg-es-pba-8678	neg-es-pba-8678	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón III-3	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02536-neg-es-pba-8678-mdt5.tif	1.01261719	14	240.00000000	40.00000000
wl-tile-v1-02537	wl-neg-neg-es-pba-8679	neg-es-pba-8679	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón III-4	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02537-neg-es-pba-8679-mdt5.tif	0.06169954	38	240.00000000	120.00000000
wl-tile-v1-02538	wl-neg-neg-es-pba-8680	neg-es-pba-8680	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón III-5	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02538-neg-es-pba-8680-mdt5.tif	-0.75095448	68	240.00000000	60.00000000
wl-tile-v1-02539	wl-neg-neg-es-pba-8681	neg-es-pba-8681	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón III-6	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02539-neg-es-pba-8681-mdt5.tif	-0.17233599	45	240.00000000	60.00000000
wl-tile-v1-02540	wl-neg-neg-es-pba-8682	neg-es-pba-8682	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón IV-1	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02540-neg-es-pba-8682-mdt5.tif	3.53185054	1	240.00000000	60.00000000
wl-tile-v1-02541	wl-neg-neg-es-pba-8683	neg-es-pba-8683	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón IV-2	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02541-neg-es-pba-8683-mdt5.tif	1.24480760	12	240.00000000	40.00000000
wl-tile-v1-02542	wl-neg-neg-es-pba-8684	neg-es-pba-8684	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón IV-3	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02542-neg-es-pba-8684-mdt5.tif	1.87677548	4	240.00000000	40.00000000
wl-tile-v1-02543	wl-neg-neg-es-pba-8685	neg-es-pba-8685	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón IV-4	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02543-neg-es-pba-8685-mdt5.tif	-0.34451649	49	240.00000000	100.00000000
wl-tile-v1-02544	wl-neg-neg-es-pba-8713	neg-es-pba-8713	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón IV-5	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02544-neg-es-pba-8713-mdt5.tif	1.55259628	9	240.00000000	120.00000000
wl-tile-v1-02545	wl-neg-neg-es-pba-8714	neg-es-pba-8714	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón IV-6	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02545-neg-es-pba-8714-mdt5.tif	-0.74112591	67	240.00000000	150.00000000
wl-tile-v1-02548	wl-neg-neg-es-pba-9173	neg-es-pba-9173	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-1	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02548-neg-es-pba-9173-mdt5.tif	-0.40487674	57	240.00000000	150.00000000
wl-tile-v1-02549	wl-neg-neg-es-pba-9201	neg-es-pba-9201	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-2	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02549-neg-es-pba-9201-mdt5.tif	0.43972111	24	240.00000000	150.00000000
wl-tile-v1-02550	wl-neg-neg-es-pba-9202	neg-es-pba-9202	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-3	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02550-neg-es-pba-9202-mdt5.tif	0.08584691	36	240.00000000	60.00000000
wl-tile-v1-02551	wl-neg-neg-es-pba-9203	neg-es-pba-9203	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-4	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02551-neg-es-pba-9203-mdt5.tif	-0.36169812	56	240.00000000	150.00000000
wl-tile-v1-02552	wl-neg-neg-es-pba-9204	neg-es-pba-9204	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-5	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02552-neg-es-pba-9204-mdt5.tif	0.04985902	39	240.00000000	40.00000000
wl-tile-v1-02553	wl-neg-neg-es-pba-9205	neg-es-pba-9205	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-6	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02553-neg-es-pba-9205-mdt5.tif	0.09748566	34	240.00000000	40.00000000
wl-tile-v1-02554	wl-neg-neg-es-pba-9206	neg-es-pba-9206	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón II-1	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02554-neg-es-pba-9206-mdt5.tif	-0.02703384	41	240.00000000	100.00000000
wl-tile-v1-02555	wl-neg-neg-es-pba-9207	neg-es-pba-9207	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón III-1	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02555-neg-es-pba-9207-mdt5.tif	-0.35662133	54	240.00000000	150.00000000
wl-tile-v1-02556	wl-neg-neg-es-pba-9208	neg-es-pba-9208	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón III-2	Fene	Sillobre (Santa Mariña)		megalithic_mound	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02556-neg-es-pba-9208-mdt5.tif	0.14443683	31	240.00000000	100.00000000
