tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	feature_radius_m	dem_path	status	error	dem_core_mean	dem_context_mean	dem_prominence_m	slope_annulus_mean	slope_context_mean	slope_ratio	lrm_abs_annulus_mean	lrm_abs_context_mean	lrm_abs_ratio	lrm_core_mean	lrm_context_mean	lrm_core_delta	hillshade_edge_annulus_mean	hillshade_edge_context_mean	hillshade_edge_ratio	ring_sector_coverage	ring_sector_balance
wl-tile-v1-02661	wl-neg-neg-es-pba-24808	neg-es-pba-24808	0	hard_negative	test_trasancos	ES	Igrexa de San Martiño de Valdetires	Valdoviño	Meirás (San Vicente)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02661-neg-es-pba-24808-mdt5.tif	ok		69.93257141	69.13885498	0.79371643	7.54533195	7.27826262	1.03669411	0.77635080	0.86308646	0.89950524	0.29079920	0.11351439	0.17728481	0.39376053	0.40520766	0.97174996	0.27777778	0.63869112
wl-tile-v1-02650	wl-neg-neg-es-pba-20404	neg-es-pba-20404	0	hard_negative	test_trasancos	ES	Mámoa da Ermida	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02650-neg-es-pba-20404-mdt5.tif	ok		450.12606812	452.98648071	-2.86041260	7.72409630	9.17226219	0.84211464	1.17476308	1.68174481	0.69853825	-0.13606445	0.42352647	-0.55959092	0.31612444	0.34758380	0.90949129	0.13888889	0.67867246
wl-tile-v1-02651	wl-neg-neg-es-pba-20405	neg-es-pba-20405	0	hard_negative	test_trasancos	ES	Mámoa da Pena do Cabalo	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02651-neg-es-pba-20405-mdt5.tif	ok		482.93411255	468.95886230	13.97525024	11.19174004	12.58087540	0.88958357	1.47348273	1.37782669	1.06942530	0.55361307	0.46415320	0.08945987	0.18915041	0.23678277	0.79883517	0.33333333	0.50561631
wl-tile-v1-02652	wl-neg-neg-es-pba-20406	neg-es-pba-20406	0	hard_negative	test_trasancos	ES	Mámoa de Bardaos	San Sadurniño	Bardaos (Santa María)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02652-neg-es-pba-20406-mdt5.tif	ok		331.95703125	310.91146851	21.04556274	9.91636467	9.27976990	1.06860028	0.73206282	0.65149069	1.12367349	1.80878592	0.28249916	1.52628675	0.31949618	0.33820036	0.94469499	0.30555556	0.51898871
wl-tile-v1-02599	wl-neg-neg-es-pba-9906	neg-es-pba-9906	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 01/Mámoa de Chao de Castelo 01	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02599-neg-es-pba-9906-mdt5.tif	ok		218.36155701	215.79679871	2.56475830	12.05243301	11.43379593	1.05410601	1.22336984	1.27119267	0.96237956	0.53234959	-0.08811557	0.62046515	0.23481117	0.21943553	1.07006907	0.38888889	0.63160361
wl-tile-v1-02600	wl-neg-neg-es-pba-9907	neg-es-pba-9907	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 02/Mámoa de Chao de Castelo 02	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02600-neg-es-pba-9907-mdt5.tif	ok		219.53945923	213.34597778	6.19348145	12.44403362	11.70789909	1.06287503	1.27364433	1.37757182	0.92455748	1.03247154	-0.05136891	1.08384045	0.23735857	0.21259427	1.11648620	0.33333333	0.58617219
wl-tile-v1-02601	wl-neg-neg-es-pba-9908	neg-es-pba-9908	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 03	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02601-neg-es-pba-9908-mdt5.tif	ok		248.24102783	226.89869690	21.34233093	11.57921028	13.88676548	0.83383062	1.13571596	0.90121007	1.26021224	1.35787320	0.14634314	1.21153006	0.27892748	0.25820792	1.08024370	0.58333333	0.67841035
wl-tile-v1-02602	wl-neg-neg-es-pba-9909	neg-es-pba-9909	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 04	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02602-neg-es-pba-9909-mdt5.tif	ok		239.83644104	229.10366821	10.73277283	9.13944340	11.05527210	0.82670452	1.00878286	1.07903337	0.93489496	0.95340908	0.09703560	0.85637347	0.22409211	0.25880978	0.86585644	0.36111111	0.63369041
wl-tile-v1-02603	wl-neg-neg-es-pba-9910	neg-es-pba-9910	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 05	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02603-neg-es-pba-9910-mdt5.tif	ok		241.35437012	232.68572998	8.66864014	7.41425085	10.36205864	0.71551910	0.87607843	1.02739573	0.85271761	0.66401207	-0.03438500	0.69839707	0.22422512	0.25335672	0.88501743	0.27777778	0.66567611
wl-tile-v1-02604	wl-neg-neg-es-pba-9911	neg-es-pba-9911	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 06	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02604-neg-es-pba-9911-mdt5.tif	ok		242.83357239	235.84803772	6.98553467	7.33017826	10.44564819	0.70174470	0.77897447	1.01167297	0.76998644	0.57201761	-0.07085034	0.64286795	0.24661845	0.24561474	1.00408653	0.22222222	0.65391186
wl-tile-v1-02605	wl-neg-neg-es-pba-9912	neg-es-pba-9912	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 07	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02605-neg-es-pba-9912-mdt5.tif	ok		245.91822815	241.94845581	3.96977234	6.23665714	9.26041412	0.67347497	0.75476140	0.88252079	0.85523356	0.57057637	0.09514745	0.47542892	0.20448112	0.24497411	0.83470505	0.22222222	0.65800468
wl-tile-v1-02606	wl-neg-neg-es-pba-9913	neg-es-pba-9913	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 08	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02606-neg-es-pba-9913-mdt5.tif	ok		249.66140747	244.51422119	5.14718628	7.52497625	8.32397175	0.90401271	0.73448914	0.86627024	0.84787530	0.51138830	-0.11448766	0.62587596	0.24240619	0.26441100	0.91677800	0.25000000	0.67677648
wl-tile-v1-02607	wl-neg-neg-es-pba-9914	neg-es-pba-9914	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 09	Ferrol	Doniños (San Román)		megalithic_mound	120.0	data/external/weak-label-relief-v1/test_trasancos/negative/wl-tile-v1-02607-neg-es-pba-9914-mdt5.tif	ok		251.51075745	244.43127441	7.07948303	8.78055000	8.10240841	1.08369630	0.73814839	0.89246958	0.82708521	0.52294737	-0.23146376	0.75441113	0.26444322	0.29852605	0.88582963	0.22222222	0.66133902
