tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	feature_radius_m	dem_path	status	error	dem_core_mean	dem_context_mean	dem_prominence_m	slope_annulus_mean	slope_context_mean	slope_ratio	lrm_abs_annulus_mean	lrm_abs_context_mean	lrm_abs_ratio	lrm_core_mean	lrm_context_mean	lrm_core_delta	hillshade_edge_annulus_mean	hillshade_edge_context_mean	hillshade_edge_ratio	ring_sector_coverage	ring_sector_balance
wl-tile-v1-09842	wl-neg-neg-pt-dgpc-109485	neg-pt-dgpc-109485	0	hard_negative	train	PT	Abobeleira	Chaves	Vale de Anta		roman_built_context	120.0	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09842-neg-pt-dgpc-109485-mdt5.tif	failed	manifest_dem_status:unsupported_country																	
wl-tile-v1-09671	wl-neg-neg-pt-dgpc-113998	neg-pt-dgpc-113998	0	hard_negative	train	PT	Albergaria de Amarante	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		necropolis_or_burial	120.0	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09671-neg-pt-dgpc-113998-mdt5.tif	failed	manifest_dem_status:unsupported_country																	
wl-tile-v1-09786	wl-neg-neg-pt-dgpc-112388	neg-pt-dgpc-112388	0	hard_negative	train	PT	Almas 1	Paredes de Coura	Insalde e Porreiras		rock_art_surface	120.0	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09786-neg-pt-dgpc-112388-mdt5.tif	failed	manifest_dem_status:unsupported_country																	
wl-tile-v1-09787	wl-neg-neg-pt-dgpc-112389	neg-pt-dgpc-112389	0	hard_negative	train	PT	Almas 2	Paredes de Coura	Insalde e Porreiras		rock_art_surface	120.0	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09787-neg-pt-dgpc-112389-mdt5.tif	failed	manifest_dem_status:unsupported_country																	
wl-tile-v1-09789	wl-neg-neg-pt-dgpc-112391	neg-pt-dgpc-112391	0	hard_negative	train	PT	Almas 3	Paredes de Coura	Insalde e Porreiras		megalithic_mound	120.0	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09789-neg-pt-dgpc-112391-mdt5.tif	failed	manifest_dem_status:unsupported_country																	
wl-tile-v1-09860	wl-neg-neg-pt-dgpc-110210	neg-pt-dgpc-110210	0	hard_negative	train	PT	Alto da Raia	Montalegre	Tourém		roman_built_context	120.0	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09860-neg-pt-dgpc-110210-mdt5.tif	failed	manifest_dem_status:unsupported_country																	
wl-tile-v1-09839	wl-neg-neg-pt-dgpc-109328	neg-pt-dgpc-109328	0	hard_negative	train	PT	Alto do Circo/ Faiões	Chaves	Faiões		roman_built_context	120.0	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09839-neg-pt-dgpc-109328-mdt5.tif	failed	manifest_dem_status:unsupported_country																	
wl-tile-v1-09665	wl-neg-neg-pt-dgpc-105104	neg-pt-dgpc-105104	0	hard_negative	train	PT	Amarante - Calçada da Misericórdia	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		necropolis_or_burial;roman_built_context	120.0	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09665-neg-pt-dgpc-105104-mdt5.tif	failed	manifest_dem_status:unsupported_country																	
wl-tile-v1-09673	wl-neg-neg-pt-dgpc-114810	neg-pt-dgpc-114810	0	hard_negative	train	PT	Amarante - Ponte de Santa Luzia	Amarante	Amarante (São Gonçalo), Madalena, Cepelos e Gatão		roman_built_context	120.0	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09673-neg-pt-dgpc-114810-mdt5.tif	failed	manifest_dem_status:unsupported_country																	
wl-tile-v1-09533	wl-neg-neg-pt-dgpc-109231	neg-pt-dgpc-109231	0	hard_negative	train	PT	Anjo da Guarda São Miguel-o-Anjo	Amares	Ferreiros, Prozelo e Besteiros		roman_built_context	120.0	data/external/weak-label-relief-v1/train/negative/wl-tile-v1-09533-neg-pt-dgpc-109231-mdt5.tif	failed	manifest_dem_status:unsupported_country																	
