variant	subset	rows	positives	negatives	roc_auc	average_precision	precision_at_10	recall_at_10	precision_at_50	recall_at_50	precision_at_100	recall_at_100	best_positive_rank	median_positive_rank
hilltop	all	204	68	136	0.707829	0.655732	1.000000	0.147059	0.580000	0.426471	0.440000	0.647059	1	59.5
hilltop	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
hilltop	split:test_trasancos	199	64	135	0.707870	0.644048	1.000000	0.156250	0.580000	0.453125	0.440000	0.687500	1	57.5
edge_ring	all	204	68	136	0.753136	0.645811	0.900000	0.132353	0.620000	0.455882	0.510000	0.750000	1	62.0
edge_ring	split:test_o_val	5	4	1	0.500000	0.887500	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	3.0
edge_ring	split:test_trasancos	199	64	135	0.754051	0.634956	0.800000	0.125000	0.580000	0.453125	0.490000	0.765625	1	60.0
promontory	all	204	68	136	0.646518	0.552698	0.800000	0.117647	0.520000	0.382353	0.410000	0.602941	1	73.5
promontory	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
promontory	split:test_trasancos	199	64	135	0.639005	0.539088	0.800000	0.125000	0.500000	0.390625	0.380000	0.593750	1	76.0
archetype_max	all	204	68	136	0.784926	0.699085	1.000000	0.147059	0.660000	0.485294	0.510000	0.750000	1	54.0
archetype_max	split:test_o_val	5	4	1	1.000000	1.000000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
archetype_max	split:test_trasancos	199	64	135	0.777199	0.679390	0.900000	0.140625	0.620000	0.484375	0.470000	0.734375	1	54.5
