tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	best_variant	hilltop_score	edge_ring_score	promontory_score	archetype_max_score	hilltop_rank	edge_ring_rank	promontory_rank	archetype_max_rank
wl-tile-v1-02661	wl-neg-neg-es-pba-24808	neg-es-pba-24808	0	hard_negative	test_trasancos	ES	Igrexa de San Martiño de Valdetires	Valdoviño	Meirás (San Vicente)		megalithic_mound	promontory	-0.36150510	0.00859603	0.11070111	0.11070111	150	99	96	134
wl-tile-v1-02650	wl-neg-neg-es-pba-20404	neg-es-pba-20404	0	hard_negative	test_trasancos	ES	Mámoa da Ermida	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	promontory	-1.06039989	-0.75715645	0.04321644	0.04321644	202	177	101	141
wl-tile-v1-02651	wl-neg-neg-es-pba-20405	neg-es-pba-20405	0	hard_negative	test_trasancos	ES	Mámoa da Pena do Cabalo	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	promontory	0.17481711	-0.12311052	0.34664532	0.34664532	88	109	75	112
wl-tile-v1-02652	wl-neg-neg-es-pba-20406	neg-es-pba-20406	0	hard_negative	test_trasancos	ES	Mámoa de Bardaos	San Sadurniño	Bardaos (Santa María)		megalithic_mound	hilltop	1.07742563	0.34719969	-0.03585520	1.07742563	36	69	108	53
wl-tile-v1-02599	wl-neg-neg-es-pba-9906	neg-es-pba-9906	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 01/Mámoa de Chao de Castelo 01	Ferrol	Doniños (San Román)		megalithic_mound	edge_ring	-0.02925806	0.39999534	0.36355029	0.39999534	108	62	71	108
wl-tile-v1-02600	wl-neg-neg-es-pba-9907	neg-es-pba-9907	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 02/Mámoa de Chao de Castelo 02	Ferrol	Doniños (San Román)		megalithic_mound	edge_ring	0.24028492	0.36118886	0.34680281	0.36118886	83	67	74	110
wl-tile-v1-02601	wl-neg-neg-es-pba-9908	neg-es-pba-9908	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 03	Ferrol	Doniños (San Román)		megalithic_mound	hilltop	1.03663040	0.80727044	0.69479775	1.03663040	38	33	45	55
wl-tile-v1-02602	wl-neg-neg-es-pba-9909	neg-es-pba-9909	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 04	Ferrol	Doniños (San Román)		megalithic_mound	hilltop	0.20410357	-0.24568082	-0.00719219	0.20410357	86	124	106	127
wl-tile-v1-02603	wl-neg-neg-es-pba-9910	neg-es-pba-9910	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 05	Ferrol	Doniños (San Román)		megalithic_mound	hilltop	-0.12172713	-0.55971837	-0.31388211	-0.12172713	121	160	144	161
wl-tile-v1-02604	wl-neg-neg-es-pba-9911	neg-es-pba-9911	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 06	Ferrol	Doniños (San Román)		megalithic_mound	hilltop	-0.28376026	-0.57597206	-0.42392956	-0.28376026	137	161	159	174
wl-tile-v1-02605	wl-neg-neg-es-pba-9912	neg-es-pba-9912	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 07	Ferrol	Doniños (San Román)		megalithic_mound	hilltop	-0.50639118	-0.74894381	-0.61003968	-0.50639118	163	175	184	190
wl-tile-v1-02606	wl-neg-neg-es-pba-9913	neg-es-pba-9913	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 08	Ferrol	Doniños (San Román)		megalithic_mound	hilltop	-0.16633898	-0.33358308	-0.42975727	-0.16633898	126	136	161	166
wl-tile-v1-02607	wl-neg-neg-es-pba-9914	neg-es-pba-9914	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 09	Ferrol	Doniños (San Román)		megalithic_mound	hilltop	0.10677612	-0.23508167	-0.36060531	0.10677612	93	121	150	136
wl-tile-v1-02608	wl-neg-neg-es-pba-9939	neg-es-pba-9939	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 10	Ferrol	Doniños (San Román)		megalithic_mound	hilltop	0.68094626	0.51450665	-0.08648497	0.68094626	53	54	118	82
wl-tile-v1-02609	wl-neg-neg-es-pba-9940	neg-es-pba-9940	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 11	Ferrol	Doniños (San Román)		megalithic_mound	hilltop	-0.11351374	-1.00143756	-0.75378158	-0.11351374	119	193	191	160
wl-tile-v1-02610	wl-neg-neg-es-pba-9941	neg-es-pba-9941	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 12	Ferrol	Doniños (San Román)		megalithic_mound	edge_ring	-0.03405605	0.28601889	0.03911764	0.28601889	109	76	102	120
wl-tile-v1-02611	wl-neg-neg-es-pba-9942	neg-es-pba-9942	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 13	Ferrol	Doniños (San Román)		megalithic_mound	hilltop	0.18647460	-0.25958077	-0.31062948	0.18647460	87	127	143	129
wl-tile-v1-02653	wl-neg-neg-es-pba-20407	neg-es-pba-20407	0	hard_negative	test_trasancos	ES	Mámoa de Campo da Cruz 2	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	edge_ring	-0.62018373	-0.27895566	-0.40516488	-0.27895566	174	132	156	173
wl-tile-v1-02612	wl-neg-neg-es-pba-9943	neg-es-pba-9943	0	hard_negative	test_trasancos	ES	Mámoa de Catabois	Ferrol	Serantes (San Salvador)		megalithic_mound	edge_ring	-0.21862654	0.31718710	-0.57489611	0.31718710	130	73	178	117
wl-tile-v1-02662	wl-neg-neg-es-pba-24842	neg-es-pba-24842	0	hard_negative	test_trasancos	ES	Mámoa de Coto da Fraga 1	Valdoviño	Pantín (Santiago)		megalithic_mound	hilltop	0.45337502	0.19704773	0.33354591	0.45337502	68	82	76	101
wl-tile-v1-02663	wl-neg-neg-es-pba-24843	neg-es-pba-24843	0	hard_negative	test_trasancos	ES	Mámoa de Coto da Fraga 2	Valdoviño	Pantín (Santiago)		megalithic_mound	edge_ring	1.19016110	1.40019626	0.85271967	1.40019626	32	18	37	43
wl-tile-v1-02613	wl-neg-neg-es-pba-9944	neg-es-pba-9944	0	hard_negative	test_trasancos	ES	Mámoa de Espadanido 1	Ferrol	Marmancón (San Pedro)		megalithic_mound	hilltop	-0.06572756	-1.15294594	-0.46648639	-0.06572756	111	199	166	150
wl-tile-v1-02614	wl-neg-neg-es-pba-9945	neg-es-pba-9945	0	hard_negative	test_trasancos	ES	Mámoa de Espadanido 2	Ferrol	Marmancón (San Pedro)		megalithic_mound	promontory	-0.11077326	-0.15592721	0.32409261	0.32409261	118	113	77	116
wl-tile-v1-02615	wl-neg-neg-es-pba-9946	neg-es-pba-9946	0	hard_negative	test_trasancos	ES	Mámoa de Ferreiros	Ferrol	Brión (Santa María)		megalithic_mound	hilltop	-0.21222634	-0.93450808	-0.27188403	-0.21222634	129	188	140	169
wl-tile-v1-02616	wl-neg-neg-es-pba-9947	neg-es-pba-9947	0	hard_negative	test_trasancos	ES	Mámoa de Leixa 1	Ferrol	Leixa (San Pedro)		megalithic_mound	edge_ring	-0.68868463	-0.18555591	-0.79301712	-0.18555591	183	116	193	167
wl-tile-v1-02617	wl-neg-neg-es-pba-9974	neg-es-pba-9974	0	hard_negative	test_trasancos	ES	Mámoa de Leixa 2	Ferrol	Leixa (San Pedro)		megalithic_mound	edge_ring	-0.29747973	-0.02708340	-0.71568031	-0.02708340	140	103	189	147
wl-tile-v1-02627	wl-neg-neg-es-pba-14222	neg-es-pba-14222	0	hard_negative	test_trasancos	ES	Mámoa de Leixa 3/Mámoa de Trasancos	Narón	Trasancos (San Mateo)		megalithic_mound	edge_ring	-0.31097164	0.44078906	-0.83820929	0.44078906	142	58	196	103
wl-tile-v1-02664	wl-neg-neg-es-pba-24844	neg-es-pba-24844	0	hard_negative	test_trasancos	ES	Mámoa de Liñeiro	Valdoviño	Vilarrube (San Martiño)		megalithic_mound	edge_ring	-0.28629710	0.53418249	-0.08215810	0.53418249	139	52	117	95
wl-tile-v1-02665	wl-neg-neg-es-pba-24845	neg-es-pba-24845	0	hard_negative	test_trasancos	ES	Mámoa de Loira	Valdoviño	Loira (San Pedro)		megalithic_mound	edge_ring	-0.28415602	0.71353314	0.38660183	0.71353314	138	43	70	77
wl-tile-v1-02654	wl-neg-neg-es-pba-20408	neg-es-pba-20408	0	hard_negative	test_trasancos	ES	Mámoa de Moimentos 1	San Sadurniño	Santa Mariña do Monte (Santa Mariña)		megalithic_mound	edge_ring	-0.56077512	-0.44560290	-0.70853320	-0.44560290	170	144	188	187
wl-tile-v1-02655	wl-neg-neg-es-pba-20409	neg-es-pba-20409	0	hard_negative	test_trasancos	ES	Mámoa de Moimentos 2	San Sadurniño	Santa Mariña do Monte (Santa Mariña)		megalithic_mound	hilltop	-0.64351491	-0.79838999	-1.05139652	-0.64351491	176	181	204	198
wl-tile-v1-02618	wl-neg-neg-es-pba-9975	neg-es-pba-9975	0	hard_negative	test_trasancos	ES	Mámoa de Monteventoso	Ferrol	Doniños (San Román)		megalithic_mound	promontory	0.22535754	0.54775045	0.84402297	0.84402297	84	51	39	69
wl-tile-v1-02619	wl-neg-neg-es-pba-9976	neg-es-pba-9976	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 1	Ferrol	Doniños (San Román)		megalithic_mound	promontory	-0.02449668	-0.51217006	0.42770094	0.42770094	107	155	65	105
wl-tile-v1-02620	wl-neg-neg-es-pba-9977	neg-es-pba-9977	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 2	Ferrol	Doniños (San Román)		megalithic_mound	promontory	0.41298975	0.14515777	0.88035407	0.88035407	71	86	34	66
wl-tile-v1-02621	wl-neg-neg-es-pba-9978	neg-es-pba-9978	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 3	Ferrol	Doniños (San Román)		megalithic_mound	hilltop	-0.65630460	-0.99721954	-0.90927292	-0.65630460	179	191	200	199
wl-tile-v1-02622	wl-neg-neg-es-pba-9979	neg-es-pba-9979	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 4	Ferrol	Doniños (San Román)		megalithic_mound	promontory	-0.64851231	-1.01394176	-0.59348841	-0.59348841	177	195	183	197
wl-tile-v1-02623	wl-neg-neg-es-pba-9980	neg-es-pba-9980	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 5	Ferrol	Doniños (San Román)		megalithic_mound	hilltop	1.16748992	0.10359321	0.23582280	1.16748992	34	93	84	50
