tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	feature_radius_m	relief_score	rank_desc	status	error
wl-tile-v1-02661	wl-neg-neg-es-pba-24808	neg-es-pba-24808	0	hard_negative	test_trasancos	ES	Igrexa de San Martiño de Valdetires	Valdoviño	Meirás (San Vicente)		megalithic_mound	120.0	-0.24714298	140	ok	
wl-tile-v1-02650	wl-neg-neg-es-pba-20404	neg-es-pba-20404	0	hard_negative	test_trasancos	ES	Mámoa da Ermida	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	120.0	-0.89654904	202	ok	
wl-tile-v1-02651	wl-neg-neg-es-pba-20405	neg-es-pba-20405	0	hard_negative	test_trasancos	ES	Mámoa da Pena do Cabalo	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	120.0	0.18960570	89	ok	
wl-tile-v1-02652	wl-neg-neg-es-pba-20406	neg-es-pba-20406	0	hard_negative	test_trasancos	ES	Mámoa de Bardaos	San Sadurniño	Bardaos (Santa María)		megalithic_mound	120.0	0.77301521	34	ok	
wl-tile-v1-02599	wl-neg-neg-es-pba-9906	neg-es-pba-9906	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 01/Mámoa de Chao de Castelo 01	Ferrol	Doniños (San Román)		megalithic_mound	120.0	0.04082882	106	ok	
wl-tile-v1-02600	wl-neg-neg-es-pba-9907	neg-es-pba-9907	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 02/Mámoa de Chao de Castelo 02	Ferrol	Doniños (San Román)		megalithic_mound	120.0	0.15189659	93	ok	
wl-tile-v1-02601	wl-neg-neg-es-pba-9908	neg-es-pba-9908	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 03	Ferrol	Doniños (San Román)		megalithic_mound	120.0	0.97320274	27	ok	
wl-tile-v1-02602	wl-neg-neg-es-pba-9909	neg-es-pba-9909	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 04	Ferrol	Doniños (San Román)		megalithic_mound	120.0	-0.05711789	120	ok	
wl-tile-v1-02603	wl-neg-neg-es-pba-9910	neg-es-pba-9910	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 05	Ferrol	Doniños (San Román)		megalithic_mound	120.0	-0.35587283	152	ok	
wl-tile-v1-02604	wl-neg-neg-es-pba-9911	neg-es-pba-9911	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 06	Ferrol	Doniños (San Román)		megalithic_mound	120.0	-0.45751741	164	ok	
wl-tile-v1-02605	wl-neg-neg-es-pba-9912	neg-es-pba-9912	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 07	Ferrol	Doniños (San Román)		megalithic_mound	120.0	-0.64382000	178	ok	
wl-tile-v1-02606	wl-neg-neg-es-pba-9913	neg-es-pba-9913	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 08	Ferrol	Doniños (San Román)		megalithic_mound	120.0	-0.31328164	147	ok	
wl-tile-v1-02607	wl-neg-neg-es-pba-9914	neg-es-pba-9914	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 09	Ferrol	Doniños (San Román)		megalithic_mound	120.0	-0.13396903	129	ok	
wl-tile-v1-02608	wl-neg-neg-es-pba-9939	neg-es-pba-9939	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 10	Ferrol	Doniños (San Román)		megalithic_mound	120.0	0.66761589	42	ok	
wl-tile-v1-02609	wl-neg-neg-es-pba-9940	neg-es-pba-9940	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 11	Ferrol	Doniños (San Román)		megalithic_mound	120.0	-0.38707549	155	ok	
wl-tile-v1-02610	wl-neg-neg-es-pba-9941	neg-es-pba-9941	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 12	Ferrol	Doniños (San Román)		megalithic_mound	120.0	0.31746905	71	ok	
wl-tile-v1-02611	wl-neg-neg-es-pba-9942	neg-es-pba-9942	0	hard_negative	test_trasancos	ES	Mámoa de Campaíñas 13	Ferrol	Doniños (San Román)		megalithic_mound	120.0	0.06490873	103	ok	
wl-tile-v1-02653	wl-neg-neg-es-pba-20407	neg-es-pba-20407	0	hard_negative	test_trasancos	ES	Mámoa de Campo da Cruz 2	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	120.0	-0.44084082	160	ok	
wl-tile-v1-02612	wl-neg-neg-es-pba-9943	neg-es-pba-9943	0	hard_negative	test_trasancos	ES	Mámoa de Catabois	Ferrol	Serantes (San Salvador)		megalithic_mound	120.0	0.03908176	107	ok	
wl-tile-v1-02662	wl-neg-neg-es-pba-24842	neg-es-pba-24842	0	hard_negative	test_trasancos	ES	Mámoa de Coto da Fraga 1	Valdoviño	Pantín (Santiago)		megalithic_mound	120.0	0.53186145	55	ok	
wl-tile-v1-02663	wl-neg-neg-es-pba-24843	neg-es-pba-24843	0	hard_negative	test_trasancos	ES	Mámoa de Coto da Fraga 2	Valdoviño	Pantín (Santiago)		megalithic_mound	120.0	1.44222660	16	ok	
wl-tile-v1-02613	wl-neg-neg-es-pba-9944	neg-es-pba-9944	0	hard_negative	test_trasancos	ES	Mámoa de Espadanido 1	Ferrol	Marmancón (San Pedro)		megalithic_mound	120.0	-0.56616960	175	ok	
wl-tile-v1-02614	wl-neg-neg-es-pba-9945	neg-es-pba-9945	0	hard_negative	test_trasancos	ES	Mámoa de Espadanido 2	Ferrol	Marmancón (San Pedro)		megalithic_mound	120.0	-0.02305992	116	ok	
wl-tile-v1-02615	wl-neg-neg-es-pba-9946	neg-es-pba-9946	0	hard_negative	test_trasancos	ES	Mámoa de Ferreiros	Ferrol	Brión (Santa María)		megalithic_mound	120.0	-0.53445100	170	ok	
wl-tile-v1-02616	wl-neg-neg-es-pba-9947	neg-es-pba-9947	0	hard_negative	test_trasancos	ES	Mámoa de Leixa 1	Ferrol	Leixa (San Pedro)		megalithic_mound	120.0	-0.43617287	159	ok	
wl-tile-v1-02617	wl-neg-neg-es-pba-9974	neg-es-pba-9974	0	hard_negative	test_trasancos	ES	Mámoa de Leixa 2	Ferrol	Leixa (San Pedro)		megalithic_mound	120.0	-0.26856923	142	ok	
wl-tile-v1-02627	wl-neg-neg-es-pba-14222	neg-es-pba-14222	0	hard_negative	test_trasancos	ES	Mámoa de Leixa 3/Mámoa de Trasancos	Narón	Trasancos (San Mateo)		megalithic_mound	120.0	0.03698331	109	ok	
wl-tile-v1-02664	wl-neg-neg-es-pba-24844	neg-es-pba-24844	0	hard_negative	test_trasancos	ES	Mámoa de Liñeiro	Valdoviño	Vilarrube (San Martiño)		megalithic_mound	120.0	0.03865280	108	ok	
wl-tile-v1-02665	wl-neg-neg-es-pba-24845	neg-es-pba-24845	0	hard_negative	test_trasancos	ES	Mámoa de Loira	Valdoviño	Loira (San Pedro)		megalithic_mound	120.0	0.14471988	94	ok	
wl-tile-v1-02654	wl-neg-neg-es-pba-20408	neg-es-pba-20408	0	hard_negative	test_trasancos	ES	Mámoa de Moimentos 1	San Sadurniño	Santa Mariña do Monte (Santa Mariña)		megalithic_mound	120.0	-0.55732759	174	ok	
wl-tile-v1-02655	wl-neg-neg-es-pba-20409	neg-es-pba-20409	0	hard_negative	test_trasancos	ES	Mámoa de Moimentos 2	San Sadurniño	Santa Mariña do Monte (Santa Mariña)		megalithic_mound	120.0	-0.72667743	190	ok	
wl-tile-v1-02618	wl-neg-neg-es-pba-9975	neg-es-pba-9975	0	hard_negative	test_trasancos	ES	Mámoa de Monteventoso	Ferrol	Doniños (San Román)		megalithic_mound	120.0	0.64013074	44	ok	
wl-tile-v1-02619	wl-neg-neg-es-pba-9976	neg-es-pba-9976	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 1	Ferrol	Doniños (San Román)		megalithic_mound	120.0	-0.26942822	143	ok	
wl-tile-v1-02620	wl-neg-neg-es-pba-9977	neg-es-pba-9977	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 2	Ferrol	Doniños (San Román)		megalithic_mound	120.0	0.25010163	82	ok	
wl-tile-v1-02621	wl-neg-neg-es-pba-9978	neg-es-pba-9978	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 3	Ferrol	Doniños (San Román)		megalithic_mound	120.0	-0.77517592	194	ok	
wl-tile-v1-02622	wl-neg-neg-es-pba-9979	neg-es-pba-9979	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 4	Ferrol	Doniños (San Román)		megalithic_mound	120.0	-0.81093610	198	ok	
wl-tile-v1-02623	wl-neg-neg-es-pba-9980	neg-es-pba-9980	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 5	Ferrol	Doniños (San Román)		megalithic_mound	120.0	0.74730492	36	ok	
wl-tile-v1-02624	wl-neg-neg-es-pba-9981	neg-es-pba-9981	0	hard_negative	test_trasancos	ES	Mámoa de Mougá 6	Ferrol	Doniños (San Román)		megalithic_mound	120.0	1.04477719	23	ok	
wl-tile-v1-02628	wl-neg-neg-es-pba-14223	neg-es-pba-14223	0	hard_negative	test_trasancos	ES	Mámoa de Muíño do Vento	Narón	Trasancos (San Mateo)		megalithic_mound	120.0	0.31111013	73	ok	
wl-tile-v1-02656	wl-neg-neg-es-pba-20435	neg-es-pba-20435	0	hard_negative	test_trasancos	ES	Mámoa de Pena Escrita	San Sadurniño	Lamas (San Xiao)		megalithic_mound	120.0	-0.71220792	186	ok	
wl-tile-v1-02666	wl-neg-neg-es-pba-24846	neg-es-pba-24846	0	hard_negative	test_trasancos	ES	Mámoa de Pena Moura	Valdoviño	Vilarrube (San Martiño)		megalithic_mound	120.0	1.18041150	21	ok	
wl-tile-v1-02667	wl-neg-neg-es-pba-24847	neg-es-pba-24847	0	hard_negative	test_trasancos	ES	Mámoa de Portonovo 1	Valdoviño	Valdoviño (Santaia)		megalithic_mound	120.0	-0.27361429	145	ok	
wl-tile-v1-02668	wl-neg-neg-es-pba-24848	neg-es-pba-24848	0	hard_negative	test_trasancos	ES	Mámoa de Portonovo 2	Valdoviño	Valdoviño (Santaia)		megalithic_mound	120.0	-0.88966636	201	ok	
wl-tile-v1-02669	wl-neg-neg-es-pba-24849	neg-es-pba-24849	0	hard_negative	test_trasancos	ES	Mámoa de Rioboo 1/Mámoa de Canteiros 1	Valdoviño	Meirás (San Vicente)		megalithic_mound	120.0	0.04412649	105	ok	
wl-tile-v1-02670	wl-neg-neg-es-pba-24850	neg-es-pba-24850	0	hard_negative	test_trasancos	ES	Mámoa de Rioboo 2/Mámoa de Canteiros 2/M moas do Val	Valdoviño	Meirás (San Vicente)		megalithic_mound	120.0	-0.81776341	199	ok	
wl-tile-v1-02629	wl-neg-neg-es-pba-14224	neg-es-pba-14224	0	hard_negative	test_trasancos	ES	Mámoa de Sequeiro	Narón	San Xiao de Narón (San Xiao)		megalithic_mound	120.0	-0.31602064	148	ok	
wl-tile-v1-02630	wl-neg-neg-es-pba-14225	neg-es-pba-14225	0	hard_negative	test_trasancos	ES	Mámoa de Vespasante/Arca de Vespasante	Narón	Trasancos (San Mateo)		megalithic_mound	120.0	-0.65188904	181	ok	
wl-tile-v1-02631	wl-neg-neg-es-pba-14226	neg-es-pba-14226	0	hard_negative	test_trasancos	ES	Mámoa do Calvario	Narón	Trasancos (San Mateo)		megalithic_mound	120.0	-0.29012444	146	ok	
wl-tile-v1-02657	wl-neg-neg-es-pba-20436	neg-es-pba-20436	0	hard_negative	test_trasancos	ES	Mámoa do Campo da Cruz 1	San Sadurniño	Igrexafeita (Santa María)		megalithic_mound	120.0	-0.58341529	176	ok	
wl-tile-v1-02648	wl-neg-neg-es-pba-14636	neg-es-pba-14636	0	hard_negative	test_trasancos	ES	Mámoa do Inglés	Neda	Viladonelle (Santo André)		megalithic_mound	120.0	-0.12392173	128	ok	
wl-tile-v1-02649	wl-neg-neg-es-pba-14637	neg-es-pba-14637	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón	Neda	Santa María de Neda (Santa María)		megalithic_mound	120.0	0.28241533	78	ok	
wl-tile-v1-02548	wl-neg-neg-es-pba-9173	neg-es-pba-9173	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-1	Fene	Sillobre (Santa Mariña)		megalithic_mound	120.0	0.00938810	115	ok	
wl-tile-v1-02549	wl-neg-neg-es-pba-9201	neg-es-pba-9201	0	hard_negative	test_trasancos	ES	Mámoa do Monte Marraxón I-2	Fene	Sillobre (Santa Mariña)		megalithic_mound	120.0	0.38365456	68	ok	
