tile_id	sample_id	bank_id	label_class	label_role	final_split	country	name	municipality	parish	morphology_proxy	negative_type	feature_radius_m	relief_score	rank_desc	status	error
wl-tile-v1-06178	wl-neg-neg-es-pba-38894	neg-es-pba-38894	0	hard_negative	train	ES	A Chousa das Minas	Pol	Arcos de Frades (Santiago)		mining_or_quarry	120.0	-1.04751923	540	ok	
wl-tile-v1-05758	wl-neg-neg-es-pba-35203	neg-es-pba-35203	0	hard_negative	train	ES	A Costa/Medorra de Montecalvo 1	Monterroso	Marzán (Santa María)		megalithic_mound	120.0	0.69215615	146	ok	
wl-tile-v1-05760	wl-neg-neg-es-pba-35254	neg-es-pba-35254	0	hard_negative	train	ES	A Costa/Medorra de Montecalvo 2	Monterroso	Marzán (Santa María)		megalithic_mound	120.0	0.74737295	137	ok	
wl-tile-v1-03135	wl-neg-neg-es-pba-18194	neg-es-pba-18194	0	hard_negative	train	ES	A Cruz do Pinal/Mámoa da Cruz do Pinal	As Pontes de García Rodríguez	Vilavella (Santa María)		megalithic_mound	120.0	1.33057240	49	ok	
wl-tile-v1-06235	wl-neg-neg-es-pba-40747	neg-es-pba-40747	0	hard_negative	train	ES	A Eira da Torre/Medorra de Sotordei	Ribas de Sil	Soutordei (Santiago)		megalithic_mound	120.0	0.17772752	263	ok	
wl-tile-v1-05761	wl-neg-neg-es-pba-35256	neg-es-pba-35256	0	hard_negative	train	ES	A Escrita/A Casa das Mouras/As Fontelas/Orgoso/Mámoa da Escrita 1	Monterroso	Fufín (San Martiño)		megalithic_mound	120.0	-0.50633992	452	ok	
wl-tile-v1-07467	wl-neg-neg-es-pba-65654	neg-es-pba-65654	0	hard_negative	train	ES	A Gándara	A Guarda	Salcidos (San Lourenzo)		roman_built_context	120.0	0.24507559	246	ok	
wl-tile-v1-08416	wl-neg-neg-es-pba-66223	neg-es-pba-66223	0	hard_negative	train	ES	A Laxe das Presiñas	Gondomar	Peitieiros (San Miguel)		rock_art_surface	120.0	-0.31099727	400	ok	
wl-tile-v1-06179	wl-neg-neg-es-pba-38898	neg-es-pba-38898	0	hard_negative	train	ES	A Madorra da Valiña	Pol	Luaces (Santa María)		megalithic_mound	120.0	-0.24127268	376	ok	
wl-tile-v1-04509	wl-neg-neg-es-pba-24888	neg-es-pba-24888	0	hard_negative	train	ES	A Madorra/Foxo do Cabrito	Toques	Santa Mariña de Brañas (Santa Mari¤a)		megalithic_mound	120.0	-0.53218335	461	ok	
wl-tile-v1-07325	wl-neg-neg-es-pba-56893	neg-es-pba-56893	0	hard_negative	train	ES	A Meana	Rubiá	Quereño (San Cristovo)		mining_or_quarry	120.0	0.05801786	289	ok	
wl-tile-v1-05830	wl-neg-neg-es-pba-29650	neg-es-pba-29650	0	hard_negative	train	ES	A Medorra	O Corgo	Santo Estevo de Farnadeiros (Santo Estevo)		megalithic_mound	120.0	0.54449743	170	ok	
wl-tile-v1-06757	wl-neg-neg-es-pba-50551	neg-es-pba-50551	0	hard_negative	train	ES	A Medorra	A Gudiña	O Canizo (Santa María)		megalithic_mound	120.0	-0.65923259	493	ok	
wl-tile-v1-09449	wl-neg-neg-es-pba-74609	neg-es-pba-74609	0	hard_negative	train	ES	A Medorra 2	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	120.0	0.56394373	164	ok	
wl-tile-v1-09450	wl-neg-neg-es-pba-74610	neg-es-pba-74610	0	hard_negative	train	ES	A Medorra 3	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	120.0	-0.77834428	512	ok	
wl-tile-v1-09451	wl-neg-neg-es-pba-74611	neg-es-pba-74611	0	hard_negative	train	ES	A Medorra 4	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	120.0	-1.00161193	533	ok	
wl-tile-v1-09452	wl-neg-neg-es-pba-74612	neg-es-pba-74612	0	hard_negative	train	ES	A Medorra 5	Vila de Cruces	Cumeiro (San Pedro)		megalithic_mound	120.0	-0.04375660	317	ok	
wl-tile-v1-05833	wl-neg-neg-es-pba-32105	neg-es-pba-32105	0	hard_negative	train	ES	A Medorra de Cereixido	O Incio	Santa María do Mao (Santa María)		megalithic_mound	120.0	-1.06677423	541	ok	
